time,Boston,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Johnson (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. A. Johnson (N. Hilario gains possession)
11:42.0,,,0-0,,N. Hilario misses 2-pt shot from 2 ft
11:41.0,,,0-0,,Offensive rebound by O. Porter
11:30.0,,,0-0,,G. Temple misses 3-pt shot from 26 ft
11:29.0,Defensive rebound by A. Johnson,,0-0,,
11:06.0,A. Bradley makes 2-pt shot from 21 ft,2,2-0,,
10:59.0,,,2-0,,G. Temple misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by J. Crowder,,2-0,,
10:39.0,J. Sullinger misses 2-pt shot from 7 ft,,2-0,,
10:38.0,,,2-0,,Defensive rebound by M. Gortat
10:27.0,,,2-2,2,O. Porter makes 2-pt shot from 15 ft (assist by M. Gortat)
10:06.0,J. Crowder misses 3-pt shot from 28 ft,,2-2,,
10:05.0,,,2-2,,Defensive rebound by J. Wall
9:50.0,,,2-2,,N. Hilario misses 2-pt shot from 16 ft
9:49.0,,,2-2,,Offensive rebound by M. Gortat
9:30.0,,,2-2,,O. Porter misses 2-pt shot from 18 ft
9:28.0,Defensive rebound by J. Sullinger,,2-2,,
9:21.0,I. Thomas makes 2-pt shot from 1 ft,2,4-2,,
9:11.0,,,4-2,,Offensive foul by M. Gortat
9:11.0,,,4-2,,Turnover by M. Gortat (offensive foul)
8:57.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Sullinger),3,7-2,,
8:46.0,,,7-2,,Shooting foul by J. Sullinger (drawn by N. Hilario)
8:46.0,,,7-3,1,N. Hilario makes free throw 1 of 2
8:46.0,,,7-4,1,N. Hilario makes free throw 2 of 2
8:33.0,A. Bradley misses 3-pt shot from 24 ft,,7-4,,
8:32.0,Offensive rebound by A. Johnson,,7-4,,
8:28.0,,,7-4,,Personal foul by G. Temple (drawn by A. Bradley)
8:18.0,I. Thomas makes 2-pt shot from 1 ft,2,9-4,,
8:05.0,,,9-6,2,N. Hilario makes 2-pt shot from 17 ft (assist by G. Temple)
7:47.0,J. Sullinger misses 2-pt shot from 5 ft,,9-6,,
7:45.0,,,9-6,,Defensive rebound by M. Gortat
7:39.0,,,9-8,2,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall)
7:25.0,I. Thomas misses 3-pt shot from 24 ft,,9-8,,
7:24.0,,,9-8,,Defensive rebound by G. Temple
7:17.0,,,9-10,2,J. Wall makes 2-pt shot from 15 ft
7:03.0,Turnover by J. Sullinger (bad pass),,9-10,,
6:44.0,,,9-10,,Turnover by N. Hilario (bad pass; steal by J. Sullinger)
6:34.0,Turnover by A. Bradley (bad pass; steal by N. Hilario),,9-10,,
6:30.0,,,9-10,,J. Wall misses 2-pt shot at rim
6:28.0,Defensive rebound by J. Sullinger,,9-10,,
6:23.0,I. Thomas misses 2-pt shot from 2 ft,,9-10,,
