time,New York,pts.away,score,pts.home,Cleveland
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Seraphin misses 2-pt shot from 11 ft,,24-31,,
11:37.0,,,24-31,,Defensive rebound by I. Shumpert
11:19.0,,,24-31,,Shooting foul by C. Early (drawn by I. Shumpert)
11:19.0,,,24-32,1,I. Shumpert makes free throw 1 of 2
11:19.0,L. Amundson enters the game for K. Seraphin,,24-32,,
11:19.0,,,24-33,1,I. Shumpert makes free throw 2 of 2
11:06.0,Turnover by C. Early (bad pass),,24-33,,
11:06.0,,,24-33,,K. Irving enters the game for M. Dellavedova
10:51.0,Personal foul by L. Amundson,,24-33,,
10:39.0,,,24-33,,I. Shumpert misses 3-pt shot from 25 ft
10:37.0,Defensive rebound by L. Galloway,,24-33,,
10:33.0,Shooting foul by K. Irving (drawn by D. Williams),,24-33,,
10:33.0,D. Williams makes free throw 1 of 2,1,25-33,,
10:33.0,,,25-33,,K. Love enters the game for R. Jefferson
10:33.0,D. Williams makes free throw 2 of 2,1,26-33,,
10:16.0,Personal foul by L. Galloway (drawn by K. Love),,26-33,,
10:09.0,,,26-33,,Offensive charge foul by K. Irving
10:09.0,,,26-33,,Turnover by K. Irving (offensive foul)
9:49.0,D. Williams makes 2-pt shot from 14 ft,2,28-33,,
9:23.0,,,28-35,2,K. Love makes 2-pt shot from 10 ft
9:08.0,Turnover by L. Amundson (traveling),,28-35,,
9:08.0,,,28-35,,Technical foul by T. Thompson
9:08.0,Technical foul by L. Amundson,,28-35,,
9:08.0,,,28-35,,L. James enters the game for I. Shumpert
9:08.0,,,28-35,,M. Dellavedova enters the game for M. Williams
9:08.0,L. Thomas enters the game for C. Early,,28-35,,
9:08.0,K. Porzingis enters the game for L. Amundson,,28-35,,
8:46.0,,,28-35,,L. James misses 2-pt shot from 1 ft
8:45.0,Defensive rebound by K. Porzingis,,28-35,,
8:38.0,L. Thomas makes 2-pt shot from 4 ft (assist by J. Grant),2,30-35,,
8:22.0,,,30-35,,K. Irving misses 2-pt shot from 6 ft
8:18.0,,,30-35,,Offensive rebound by T. Thompson
8:18.0,,,30-35,,T. Thompson misses 2-pt shot from 1 ft
8:17.0,,,30-35,,Offensive rebound by T. Thompson
