time,LA Clippers,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. K. Towns (C. Paul gains possession),,,,Jump ball: D. Jordan vs. K. Towns (C. Paul gains possession)
11:42.0,Turnover by C. Paul (bad pass; steal by K. Martin),,0-0,,
11:39.0,,,0-0,,Turnover by K. Martin (bad pass; steal by C. Paul)
11:34.0,J. Redick misses 2-pt shot from 22 ft,,0-0,,
11:33.0,,,0-0,,Defensive rebound by K. Martin
11:21.0,,,0-0,,A. Wiggins misses 2-pt shot from 21 ft
11:20.0,,,0-0,,Offensive rebound by R. Rubio
11:19.0,Violation by B. Griffin (kicked ball),,0-0,,
11:08.0,,,0-0,,K. Martin misses 2-pt shot from 16 ft
11:07.0,Defensive rebound by D. Jordan,,0-0,,
10:54.0,Turnover by C. Paul (bad pass; steal by K. Garnett),,0-0,,
10:48.0,,,0-2,2,K. Garnett makes 2-pt shot from 1 ft (assist by K. Towns)
10:30.0,,,0-2,,Personal foul by K. Garnett (drawn by B. Griffin)
10:22.0,B. Griffin misses 2-pt shot from 1 ft,,0-2,,
10:21.0,,,0-2,,Defensive rebound by K. Towns
10:15.0,,,0-2,,A. Wiggins misses 2-pt shot at rim
10:13.0,Defensive rebound by J. Redick,,0-2,,
10:01.0,Turnover by B. Griffin (bad pass; steal by R. Rubio),,0-2,,
9:56.0,,,0-2,,Shooting foul by L. Mbah a Moute (drawn by A. Wiggins)
9:56.0,,,0-2,,A. Wiggins misses free throw 1 of 2
9:56.0,,,0-2,,Offensive rebound by Team
9:56.0,,,0-3,1,A. Wiggins makes free throw 2 of 2
9:42.0,J. Redick misses 2-pt shot from 14 ft,,0-3,,
9:40.0,Offensive rebound by D. Jordan,,0-3,,
9:40.0,D. Jordan makes 2-pt shot from 2 ft,2,2-3,,
9:24.0,,,2-5,2,K. Towns makes 2-pt shot at rim (assist by K. Garnett)
9:07.0,B. Griffin misses 2-pt shot from 20 ft,,2-5,,
9:06.0,Offensive rebound by Team,,2-5,,
9:06.0,,,2-5,,Loose ball foul by K. Towns (drawn by D. Jordan)
9:02.0,C. Paul misses 2-pt shot from 18 ft,,2-5,,
9:00.0,Offensive rebound by D. Jordan,,2-5,,
9:00.0,D. Jordan makes 2-pt shot at rim,2,4-5,,
