time,Phoenix,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Favors (J. Leuer gains possession),,,,Jump ball: T. Chandler vs. D. Favors (J. Leuer gains possession)
11:33.0,T. Warren misses 3-pt shot from 24 ft,,0-0,,
11:32.0,Offensive rebound by Team,,0-0,,
11:32.0,Turnover by Team (shot clock),,0-0,,
11:21.0,,,0-3,3,G. Hayward makes 3-pt shot from 23 ft (assist by R. Neto)
11:09.0,T. Chandler misses 2-pt shot from 17 ft,,0-3,,
11:08.0,,,0-3,,Defensive rebound by R. Neto
10:45.0,,,0-3,,G. Hayward misses 3-pt shot from 24 ft
10:44.0,Defensive rebound by E. Bledsoe,,0-3,,
10:38.0,D. Booker misses 2-pt shot from 2 ft (block by G. Hayward),,0-3,,
10:36.0,,,0-3,,Defensive rebound by R. Hood
10:25.0,,,0-5,2,G. Hayward makes 2-pt shot from 8 ft
10:20.0,,,0-5,,Personal foul by R. Neto (drawn by E. Bledsoe)
10:14.0,J. Leuer misses 3-pt shot from 23 ft,,0-5,,
10:13.0,,,0-5,,Defensive rebound by G. Hayward
9:51.0,,,0-7,2,R. Neto makes 2-pt shot from 13 ft
9:38.0,T. Warren makes 2-pt shot from 16 ft,2,2-7,,
9:30.0,,,2-10,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward)
9:18.0,J. Leuer misses 3-pt shot from 23 ft,,2-10,,
9:17.0,,,2-10,,Defensive rebound by R. Hood
9:03.0,,,2-12,2,T. Lyles makes 2-pt shot at rim (assist by R. Neto)
9:00.0,Phoenix full timeout,,2-12,,
8:49.0,T. Warren misses 2-pt shot from 17 ft,,2-12,,
8:49.0,,,2-12,,Defensive rebound by R. Hood
8:36.0,,,2-12,,Shooting foul by J. Leuer (drawn by D. Favors)
8:36.0,,,2-13,1,D. Favors makes free throw 1 of 2
8:36.0,,,2-14,1,D. Favors makes free throw 2 of 2
8:17.0,T. Warren makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,5-14,,
7:52.0,,,5-17,3,R. Hood makes 3-pt shot from 25 ft (assist by T. Lyles)
7:34.0,J. Leuer misses 2-pt shot from 3 ft,,5-17,,
7:33.0,,,5-17,,Defensive rebound by T. Lyles
7:25.0,,,5-17,,Turnover by D. Favors (traveling)
7:07.0,E. Bledsoe misses 2-pt shot from 14 ft,,5-17,,
7:07.0,,,5-17,,Defensive rebound by T. Lyles
6:57.0,,,5-17,,D. Favors misses 2-pt shot from 17 ft
6:56.0,Defensive rebound by J. Leuer,,5-17,,
6:46.0,J. Leuer makes 2-pt shot from 11 ft,2,7-17,,
6:20.0,,,7-20,3,R. Neto makes 3-pt shot from 23 ft
6:10.0,E. Bledsoe misses 2-pt shot from 2 ft,,7-20,,
6:09.0,,,7-20,,Defensive rebound by R. Neto
6:03.0,,,7-22,2,D. Favors makes 2-pt shot from 7 ft (assist by G. Hayward)
5:46.0,E. Bledsoe makes 2-pt shot from 8 ft,2,9-22,,
5:34.0,,,9-22,,Turnover by D. Favors (bad pass)
5:34.0,M. Morris enters the game for J. Leuer,,9-22,,
5:34.0,B. Knight enters the game for D. Booker,,9-22,,
5:20.0,M. Morris misses 2-pt shot from 1 ft,,9-22,,
5:20.0,,,9-22,,Defensive rebound by R. Hood
5:10.0,,,9-24,2,G. Hayward makes 2-pt shot from 1 ft (assist by D. Favors)
5:01.0,Turnover by T. Chandler (bad pass),,9-24,,
5:01.0,,,9-24,,T. Booker enters the game for T. Lyles
5:01.0,,,9-24,,T. Burke enters the game for R. Neto
4:38.0,,,9-24,,D. Favors misses 2-pt shot from 5 ft
4:38.0,Defensive rebound by T. Chandler,,9-24,,
4:30.0,E. Bledsoe misses 2-pt shot from 16 ft,,9-24,,
4:30.0,,,9-24,,Defensive rebound by T. Booker
4:17.0,,,9-24,,R. Hood misses 3-pt shot from 24 ft
4:16.0,,,9-24,,Offensive rebound by T. Booker
4:15.0,Personal foul by B. Knight (drawn by T. Booker),,9-24,,
4:15.0,Technical foul by E. Bledsoe,,9-24,,
4:15.0,,,9-25,1,G. Hayward makes technical free throw
4:09.0,,,9-25,,T. Burke misses 3-pt shot from 22 ft
4:08.0,,,9-25,,Offensive rebound by T. Booker
3:51.0,,,9-27,2,D. Favors makes 2-pt shot at rim (assist by T. Booker)
3:32.0,M. Morris makes 2-pt shot from 2 ft,2,11-27,,
3:15.0,,,11-29,2,D. Favors makes 2-pt shot from 12 ft
2:51.0,B. Knight misses 3-pt shot from 24 ft,,11-29,,
2:50.0,,,11-29,,Defensive rebound by T. Burke
2:41.0,,,11-29,,D. Favors misses 2-pt shot from 2 ft
2:40.0,Defensive rebound by T. Chandler,,11-29,,
2:34.0,E. Bledsoe misses 2-pt shot from 18 ft,,11-29,,
2:33.0,Offensive rebound by T. Warren,,11-29,,
2:30.0,T. Warren misses 2-pt shot from 11 ft,,11-29,,
2:28.0,Offensive rebound by M. Morris,,11-29,,
2:28.0,T. Warren makes 2-pt shot from 9 ft,2,13-29,,
2:28.0,,,13-29,,Utah full timeout
2:28.0,A. Len enters the game for T. Chandler,,13-29,,
2:28.0,A. Goodwin enters the game for E. Bledsoe,,13-29,,
2:28.0,,,13-29,,A. Burks enters the game for R. Hood
2:12.0,,,13-29,,D. Favors misses 2-pt shot from 17 ft
2:11.0,Defensive rebound by T. Warren,,13-29,,
1:49.0,A. Len makes 2-pt shot at rim (assist by M. Morris),2,15-29,,
1:28.0,,,15-29,,T. Burke misses 3-pt shot from 23 ft
1:28.0,Defensive rebound by M. Morris,,15-29,,
1:28.0,,,15-29,,Personal foul by T. Booker (drawn by M. Morris)
1:28.0,,,15-29,,J. Withey enters the game for D. Favors
1:15.0,B. Knight makes 2-pt shot from 21 ft,2,17-29,,
0:58.0,,,17-31,2,G. Hayward makes 2-pt shot from 9 ft
0:34.0,A. Goodwin makes 2-pt shot from 15 ft,2,19-31,,
0:18.0,,,19-33,2,G. Hayward makes 2-pt shot from 2 ft
0:01.0,A. Len makes 2-pt shot from 1 ft (assist by M. Morris),2,21-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,21-33,,Turnover by T. Burke (dbl dribble)
11:32.0,Shooting foul by J. Withey (drawn by A. Len),,21-33,,
11:32.0,A. Len makes free throw 1 of 2,1,22-33,,
11:32.0,A. Len misses free throw 2 of 2,,22-33,,
11:32.0,Offensive rebound by M. Morris,,22-33,,
11:26.0,P. Tucker misses 2-pt shot from 5 ft,,22-33,,
11:25.0,,,22-33,,Defensive rebound by E. Millsap
11:10.0,,,22-36,3,A. Burks makes 3-pt shot from 24 ft (assist by T. Burke)
10:47.0,B. Knight makes 2-pt shot from 21 ft,2,24-36,,
10:27.0,,,24-38,2,E. Millsap makes 2-pt shot from 2 ft
10:07.0,P. Tucker misses 3-pt shot from 23 ft,,24-38,,
10:06.0,,,24-38,,Defensive rebound by T. Booker
9:55.0,,,24-38,,J. Withey misses 2-pt shot from 1 ft
9:54.0,Defensive rebound by A. Len,,24-38,,
9:49.0,M. Morris makes 2-pt shot at rim (assist by B. Knight),2,26-38,,
9:26.0,,,26-38,,A. Burks misses 2-pt shot from 16 ft
9:26.0,Defensive rebound by P. Tucker,,26-38,,
9:07.0,B. Knight makes 3-pt shot from 25 ft (assist by P. Tucker),3,29-38,,
8:51.0,Personal foul by P. Tucker (drawn by T. Burke),,29-38,,
8:51.0,,,29-38,,Utah full timeout
8:44.0,,,29-38,,J. Withey misses 2-pt shot from 17 ft
8:43.0,Defensive rebound by P. Tucker,,29-38,,
8:35.0,Offensive foul by A. Len,,29-38,,
8:35.0,Turnover by A. Len (offensive foul),,29-38,,
8:20.0,,,29-40,2,T. Burke makes 2-pt shot from 19 ft
8:05.0,Jump ball: T. Booker vs. A. Len,,,,Jump ball: T. Booker vs. A. Len
7:57.0,P. Tucker misses 2-pt shot from 2 ft (block by J. Withey),,29-40,,
7:56.0,,,29-40,,Defensive rebound by E. Millsap
7:38.0,,,29-40,,Turnover by T. Booker (traveling)
7:28.0,A. Goodwin misses 2-pt shot from 2 ft (block by J. Withey),,29-40,,
7:26.0,,,29-40,,Defensive rebound by A. Burks
7:15.0,,,29-40,,E. Millsap misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by A. Goodwin,,29-40,,
6:58.0,B. Knight makes 3-pt shot from 23 ft (assist by M. Morris),3,32-40,,
6:56.0,,,32-40,,Utah full timeout
6:56.0,,,32-40,,D. Favors enters the game for J. Withey
6:56.0,,,32-40,,R. Hood enters the game for E. Millsap
6:56.0,R. Price enters the game for P. Tucker,,32-40,,
6:42.0,,,32-40,,Shooting foul by A. Len (drawn by A. Burks)
6:42.0,,,32-40,,A. Burks misses free throw 1 of 2
6:42.0,,,32-40,,Offensive rebound by Team
6:42.0,,,32-41,1,A. Burks makes free throw 2 of 2
6:30.0,M. Morris misses 2-pt shot from 12 ft,,32-41,,
6:29.0,Offensive rebound by Team,,32-41,,
6:29.0,,,32-41,,G. Hayward enters the game for A. Burks
6:29.0,E. Bledsoe enters the game for A. Goodwin,,32-41,,
6:24.0,Turnover by B. Knight (bad pass; steal by R. Hood),,32-41,,
6:10.0,,,32-41,,D. Favors misses 2-pt shot from 15 ft
6:10.0,Defensive rebound by M. Morris,,32-41,,
5:52.0,B. Knight makes 2-pt shot from 22 ft,2,34-41,,
5:35.0,,,34-41,,G. Hayward misses 2-pt shot from 16 ft
5:35.0,,,34-41,,Offensive rebound by T. Booker
5:30.0,,,34-41,,T. Burke misses 3-pt shot from 24 ft
5:29.0,,,34-41,,Offensive rebound by D. Favors
5:24.0,,,34-41,,Turnover by G. Hayward (bad pass; steal by R. Price)
5:21.0,Turnover by B. Knight (lost ball; steal by G. Hayward),,34-41,,
5:11.0,,,34-44,3,T. Booker makes 3-pt shot from 23 ft (assist by G. Hayward)
4:42.0,Turnover by Team (shot clock),,34-44,,
4:42.0,,,34-44,,R. Neto enters the game for T. Burke
4:42.0,,,34-44,,T. Lyles enters the game for T. Booker
4:42.0,M. Teletovic enters the game for M. Morris,,34-44,,
4:27.0,,,34-44,,R. Hood misses 2-pt shot from 23 ft
4:26.0,,,34-44,,Offensive rebound by D. Favors
4:26.0,,,34-44,,Shooting foul by A. Len (drawn by D. Favors)
4:26.0,,,34-44,,D. Favors misses free throw 1 of 2
4:26.0,,,34-44,,Offensive rebound by Team
4:26.0,T. Chandler enters the game for A. Len,,34-44,,
4:26.0,,,34-45,1,D. Favors makes free throw 2 of 2
4:08.0,Turnover by R. Price (step out of bounds),,34-45,,
3:52.0,,,34-45,,Turnover by D. Favors (traveling)
3:39.0,R. Price makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,37-45,,
3:30.0,,,37-45,,Shooting foul by R. Price (drawn by G. Hayward)
3:30.0,,,37-46,1,G. Hayward makes free throw 1 of 2
3:30.0,,,37-47,1,G. Hayward makes free throw 2 of 2
3:05.0,B. Knight misses 3-pt shot from 23 ft,,37-47,,
3:05.0,Offensive rebound by R. Price,,37-47,,
2:56.0,B. Knight makes 2-pt shot from 1 ft,2,39-47,,
2:35.0,,,39-47,,T. Lyles misses 2-pt shot from 6 ft
2:30.0,,,39-47,,Offensive rebound by D. Favors
2:30.0,,,39-49,2,D. Favors makes 2-pt shot at rim
2:23.0,E. Bledsoe misses 3-pt shot from 23 ft,,39-49,,
2:22.0,,,39-49,,Defensive rebound by T. Lyles
2:07.0,,,39-49,,G. Hayward misses 3-pt shot from 24 ft
2:06.0,Defensive rebound by R. Price,,39-49,,
2:02.0,,,39-49,,Personal foul by D. Favors (drawn by E. Bledsoe)
2:02.0,Phoenix full timeout,,39-49,,
2:02.0,T. Warren enters the game for R. Price,,39-49,,
2:02.0,,,39-49,,A. Burks enters the game for R. Neto
2:02.0,,,39-49,,T. Booker enters the game for T. Lyles
1:51.0,M. Teletovic makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,42-49,,
1:32.0,,,42-49,,G. Hayward misses 3-pt shot from 24 ft
1:32.0,Defensive rebound by B. Knight,,42-49,,
1:22.0,Turnover by B. Knight (bad pass; steal by T. Booker),,42-49,,
1:20.0,,,42-51,2,G. Hayward makes 2-pt shot from 2 ft (assist by T. Booker)
1:20.0,,,42-51,,Shooting foul by M. Teletovic (drawn by G. Hayward)
1:20.0,,,42-52,1,G. Hayward makes free throw 1 of 1
1:11.0,,,42-52,,Violation by A. Burks (kicked ball)
1:05.0,Shooting foul by D. Favors (drawn by T. Chandler),,42-52,,
1:05.0,T. Chandler misses free throw 1 of 2,,42-52,,
1:05.0,Offensive rebound by Team,,42-52,,
1:05.0,,,42-52,,J. Withey enters the game for D. Favors
1:05.0,T. Chandler makes free throw 2 of 2,1,43-52,,
0:53.0,,,43-52,,Offensive charge foul by A. Burks
0:53.0,,,43-52,,Turnover by A. Burks (offensive foul)
0:45.0,E. Bledsoe misses 2-pt shot from 8 ft,,43-52,,
0:43.0,,,43-52,,Defensive rebound by J. Withey
0:29.0,,,43-52,,G. Hayward misses 3-pt shot from 23 ft
0:29.0,,,43-52,,Offensive rebound by T. Booker
0:26.0,,,43-52,,T. Booker misses 2-pt shot from 2 ft
0:24.0,Defensive rebound by M. Teletovic,,43-52,,
0:04.0,B. Knight misses 3-pt shot from 24 ft,,43-52,,
0:03.0,,,43-52,,Defensive rebound by A. Burks
0:00.0,,,43-54,2,A. Burks makes 2-pt shot from 11 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:35.0,,,43-54,,R. Neto misses 3-pt shot from 26 ft
11:34.0,,,43-54,,Offensive rebound by Team
11:25.0,,,43-56,2,D. Favors makes 2-pt shot at rim (assist by R. Hood)
11:03.0,J. Leuer misses 2-pt shot from 2 ft,,43-56,,
11:02.0,,,43-56,,Defensive rebound by D. Favors
10:48.0,,,43-56,,Turnover by R. Neto (bad pass; steal by T. Chandler)
10:41.0,Turnover by D. Booker (bad pass; steal by R. Hood),,43-56,,
10:28.0,,,43-59,3,G. Hayward makes 3-pt shot from 24 ft (assist by R. Neto)
10:16.0,J. Leuer misses 2-pt shot from 16 ft,,43-59,,
10:15.0,,,43-59,,Defensive rebound by R. Neto
10:10.0,,,43-59,,Turnover by R. Neto (palming)
10:10.0,B. Knight enters the game for D. Booker,,43-59,,
9:52.0,Turnover by T. Warren (bad pass; steal by R. Hood),,43-59,,
9:46.0,,,43-61,2,R. Neto makes 2-pt shot from 2 ft (assist by G. Hayward)
9:45.0,Phoenix full timeout,,43-61,,
9:45.0,M. Morris enters the game for J. Leuer,,43-61,,
9:35.0,Offensive foul by M. Morris,,43-61,,
9:35.0,Turnover by M. Morris (offensive foul),,43-61,,
9:19.0,,,43-63,2,R. Hood makes 2-pt shot from 14 ft
9:06.0,E. Bledsoe misses 3-pt shot from 24 ft,,43-63,,
9:06.0,,,43-63,,Defensive rebound by T. Lyles
8:57.0,,,43-63,,Shooting foul by B. Knight (drawn by R. Hood)
8:57.0,,,43-64,1,R. Hood makes free throw 1 of 2
8:57.0,,,43-64,,R. Hood misses free throw 2 of 2
8:56.0,Defensive rebound by T. Chandler,,43-64,,
8:36.0,T. Warren misses 2-pt shot from 21 ft,,43-64,,
8:35.0,,,43-64,,Defensive rebound by D. Favors
8:35.0,Personal foul by E. Bledsoe (drawn by D. Favors),,43-64,,
8:14.0,,,43-64,,R. Neto misses 2-pt shot from 12 ft
8:14.0,,,43-64,,Offensive rebound by R. Neto
8:12.0,Personal foul by E. Bledsoe (drawn by R. Neto),,43-64,,
8:12.0,M. Teletovic enters the game for T. Chandler,,43-64,,
8:12.0,P. Tucker enters the game for E. Bledsoe,,43-64,,
8:12.0,,,43-64,,T. Burke enters the game for R. Neto
8:03.0,,,43-64,,Shooting foul by M. Morris (drawn by D. Favors)
8:03.0,,,43-64,,D. Favors misses free throw 1 of 2
8:03.0,,,43-64,,Offensive rebound by Team
8:03.0,,,43-65,1,D. Favors makes free throw 2 of 2
7:49.0,,,43-65,,Personal foul by G. Hayward (drawn by T. Warren)
7:46.0,B. Knight makes 2-pt shot from 18 ft,2,45-65,,
7:29.0,,,45-65,,T. Burke misses 2-pt shot from 19 ft
7:27.0,Defensive rebound by M. Teletovic,,45-65,,
7:19.0,B. Knight makes 2-pt shot from 2 ft,2,47-65,,
7:06.0,,,47-65,,Shooting foul by T. Warren (drawn by R. Hood)
7:06.0,,,47-66,1,R. Hood makes free throw 1 of 2
7:06.0,,,47-66,,R. Hood misses free throw 2 of 2
7:06.0,Defensive rebound by M. Morris,,47-66,,
6:42.0,B. Knight misses 3-pt shot from 22 ft,,47-66,,
6:41.0,Offensive rebound by Team,,47-66,,
6:41.0,Turnover by Team (shot clock),,47-66,,
6:26.0,,,47-66,,R. Hood misses 2-pt shot from 11 ft
6:26.0,Defensive rebound by M. Teletovic,,47-66,,
6:18.0,T. Warren misses 2-pt shot from 9 ft,,47-66,,
6:17.0,,,47-66,,Defensive rebound by T. Lyles
6:09.0,,,47-68,2,T. Lyles makes 2-pt shot at rim (assist by T. Burke)
6:00.0,Shooting foul by T. Burke (drawn by B. Knight),,47-68,,
6:00.0,B. Knight makes free throw 1 of 2,1,48-68,,
6:00.0,B. Knight makes free throw 2 of 2,1,49-68,,
5:46.0,,,49-68,,T. Lyles misses 2-pt shot from 4 ft
5:45.0,Defensive rebound by P. Tucker,,49-68,,
5:35.0,P. Tucker misses 2-pt shot from 1 ft,,49-68,,
5:34.0,Offensive rebound by M. Morris,,49-68,,
5:32.0,M. Morris misses 2-pt shot from 1 ft (block by R. Hood),,49-68,,
5:30.0,,,49-68,,Defensive rebound by T. Burke
5:24.0,,,49-70,2,T. Burke makes 2-pt shot from 1 ft
5:10.0,M. Morris misses 3-pt shot from 24 ft,,49-70,,
5:09.0,Offensive rebound by T. Warren,,49-70,,
5:09.0,T. Warren makes 2-pt shot at rim,2,51-70,,
4:51.0,,,51-70,,R. Hood misses 3-pt shot from 23 ft
4:50.0,Defensive rebound by M. Teletovic,,51-70,,
4:43.0,M. Teletovic makes 3-pt shot from 24 ft (assist by B. Knight),3,54-70,,
4:42.0,,,54-70,,Utah full timeout
4:42.0,A. Len enters the game for M. Morris,,54-70,,
4:42.0,R. Price enters the game for T. Warren,,54-70,,
4:42.0,,,54-70,,A. Burks enters the game for G. Hayward
4:42.0,,,54-70,,T. Booker enters the game for T. Lyles
4:25.0,Personal foul by P. Tucker (drawn by D. Favors),,54-70,,
4:25.0,,,54-71,1,D. Favors makes free throw 1 of 2
4:25.0,,,54-72,1,D. Favors makes free throw 2 of 2
4:10.0,M. Teletovic makes 3-pt shot from 22 ft (assist by P. Tucker),3,57-72,,
3:52.0,,,57-72,,Turnover by A. Burks (bad pass; steal by R. Price)
3:51.0,,,57-72,,Violation by T. Booker (kicked ball)
3:45.0,M. Teletovic misses 3-pt shot from 24 ft,,57-72,,
3:43.0,Offensive rebound by A. Len,,57-72,,
3:43.0,A. Len misses 2-pt shot from 1 ft,,57-72,,
3:42.0,,,57-72,,Defensive rebound by T. Burke
3:31.0,,,57-74,2,T. Booker makes 2-pt shot from 1 ft
3:25.0,Shooting foul by A. Burks (drawn by B. Knight),,57-74,,
3:25.0,B. Knight makes free throw 1 of 2,1,58-74,,
3:25.0,B. Knight makes free throw 2 of 2,1,59-74,,
3:05.0,,,59-77,3,T. Burke makes 3-pt shot from 24 ft
2:55.0,,,59-77,,E. Millsap enters the game for R. Hood
2:55.0,,,59-77,,J. Withey enters the game for D. Favors
