time,LA Lakers,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:46.0,,,0-0,,K. Durant misses 2-pt shot from 13 ft
12:00.0,Jump ball: S. Adams vs. R. Hibbert (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. R. Hibbert (S. Ibaka gains possession)
11:45.0,Defensive rebound by R. Hibbert,,0-0,,
11:32.0,K. Bryant misses 3-pt shot from 24 ft (block by K. Durant),,0-0,,
11:32.0,,,0-0,,Defensive rebound by R. Westbrook
11:24.0,,,0-0,,Shooting foul by J. Clarkson (drawn by R. Westbrook)
11:24.0,,,0-1,1,R. Westbrook makes free throw 1 of 2
11:24.0,,,0-1,,R. Westbrook misses free throw 2 of 2
11:23.0,,,0-1,,Offensive rebound by S. Adams
11:19.0,,,0-1,,K. Durant misses 3-pt shot from 24 ft
11:18.0,,,0-1,,Offensive rebound by Team
11:18.0,Loose ball foul by R. Hibbert,,0-1,,
11:10.0,,,0-4,3,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook)
10:49.0,D. Russell misses 2-pt shot from 4 ft,,0-4,,
10:48.0,,,0-4,,Defensive rebound by A. Roberson
10:38.0,,,0-4,,Turnover by K. Durant (traveling)
10:26.0,J. Randle makes 2-pt shot from 20 ft (assist by J. Clarkson),2,2-4,,
10:18.0,,,2-4,,K. Durant misses 2-pt shot from 2 ft
10:17.0,Defensive rebound by J. Randle,,2-4,,
10:11.0,K. Bryant misses 3-pt shot from 28 ft,,2-4,,
10:10.0,,,2-4,,Defensive rebound by S. Ibaka
10:04.0,,,2-7,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
9:43.0,J. Randle makes 3-pt shot from 24 ft (assist by J. Clarkson),3,5-7,,
9:16.0,,,5-7,,S. Ibaka misses 2-pt shot from 2 ft
9:15.0,,,5-7,,Offensive rebound by S. Adams
9:15.0,,,5-7,,Turnover by Team (shot clock)
9:05.0,J. Clarkson misses 3-pt shot from 24 ft,,5-7,,
9:05.0,,,5-7,,Defensive rebound by K. Durant
8:55.0,,,5-7,,S. Ibaka misses 3-pt shot from 24 ft
8:54.0,,,5-7,,Offensive rebound by S. Adams
8:41.0,,,5-9,2,S. Adams makes 2-pt shot from 5 ft (assist by R. Westbrook)
8:27.0,R. Hibbert misses 2-pt shot from 10 ft,,5-9,,
8:27.0,,,5-9,,Defensive rebound by R. Westbrook
8:15.0,,,5-9,,S. Adams misses 2-pt shot from 2 ft
8:14.0,,,5-9,,Offensive rebound by S. Adams
8:14.0,,,5-9,,S. Adams misses 2-pt shot from 2 ft
8:14.0,Defensive rebound by D. Russell,,5-9,,
8:08.0,D. Russell misses 2-pt shot at rim (block by S. Ibaka),,5-9,,
8:07.0,,,5-9,,Defensive rebound by R. Westbrook
8:01.0,,,5-11,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
7:41.0,,,5-11,,Violation by S. Adams (kicked ball)
7:31.0,Turnover by J. Randle (traveling),,5-11,,
7:15.0,,,5-11,,S. Ibaka misses 3-pt shot from 22 ft
7:14.0,,,5-11,,Offensive rebound by S. Ibaka
7:12.0,,,5-11,,S. Ibaka misses 2-pt shot from 16 ft
7:11.0,Defensive rebound by K. Bryant,,5-11,,
7:05.0,K. Bryant makes 3-pt shot from 24 ft,3,8-11,,
6:48.0,,,8-14,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
6:30.0,K. Bryant misses 3-pt shot from 26 ft,,8-14,,
6:29.0,,,8-14,,Defensive rebound by A. Roberson
6:22.0,,,8-14,,R. Westbrook misses 2-pt shot from 3 ft
6:22.0,,,8-14,,Offensive rebound by S. Ibaka
