time,Sacramento,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. M. Plumlee (O. Casspi gains possession),,,,Jump ball: W. Cauley-Stein vs. M. Plumlee (O. Casspi gains possession)
11:44.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,2-0,,
11:27.0,,,2-0,,D. Lillard misses 2-pt shot from 19 ft
11:26.0,Defensive rebound by R. Rondo,,2-0,,
11:20.0,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo),2,4-0,,
11:05.0,,,4-2,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
10:46.0,R. Rondo makes 2-pt shot at rim,2,6-2,,
10:30.0,,,6-2,,C. McCollum misses 2-pt shot from 12 ft
10:30.0,Defensive rebound by O. Casspi,,6-2,,
10:22.0,R. Rondo misses 2-pt shot from 3 ft,,6-2,,
10:22.0,,,6-2,,Defensive rebound by M. Plumlee
10:14.0,,,6-4,2,C. McCollum makes 2-pt shot from 16 ft
10:03.0,R. Rondo misses 2-pt shot at rim (block by N. Vonleh),,6-4,,
10:02.0,,,6-4,,Defensive rebound by D. Lillard
9:53.0,,,6-7,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard)
9:34.0,B. McLemore misses 3-pt shot from 22 ft,,6-7,,
9:33.0,,,6-7,,Defensive rebound by M. Plumlee
9:27.0,,,6-9,2,N. Vonleh makes 2-pt shot from 2 ft (assist by D. Lillard)
9:09.0,,,6-9,,Def 3 sec tech foul by N. Vonleh
9:09.0,D. Cousins makes technical free throw,1,7-9,,
9:00.0,R. Rondo makes 2-pt shot from 2 ft,2,9-9,,
8:45.0,,,9-9,,C. McCollum misses 3-pt shot from 23 ft
8:45.0,Defensive rebound by O. Casspi,,9-9,,
8:32.0,D. Cousins makes 2-pt shot from 20 ft (assist by R. Rondo),2,11-9,,
8:09.0,,,11-9,,C. McCollum misses 3-pt shot from 28 ft
8:09.0,Defensive rebound by O. Casspi,,11-9,,
8:03.0,B. McLemore misses 2-pt shot from 1 ft,,11-9,,
8:03.0,,,11-9,,Defensive rebound by N. Vonleh
7:53.0,,,11-9,,Turnover by A. Aminu (bad pass)
7:44.0,Shooting foul by C. McCollum (drawn by D. Cousins),,11-9,,
7:44.0,D. Cousins makes free throw 1 of 2,1,12-9,,
7:44.0,D. Cousins makes free throw 2 of 2,1,13-9,,
7:30.0,,,13-11,2,C. McCollum makes 2-pt shot from 19 ft (assist by D. Lillard)
7:16.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by R. Rondo),2,15-11,,
7:06.0,,,15-13,2,M. Plumlee makes 2-pt shot from 1 ft (assist by D. Lillard)
6:48.0,O. Casspi misses 2-pt shot from 4 ft,,15-13,,
6:44.0,Jump ball: B. McLemore vs. N. Vonleh (O. Casspi gains possession),,,,Jump ball: B. McLemore vs. N. Vonleh (O. Casspi gains possession)
6:44.0,Offensive rebound by Team,,15-13,,
6:40.0,O. Casspi misses 3-pt shot from 24 ft,,15-13,,
6:39.0,,,15-13,,Defensive rebound by M. Plumlee
6:30.0,,,15-13,,D. Lillard misses 3-pt shot from 24 ft
6:28.0,,,15-13,,Offensive rebound by A. Aminu
6:26.0,,,15-13,,Turnover by D. Lillard (bad pass; steal by W. Cauley-Stein)
6:23.0,Shooting foul by A. Aminu (drawn by O. Casspi),,15-13,,
6:23.0,O. Casspi misses free throw 1 of 2,,15-13,,
6:23.0,Offensive rebound by Team,,15-13,,
6:23.0,O. Casspi misses free throw 2 of 2,,15-13,,
6:20.0,,,15-13,,Defensive rebound by A. Aminu
6:12.0,,,15-15,2,N. Vonleh makes 2-pt shot from 1 ft (assist by D. Lillard)
5:59.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,15-15,,
5:58.0,Offensive rebound by W. Cauley-Stein,,15-15,,
5:54.0,D. Cousins misses 2-pt shot from 2 ft (block by N. Vonleh),,15-15,,
5:54.0,Offensive rebound by Team,,15-15,,
5:54.0,,,15-15,,Portland full timeout
5:37.0,D. Cousins misses 2-pt shot from 2 ft (block by M. Plumlee),,15-15,,
5:36.0,,,15-15,,Defensive rebound by A. Aminu
5:28.0,,,15-15,,A. Aminu misses 3-pt shot from 24 ft
5:27.0,Defensive rebound by Team,,15-15,,
5:15.0,Offensive foul by D. Cousins,,15-15,,
5:15.0,Turnover by D. Cousins (offensive foul),,15-15,,
5:15.0,Technical foul by Team,,15-15,,
5:15.0,,,15-16,1,D. Lillard makes technical free throw
5:15.0,,,15-16,,A. Crabbe enters the game for C. McCollum
5:02.0,,,15-18,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
4:51.0,,,15-18,,Personal foul by N. Vonleh (drawn by D. Cousins)
4:51.0,M. Belinelli enters the game for B. McLemore,,15-18,,
4:51.0,,,15-18,,M. Leonard enters the game for N. Vonleh
4:38.0,D. Cousins misses 2-pt shot from 5 ft,,15-18,,
4:37.0,,,15-18,,Defensive rebound by M. Plumlee
4:30.0,,,15-20,2,D. Lillard makes 2-pt shot from 1 ft
4:19.0,D. Cousins misses 3-pt shot from 24 ft,,15-20,,
4:18.0,,,15-20,,Defensive rebound by M. Plumlee
4:05.0,,,15-20,,D. Lillard misses 2-pt shot from 1 ft (block by W. Cauley-Stein)
4:04.0,Defensive rebound by O. Casspi,,15-20,,
3:58.0,R. Rondo makes 2-pt shot from 2 ft,2,17-20,,
3:46.0,,,17-20,,Offensive foul by M. Leonard
3:46.0,,,17-20,,Turnover by M. Leonard (offensive foul)
3:46.0,,,17-20,,E. Davis enters the game for M. Plumlee
3:46.0,J. Anderson enters the game for O. Casspi,,17-20,,
3:46.0,K. Koufos enters the game for D. Cousins,,17-20,,
3:35.0,R. Rondo makes 3-pt shot from 24 ft (assist by M. Belinelli),3,20-20,,
3:17.0,,,20-23,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
3:03.0,W. Cauley-Stein makes 2-pt shot from 2 ft (assist by M. Belinelli),2,22-23,,
2:47.0,,,22-23,,A. Crabbe misses 3-pt shot from 24 ft
2:47.0,,,22-23,,Offensive rebound by D. Lillard
2:47.0,,,22-25,2,D. Lillard makes 2-pt shot at rim
2:47.0,,,22-25,,Shooting foul by W. Cauley-Stein (drawn by D. Lillard)
2:47.0,Sacramento full timeout,,22-25,,
2:47.0,,,22-25,,G. Henderson enters the game for A. Aminu
2:47.0,Q. Acy enters the game for W. Cauley-Stein,,22-25,,
2:47.0,,,22-26,1,D. Lillard makes free throw 1 of 1
2:36.0,Q. Acy misses 2-pt shot from 3 ft (block by E. Davis),,22-26,,
2:35.0,,,22-26,,Defensive rebound by G. Henderson
2:34.0,,,22-28,2,A. Crabbe makes 2-pt shot at rim (assist by G. Henderson)
2:34.0,,,22-28,,Shooting foul by J. Anderson (drawn by A. Crabbe)
2:34.0,,,22-29,1,A. Crabbe makes free throw 1 of 1
2:22.0,K. Koufos makes 2-pt shot at rim (assist by M. Belinelli),2,24-29,,
2:00.0,,,24-29,,M. Leonard misses 2-pt shot from 6 ft
1:59.0,,,24-29,,Offensive rebound by E. Davis
1:59.0,,,24-29,,E. Davis misses 2-pt shot from 1 ft
1:58.0,,,24-29,,Offensive rebound by G. Henderson
1:51.0,,,24-29,,D. Lillard misses 3-pt shot from 27 ft
1:49.0,Defensive rebound by R. Rondo,,24-29,,
1:33.0,K. Koufos misses 2-pt shot at rim,,24-29,,
1:31.0,,,24-29,,Defensive rebound by D. Lillard
1:26.0,,,24-29,,D. Lillard misses 2-pt shot from 1 ft
1:26.0,Defensive rebound by K. Koufos,,24-29,,
1:11.0,,,24-29,,Personal foul by E. Davis (drawn by R. Rondo)
1:11.0,D. Collison enters the game for R. Rondo,,24-29,,
1:05.0,M. Belinelli makes 2-pt shot from 4 ft (assist by D. Collison),2,26-29,,
0:47.0,,,26-29,,G. Henderson misses 2-pt shot from 5 ft
0:46.0,Defensive rebound by D. Collison,,26-29,,
0:40.0,,,26-29,,Shooting block foul by A. Crabbe (drawn by D. Collison)
0:40.0,D. Collison misses free throw 1 of 2,,26-29,,
0:40.0,Offensive rebound by Team,,26-29,,
0:40.0,,,26-29,,C. McCollum enters the game for E. Davis
0:40.0,D. Collison makes free throw 2 of 2,1,27-29,,
0:32.0,,,27-29,,G. Henderson misses 3-pt shot from 25 ft
0:31.0,,,27-29,,Offensive rebound by Team
0:31.0,,,27-29,,E. Davis enters the game for D. Lillard
0:29.0,,,27-31,2,G. Henderson makes 2-pt shot from 19 ft (assist by C. McCollum)
0:10.0,Q. Acy makes 2-pt shot at rim (assist by J. Anderson),2,29-31,,
0:05.0,Personal take foul by D. Collison (drawn by C. McCollum),,29-31,,
0:02.0,,,29-33,2,G. Henderson makes 2-pt shot from 4 ft (assist by M. Leonard)
0:00.0,M. Belinelli misses 3-pt shot from 65 ft,,29-33,,
0:00.0,Offensive rebound by Team,,29-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
