time,Boston,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Johnson (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Johnson (S. Ibaka gains possession)
11:40.0,,,0-0,,S. Ibaka misses 2-pt shot from 2 ft
11:39.0,Defensive rebound by J. Sullinger,,0-0,,
11:24.0,J. Sullinger misses 2-pt shot from 10 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by A. Roberson
11:10.0,,,0-2,2,A. Roberson makes 2-pt shot from 6 ft (assist by S. Adams)
10:48.0,J. Sullinger misses 2-pt shot from 17 ft,,0-2,,
10:47.0,,,0-2,,Defensive rebound by S. Ibaka
10:40.0,,,0-2,,Shooting foul by M. Smart (drawn by R. Westbrook)
10:40.0,,,0-3,1,R. Westbrook makes free throw 1 of 2
10:40.0,,,0-4,1,R. Westbrook makes free throw 2 of 2
10:18.0,J. Crowder misses 2-pt shot from 4 ft,,0-4,,
10:17.0,Offensive rebound by J. Sullinger,,0-4,,
10:17.0,J. Sullinger misses 2-pt shot at rim,,0-4,,
10:15.0,Offensive rebound by J. Sullinger,,0-4,,
10:15.0,J. Sullinger misses 2-pt shot from 2 ft,,0-4,,
10:15.0,Offensive rebound by Team,,0-4,,
10:04.0,Offensive foul by A. Johnson,,0-4,,
10:04.0,Turnover by A. Johnson (offensive foul),,0-4,,
9:57.0,,,0-4,,A. Morrow misses 3-pt shot from 24 ft
9:56.0,,,0-4,,Offensive rebound by S. Ibaka
9:54.0,,,0-4,,S. Ibaka misses 2-pt shot from 2 ft (block by A. Johnson)
9:52.0,Defensive rebound by A. Johnson,,0-4,,
9:44.0,I. Thomas makes 2-pt shot from 1 ft,2,2-4,,
9:33.0,,,2-4,,R. Westbrook misses 2-pt shot from 2 ft (block by J. Sullinger)
9:33.0,,,2-4,,Offensive rebound by Team
9:24.0,,,2-7,3,R. Westbrook makes 3-pt shot from 24 ft (assist by S. Adams)
9:08.0,Shooting foul by S. Adams (drawn by M. Smart),,2-7,,
9:08.0,M. Smart misses free throw 1 of 2,,2-7,,
9:08.0,Offensive rebound by Team,,2-7,,
9:08.0,M. Smart makes free throw 2 of 2,1,3-7,,
8:58.0,,,3-9,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
8:44.0,M. Smart makes 2-pt shot from 14 ft,2,5-9,,
8:31.0,,,5-9,,S. Ibaka misses 2-pt shot from 4 ft
8:29.0,Defensive rebound by J. Sullinger,,5-9,,
8:17.0,A. Johnson misses 2-pt shot from 3 ft (block by S. Ibaka),,5-9,,
8:16.0,,,5-9,,Defensive rebound by S. Ibaka
8:09.0,,,5-12,3,R. Westbrook makes 3-pt shot from 24 ft
7:56.0,,,5-12,,Personal foul by A. Morrow (drawn by J. Sullinger)
7:48.0,M. Smart makes 2-pt shot from 17 ft,2,7-12,,
7:29.0,,,7-14,2,R. Westbrook makes 2-pt shot from 2 ft
7:18.0,I. Thomas makes 3-pt shot from 24 ft (assist by J. Sullinger),3,10-14,,
7:03.0,,,10-14,,R. Westbrook misses 3-pt shot from 23 ft
7:02.0,,,10-14,,Offensive rebound by S. Ibaka
7:00.0,,,10-16,2,S. Ibaka makes 2-pt shot from 16 ft
6:49.0,Offensive foul by J. Sullinger,,10-16,,
6:49.0,Turnover by J. Sullinger (offensive foul),,10-16,,
6:49.0,A. Bradley enters the game for J. Crowder,,10-16,,
6:38.0,,,10-16,,Turnover by S. Adams (bad pass; steal by J. Sullinger)
6:33.0,A. Johnson makes 2-pt shot from 1 ft (assist by A. Bradley),2,12-16,,
6:18.0,,,12-16,,D. Waiters enters the game for A. Morrow
6:05.0,,,12-16,,R. Westbrook misses 3-pt shot from 25 ft
6:05.0,Defensive rebound by M. Smart,,12-16,,
5:53.0,M. Smart makes 2-pt shot from 9 ft,2,14-16,,
5:35.0,,,14-16,,D. Waiters misses 2-pt shot from 1 ft
5:34.0,Defensive rebound by M. Smart,,14-16,,
5:32.0,Turnover by I. Thomas (turnover),,14-16,,
5:32.0,,,14-16,,Oklahoma City full timeout
5:32.0,K. Olynyk enters the game for J. Sullinger,,14-16,,
5:21.0,,,14-18,2,R. Westbrook makes 2-pt shot at rim
5:05.0,,,14-18,,Personal foul by R. Westbrook (drawn by I. Thomas)
4:57.0,A. Johnson makes 2-pt shot from 1 ft (assist by I. Thomas),2,16-18,,
4:40.0,,,16-18,,D. Waiters misses 2-pt shot from 19 ft
4:40.0,Defensive rebound by A. Bradley,,16-18,,
4:31.0,A. Bradley misses 2-pt shot from 18 ft,,16-18,,
4:31.0,,,16-18,,Defensive rebound by S. Ibaka
4:24.0,,,16-18,,R. Westbrook misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by K. Olynyk,,16-18,,
4:07.0,I. Thomas makes 2-pt shot from 4 ft,2,18-18,,
3:49.0,,,18-18,,Offensive charge foul by R. Westbrook
3:49.0,,,18-18,,Turnover by R. Westbrook (offensive foul)
3:49.0,E. Turner enters the game for I. Thomas,,18-18,,
3:49.0,,,18-18,,D. Augustin enters the game for R. Westbrook
3:36.0,K. Olynyk misses 2-pt shot from 8 ft,,18-18,,
3:35.0,,,18-18,,Defensive rebound by S. Adams
3:24.0,,,18-20,2,S. Ibaka makes 2-pt shot from 5 ft (assist by A. Roberson)
3:09.0,M. Smart misses 3-pt shot from 24 ft,,18-20,,
3:09.0,Offensive rebound by K. Olynyk,,18-20,,
2:58.0,A. Bradley misses 2-pt shot from 2 ft (block by S. Ibaka),,18-20,,
2:56.0,,,18-20,,Defensive rebound by A. Roberson
2:52.0,Personal foul by A. Johnson (drawn by S. Adams),,18-20,,
2:52.0,Boston full timeout,,18-20,,
2:52.0,,,18-20,,K. Singler enters the game for A. Roberson
2:52.0,,,18-20,,N. Collison enters the game for S. Ibaka
2:52.0,,,18-20,,E. Kanter enters the game for S. Adams
2:52.0,J. Jerebko enters the game for A. Johnson,,18-20,,
2:37.0,,,18-22,2,D. Augustin makes 2-pt shot from 17 ft
2:24.0,,,18-22,,Personal foul by D. Waiters (drawn by M. Smart)
2:11.0,M. Smart misses 2-pt shot from 3 ft,,18-22,,
2:09.0,Offensive rebound by K. Olynyk,,18-22,,
2:09.0,K. Olynyk makes 2-pt shot from 2 ft,2,20-22,,
1:48.0,,,20-24,2,E. Kanter makes 2-pt shot from 2 ft
1:29.0,M. Smart makes 2-pt shot from 17 ft (assist by J. Jerebko),2,22-24,,
0:55.0,,,22-24,,D. Augustin misses 2-pt shot from 22 ft
0:55.0,Defensive rebound by Team,,22-24,,
0:46.0,,,22-24,,Personal foul by D. Waiters (drawn by M. Smart)
0:46.0,M. Smart misses free throw 1 of 2,,22-24,,
0:46.0,Offensive rebound by Team,,22-24,,
0:46.0,M. Smart misses free throw 2 of 2,,22-24,,
0:46.0,,,22-24,,Defensive rebound by N. Collison
0:31.0,,,22-24,,D. Waiters misses 2-pt shot from 20 ft
0:30.0,Defensive rebound by K. Olynyk,,22-24,,
0:16.0,J. Jerebko makes 2-pt shot from 1 ft (assist by A. Bradley),2,24-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Turnover by J. Jerebko (bad pass; steal by E. Kanter),,24-24,,
11:35.0,,,24-26,2,N. Collison makes 2-pt shot from 2 ft (assist by D. Augustin)
11:20.0,D. Lee misses 2-pt shot from 2 ft,,24-26,,
11:20.0,,,24-26,,Defensive rebound by K. Singler
11:06.0,,,24-26,,K. Singler misses 3-pt shot from 24 ft
11:06.0,Defensive rebound by K. Olynyk,,24-26,,
10:59.0,Turnover by K. Olynyk (discontinued dribble),,24-26,,
10:48.0,,,24-26,,D. Waiters misses 2-pt shot from 3 ft
10:47.0,Defensive rebound by D. Lee,,24-26,,
10:41.0,A. Bradley makes 2-pt shot from 20 ft (assist by D. Lee),2,26-26,,
10:21.0,,,26-26,,Turnover by D. Augustin (bad pass; steal by K. Olynyk)
