time,Washington,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. T. Mozgov (J. Dudley gains possession),,,,Jump ball: M. Gortat vs. T. Mozgov (J. Dudley gains possession)
11:39.0,B. Beal makes 2-pt shot from 7 ft,2,2-0,,
11:17.0,,,2-0,,T. Mozgov misses 2-pt shot from 1 ft (block by M. Gortat)
11:16.0,Defensive rebound by J. Wall,,2-0,,
11:04.0,J. Wall misses 2-pt shot from 19 ft,,2-0,,
11:02.0,,,2-0,,Defensive rebound by L. James
10:54.0,,,2-0,,T. Mozgov misses 2-pt shot at rim (block by O. Porter)
10:54.0,Jump ball: T. Mozgov vs. O. Porter (L. James gains possession),,,,Jump ball: T. Mozgov vs. O. Porter (L. James gains possession)
10:54.0,,,2-0,,Offensive rebound by Team
10:49.0,,,2-0,,Turnover by L. James (bad pass; steal by J. Wall)
10:36.0,M. Gortat makes 2-pt shot from 5 ft (assist by J. Wall),2,4-0,,
10:24.0,Personal foul by J. Dudley (drawn by K. Love),,4-0,,
10:14.0,,,4-0,,M. Williams misses 2-pt shot from 5 ft
10:13.0,Defensive rebound by M. Gortat,,4-0,,
10:07.0,O. Porter makes 2-pt shot from 1 ft (assist by J. Wall),2,6-0,,
9:53.0,,,6-0,,Turnover by J. Smith (bad pass; steal by J. Wall)
9:48.0,J. Wall makes 2-pt shot at rim,2,8-0,,
9:31.0,,,8-0,,L. James misses 2-pt shot from 22 ft
9:31.0,Defensive rebound by M. Gortat,,8-0,,
9:23.0,J. Wall makes 2-pt shot from 17 ft,2,10-0,,
9:22.0,,,10-0,,Cleveland full timeout
9:07.0,,,10-2,2,L. James makes 2-pt shot at rim
8:52.0,J. Wall misses 2-pt shot from 17 ft,,10-2,,
8:52.0,,,10-2,,Defensive rebound by J. Smith
8:41.0,,,10-4,2,M. Williams makes 2-pt shot from 15 ft (assist by L. James)
8:19.0,M. Gortat makes 2-pt shot at rim (assist by J. Dudley),2,12-4,,
8:02.0,,,12-6,2,K. Love makes 2-pt shot from 16 ft (assist by M. Williams)
7:52.0,M. Gortat misses 2-pt shot from 14 ft,,12-6,,
7:52.0,,,12-6,,Defensive rebound by T. Mozgov
7:36.0,,,12-9,3,M. Williams makes 3-pt shot from 25 ft (assist by J. Smith)
7:31.0,Shooting foul by T. Mozgov (drawn by J. Wall),,12-9,,
7:31.0,J. Wall makes free throw 1 of 2,1,13-9,,
7:31.0,J. Wall makes free throw 2 of 2,1,14-9,,
7:18.0,,,14-11,2,M. Williams makes 2-pt shot from 14 ft
7:04.0,M. Gortat misses 2-pt shot from 8 ft,,14-11,,
7:03.0,,,14-11,,Defensive rebound by M. Williams
6:59.0,,,14-11,,Turnover by T. Mozgov (lost ball)
6:43.0,O. Porter misses 3-pt shot from 24 ft,,14-11,,
6:42.0,,,14-11,,Defensive rebound by M. Williams
6:39.0,,,14-11,,Turnover by L. James (bad pass; steal by J. Wall)
6:32.0,B. Beal misses 3-pt shot from 24 ft,,14-11,,
6:31.0,,,14-11,,Defensive rebound by K. Love
6:12.0,,,14-14,3,J. Smith makes 3-pt shot from 23 ft (assist by L. James)
6:06.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,16-14,,
5:50.0,,,16-14,,T. Mozgov misses 2-pt shot at rim
5:49.0,,,16-14,,Offensive rebound by T. Mozgov
5:48.0,,,16-14,,Turnover by T. Mozgov (lost ball; steal by J. Wall)
5:45.0,J. Wall makes 2-pt shot at rim,2,18-14,,
5:45.0,Shooting foul by J. Smith (drawn by J. Wall),,18-14,,
5:45.0,,,18-14,,T. Thompson enters the game for T. Mozgov
5:45.0,,,18-14,,R. Jefferson enters the game for L. James
5:45.0,J. Wall misses free throw 1 of 1,,18-14,,
5:45.0,,,18-14,,Defensive rebound by J. Smith
5:24.0,,,18-16,2,M. Williams makes 2-pt shot from 11 ft
5:04.0,Turnover by B. Beal (bad pass; steal by J. Smith),,18-16,,
4:59.0,Personal foul by B. Beal (drawn by K. Love),,18-16,,
4:52.0,,,18-16,,M. Williams misses 2-pt shot from 11 ft
4:51.0,Defensive rebound by M. Gortat,,18-16,,
4:40.0,J. Wall misses 2-pt shot from 8 ft,,18-16,,
4:40.0,,,18-16,,Defensive rebound by T. Thompson
4:31.0,,,18-16,,Offensive charge foul by T. Thompson
4:31.0,,,18-16,,Turnover by T. Thompson (offensive foul)
4:31.0,Washington full timeout,,18-16,,
4:31.0,,,18-16,,M. Dellavedova enters the game for M. Williams
4:31.0,R. Sessions enters the game for J. Wall,,18-16,,
4:10.0,O. Porter makes 2-pt shot from 1 ft (assist by B. Beal),2,20-16,,
3:52.0,,,20-18,2,K. Love makes 2-pt shot from 20 ft
3:43.0,B. Beal makes 2-pt shot from 10 ft (assist by R. Sessions),2,22-18,,
3:28.0,,,22-20,2,M. Dellavedova makes 2-pt shot from 11 ft
3:14.0,M. Gortat makes 2-pt shot from 9 ft (assist by J. Dudley),2,24-20,,
2:49.0,,,24-20,,T. Thompson misses 2-pt shot from 2 ft
2:48.0,,,24-20,,Offensive rebound by T. Thompson
2:48.0,,,24-20,,T. Thompson misses 2-pt shot from 2 ft
2:44.0,,,24-20,,Offensive rebound by R. Jefferson
2:39.0,,,24-22,2,T. Thompson makes 2-pt shot at rim (assist by R. Jefferson)
2:33.0,O. Porter misses 2-pt shot from 14 ft,,24-22,,
2:29.0,,,24-22,,Defensive rebound by T. Thompson
2:19.0,,,24-22,,R. Jefferson misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by M. Gortat,,24-22,,
2:09.0,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal),2,26-22,,
1:56.0,,,26-22,,M. Dellavedova misses 2-pt shot from 4 ft (block by M. Gortat)
1:56.0,,,26-22,,Offensive rebound by Team
1:56.0,,,26-22,,L. James enters the game for K. Love
1:56.0,,,26-22,,M. Williams enters the game for J. Smith
1:56.0,K. Humphries enters the game for O. Porter,,26-22,,
1:56.0,G. Temple enters the game for J. Dudley,,26-22,,
1:45.0,Violation by K. Humphries (kicked ball),,26-22,,
1:37.0,,,26-22,,M. Dellavedova misses 2-pt shot from 8 ft
1:36.0,Defensive rebound by K. Humphries,,26-22,,
1:32.0,R. Sessions misses 2-pt shot from 3 ft (block by M. Dellavedova),,26-22,,
1:32.0,,,26-22,,Defensive rebound by Team
1:13.0,,,26-22,,M. Williams misses 3-pt shot from 25 ft
1:12.0,Jump ball: M. Gortat vs. T. Thompson (B. Beal gains possession),,,,Jump ball: M. Gortat vs. T. Thompson (B. Beal gains possession)
1:12.0,Offensive rebound by Team,,26-22,,
1:10.0,,,26-22,,Clear path foul by M. Dellavedova
1:10.0,B. Beal misses clear path free throw 1 of 2,,26-22,,
1:10.0,Offensive rebound by Team,,26-22,,
1:10.0,B. Beal makes clear path free throw 2 of 2,1,27-22,,
1:02.0,B. Beal misses 3-pt shot from 24 ft,,27-22,,
1:01.0,,,27-22,,Defensive rebound by L. James
0:52.0,,,27-22,,L. James misses 2-pt shot from 13 ft (block by M. Gortat)
0:51.0,Defensive rebound by K. Humphries,,27-22,,
0:40.0,K. Humphries misses 2-pt shot from 1 ft,,27-22,,
0:38.0,,,27-22,,Defensive rebound by M. Dellavedova
0:37.0,,,27-24,2,R. Jefferson makes 2-pt shot at rim (assist by L. James)
0:32.0,G. Temple misses 2-pt shot from 12 ft,,27-24,,
0:32.0,,,27-24,,Defensive rebound by Team
0:32.0,Loose ball foul by K. Humphries (drawn by L. James),,27-24,,
0:32.0,J. Wall enters the game for B. Beal,,27-24,,
0:19.0,,,27-24,,M. Dellavedova misses 2-pt shot from 10 ft (block by M. Gortat)
0:17.0,Defensive rebound by J. Wall,,27-24,,
0:02.0,Turnover by J. Wall (bad pass; steal by R. Jefferson),,27-24,,
0:00.0,,,27-24,,R. Jefferson misses 3-pt shot from 40 ft
0:00.0,,,27-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,27-24,,Turnover by L. James (offensive goaltending)
11:20.0,J. Wall makes 2-pt shot from 1 ft,2,29-24,,
11:05.0,,,29-26,2,L. James makes 2-pt shot at rim (assist by M. Williams)
10:57.0,G. Temple makes 3-pt shot from 23 ft (assist by O. Porter),3,32-26,,
10:36.0,,,32-26,,L. James misses 2-pt shot from 5 ft
10:34.0,Defensive rebound by O. Porter,,32-26,,
10:26.0,Shooting foul by M. Dellavedova (drawn by R. Sessions),,32-26,,
10:26.0,R. Sessions makes free throw 1 of 2,1,33-26,,
10:26.0,,,33-26,,J. Smith enters the game for M. Dellavedova
10:26.0,R. Sessions makes free throw 2 of 2,1,34-26,,
10:07.0,,,34-28,2,T. Thompson makes 2-pt shot from 7 ft (assist by R. Jefferson)
10:03.0,Offensive foul by O. Porter,,34-28,,
10:03.0,Turnover by O. Porter (offensive foul),,34-28,,
10:03.0,,,34-28,,J. Jones enters the game for R. Jefferson
10:03.0,,,34-28,,K. Love enters the game for T. Thompson
9:43.0,,,34-30,2,L. James makes 2-pt shot from 1 ft (assist by M. Williams)
9:27.0,K. Humphries misses 2-pt shot from 18 ft,,34-30,,
9:26.0,,,34-30,,Defensive rebound by J. Smith
9:22.0,,,34-30,,Shooting foul by G. Temple (drawn by K. Love)
9:22.0,,,34-31,1,K. Love makes free throw 1 of 2
9:22.0,,,34-32,1,K. Love makes free throw 2 of 2
9:03.0,J. Wall makes 3-pt shot from 24 ft (assist by O. Porter),3,37-32,,
8:51.0,,,37-32,,J. Jones misses 3-pt shot from 23 ft
8:50.0,,,37-32,,Offensive rebound by L. James
8:48.0,,,37-34,2,L. James makes 2-pt shot at rim
8:37.0,J. Wall misses 3-pt shot from 24 ft,,37-34,,
8:36.0,,,37-34,,Defensive rebound by L. James
8:30.0,,,37-36,2,L. James makes 2-pt shot at rim
8:15.0,O. Porter makes 2-pt shot from 21 ft (assist by R. Sessions),2,39-36,,
7:58.0,Personal foul by K. Humphries (drawn by L. James),,39-36,,
7:58.0,Official timeout,,39-36,,
7:58.0,J. Dudley enters the game for R. Sessions,,39-36,,
7:58.0,B. Beal enters the game for K. Humphries,,39-36,,
7:58.0,,,39-36,,R. Jefferson enters the game for L. James
7:49.0,,,39-36,,K. Love misses 3-pt shot from 24 ft
7:48.0,Defensive rebound by J. Dudley,,39-36,,
7:38.0,B. Beal misses 3-pt shot from 24 ft,,39-36,,
7:37.0,,,39-36,,Defensive rebound by M. Williams
7:20.0,,,39-36,,J. Smith misses 2-pt shot from 13 ft
7:18.0,Defensive rebound by B. Beal,,39-36,,
7:14.0,J. Wall makes 2-pt shot from 1 ft (assist by B. Beal),2,41-36,,
6:47.0,,,41-36,,M. Williams misses 2-pt shot from 14 ft
6:47.0,Defensive rebound by Team,,41-36,,
6:30.0,J. Wall misses 2-pt shot from 18 ft,,41-36,,
6:29.0,Offensive rebound by B. Beal,,41-36,,
6:29.0,B. Beal misses 2-pt shot from 2 ft,,41-36,,
6:27.0,Offensive rebound by G. Temple,,41-36,,
6:14.0,J. Dudley makes 3-pt shot from 23 ft (assist by B. Beal),3,44-36,,
6:14.0,,,44-36,,Cleveland full timeout
6:14.0,,,44-36,,T. Thompson enters the game for J. Jones
6:13.0,Personal foul by J. Dudley (drawn by M. Williams),,44-36,,
5:56.0,,,44-36,,J. Smith misses 2-pt shot from 7 ft
5:56.0,,,44-36,,Offensive rebound by T. Thompson
5:54.0,Jump ball: B. Beal vs. T. Thompson (O. Porter gains possession),,,,Jump ball: B. Beal vs. T. Thompson (O. Porter gains possession)
5:54.0,,,44-36,,Turnover by T. Thompson (lost ball; steal by B. Beal)
5:40.0,G. Temple makes 2-pt shot from 5 ft (assist by B. Beal),2,46-36,,
5:24.0,,,46-36,,Turnover by M. Williams (offensive foul)
5:24.0,,,46-36,,Offensive charge foul by M. Williams
5:24.0,,,46-36,,L. James enters the game for R. Jefferson
5:11.0,B. Beal misses 2-pt shot from 14 ft,,46-36,,
5:10.0,,,46-36,,Defensive rebound by K. Love
5:02.0,,,46-36,,Turnover by Team (turnover)
5:02.0,M. Gortat enters the game for J. Dudley,,46-36,,
4:55.0,Turnover by M. Gortat (bad pass; steal by L. James),,46-36,,
4:53.0,,,46-36,,Shooting foul by O. Porter (drawn by L. James)
4:53.0,,,46-37,1,L. James makes free throw 1 of 2
4:53.0,,,46-38,1,L. James makes free throw 2 of 2
4:47.0,,,46-38,,Personal foul by J. Smith (drawn by B. Beal)
4:47.0,,,46-38,,M. Dellavedova enters the game for J. Smith
4:39.0,G. Temple misses 3-pt shot from 23 ft,,46-38,,
4:39.0,,,46-38,,Defensive rebound by L. James
4:30.0,,,46-38,,K. Love misses 3-pt shot from 25 ft
4:29.0,Defensive rebound by G. Temple,,46-38,,
4:15.0,J. Wall makes 2-pt shot at rim,2,48-38,,
3:55.0,,,48-38,,T. Thompson misses 2-pt shot from 7 ft
3:55.0,Defensive rebound by M. Gortat,,48-38,,
3:48.0,B. Beal misses 2-pt shot at rim,,48-38,,
3:45.0,,,48-38,,Defensive rebound by T. Thompson
3:37.0,,,48-38,,K. Love misses 3-pt shot from 24 ft
3:36.0,Defensive rebound by O. Porter,,48-38,,
3:25.0,,,48-38,,Personal foul by M. Dellavedova (drawn by J. Wall)
3:25.0,,,48-38,,J. Smith enters the game for M. Dellavedova
3:15.0,G. Temple makes 2-pt shot from 23 ft (assist by J. Wall),2,50-38,,
2:54.0,,,50-38,,J. Smith misses 3-pt shot from 22 ft
2:54.0,,,50-38,,Offensive rebound by T. Thompson
2:36.0,,,50-38,,T. Thompson misses 2-pt shot from 8 ft
2:34.0,Defensive rebound by G. Temple,,50-38,,
2:28.0,J. Wall makes 2-pt shot from 1 ft,2,52-38,,
2:23.0,,,52-38,,Cleveland full timeout
2:23.0,Washington full timeout,,52-38,,
2:23.0,,,52-38,,Cleveland full timeout
2:06.0,,,52-41,3,M. Williams makes 3-pt shot from 23 ft (assist by J. Smith)
1:40.0,G. Temple misses 3-pt shot from 24 ft,,52-41,,
1:40.0,,,52-41,,Defensive rebound by L. James
1:16.0,,,52-41,,J. Smith misses 3-pt shot from 24 ft
1:15.0,,,52-41,,Offensive rebound by L. James
1:12.0,,,52-41,,J. Smith misses 3-pt shot from 23 ft
1:11.0,Defensive rebound by M. Gortat,,52-41,,
1:02.0,J. Wall makes 2-pt shot from 18 ft,2,54-41,,
0:39.0,Personal foul by J. Wall (drawn by J. Smith),,54-41,,
0:39.0,,,54-42,1,J. Smith makes free throw 1 of 2
0:39.0,K. Oubre enters the game for O. Porter,,54-42,,
0:39.0,,,54-43,1,J. Smith makes free throw 2 of 2
0:16.0,J. Wall misses 2-pt shot from 15 ft,,54-43,,
0:15.0,,,54-43,,Defensive rebound by L. James
0:02.0,,,54-43,,L. James misses 2-pt shot at rim
0:02.0,Defensive rebound by B. Beal,,54-43,,
0:00.0,B. Beal misses 3-pt shot from 34 ft,,54-43,,
0:00.0,Offensive rebound by Team,,54-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,54-43,,Turnover by L. James (bad pass; steal by M. Gortat)
11:19.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,56-43,,
11:02.0,,,56-43,,Turnover by T. Mozgov (traveling)
10:54.0,,,56-43,,Violation by M. Williams (kicked ball)
10:47.0,J. Wall makes 2-pt shot from 16 ft,2,58-43,,
10:33.0,,,58-43,,Offensive foul by T. Mozgov
10:33.0,,,58-43,,Turnover by T. Mozgov (offensive foul)
10:24.0,Shooting foul by J. Smith (drawn by B. Beal),,58-43,,
10:24.0,B. Beal makes free throw 1 of 2,1,59-43,,
10:24.0,B. Beal makes free throw 2 of 2,1,60-43,,
10:08.0,,,60-43,,J. Smith misses 2-pt shot from 6 ft
10:06.0,Defensive rebound by M. Gortat,,60-43,,
10:01.0,O. Porter misses 3-pt shot from 23 ft,,60-43,,
