time,Utah,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. R. Hibbert (J. Clarkson gains possession),,,,Jump ball: R. Gobert vs. R. Hibbert (J. Clarkson gains possession)
11:35.0,,,0-0,,R. Hibbert misses 2-pt shot from 14 ft
11:34.0,Defensive rebound by T. Lyles,,0-0,,
11:13.0,R. Neto misses 2-pt shot from 19 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by A. Brown
10:53.0,,,0-2,2,L. Williams makes 2-pt shot from 16 ft
10:34.0,R. Neto makes 2-pt shot from 4 ft,2,2-2,,
10:16.0,,,2-2,,R. Hibbert misses 2-pt shot from 1 ft (block by R. Gobert)
10:15.0,Defensive rebound by R. Hood,,2-2,,
9:56.0,G. Hayward makes 2-pt shot from 10 ft (assist by T. Lyles),2,4-2,,
9:36.0,,,4-2,,L. Nance misses 2-pt shot from 2 ft
9:33.0,,,4-2,,Offensive rebound by R. Hibbert
9:33.0,,,4-2,,R. Hibbert misses 2-pt shot at rim
9:19.0,,,4-2,,Offensive rebound by L. Nance
9:19.0,,,4-2,,L. Nance misses 2-pt shot from 1 ft
9:19.0,,,4-2,,Offensive rebound by Team
9:19.0,Loose ball foul by T. Lyles (drawn by R. Hibbert),,4-2,,
9:19.0,,,4-2,,A. Brown misses 2-pt shot from 11 ft
9:18.0,Defensive rebound by T. Lyles,,4-2,,
9:10.0,R. Hood misses 2-pt shot from 9 ft,,4-2,,
9:10.0,,,4-2,,Defensive rebound by A. Brown
9:02.0,,,4-2,,A. Brown misses 2-pt shot from 15 ft
9:01.0,Defensive rebound by R. Neto,,4-2,,
8:56.0,G. Hayward makes 2-pt shot at rim (assist by R. Neto),2,6-2,,
8:33.0,,,6-2,,L. Williams misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by T. Lyles,,6-2,,
8:20.0,T. Lyles misses 2-pt shot from 17 ft,,6-2,,
8:20.0,,,6-2,,Defensive rebound by L. Nance
8:10.0,,,6-2,,J. Clarkson misses 2-pt shot from 1 ft
8:08.0,,,6-2,,Offensive rebound by R. Hibbert
8:00.0,,,6-2,,J. Clarkson misses 3-pt shot from 24 ft
7:59.0,Defensive rebound by R. Hood,,6-2,,
7:51.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,8-2,,
7:29.0,,,8-2,,J. Clarkson misses 2-pt shot from 10 ft
