time,San Antonio,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. R. Hibbert (D. West gains possession),,,,Jump ball: T. Duncan vs. R. Hibbert (D. West gains possession)
11:40.0,T. Duncan misses 2-pt shot from 3 ft,,0-0,,
11:37.0,,,0-0,,Defensive rebound by R. Hibbert
11:24.0,,,0-2,2,R. Hibbert makes 2-pt shot from 14 ft (assist by K. Bryant)
11:03.0,T. Duncan misses 2-pt shot from 5 ft (block by K. Bryant),,0-2,,
11:01.0,,,0-2,,Defensive rebound by J. Clarkson
10:58.0,,,0-2,,J. Clarkson misses 2-pt shot from 2 ft (block by D. Green)
10:58.0,Jump ball: J. Clarkson vs. D. Green (K. Leonard gains possession),,,,Jump ball: J. Clarkson vs. D. Green (K. Leonard gains possession)
10:58.0,Offensive rebound by D. Green,,0-2,,
10:43.0,D. Green makes 3-pt shot from 25 ft (assist by D. West),3,3-2,,
10:27.0,,,3-4,2,R. Hibbert makes 2-pt shot from 19 ft (assist by K. Bryant)
10:14.0,K. Leonard misses 3-pt shot from 22 ft,,3-4,,
10:12.0,,,3-4,,Defensive rebound by L. Williams
9:59.0,,,3-4,,R. Hibbert misses 2-pt shot from 10 ft
9:56.0,Defensive rebound by D. West,,3-4,,
9:50.0,Shooting foul by R. Hibbert (drawn by T. Duncan),,3-4,,
9:50.0,T. Duncan makes free throw 1 of 2,1,4-4,,
9:50.0,T. Duncan makes free throw 2 of 2,1,5-4,,
9:31.0,,,5-4,,K. Bryant misses 2-pt shot from 3 ft (block by K. Leonard)
9:28.0,Defensive rebound by D. West,,5-4,,
9:20.0,D. West misses 2-pt shot from 15 ft,,5-4,,
9:19.0,,,5-4,,Defensive rebound by J. Randle
9:05.0,,,5-6,2,J. Randle makes 2-pt shot from 8 ft (assist by R. Hibbert)
8:41.0,T. Parker misses 2-pt shot from 2 ft,,5-6,,
8:38.0,,,5-6,,Defensive rebound by J. Randle
8:25.0,,,5-8,2,J. Randle makes 2-pt shot from 7 ft
8:08.0,D. Green misses 3-pt shot from 24 ft,,5-8,,
8:07.0,Offensive rebound by T. Duncan,,5-8,,
8:03.0,D. Green misses 3-pt shot from 27 ft,,5-8,,
8:02.0,,,5-8,,Defensive rebound by J. Randle
7:49.0,Personal foul by D. West (drawn by J. Randle),,5-8,,
7:42.0,,,5-8,,R. Hibbert misses 2-pt shot from 16 ft
7:40.0,Defensive rebound by D. West,,5-8,,
7:34.0,D. Green makes 3-pt shot from 25 ft,3,8-8,,
7:16.0,,,8-10,2,L. Williams makes 2-pt shot from 14 ft
7:04.0,T. Parker misses 2-pt shot from 3 ft,,8-10,,
7:01.0,,,8-10,,Defensive rebound by J. Randle
6:44.0,,,8-10,,Shooting foul by T. Parker (drawn by J. Clarkson)
6:44.0,,,8-11,1,J. Clarkson makes free throw 1 of 2
6:44.0,,,8-12,1,J. Clarkson makes free throw 2 of 2
6:26.0,K. Leonard makes 2-pt shot at rim (assist by T. Duncan),2,10-12,,
6:26.0,Shooting foul by L. Williams (drawn by K. Leonard),,10-12,,
6:26.0,K. Leonard makes free throw 1 of 1,1,11-12,,
6:06.0,,,11-12,,J. Randle misses 2-pt shot from 12 ft
6:01.0,Defensive rebound by D. West,,11-12,,
5:56.0,K. Leonard makes 3-pt shot from 25 ft (assist by D. Green),3,14-12,,
5:38.0,,,14-12,,K. Bryant misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by D. Green,,14-12,,
5:28.0,Shooting foul by K. Bryant (drawn by K. Leonard),,14-12,,
5:28.0,,,14-12,,LA Lakers full timeout
5:28.0,,,14-12,,D. Russell enters the game for L. Williams
5:28.0,B. Diaw enters the game for D. West,,14-12,,
5:28.0,K. Leonard makes free throw 1 of 2,1,15-12,,
5:28.0,K. Leonard makes free throw 2 of 2,1,16-12,,
5:11.0,,,16-12,,R. Hibbert misses 2-pt shot from 17 ft
5:09.0,,,16-12,,Offensive rebound by K. Bryant
4:59.0,,,16-12,,J. Randle misses 2-pt shot from 6 ft (block by D. Green)
4:56.0,Defensive rebound by K. Leonard,,16-12,,
4:47.0,T. Duncan makes 2-pt shot from 7 ft,2,18-12,,
4:21.0,,,18-14,2,J. Randle makes 2-pt shot from 17 ft (assist by D. Russell)
4:09.0,T. Duncan misses 2-pt shot from 18 ft,,18-14,,
4:08.0,,,18-14,,Defensive rebound by J. Clarkson
3:59.0,,,18-14,,J. Clarkson misses 2-pt shot from 15 ft
3:57.0,Defensive rebound by D. Green,,18-14,,
3:47.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,21-14,,
3:29.0,,,21-14,,K. Bryant misses 2-pt shot from 3 ft (block by K. Leonard)
3:27.0,Defensive rebound by D. Green,,21-14,,
3:23.0,T. Parker makes 2-pt shot from 1 ft,2,23-14,,
3:23.0,,,23-14,,LA Lakers full timeout
3:23.0,,,23-14,,A. Brown enters the game for K. Bryant
3:23.0,,,23-14,,R. Kelly enters the game for J. Randle
3:23.0,,,23-14,,B. Bass enters the game for R. Hibbert
3:23.0,P. Mills enters the game for D. Green,,23-14,,
3:23.0,M. Ginobili enters the game for T. Parker,,23-14,,
3:03.0,,,23-14,,D. Russell misses 2-pt shot from 12 ft (block by M. Ginobili)
3:01.0,Defensive rebound by T. Duncan,,23-14,,
2:37.0,K. Leonard misses 3-pt shot from 25 ft,,23-14,,
2:35.0,,,23-14,,Defensive rebound by R. Kelly
2:16.0,,,23-16,2,A. Brown makes 2-pt shot from 1 ft (assist by B. Bass)
2:16.0,San Antonio full timeout,,23-16,,
2:16.0,K. Anderson enters the game for K. Leonard,,23-16,,
2:16.0,J. Simmons enters the game for T. Duncan,,23-16,,
2:01.0,M. Ginobili makes 3-pt shot from 25 ft (assist by K. Anderson),3,26-16,,
1:42.0,,,26-16,,Turnover by R. Kelly (lost ball)
1:26.0,B. Diaw misses 2-pt shot from 2 ft,,26-16,,
1:22.0,Offensive rebound by B. Diaw,,26-16,,
