time,Miami,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Monroe vs. A. Stoudemire (G. Dragic gains possession),,,,Jump ball: G. Monroe vs. A. Stoudemire (G. Dragic gains possession)
11:45.0,A. Stoudemire misses 2-pt shot from 18 ft,,0-0,,
11:43.0,Offensive rebound by J. Johnson,,0-0,,
11:30.0,,,0-0,,Loose ball foul by G. Antetokounmpo
11:30.0,Technical foul by A. Stoudemire,,0-0,,
11:30.0,,,0-1,1,K. Middleton makes technical free throw
11:21.0,J. Johnson misses 2-pt shot from 16 ft,,0-1,,
11:20.0,,,0-1,,Defensive rebound by Team
11:11.0,,,0-1,,Turnover by G. Antetokounmpo (lost ball; steal by D. Wade)
10:57.0,Turnover by D. Wade (bad pass),,0-1,,
10:40.0,,,0-1,,Shooting foul by J. Johnson (drawn by G. Antetokounmpo)
10:40.0,,,0-2,1,G. Antetokounmpo makes free throw 1 of 2
10:40.0,,,0-3,1,G. Antetokounmpo makes free throw 2 of 2
10:24.0,Turnover by D. Wade (lost ball; steal by G. Antetokounmpo),,0-3,,
10:18.0,,,0-5,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
10:06.0,Turnover by D. Wade (lost ball; steal by G. Antetokounmpo),,0-5,,
10:03.0,,,0-7,2,G. Antetokounmpo makes 2-pt shot at rim
9:49.0,G. Dragic makes 2-pt shot from 10 ft,2,2-7,,
9:30.0,,,2-7,,G. Monroe misses 2-pt shot from 5 ft
9:28.0,Defensive rebound by A. Stoudemire,,2-7,,
9:17.0,Shooting foul by K. Middleton (drawn by D. Wade),,2-7,,
9:17.0,D. Wade makes free throw 1 of 2,1,3-7,,
9:17.0,D. Wade makes free throw 2 of 2,1,4-7,,
9:05.0,Violation by L. Deng (kicked ball),,4-7,,
8:59.0,,,4-7,,G. Antetokounmpo misses 2-pt shot from 19 ft
8:58.0,Defensive rebound by L. Deng,,4-7,,
8:44.0,A. Stoudemire makes 2-pt shot at rim (assist by D. Wade),2,6-7,,
8:19.0,,,6-10,3,K. Middleton makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
7:57.0,G. Dragic misses 3-pt shot from 23 ft,,6-10,,
7:55.0,,,6-10,,Defensive rebound by J. Parker
7:46.0,,,6-10,,Shooting foul by A. Stoudemire (drawn by J. Parker)
7:46.0,,,6-10,,J. Parker misses free throw 1 of 2
7:46.0,,,6-10,,Offensive rebound by Team
7:46.0,,,6-10,,J. Parker misses free throw 2 of 2
7:45.0,Defensive rebound by L. Deng,,6-10,,
7:27.0,G. Dragic makes 2-pt shot from 1 ft (assist by J. Johnson),2,8-10,,
7:07.0,,,8-10,,J. Bayless misses 2-pt shot from 8 ft
7:06.0,,,8-10,,Offensive rebound by G. Monroe
6:51.0,,,8-12,2,K. Middleton makes 2-pt shot from 11 ft
6:34.0,J. Johnson makes 3-pt shot from 23 ft (assist by G. Dragic),3,11-12,,
6:11.0,,,11-12,,J. Bayless misses 2-pt shot from 22 ft
6:10.0,,,11-12,,Offensive rebound by G. Monroe
6:06.0,,,11-14,2,G. Antetokounmpo makes 2-pt shot at rim (assist by G. Monroe)
5:42.0,L. Deng misses 2-pt shot at rim,,11-14,,
5:40.0,,,11-14,,Defensive rebound by K. Middleton
5:35.0,,,11-16,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
5:27.0,Miami full timeout,,11-16,,
5:27.0,J. Winslow enters the game for L. Deng,,11-16,,
5:27.0,J. Richardson enters the game for G. Dragic,,11-16,,
5:27.0,Turnover by Team (5 sec inbounds),,11-16,,
5:15.0,,,11-18,2,J. Parker makes 2-pt shot from 18 ft (assist by K. Middleton)
4:48.0,A. Stoudemire misses 2-pt shot from 1 ft,,11-18,,
4:46.0,,,11-18,,Defensive rebound by G. Monroe
