time,Atlanta,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. H. Whiteside (K. Bazemore gains possession),,,,Jump ball: A. Horford vs. H. Whiteside (K. Bazemore gains possession)
11:35.0,Turnover by J. Teague (lost ball; steal by C. Bosh),,0-0,,
11:11.0,,,0-2,2,H. Whiteside makes 2-pt shot from 5 ft
11:02.0,Turnover by K. Korver (lost ball; steal by G. Dragic),,0-2,,
11:00.0,,,0-2,,Shooting foul by J. Teague (drawn by G. Dragic)
11:00.0,,,0-3,1,G. Dragic makes free throw 1 of 2
11:00.0,,,0-4,1,G. Dragic makes free throw 2 of 2
10:45.0,P. Millsap makes 2-pt shot from 19 ft (assist by J. Teague),2,2-4,,
10:30.0,,,2-6,2,G. Dragic makes 2-pt shot from 11 ft
10:18.0,K. Korver misses 3-pt shot from 24 ft,,2-6,,
10:17.0,,,2-6,,Defensive rebound by G. Dragic
10:10.0,,,2-6,,Turnover by G. Dragic (bad pass; steal by J. Teague)
10:04.0,K. Bazemore makes 3-pt shot from 23 ft (assist by K. Korver),3,5-6,,
9:47.0,,,5-6,,G. Dragic misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by A. Horford,,5-6,,
9:29.0,A. Horford makes 2-pt shot from 9 ft (assist by J. Teague),2,7-6,,
8:59.0,,,7-8,2,H. Whiteside makes 2-pt shot from 8 ft
8:49.0,P. Millsap misses 3-pt shot from 25 ft,,7-8,,
8:48.0,,,7-8,,Defensive rebound by H. Whiteside
8:34.0,,,7-10,2,D. Wade makes 2-pt shot from 8 ft
8:24.0,A. Horford misses 2-pt shot from 20 ft,,7-10,,
8:23.0,Offensive rebound by P. Millsap,,7-10,,
8:19.0,K. Korver makes 2-pt shot from 1 ft (assist by P. Millsap),2,9-10,,
8:08.0,,,9-10,,Turnover by G. Dragic (traveling)
7:55.0,K. Bazemore makes 3-pt shot from 23 ft (assist by K. Korver),3,12-10,,
7:34.0,,,12-13,3,G. Dragic makes 3-pt shot from 24 ft (assist by C. Bosh)
7:29.0,Atlanta full timeout,,12-13,,
7:29.0,T. Splitter enters the game for K. Bazemore,,12-13,,
7:09.0,P. Millsap misses 2-pt shot from 13 ft,,12-13,,
7:08.0,,,12-13,,Defensive rebound by C. Bosh
6:53.0,,,12-13,,D. Wade misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by T. Splitter,,12-13,,
6:34.0,J. Teague makes 3-pt shot from 25 ft (assist by T. Splitter),3,15-13,,
6:15.0,,,15-13,,D. Wade misses 2-pt shot from 10 ft
6:14.0,Defensive rebound by A. Horford,,15-13,,
6:07.0,T. Splitter misses 2-pt shot from 1 ft (block by H. Whiteside),,15-13,,
6:06.0,Offensive rebound by P. Millsap,,15-13,,
5:52.0,J. Teague misses 2-pt shot from 8 ft,,15-13,,
5:51.0,Offensive rebound by J. Teague,,15-13,,
5:46.0,J. Teague misses 2-pt shot from 7 ft,,15-13,,
5:45.0,,,15-13,,Defensive rebound by H. Whiteside
5:37.0,,,15-13,,Turnover by G. Dragic (bad pass; steal by P. Millsap)
5:34.0,J. Teague misses 2-pt shot from 1 ft (block by C. Bosh),,15-13,,
5:33.0,,,15-13,,Defensive rebound by Team
5:33.0,,,15-13,,J. McRoberts enters the game for C. Bosh
5:22.0,,,15-13,,Turnover by D. Wade (bad pass)
4:59.0,J. Teague makes 2-pt shot from 2 ft,2,17-13,,
4:59.0,Shooting foul by G. Dragic (drawn by J. Teague),,17-13,,
4:59.0,J. Teague makes free throw 1 of 1,1,18-13,,
4:57.0,,,18-13,,Miami full timeout
4:57.0,K. Bazemore enters the game for A. Horford,,18-13,,
4:57.0,D. Schroder enters the game for J. Teague,,18-13,,
4:38.0,,,18-13,,J. McRoberts misses 3-pt shot from 25 ft
4:37.0,Defensive rebound by K. Bazemore,,18-13,,
4:25.0,Turnover by K. Bazemore (traveling),,18-13,,
4:25.0,L. Patterson enters the game for K. Korver,,18-13,,
4:25.0,,,18-13,,M. Chalmers enters the game for D. Wade
4:08.0,,,18-15,2,L. Deng makes 2-pt shot from 2 ft
3:55.0,Turnover by D. Schroder (bad pass; steal by G. Dragic),,18-15,,
3:49.0,,,18-17,2,L. Deng makes 2-pt shot from 1 ft (assist by M. Chalmers)
3:39.0,K. Bazemore misses 2-pt shot from 9 ft,,18-17,,
3:38.0,,,18-17,,Defensive rebound by J. McRoberts
3:18.0,,,18-19,2,H. Whiteside makes 2-pt shot from 8 ft
3:09.0,Shooting foul by J. McRoberts (drawn by D. Schroder),,18-19,,
3:09.0,D. Schroder makes free throw 1 of 2,1,19-19,,
3:09.0,D. Schroder makes free throw 2 of 2,1,20-19,,
2:58.0,,,20-19,,L. Deng misses 3-pt shot from 23 ft
2:57.0,Defensive rebound by T. Splitter,,20-19,,
2:51.0,K. Bazemore makes 2-pt shot from 1 ft (assist by D. Schroder),2,22-19,,
2:34.0,,,22-19,,G. Dragic misses 2-pt shot from 2 ft
2:33.0,,,22-19,,Offensive rebound by H. Whiteside
2:31.0,,,22-21,2,H. Whiteside makes 2-pt shot at rim
2:19.0,Shooting foul by J. McRoberts (drawn by P. Millsap),,22-21,,
2:19.0,P. Millsap makes free throw 1 of 2,1,23-21,,
2:19.0,,,23-21,,T. Johnson enters the game for G. Dragic
2:19.0,,,23-21,,J. Winslow enters the game for L. Deng
2:19.0,,,23-21,,C. Bosh enters the game for H. Whiteside
2:19.0,P. Millsap misses free throw 2 of 2,,23-21,,
2:18.0,,,23-21,,Defensive rebound by C. Bosh
2:02.0,,,23-21,,M. Chalmers misses 2-pt shot from 3 ft
2:01.0,Defensive rebound by T. Splitter,,23-21,,
1:54.0,Turnover by D. Schroder (bad pass),,23-21,,
1:54.0,M. Scott enters the game for T. Splitter,,23-21,,
1:54.0,A. Horford enters the game for P. Millsap,,23-21,,
1:37.0,,,23-21,,Turnover by J. Winslow (traveling)
1:19.0,A. Horford misses 2-pt shot from 14 ft,,23-21,,
1:18.0,,,23-21,,Defensive rebound by J. McRoberts
1:07.0,,,23-21,,C. Bosh misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by M. Scott,,23-21,,
0:55.0,D. Schroder misses 2-pt shot from 17 ft,,23-21,,
0:54.0,,,23-21,,Defensive rebound by M. Chalmers
0:51.0,,,23-21,,J. Winslow misses 2-pt shot at rim
0:50.0,,,23-21,,Offensive rebound by C. Bosh
0:49.0,,,23-23,2,C. Bosh makes 2-pt shot at rim
0:32.0,D. Schroder misses 2-pt shot from 2 ft,,23-23,,
0:31.0,Offensive rebound by A. Horford,,23-23,,
0:30.0,A. Horford makes 2-pt shot at rim,2,25-23,,
0:10.0,,,25-23,,Shooting foul by D. Schroder (drawn by T. Johnson)
