time,Detroit,pts.away,score,pts.home,Milwaukee
0:01.0,T. Harris misses 2-pt shot from 7 ft,,34-24,,
0:00.0,,,34-24,,Defensive rebound by G. Antetokounmpo
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by S. Blake (drawn by S. Novak),,34-24,,
11:44.0,Personal foul by S. Blake (drawn by M. Carter-Williams),,34-24,,
11:44.0,Technical foul by S. Blake (drawn by M. Carter-Williams),,34-24,,
11:44.0,,,34-25,1,S. Novak makes technical free throw
11:40.0,,,34-25,,Offensive foul by M. Carter-Williams
11:40.0,,,34-25,,Turnover by M. Carter-Williams (offensive foul)
11:22.0,S. Blake misses 3-pt shot from 24 ft,,34-25,,
11:22.0,Offensive rebound by A. Baynes,,34-25,,
11:22.0,M. Morris misses 3-pt shot from 24 ft,,34-25,,
11:17.0,Offensive rebound by R. Bullock,,34-25,,
11:16.0,D. Hilliard misses 2-pt shot from 20 ft,,34-25,,
11:09.0,Offensive rebound by A. Baynes,,34-25,,
11:03.0,D. Hilliard makes 3-pt shot from 27 ft (assist by S. Blake),3,37-25,,
10:37.0,,,37-28,3,S. Novak makes 3-pt shot from 25 ft (assist by G. Monroe)
10:22.0,A. Baynes makes 2-pt shot from 15 ft (assist by S. Blake),2,39-28,,
10:06.0,,,39-30,2,G. Monroe makes 2-pt shot at rim (assist by M. Carter-Williams)
9:46.0,M. Morris misses 2-pt shot from 13 ft,,39-30,,
9:44.0,,,39-30,,Defensive rebound by M. Carter-Williams
9:39.0,,,39-30,,Shooting foul by D. Hilliard (drawn by J. Parker)
9:39.0,,,39-31,1,J. Parker makes free throw 1 of 2
9:39.0,,,39-32,1,J. Parker makes free throw 2 of 2
9:25.0,S. Blake misses 2-pt shot from 15 ft,,39-32,,
9:23.0,,,39-32,,Defensive rebound by J. Parker
9:17.0,,,39-32,,M. Carter-Williams misses 2-pt shot from 2 ft
9:16.0,Defensive rebound by A. Baynes,,39-32,,
9:04.0,A. Baynes misses 2-pt shot from 3 ft (block by M. Carter-Williams),,39-32,,
9:03.0,Offensive rebound by M. Morris,,39-32,,
9:02.0,M. Morris makes 2-pt shot from 14 ft,2,41-32,,
8:49.0,,,41-34,2,J. Parker makes 2-pt shot from 20 ft (assist by G. Monroe)
8:21.0,A. Baynes misses 2-pt shot from 14 ft,,41-34,,
8:19.0,,,41-34,,Defensive rebound by G. Monroe
8:08.0,,,41-34,,Turnover by M. Carter-Williams (bad pass; steal by A. Baynes)
7:54.0,Turnover by M. Morris (lost ball),,41-34,,
7:54.0,Official timeout,,41-34,,
7:54.0,,,41-34,,M. Plumlee enters the game for G. Monroe
7:40.0,,,41-36,2,M. Plumlee makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
7:18.0,S. Blake misses 3-pt shot from 25 ft,,41-36,,
7:17.0,Offensive rebound by A. Baynes,,41-36,,
7:13.0,R. Bullock makes 3-pt shot from 24 ft (assist by A. Baynes),3,44-36,,
6:54.0,,,44-36,,Turnover by M. Carter-Williams (lost ball; steal by R. Bullock)
6:43.0,D. Hilliard makes 3-pt shot from 25 ft,3,47-36,,
6:26.0,,,47-36,,R. Vaughn misses 3-pt shot from 24 ft
6:24.0,Defensive rebound by S. Blake,,47-36,,
6:18.0,M. Morris makes 3-pt shot from 26 ft (assist by S. Blake),3,50-36,,
6:17.0,,,50-36,,Milwaukee full timeout
6:17.0,R. Jackson enters the game for A. Baynes,,50-36,,
6:17.0,A. Drummond enters the game for D. Hilliard,,50-36,,
6:17.0,,,50-36,,K. Middleton enters the game for M. Carter-Williams
6:17.0,,,50-36,,O. Mayo enters the game for S. Novak
6:17.0,D. Hilliard enters the game for S. Blake,,50-36,,
6:06.0,,,50-36,,Turnover by O. Mayo (bad pass; steal by R. Bullock)
6:01.0,D. Hilliard misses 2-pt shot from 1 ft,,50-36,,
6:01.0,,,50-36,,Defensive rebound by Team
5:46.0,,,50-36,,K. Middleton misses 2-pt shot from 6 ft
5:44.0,Defensive rebound by M. Morris,,50-36,,
5:20.0,R. Jackson misses 3-pt shot from 24 ft,,50-36,,
5:19.0,,,50-36,,Defensive rebound by K. Middleton
5:02.0,,,50-39,3,K. Middleton makes 3-pt shot from 24 ft
4:36.0,R. Bullock makes 3-pt shot from 24 ft (assist by R. Jackson),3,53-39,,
4:25.0,,,53-39,,K. Middleton misses 2-pt shot from 16 ft
4:23.0,Defensive rebound by D. Hilliard,,53-39,,
4:17.0,,,53-39,,Personal foul by J. Parker (drawn by R. Jackson)
4:17.0,T. Harris enters the game for D. Hilliard,,53-39,,
4:17.0,K. Caldwell-Pope enters the game for R. Bullock,,53-39,,
4:17.0,,,53-39,,G. Antetokounmpo enters the game for R. Vaughn
4:13.0,M. Morris makes 2-pt shot at rim (assist by A. Drummond),2,55-39,,
3:51.0,,,55-41,2,M. Plumlee makes 2-pt shot from 6 ft (assist by G. Antetokounmpo)
3:35.0,T. Harris misses 2-pt shot from 3 ft,,55-41,,
3:32.0,,,55-41,,Defensive rebound by M. Plumlee
3:24.0,,,55-41,,K. Middleton misses 3-pt shot from 23 ft
3:22.0,Defensive rebound by M. Morris,,55-41,,
3:06.0,A. Drummond misses 2-pt shot from 2 ft (block by M. Plumlee),,55-41,,
3:03.0,,,55-41,,Defensive rebound by J. Parker
2:59.0,,,55-43,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Parker)
2:46.0,T. Harris misses 3-pt shot from 24 ft,,55-43,,
2:45.0,,,55-43,,Defensive rebound by Team
2:45.0,Detroit full timeout,,55-43,,
2:32.0,,,55-43,,J. Parker misses 2-pt shot from 19 ft
2:30.0,Defensive rebound by R. Jackson,,55-43,,
2:08.0,,,55-43,,Personal foul by K. Middleton (drawn by A. Drummond)
1:59.0,R. Jackson makes 2-pt shot from 1 ft,2,57-43,,
1:41.0,,,57-43,,G. Antetokounmpo misses 2-pt shot from 8 ft
1:40.0,,,57-43,,Offensive rebound by G. Antetokounmpo
1:30.0,Personal foul by K. Caldwell-Pope (drawn by K. Middleton),,57-43,,
1:16.0,,,57-43,,G. Antetokounmpo misses 2-pt shot from 7 ft
1:14.0,,,57-43,,Offensive rebound by M. Plumlee
1:14.0,,,57-43,,M. Plumlee misses 2-pt shot from 1 ft
1:13.0,,,57-43,,Offensive rebound by M. Plumlee
1:13.0,,,57-43,,M. Plumlee misses 2-pt shot from 1 ft
1:12.0,,,57-43,,Offensive rebound by M. Plumlee
1:09.0,,,57-45,2,M. Plumlee makes 2-pt shot from 2 ft
1:00.0,,,57-45,,Shooting block foul by O. Mayo (drawn by R. Jackson)
1:00.0,R. Jackson makes free throw 1 of 2,1,58-45,,
1:00.0,R. Jackson makes free throw 2 of 2,1,59-45,,
0:45.0,,,59-47,2,K. Middleton makes 2-pt shot from 1 ft
0:31.0,R. Jackson misses 3-pt shot from 25 ft,,59-47,,
0:30.0,,,59-47,,Defensive rebound by Team
0:17.0,,,59-49,2,J. Parker makes 2-pt shot from 15 ft (assist by O. Mayo)
0:04.0,M. Morris misses 3-pt shot from 22 ft,,59-49,,
0:02.0,Offensive rebound by Team,,59-49,,
0:02.0,T. Harris misses 2-pt shot from 1 ft,,59-49,,
0:02.0,Offensive rebound by T. Harris,,59-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,59-49,,G. Antetokounmpo misses 2-pt shot from 18 ft
11:43.0,Defensive rebound by A. Drummond,,59-49,,
11:25.0,K. Caldwell-Pope misses 3-pt shot from 25 ft,,59-49,,
11:23.0,,,59-49,,Defensive rebound by G. Antetokounmpo
