time,Chicago,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. P. Gasol (R. Jackson gains possession),,,,Jump ball: A. Drummond vs. P. Gasol (R. Jackson gains possession)
11:42.0,,,0-0,,Turnover by R. Jackson (bad pass; steal by P. Gasol)
11:34.0,J. Butler misses 2-pt shot from 17 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by A. Drummond
11:27.0,,,0-0,,Turnover by M. Morris (bad pass; steal by J. Butler)
11:04.0,P. Gasol makes 2-pt shot from 18 ft (assist by J. Butler),2,2-0,,
10:42.0,,,2-0,,M. Morris misses 3-pt shot from 26 ft
10:42.0,Defensive rebound by P. Gasol,,2-0,,
10:32.0,T. Snell misses 3-pt shot from 24 ft,,2-0,,
10:32.0,,,2-0,,Defensive rebound by Team
10:12.0,,,2-2,2,M. Morris makes 2-pt shot from 18 ft
9:58.0,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose),2,4-2,,
9:46.0,,,4-2,,Shooting foul by T. Gibson (drawn by A. Drummond)
9:46.0,,,4-3,1,A. Drummond makes free throw 1 of 2
9:46.0,,,4-3,,A. Drummond misses free throw 2 of 2
9:45.0,Defensive rebound by P. Gasol,,4-3,,
9:26.0,J. Butler makes 2-pt shot at rim (assist by P. Gasol),2,6-3,,
9:03.0,,,6-3,,K. Caldwell-Pope misses 2-pt shot from 8 ft
9:03.0,Defensive rebound by P. Gasol,,6-3,,
8:55.0,T. Snell misses 2-pt shot from 7 ft,,6-3,,
8:54.0,Offensive rebound by T. Gibson,,6-3,,
8:51.0,T. Gibson misses 2-pt shot from 4 ft (block by E. Ilyasova),,6-3,,
8:50.0,,,6-3,,Defensive rebound by E. Ilyasova
8:41.0,,,6-5,2,R. Jackson makes 2-pt shot from 20 ft
8:23.0,T. Snell misses 3-pt shot from 26 ft,,6-5,,
8:22.0,,,6-5,,Defensive rebound by A. Drummond
8:10.0,,,6-5,,R. Jackson misses 2-pt shot from 9 ft
8:10.0,,,6-5,,Offensive rebound by A. Drummond
8:07.0,,,6-7,2,A. Drummond makes 2-pt shot at rim
