time,Sacramento,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Koufos vs. M. Plumlee (D. Lillard gains possession),,,,Jump ball: K. Koufos vs. M. Plumlee (D. Lillard gains possession)
11:39.0,,,0-3,3,A. Aminu makes 3-pt shot from 24 ft (assist by M. Harkless)
11:18.0,Q. Acy makes 2-pt shot from 21 ft (assist by D. Collison),2,2-3,,
11:06.0,,,2-6,3,C. McCollum makes 3-pt shot from 26 ft (assist by D. Lillard)
10:54.0,K. Koufos makes 2-pt shot from 4 ft (assist by O. Casspi),2,4-6,,
10:38.0,,,4-6,,Turnover by C. McCollum (lost ball; steal by S. Curry)
10:35.0,Shooting foul by D. Lillard (drawn by O. Casspi),,4-6,,
10:35.0,O. Casspi makes 2-pt shot from 1 ft (assist by S. Curry),2,6-6,,
10:35.0,O. Casspi makes free throw 1 of 1,1,7-6,,
10:16.0,,,7-8,2,A. Aminu makes 2-pt shot from 9 ft
10:16.0,,,7-8,,Shooting foul by S. Curry (drawn by A. Aminu)
10:16.0,,,7-9,1,A. Aminu makes free throw 1 of 1
10:01.0,K. Koufos misses 2-pt shot from 1 ft (block by M. Harkless),,7-9,,
10:00.0,,,7-9,,Defensive rebound by A. Aminu
9:56.0,,,7-11,2,M. Harkless makes 2-pt shot at rim (assist by A. Aminu)
9:30.0,S. Curry makes 2-pt shot from 8 ft (assist by D. Collison),2,9-11,,
9:14.0,,,9-11,,M. Plumlee misses 2-pt shot from 3 ft
9:14.0,Defensive rebound by O. Casspi,,9-11,,
9:08.0,,,9-11,,Personal foul by C. McCollum
8:58.0,S. Curry misses 2-pt shot from 15 ft,,9-11,,
8:57.0,,,9-11,,Defensive rebound by A. Aminu
8:54.0,,,9-11,,Turnover by A. Aminu (lost ball; steal by D. Collison)
8:48.0,Q. Acy makes 2-pt shot at rim (assist by D. Collison),2,11-11,,
8:33.0,,,11-14,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
8:12.0,O. Casspi misses 2-pt shot from 1 ft,,11-14,,
8:12.0,Offensive rebound by K. Koufos,,11-14,,
8:12.0,K. Koufos makes 2-pt shot from 1 ft,2,13-14,,
7:59.0,,,13-17,3,M. Harkless makes 3-pt shot from 23 ft (assist by M. Plumlee)
7:44.0,K. Koufos misses 2-pt shot from 5 ft,,13-17,,
7:44.0,,,13-17,,Defensive rebound by C. McCollum
7:36.0,,,13-17,,C. McCollum misses 2-pt shot from 15 ft
7:35.0,Defensive rebound by D. Collison,,13-17,,
7:31.0,O. Casspi misses 2-pt shot from 2 ft,,13-17,,
7:30.0,Offensive rebound by Q. Acy,,13-17,,
7:30.0,Q. Acy makes 2-pt shot at rim,2,15-17,,
7:14.0,,,15-17,,Turnover by M. Plumlee (offensive foul)
7:14.0,,,15-17,,Offensive foul by M. Plumlee
7:14.0,W. Cauley-Stein enters the game for Q. Acy,,15-17,,
6:56.0,O. Casspi makes 2-pt shot from 2 ft,2,17-17,,
6:56.0,,,17-17,,Portland full timeout
6:35.0,,,17-17,,M. Harkless misses 3-pt shot from 23 ft
6:34.0,Defensive rebound by W. Cauley-Stein,,17-17,,
6:19.0,S. Curry misses 2-pt shot from 19 ft,,17-17,,
6:18.0,,,17-17,,Defensive rebound by A. Aminu
6:11.0,,,17-17,,C. McCollum misses 2-pt shot from 1 ft
6:11.0,,,17-17,,Offensive rebound by A. Aminu
6:11.0,,,17-17,,A. Aminu misses 2-pt shot at rim
6:10.0,,,17-17,,Offensive rebound by M. Harkless
6:10.0,,,17-19,2,M. Harkless makes 2-pt shot at rim
6:10.0,,,17-19,,Shooting foul by O. Casspi (drawn by M. Harkless)
6:10.0,B. McLemore enters the game for S. Curry,,17-19,,
6:10.0,,,17-20,1,M. Harkless makes free throw 1 of 1
5:58.0,Turnover by B. McLemore (traveling),,17-20,,
5:44.0,,,17-22,2,M. Harkless makes 2-pt shot at rim
5:32.0,B. McLemore misses 3-pt shot from 22 ft,,17-22,,
5:31.0,Offensive rebound by K. Koufos,,17-22,,
5:28.0,O. Casspi makes 3-pt shot from 26 ft (assist by K. Koufos),3,20-22,,
5:08.0,,,20-25,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
4:59.0,,,20-25,,Personal foul by A. Aminu
4:59.0,J. Anderson enters the game for O. Casspi,,20-25,,
4:59.0,,,20-25,,A. Crabbe enters the game for C. McCollum
4:59.0,,,20-25,,E. Davis enters the game for M. Plumlee
4:52.0,K. Koufos makes 2-pt shot from 6 ft (assist by B. McLemore),2,22-25,,
4:37.0,,,22-27,2,A. Crabbe makes 2-pt shot from 22 ft (assist by D. Lillard)
4:22.0,D. Collison misses 2-pt shot from 1 ft,,22-27,,
4:21.0,Offensive rebound by W. Cauley-Stein,,22-27,,
4:21.0,W. Cauley-Stein makes 2-pt shot at rim,2,24-27,,
4:12.0,,,24-27,,Shooting foul by K. Koufos (drawn by E. Davis)
4:12.0,,,24-28,1,E. Davis makes free throw 1 of 2
4:12.0,,,24-28,,G. Henderson enters the game for A. Aminu
4:12.0,,,24-29,1,E. Davis makes free throw 2 of 2
3:55.0,B. McLemore misses 2-pt shot from 20 ft,,24-29,,
3:54.0,,,24-29,,Defensive rebound by G. Henderson
3:40.0,,,24-29,,Turnover by E. Davis (lost ball; steal by K. Koufos)
3:35.0,D. Collison misses 2-pt shot at rim,,24-29,,
3:34.0,Offensive rebound by W. Cauley-Stein,,24-29,,
3:34.0,W. Cauley-Stein makes 2-pt shot at rim,2,26-29,,
3:17.0,,,26-29,,D. Lillard misses 2-pt shot from 7 ft
3:16.0,,,26-29,,Offensive rebound by E. Davis
3:16.0,,,26-31,2,E. Davis makes 2-pt shot from 1 ft
2:54.0,D. Collison makes 2-pt shot from 15 ft,2,28-31,,
2:33.0,,,28-31,,A. Crabbe misses 2-pt shot from 20 ft
2:32.0,Defensive rebound by K. Koufos,,28-31,,
2:19.0,J. Anderson makes 3-pt shot from 24 ft (assist by D. Collison),3,31-31,,
2:02.0,,,31-34,3,D. Lillard makes 3-pt shot from 28 ft
1:53.0,K. Koufos misses 2-pt shot from 1 ft,,31-34,,
1:53.0,,,31-34,,Defensive rebound by A. Crabbe
1:43.0,,,31-34,,D. Lillard misses 3-pt shot from 24 ft
1:42.0,Defensive rebound by B. McLemore,,31-34,,
1:32.0,B. McLemore misses 2-pt shot from 1 ft (block by E. Davis),,31-34,,
1:32.0,Offensive rebound by Team,,31-34,,
1:32.0,Sacramento full timeout,,31-34,,
1:32.0,,,31-34,,N. Vonleh enters the game for M. Harkless
1:32.0,Q. Acy enters the game for K. Koufos,,31-34,,
1:24.0,W. Cauley-Stein misses 2-pt shot from 2 ft (block by E. Davis),,31-34,,
1:23.0,,,31-34,,Defensive rebound by N. Vonleh
1:09.0,,,31-37,3,A. Crabbe makes 3-pt shot from 22 ft (assist by N. Vonleh)
0:55.0,B. McLemore misses 2-pt shot from 2 ft (block by A. Crabbe),,31-37,,
0:54.0,,,31-37,,Defensive rebound by A. Crabbe
0:42.0,,,31-37,,Turnover by A. Crabbe (offensive foul)
0:42.0,,,31-37,,Offensive charge foul by A. Crabbe
0:42.0,S. Curry enters the game for D. Collison,,31-37,,
0:33.0,,,31-37,,Personal foul by G. Henderson
0:24.0,Shooting foul by G. Henderson (drawn by J. Anderson),,31-37,,
0:24.0,J. Anderson misses free throw 1 of 2,,31-37,,
0:24.0,Offensive rebound by Team,,31-37,,
0:24.0,,,31-37,,C. McCollum enters the game for N. Vonleh
0:24.0,J. Anderson makes free throw 2 of 2,1,32-37,,
0:01.0,,,32-37,,C. McCollum misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by J. Anderson,,32-37,,
0:00.0,J. Anderson misses 3-pt shot from 69 ft,,32-37,,
0:00.0,Offensive rebound by Team,,32-37,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Q. Acy misses 2-pt shot from 3 ft (block by E. Davis),,32-37,,
11:41.0,Offensive rebound by W. Cauley-Stein,,32-37,,
11:41.0,W. Cauley-Stein misses 2-pt shot from 2 ft,,32-37,,
11:40.0,Offensive rebound by B. McLemore,,32-37,,
11:35.0,W. Cauley-Stein misses 2-pt shot from 4 ft,,32-37,,
11:34.0,,,32-37,,Defensive rebound by E. Davis
11:13.0,,,32-40,3,G. Henderson makes 3-pt shot from 23 ft (assist by C. McCollum)
10:59.0,Shooting foul by A. Crabbe (drawn by B. McLemore),,32-40,,
10:59.0,B. McLemore makes free throw 1 of 2,1,33-40,,
10:59.0,B. McLemore makes free throw 2 of 2,1,34-40,,
10:48.0,,,34-42,2,A. Crabbe makes 2-pt shot from 21 ft (assist by C. McCollum)
10:27.0,S. Curry misses 3-pt shot from 26 ft,,34-42,,
10:26.0,Offensive rebound by W. Cauley-Stein,,34-42,,
10:19.0,Turnover by B. McLemore (bad pass),,34-42,,
10:02.0,,,34-42,,C. McCollum misses 2-pt shot from 4 ft
10:01.0,,,34-42,,Offensive rebound by E. Davis
10:01.0,,,34-42,,E. Davis misses 2-pt shot from 1 ft
10:01.0,,,34-42,,Offensive rebound by Team
10:01.0,Loose ball foul by Q. Acy,,34-42,,
10:01.0,O. Casspi enters the game for J. Anderson,,34-42,,
9:59.0,,,34-42,,Turnover by G. Henderson (lost ball; steal by S. Curry)
9:48.0,W. Cauley-Stein makes 2-pt shot from 15 ft,2,36-42,,
9:27.0,,,36-44,2,G. Henderson makes 2-pt shot from 19 ft (assist by A. Crabbe)
9:19.0,O. Casspi misses 2-pt shot from 2 ft (block by N. Vonleh),,36-44,,
9:18.0,,,36-44,,Defensive rebound by E. Davis
8:58.0,,,36-47,3,A. Crabbe makes 3-pt shot from 25 ft (assist by C. McCollum)
8:50.0,Sacramento full timeout,,36-47,,
8:50.0,C. Butler enters the game for W. Cauley-Stein,,36-47,,
8:32.0,S. Curry makes 2-pt shot at rim,2,38-47,,
8:11.0,,,38-49,2,G. Henderson makes 2-pt shot from 12 ft
8:01.0,C. Butler misses 2-pt shot from 21 ft,,38-49,,
8:00.0,,,38-49,,Defensive rebound by Team
7:44.0,,,38-49,,G. Henderson misses 2-pt shot from 13 ft
7:44.0,Defensive rebound by Q. Acy,,38-49,,
7:35.0,S. Curry makes 2-pt shot from 19 ft,2,40-49,,
7:16.0,Personal foul by Q. Acy,,40-49,,
7:16.0,K. Koufos enters the game for Q. Acy,,40-49,,
7:16.0,D. Collison enters the game for B. McLemore,,40-49,,
7:16.0,,,40-49,,A. Aminu enters the game for G. Henderson
7:16.0,,,40-49,,B. Roberts enters the game for A. Crabbe
7:09.0,,,40-49,,C. McCollum misses 2-pt shot from 14 ft
7:08.0,Defensive rebound by O. Casspi,,40-49,,
7:03.0,D. Collison misses 2-pt shot from 1 ft,,40-49,,
7:02.0,,,40-49,,Defensive rebound by E. Davis
6:53.0,,,40-49,,A. Aminu misses 3-pt shot from 23 ft
6:53.0,,,40-49,,Offensive rebound by Team
6:53.0,Loose ball foul by C. Butler,,40-49,,
6:35.0,,,40-49,,B. Roberts misses 2-pt shot from 17 ft
6:34.0,,,40-49,,Offensive rebound by E. Davis
6:34.0,,,40-51,2,E. Davis makes 2-pt shot at rim
6:10.0,C. Butler misses 2-pt shot from 16 ft,,40-51,,
6:09.0,,,40-51,,Defensive rebound by C. McCollum
6:06.0,,,40-51,,Shooting foul by C. Butler (drawn by C. McCollum)
6:06.0,,,40-52,1,C. McCollum makes free throw 1 of 2
6:06.0,,,40-52,,M. Plumlee enters the game for E. Davis
6:06.0,,,40-53,1,C. McCollum makes free throw 2 of 2
5:49.0,S. Curry misses 2-pt shot from 1 ft (block by B. Roberts),,40-53,,
5:48.0,,,40-53,,Defensive rebound by N. Vonleh
5:30.0,,,40-53,,C. McCollum misses 3-pt shot from 26 ft
5:30.0,Defensive rebound by Team,,40-53,,
5:30.0,,,40-53,,Loose ball foul by N. Vonleh
5:30.0,Official timeout,,40-53,,
5:30.0,W. Cauley-Stein enters the game for C. Butler,,40-53,,
5:16.0,K. Koufos misses 2-pt shot from 6 ft,,40-53,,
5:15.0,,,40-53,,Defensive rebound by N. Vonleh
5:03.0,,,40-55,2,N. Vonleh makes 2-pt shot from 1 ft
4:46.0,Shooting foul by M. Plumlee (drawn by O. Casspi),,40-55,,
4:46.0,O. Casspi misses free throw 1 of 2,,40-55,,
4:46.0,Offensive rebound by Team,,40-55,,
4:46.0,,,40-55,,D. Lillard enters the game for C. McCollum
4:46.0,O. Casspi makes free throw 2 of 2,1,41-55,,
4:32.0,,,41-55,,Offensive foul by N. Vonleh
4:32.0,,,41-55,,Turnover by N. Vonleh (offensive foul)
4:32.0,,,41-55,,M. Harkless enters the game for N. Vonleh
4:24.0,Turnover by D. Collison (bad pass),,41-55,,
4:15.0,,,41-55,,D. Lillard misses 2-pt shot from 18 ft
4:14.0,Defensive rebound by S. Curry,,41-55,,
4:13.0,Turnover by S. Curry (step out of bounds),,41-55,,
4:07.0,,,41-55,,Turnover by M. Plumlee (lost ball; steal by W. Cauley-Stein)
3:59.0,O. Casspi makes 3-pt shot from 25 ft (assist by D. Collison),3,44-55,,
3:47.0,,,44-57,2,A. Aminu makes 2-pt shot from 2 ft
3:47.0,,,44-57,,Shooting foul by W. Cauley-Stein (drawn by A. Aminu)
3:47.0,J. Anderson enters the game for S. Curry,,44-57,,
3:47.0,,,44-58,1,A. Aminu makes free throw 1 of 1
3:37.0,W. Cauley-Stein misses 2-pt shot from 5 ft,,44-58,,
3:37.0,,,44-58,,Defensive rebound by A. Aminu
3:32.0,,,44-58,,Turnover by D. Lillard (lost ball; steal by J. Anderson)
3:29.0,Turnover by O. Casspi (bad pass),,44-58,,
3:17.0,,,44-58,,B. Roberts misses 2-pt shot from 21 ft
