time,Brooklyn,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Reed vs. K. Towns (G. Dieng gains possession),,,,Jump ball: W. Reed vs. K. Towns (G. Dieng gains possession)
11:45.0,,,0-2,2,A. Wiggins makes 2-pt shot from 9 ft (assist by R. Rubio)
11:26.0,B. Bogdanovic makes 2-pt shot from 11 ft,2,2-2,,
11:06.0,,,2-4,2,K. Towns makes 2-pt shot from 12 ft (assist by A. Wiggins)
10:40.0,T. Robinson misses 2-pt shot from 2 ft,,2-4,,
10:39.0,Offensive rebound by W. Reed,,2-4,,
10:39.0,W. Reed makes 2-pt shot at rim,2,4-4,,
10:34.0,Personal foul by D. Sloan (drawn by R. Rubio),,4-4,,
10:29.0,,,4-7,3,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns)
10:11.0,B. Bogdanovic makes 2-pt shot from 15 ft,2,6-7,,
10:01.0,Personal foul by T. Robinson (drawn by G. Dieng),,6-7,,
9:56.0,,,6-9,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
9:38.0,B. Bogdanovic misses 3-pt shot from 26 ft,,6-9,,
9:37.0,Offensive rebound by W. Reed,,6-9,,
9:36.0,,,6-9,,Personal foul by A. Wiggins (drawn by W. Reed)
9:36.0,W. Reed makes free throw 1 of 2,1,7-9,,
9:36.0,W. Reed misses free throw 2 of 2,,7-9,,
9:33.0,Offensive rebound by Team,,7-9,,
9:26.0,Turnover by B. Bogdanovic (step out of bounds),,7-9,,
9:14.0,,,7-9,,Z. LaVine misses 2-pt shot from 22 ft
9:13.0,,,7-9,,Offensive rebound by Team
9:10.0,,,7-11,2,G. Dieng makes 2-pt shot from 18 ft (assist by K. Towns)
8:58.0,,,7-11,,Personal foul by R. Rubio (drawn by D. Sloan)
8:51.0,W. Ellington misses 2-pt shot from 20 ft,,7-11,,
8:50.0,,,7-11,,Defensive rebound by R. Rubio
8:46.0,,,7-13,2,Z. LaVine makes 2-pt shot from 2 ft (assist by R. Rubio)
8:25.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by K. Towns),,7-13,,
8:24.0,Offensive rebound by W. Reed,,7-13,,
8:20.0,W. Reed misses 2-pt shot from 3 ft (block by G. Dieng),,7-13,,
8:19.0,,,7-13,,Defensive rebound by K. Towns
8:08.0,,,7-13,,G. Dieng misses 2-pt shot from 4 ft
8:07.0,Defensive rebound by T. Robinson,,7-13,,
7:58.0,W. Ellington misses 3-pt shot from 23 ft,,7-13,,
7:57.0,,,7-13,,Defensive rebound by R. Rubio
7:43.0,,,7-13,,Turnover by Z. LaVine (traveling)
7:27.0,W. Ellington makes 3-pt shot from 24 ft (assist by D. Sloan),3,10-13,,
7:27.0,,,10-13,,Minnesota full timeout
7:17.0,,,10-13,,Offensive foul by K. Towns
7:17.0,,,10-13,,Turnover by K. Towns (offensive foul)
7:04.0,T. Robinson misses 2-pt shot from 19 ft,,10-13,,
7:03.0,Offensive rebound by Team,,10-13,,
7:03.0,,,10-13,,Loose ball foul by A. Wiggins (drawn by W. Reed)
7:03.0,,,10-13,,S. Muhammad enters the game for A. Wiggins
