time,San Antonio,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. D. Howard (T. Parker gains possession),,,,Jump ball: T. Duncan vs. D. Howard (T. Parker gains possession)
11:42.0,L. Aldridge misses 2-pt shot from 5 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by D. Howard
11:31.0,,,0-0,,Turnover by T. Ariza (bad pass; steal by K. Leonard)
11:12.0,T. Duncan misses 2-pt shot from 6 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by D. Howard
11:01.0,,,0-0,,J. Harden misses 2-pt shot from 16 ft
11:00.0,,,0-0,,Offensive rebound by D. Howard
10:59.0,,,0-0,,D. Howard misses 2-pt shot from 2 ft (block by K. Leonard)
10:57.0,,,0-0,,Offensive rebound by D. Howard
10:46.0,,,0-0,,D. Howard misses 2-pt shot from 6 ft
10:46.0,Defensive rebound by L. Aldridge,,0-0,,
10:29.0,K. Leonard misses 2-pt shot from 8 ft,,0-0,,
10:28.0,,,0-0,,Defensive rebound by D. Howard
10:21.0,,,0-0,,J. Harden misses 2-pt shot from 2 ft
10:20.0,,,0-0,,Offensive rebound by C. Capela
10:20.0,,,0-2,2,C. Capela makes 2-pt shot at rim
10:03.0,D. Green misses 2-pt shot from 15 ft,,0-2,,
10:02.0,,,0-2,,Defensive rebound by T. Ariza
9:47.0,,,0-2,,P. Beverley misses 3-pt shot from 24 ft
9:46.0,,,0-2,,Offensive rebound by C. Capela
9:42.0,,,0-2,,C. Capela misses 2-pt shot from 5 ft
9:41.0,Defensive rebound by Team,,0-2,,
9:17.0,Turnover by Team (shot clock),,0-2,,
9:04.0,,,0-4,2,J. Harden makes 2-pt shot from 14 ft
8:43.0,T. Parker misses 2-pt shot from 18 ft,,0-4,,
8:42.0,,,0-4,,Defensive rebound by J. Harden
8:23.0,,,0-6,2,D. Howard makes 2-pt shot at rim (assist by C. Capela)
8:03.0,L. Aldridge misses 2-pt shot from 18 ft,,0-6,,
8:02.0,,,0-6,,Defensive rebound by J. Harden
7:49.0,,,0-6,,Turnover by J. Harden (bad pass)
7:28.0,T. Parker makes 2-pt shot from 11 ft,2,2-6,,
7:12.0,,,2-6,,P. Beverley misses 2-pt shot from 7 ft
7:11.0,Defensive rebound by Team,,2-6,,
7:11.0,,,2-6,,Loose ball foul by P. Beverley (drawn by T. Parker)
7:11.0,,,2-6,,T. Jones enters the game for C. Capela
6:55.0,L. Aldridge makes 2-pt shot from 12 ft (assist by T. Parker),2,4-6,,
6:42.0,,,4-6,,T. Ariza misses 2-pt shot from 13 ft
6:41.0,Defensive rebound by T. Duncan,,4-6,,
6:22.0,D. Green makes 3-pt shot from 24 ft (assist by L. Aldridge),3,7-6,,
6:06.0,,,7-6,,T. Jones misses 2-pt shot from 7 ft
6:05.0,Defensive rebound by T. Duncan,,7-6,,
5:55.0,T. Duncan misses 2-pt shot from 19 ft,,7-6,,
5:54.0,,,7-6,,Defensive rebound by T. Jones
5:44.0,,,7-6,,P. Beverley misses 2-pt shot from 9 ft
5:43.0,,,7-6,,Offensive rebound by P. Beverley
5:39.0,,,7-9,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
5:39.0,San Antonio full timeout,,7-9,,
5:39.0,,,7-9,,T. Lawson enters the game for P. Beverley
5:29.0,Shooting foul by T. Ariza (drawn by K. Leonard),,7-9,,
5:29.0,K. Leonard makes free throw 1 of 2,1,8-9,,
5:29.0,M. Ginobili enters the game for T. Parker,,8-9,,
5:29.0,P. Mills enters the game for D. Green,,8-9,,
5:29.0,K. Leonard makes free throw 2 of 2,1,9-9,,
5:04.0,,,9-11,2,T. Ariza makes 2-pt shot from 8 ft (assist by J. Harden)
4:47.0,B. Diaw enters the game for T. Duncan,,9-11,,
4:36.0,B. Diaw makes 2-pt shot from 4 ft,2,11-11,,
4:23.0,,,11-13,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
4:09.0,Turnover by B. Diaw (lost ball),,11-13,,
4:09.0,,,11-13,,C. Brewer enters the game for T. Ariza
4:09.0,,,11-13,,C. Capela enters the game for D. Howard
3:53.0,,,11-13,,Turnover by J. Harden (lost ball; steal by B. Diaw)
3:44.0,K. Leonard makes 3-pt shot from 25 ft (assist by P. Mills),3,14-13,,
3:28.0,,,14-13,,T. Jones misses 3-pt shot from 22 ft
3:27.0,,,14-13,,Offensive rebound by T. Lawson
3:20.0,,,14-16,3,T. Lawson makes 3-pt shot from 25 ft (assist by C. Brewer)
3:07.0,,,14-16,,Personal foul by T. Lawson (drawn by P. Mills)
2:54.0,B. Diaw makes 2-pt shot from 20 ft (assist by K. Leonard),2,16-16,,
2:40.0,,,16-18,2,T. Jones makes 2-pt shot at rim (assist by J. Harden)
2:24.0,P. Mills misses 3-pt shot from 25 ft,,16-18,,
2:21.0,Offensive rebound by L. Aldridge,,16-18,,
2:21.0,L. Aldridge misses 2-pt shot from 2 ft,,16-18,,
2:19.0,Offensive rebound by L. Aldridge,,16-18,,
2:19.0,L. Aldridge makes 2-pt shot from 1 ft,2,18-18,,
2:19.0,,,18-18,,Houston full timeout
2:19.0,J. Simmons enters the game for K. Leonard,,18-18,,
2:19.0,,,18-18,,J. Terry enters the game for J. Harden
2:06.0,,,18-18,,T. Lawson misses 2-pt shot from 15 ft
2:05.0,Defensive rebound by M. Ginobili,,18-18,,
2:02.0,Offensive charge foul by J. Simmons,,18-18,,
2:02.0,Turnover by J. Simmons (offensive foul),,18-18,,
1:44.0,,,18-18,,Shooting foul by L. Aldridge (drawn by T. Jones)
1:44.0,,,18-19,1,T. Jones makes free throw 1 of 2
1:44.0,,,18-20,1,T. Jones makes free throw 2 of 2
1:28.0,,,18-20,,Personal foul by T. Lawson (drawn by M. Ginobili)
1:18.0,L. Aldridge makes 2-pt shot from 20 ft (assist by J. Simmons),2,20-20,,
1:05.0,,,20-22,2,T. Jones makes 2-pt shot from 8 ft (assist by T. Lawson)
0:47.0,M. Ginobili misses 3-pt shot from 24 ft,,20-22,,
0:46.0,,,20-22,,Defensive rebound by T. Jones
0:35.0,,,20-25,3,J. Terry makes 3-pt shot from 24 ft (assist by C. Brewer)
0:18.0,L. Aldridge makes 2-pt shot from 20 ft (assist by J. Simmons),2,22-25,,
0:02.0,,,22-25,,T. Jones misses 2-pt shot from 7 ft
0:01.0,Defensive rebound by M. Ginobili,,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Def 3 sec tech foul by B. Diaw,,22-25,,
11:51.0,,,22-25,,J. Terry misses technical free throw
11:51.0,,,22-25,,Offensive rebound by Team
11:43.0,,,22-27,2,T. Lawson makes 2-pt shot from 1 ft
11:28.0,Turnover by B. Diaw (bad pass; steal by T. Jones),,22-27,,
11:14.0,,,22-27,,T. Jones misses 2-pt shot from 6 ft
11:13.0,Defensive rebound by D. West,,22-27,,
11:00.0,B. Diaw makes 2-pt shot from 6 ft,2,24-27,,
10:44.0,,,24-27,,Turnover by C. Brewer (bad pass; steal by D. West)
10:34.0,J. Simmons misses 3-pt shot from 23 ft,,24-27,,
10:33.0,,,24-27,,Defensive rebound by T. Lawson
10:24.0,,,24-29,2,C. Brewer makes 2-pt shot from 3 ft (assist by T. Lawson)
10:06.0,D. West misses 2-pt shot from 16 ft,,24-29,,
10:05.0,,,24-29,,Defensive rebound by C. Brewer
9:54.0,,,24-31,2,C. Brewer makes 2-pt shot from 23 ft (assist by T. Lawson)
9:46.0,M. Ginobili makes 2-pt shot from 1 ft,2,26-31,,
9:33.0,,,26-31,,D. Howard enters the game for T. Jones
9:33.0,,,26-31,,D. Motiejunas enters the game for C. Capela
9:19.0,,,26-31,,D. Motiejunas misses 2-pt shot at rim
9:18.0,Defensive rebound by D. West,,26-31,,
9:12.0,D. West makes 2-pt shot from 1 ft (assist by J. Simmons),2,28-31,,
9:03.0,,,28-31,,Shooting foul by J. Simmons (drawn by D. Howard)
9:03.0,,,28-32,1,D. Howard makes free throw 1 of 2
9:03.0,,,28-32,,P. Beverley enters the game for T. Lawson
9:03.0,,,28-32,,D. Howard misses free throw 2 of 2
9:03.0,Defensive rebound by J. Simmons,,28-32,,
8:46.0,P. Mills misses 3-pt shot from 24 ft,,28-32,,
8:45.0,,,28-32,,Defensive rebound by C. Brewer
8:39.0,,,28-32,,C. Brewer misses 2-pt shot at rim
8:38.0,Defensive rebound by P. Mills,,28-32,,
8:32.0,J. Simmons makes 2-pt shot from 1 ft (assist by P. Mills),2,30-32,,
8:20.0,,,30-32,,Turnover by C. Brewer (bad pass; steal by M. Ginobili)
8:19.0,,,30-32,,Personal foul by C. Brewer (drawn by M. Ginobili)
8:19.0,San Antonio full timeout,,30-32,,
8:19.0,,,30-32,,J. Harden enters the game for C. Brewer
8:19.0,,,30-32,,T. Ariza enters the game for J. Terry
8:19.0,T. Duncan enters the game for M. Ginobili,,30-32,,
8:19.0,T. Parker enters the game for P. Mills,,30-32,,
