time,Chicago,pts.away,score,pts.home,Denver
1:56.0,,,21-22,,Shooting foul by C. Felicio (drawn by D. Gallinari)
1:56.0,,,21-23,1,D. Gallinari makes free throw 1 of 2
1:56.0,,,21-24,1,D. Gallinari makes free throw 2 of 2
1:40.0,Turnover by K. Hinrich (bad pass; steal by D. Gallinari),,21-24,,
1:37.0,,,21-24,,Shooting foul by B. Portis (drawn by D. Gallinari)
1:37.0,,,21-25,1,D. Gallinari makes free throw 1 of 2
1:37.0,,,21-26,1,D. Gallinari makes free throw 2 of 2
1:22.0,J. Butler makes 2-pt shot from 1 ft (assist by C. Felicio),2,23-26,,
1:03.0,,,23-26,,W. Barton misses 2-pt shot from 9 ft
1:02.0,Defensive rebound by B. Portis,,23-26,,
1:00.0,Shooting foul by D. Gallinari (drawn by J. Butler),,23-26,,
1:00.0,J. Butler makes free throw 1 of 2,1,24-26,,
1:00.0,,,24-26,,G. Harris enters the game for D. Gallinari
1:00.0,J. Butler misses free throw 2 of 2,,24-26,,
1:00.0,,,24-26,,Defensive rebound by Team
1:00.0,Loose ball foul by C. Felicio (drawn by J. Nurkic),,24-26,,
1:00.0,,,24-27,1,J. Nurkic makes free throw 1 of 2
1:00.0,T. Snell enters the game for C. Felicio,,24-27,,
1:00.0,,,24-28,1,J. Nurkic makes free throw 2 of 2
0:35.0,J. Butler misses 2-pt shot from 18 ft,,24-28,,
0:33.0,Offensive rebound by Team,,24-28,,
0:28.0,J. Butler makes 2-pt shot from 1 ft,2,26-28,,
0:08.0,,,26-30,2,J. Lauvergne makes 2-pt shot from 1 ft (assist by J. Nurkic)
0:02.0,K. Hinrich misses 2-pt shot at rim,,26-30,,
0:01.0,,,26-30,,Defensive rebound by J. Nurkic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,B. Portis makes 2-pt shot from 1 ft (assist by A. Brooks),2,28-30,,
11:20.0,,,28-30,,J. Lauvergne misses 2-pt shot from 1 ft
11:18.0,,,28-30,,Offensive rebound by J. Nurkic
11:18.0,,,28-30,,J. Nurkic misses 2-pt shot from 1 ft
11:17.0,Defensive rebound by K. Hinrich,,28-30,,
11:08.0,A. Brooks misses 3-pt shot from 24 ft,,28-30,,
11:07.0,,,28-30,,Defensive rebound by J. Nurkic
10:59.0,,,28-33,3,W. Barton makes 3-pt shot from 25 ft (assist by R. Foye)
10:42.0,B. Portis misses 2-pt shot from 6 ft,,28-33,,
10:41.0,,,28-33,,Defensive rebound by R. Foye
10:33.0,,,28-33,,Turnover by J. Nurkic (lost ball; steal by B. Portis)
