time,Chicago,pts.away,score,pts.home,Denver
8:25.0,D. Rose makes 2-pt shot from 3 ft,2,95-83,,
8:10.0,,,95-85,2,W. Barton makes 2-pt shot from 2 ft (assist by R. Foye)
7:56.0,D. McDermott misses 2-pt shot from 1 ft,,95-85,,
7:55.0,Offensive rebound by B. Portis,,95-85,,
7:55.0,B. Portis misses 2-pt shot from 1 ft,,95-85,,
7:53.0,,,95-85,,Defensive rebound by R. Foye
7:46.0,,,95-88,3,W. Barton makes 3-pt shot from 25 ft (assist by K. Faried)
7:28.0,Chicago full timeout,,95-88,,
7:24.0,D. McDermott misses 2-pt shot from 1 ft,,95-88,,
7:23.0,,,95-88,,Defensive rebound by N. Jokic
7:17.0,,,95-88,,N. Jokic misses 2-pt shot from 1 ft
7:16.0,,,95-88,,Offensive rebound by N. Jokic
7:16.0,,,95-88,,N. Jokic misses 2-pt shot from 1 ft
7:15.0,,,95-88,,Offensive rebound by N. Jokic
7:15.0,Personal foul by B. Portis (drawn by N. Jokic),,95-88,,
7:04.0,,,95-88,,Shooting foul by B. Portis (drawn by K. Faried)
7:04.0,,,95-88,,K. Faried misses free throw 1 of 2
7:04.0,,,95-88,,Offensive rebound by Team
7:04.0,,,95-89,1,K. Faried makes free throw 2 of 2
6:46.0,D. McDermott makes 2-pt shot from 3 ft (assist by D. Rose),2,97-89,,
6:32.0,,,97-92,3,N. Jokic makes 3-pt shot from 24 ft (assist by R. Foye)
6:12.0,D. McDermott makes 3-pt shot from 23 ft (assist by D. Rose),3,100-92,,
5:58.0,,,100-95,3,N. Jokic makes 3-pt shot from 23 ft (assist by R. Foye)
5:41.0,D. Rose makes 2-pt shot from 17 ft,2,102-95,,
5:20.0,,,102-95,,W. Barton misses 3-pt shot from 26 ft
5:20.0,,,102-95,,Offensive rebound by Team
5:20.0,Loose ball foul by D. McDermott (drawn by N. Jokic),,102-95,,
5:20.0,Official timeout,,102-95,,
5:20.0,E. Moore enters the game for K. Hinrich,,102-95,,
5:20.0,,,102-96,1,N. Jokic makes free throw 1 of 2
5:20.0,,,102-97,1,N. Jokic makes free throw 2 of 2
4:59.0,E. Moore misses 2-pt shot from 14 ft,,102-97,,
4:58.0,,,102-97,,Defensive rebound by N. Jokic
4:41.0,,,102-97,,E. Mudiay misses 2-pt shot from 2 ft (block by T. Gibson)
4:41.0,,,102-97,,Offensive rebound by Team
4:41.0,,,102-97,,D. Gallinari enters the game for W. Barton
4:34.0,,,102-99,2,E. Mudiay makes 2-pt shot from 15 ft
4:34.0,,,102-99,,Violation by Team (jump ball)
4:17.0,B. Portis misses 2-pt shot from 4 ft,,102-99,,
4:17.0,,,102-99,,Defensive rebound by K. Faried
4:08.0,,,102-101,2,K. Faried makes 2-pt shot from 3 ft (assist by E. Mudiay)
3:51.0,D. Rose makes 2-pt shot from 9 ft,2,104-101,,
3:51.0,Shooting foul by R. Foye (drawn by D. Rose),,104-101,,
3:51.0,T. Snell enters the game for D. McDermott,,104-101,,
3:51.0,D. Rose makes free throw 1 of 1,1,105-101,,
3:30.0,,,105-104,3,E. Mudiay makes 3-pt shot from 24 ft (assist by N. Jokic)
3:08.0,D. Rose misses 2-pt shot from 17 ft,,105-104,,
3:06.0,,,105-104,,Defensive rebound by N. Jokic
2:56.0,,,105-104,,Shooting foul by T. Gibson (drawn by K. Faried)
2:56.0,,,105-104,,Denver full timeout
2:56.0,C. Bairstow enters the game for B. Portis,,105-104,,
2:56.0,,,105-104,,K. Faried misses free throw 1 of 2
2:56.0,,,105-104,,Offensive rebound by Team
2:56.0,,,105-105,1,K. Faried makes free throw 2 of 2
2:42.0,C. Bairstow makes 2-pt shot from 16 ft (assist by D. Rose),2,107-105,,
2:28.0,Personal foul by C. Bairstow (drawn by K. Faried),,107-105,,
2:28.0,,,107-105,,K. Faried misses free throw 1 of 2
2:28.0,,,107-105,,Offensive rebound by Team
2:28.0,,,107-105,,K. Faried misses free throw 2 of 2
2:28.0,Defensive rebound by Team,,107-105,,
2:28.0,,,107-105,,Loose ball foul by N. Jokic (drawn by T. Gibson)
2:04.0,T. Gibson misses 2-pt shot from 16 ft,,107-105,,
2:02.0,,,107-105,,Defensive rebound by D. Gallinari
1:41.0,,,107-105,,E. Mudiay misses 2-pt shot from 19 ft
1:41.0,Defensive rebound by T. Gibson,,107-105,,
1:41.0,,,107-105,,Loose ball foul by N. Jokic (drawn by T. Gibson)
1:41.0,,,107-105,,W. Barton enters the game for N. Jokic
1:41.0,T. Gibson misses free throw 1 of 2,,107-105,,
1:41.0,Offensive rebound by Team,,107-105,,
1:41.0,K. Hinrich enters the game for C. Bairstow,,107-105,,
1:41.0,T. Gibson makes free throw 2 of 2,1,108-105,,
1:31.0,,,108-107,2,E. Mudiay makes 2-pt shot from 2 ft
1:31.0,,,108-107,,Shooting foul by E. Moore (drawn by E. Mudiay)
1:31.0,,,108-107,,E. Mudiay misses free throw 1 of 1
1:29.0,Defensive rebound by T. Gibson,,108-107,,
1:11.0,D. Rose misses 2-pt shot from 20 ft,,108-107,,
1:09.0,,,108-107,,Defensive rebound by K. Faried
0:51.0,,,108-109,2,D. Gallinari makes 2-pt shot from 16 ft (assist by W. Barton)
0:51.0,Chicago full timeout,,108-109,,
0:51.0,D. McDermott enters the game for T. Snell,,108-109,,
0:40.0,D. Rose misses 2-pt shot from 11 ft,,108-109,,
0:39.0,,,108-109,,Defensive rebound by W. Barton
0:22.0,,,108-109,,Shooting foul by E. Moore (drawn by E. Mudiay)
0:22.0,,,108-110,1,E. Mudiay makes free throw 1 of 2
0:22.0,B. Portis enters the game for K. Hinrich,,108-110,,
0:22.0,,,108-110,,E. Mudiay misses free throw 2 of 2
0:21.0,,,108-110,,Offensive rebound by K. Faried
0:21.0,,,108-112,2,K. Faried makes 2-pt shot from 1 ft
0:11.0,D. McDermott misses 3-pt shot from 25 ft,,108-112,,
0:10.0,,,108-112,,Defensive rebound by K. Faried
0:10.0,Loose ball foul by E. Moore (drawn by K. Faried),,108-112,,
0:10.0,,,108-112,,K. Faried misses free throw 1 of 2
0:10.0,,,108-112,,Offensive rebound by Team
0:10.0,,,108-113,1,K. Faried makes free throw 2 of 2
0:07.0,D. Rose misses 3-pt shot from 26 ft,,108-113,,
0:06.0,,,108-113,,Defensive rebound by K. Faried
0:06.0,Loose ball foul by B. Portis (drawn by D. Gallinari),,108-113,,
0:06.0,,,108-114,1,D. Gallinari makes free throw 1 of 2
0:06.0,T. Snell enters the game for D. Rose,,108-114,,
0:06.0,,,108-115,1,D. Gallinari makes free throw 2 of 2
0:02.0,T. Snell makes 2-pt shot at rim,2,110-115,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
