time,Houston,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. D. Howard (D. Motiejunas gains possession),,,,Jump ball: A. Bogut vs. D. Howard (D. Motiejunas gains possession)
11:42.0,P. Beverley misses 2-pt shot from 4 ft (block by A. Bogut),,0-0,,
11:40.0,Offensive rebound by D. Motiejunas,,0-0,,
11:34.0,D. Motiejunas makes 2-pt shot from 7 ft,2,2-0,,
11:22.0,,,2-0,,S. Livingston misses 2-pt shot from 2 ft
11:22.0,,,2-0,,Offensive rebound by S. Livingston
11:20.0,,,2-0,,S. Livingston misses 2-pt shot from 3 ft (block by P. Beverley)
11:17.0,Defensive rebound by P. Beverley,,2-0,,
11:14.0,T. Ariza misses 2-pt shot from 2 ft,,2-0,,
11:13.0,Offensive rebound by T. Ariza,,2-0,,
11:12.0,T. Ariza makes 2-pt shot from 2 ft,2,4-0,,
10:45.0,,,4-3,3,K. Thompson makes 3-pt shot from 26 ft (assist by A. Bogut)
10:28.0,D. Motiejunas makes 2-pt shot from 7 ft (assist by J. Harden),2,6-3,,
10:10.0,,,6-3,,H. Barnes misses 2-pt shot from 5 ft (block by D. Howard)
10:10.0,,,6-3,,Offensive rebound by D. Green
10:10.0,,,6-5,2,D. Green makes 2-pt shot from 1 ft
10:04.0,Offensive foul by D. Howard,,6-5,,
10:04.0,Turnover by D. Howard (offensive foul),,6-5,,
9:51.0,,,6-5,,K. Thompson misses 2-pt shot from 10 ft
9:51.0,,,6-5,,Offensive rebound by K. Thompson
9:43.0,,,6-5,,D. Green misses 3-pt shot from 29 ft
9:43.0,Defensive rebound by Team,,6-5,,
9:31.0,D. Motiejunas misses 2-pt shot from 10 ft,,6-5,,
9:30.0,,,6-5,,Defensive rebound by D. Green
9:14.0,,,6-5,,K. Thompson misses 2-pt shot from 13 ft
9:14.0,,,6-5,,Offensive rebound by Team
9:14.0,Personal foul by J. Harden,,6-5,,
9:08.0,,,6-5,,K. Thompson misses 2-pt shot from 3 ft
9:07.0,Defensive rebound by P. Beverley,,6-5,,
8:53.0,D. Motiejunas misses 2-pt shot from 9 ft,,6-5,,
8:53.0,,,6-5,,Defensive rebound by A. Bogut
8:39.0,,,6-5,,Turnover by A. Bogut (offensive foul)
8:39.0,,,6-5,,Offensive foul by A. Bogut
8:21.0,J. Harden misses 2-pt shot from 14 ft,,6-5,,
8:20.0,,,6-5,,Defensive rebound by H. Barnes
8:01.0,,,6-7,2,S. Livingston makes 2-pt shot from 8 ft (assist by D. Green)
7:56.0,Turnover by J. Harden (lost ball; steal by S. Livingston),,6-7,,
7:50.0,,,6-7,,K. Thompson misses 2-pt shot from 2 ft
7:50.0,,,6-7,,Offensive rebound by H. Barnes
7:50.0,Personal foul by P. Beverley,,6-7,,
7:42.0,,,6-9,2,H. Barnes makes 2-pt shot at rim
7:33.0,Turnover by T. Ariza (lost ball; steal by H. Barnes),,6-9,,
7:14.0,,,6-11,2,A. Bogut makes 2-pt shot from 2 ft (assist by K. Thompson)
7:14.0,Houston full timeout,,6-11,,
7:06.0,,,6-11,,Personal foul by K. Thompson
6:53.0,T. Ariza misses 2-pt shot from 3 ft (block by D. Green),,6-11,,
6:52.0,,,6-11,,Defensive rebound by D. Green
6:49.0,,,6-13,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Livingston)
6:41.0,Shooting foul by H. Barnes (drawn by J. Harden),,6-13,,
6:41.0,J. Harden makes free throw 1 of 3,1,7-13,,
6:41.0,J. Harden makes free throw 2 of 3,1,8-13,,
6:41.0,,,8-13,,A. Iguodala enters the game for H. Barnes
6:41.0,J. Smith enters the game for D. Motiejunas,,8-13,,
6:41.0,J. Harden misses free throw 3 of 3,,8-13,,
6:41.0,,,8-13,,Defensive rebound by D. Green
6:22.0,,,8-15,2,S. Livingston makes 2-pt shot from 12 ft
6:12.0,J. Smith makes 3-pt shot from 25 ft (assist by D. Howard),3,11-15,,
5:59.0,,,11-15,,Offensive foul by K. Thompson
5:59.0,,,11-15,,Turnover by K. Thompson (offensive foul)
5:59.0,,,11-15,,L. Barbosa enters the game for K. Thompson
5:49.0,J. Harden misses 2-pt shot from 2 ft,,11-15,,
5:47.0,,,11-15,,Defensive rebound by D. Green
5:32.0,,,11-17,2,D. Green makes 2-pt shot from 19 ft (assist by L. Barbosa)
5:11.0,J. Harden misses 3-pt shot from 27 ft,,11-17,,
5:11.0,Offensive rebound by D. Howard,,11-17,,
5:03.0,T. Ariza misses 3-pt shot from 23 ft,,11-17,,
5:02.0,,,11-17,,Defensive rebound by D. Green
4:54.0,,,11-17,,L. Barbosa misses 3-pt shot from 23 ft
4:54.0,Defensive rebound by D. Howard,,11-17,,
