time,Denver,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. N. Jokic,,,,Jump ball: O. Asik vs. N. Jokic
11:42.0,G. Harris misses 2-pt shot from 11 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by T. Douglas
11:36.0,,,0-0,,Turnover by D. Cunningham (step out of bounds)
11:25.0,E. Mudiay misses 3-pt shot from 25 ft,,0-0,,
11:24.0,Offensive rebound by N. Jokic,,0-0,,
11:16.0,N. Jokic misses 3-pt shot from 25 ft,,0-0,,
11:15.0,,,0-0,,Defensive rebound by Team
11:02.0,,,0-0,,Turnover by L. Babbitt (lost ball; steal by E. Mudiay)
10:57.0,J. Sampson misses 2-pt shot from 1 ft,,0-0,,
10:55.0,,,0-0,,Defensive rebound by L. Babbitt
10:33.0,,,0-0,,J. Hamilton misses 2-pt shot from 21 ft
10:32.0,Defensive rebound by J. Sampson,,0-0,,
10:29.0,,,0-0,,Personal foul by J. Hamilton
10:22.0,G. Harris makes 3-pt shot from 25 ft (assist by E. Mudiay),3,3-0,,
10:08.0,,,3-0,,T. Douglas misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by K. Faried,,3-0,,
9:58.0,,,3-0,,Personal foul by D. Cunningham
9:50.0,G. Harris makes 2-pt shot from 15 ft (assist by E. Mudiay),2,5-0,,
9:32.0,,,5-2,2,L. Babbitt makes 2-pt shot from 9 ft
9:08.0,N. Jokic makes 2-pt shot from 17 ft (assist by G. Harris),2,7-2,,
8:57.0,,,7-2,,Turnover by T. Douglas (lost ball; steal by N. Jokic)
8:45.0,Turnover by K. Faried (lost ball; steal by L. Babbitt),,7-2,,
8:37.0,,,7-2,,L. Babbitt misses 2-pt shot from 1 ft (block by J. Sampson)
8:35.0,,,7-2,,Offensive rebound by L. Babbitt
8:33.0,,,7-2,,L. Babbitt misses 2-pt shot from 3 ft (block by J. Sampson)
8:32.0,Defensive rebound by K. Faried,,7-2,,
8:22.0,J. Sampson misses 3-pt shot from 24 ft,,7-2,,
8:21.0,,,7-2,,Defensive rebound by J. Hamilton
8:10.0,,,7-5,3,L. Babbitt makes 3-pt shot from 27 ft (assist by T. Douglas)
7:57.0,G. Harris misses 2-pt shot from 18 ft,,7-5,,
7:56.0,,,7-5,,Defensive rebound by L. Babbitt
7:37.0,,,7-7,2,J. Hamilton makes 2-pt shot from 8 ft
7:22.0,Shooting foul by T. Douglas (drawn by K. Faried),,7-7,,
7:22.0,K. Faried misses free throw 1 of 2,,7-7,,
7:22.0,Offensive rebound by Team,,7-7,,
7:22.0,K. Faried makes free throw 2 of 2,1,8-7,,
7:08.0,,,8-10,3,L. Babbitt makes 3-pt shot from 25 ft (assist by D. Cunningham)
7:05.0,Denver full timeout,,8-10,,
6:54.0,G. Harris makes 2-pt shot from 3 ft (assist by K. Faried),2,10-10,,
6:37.0,Personal foul by J. Sampson,,10-10,,
6:28.0,,,10-12,2,L. Babbitt makes 2-pt shot from 8 ft (assist by T. Douglas)
6:07.0,E. Mudiay makes 2-pt shot from 2 ft (assist by N. Jokic),2,12-12,,
5:51.0,,,12-12,,J. Hamilton misses 2-pt shot from 17 ft
5:50.0,,,12-12,,Offensive rebound by O. Asik
5:44.0,,,12-12,,J. Hamilton misses 2-pt shot from 12 ft
5:43.0,Defensive rebound by N. Jokic,,12-12,,
5:39.0,E. Mudiay makes 2-pt shot at rim (assist by N. Jokic),2,14-12,,
5:24.0,,,14-15,3,T. Douglas makes 3-pt shot from 25 ft
5:13.0,K. Faried makes 2-pt shot at rim (assist by E. Mudiay),2,16-15,,
4:50.0,,,16-18,3,T. Douglas makes 3-pt shot from 24 ft (assist by J. Hamilton)
4:24.0,K. Faried misses 2-pt shot from 15 ft,,16-18,,
4:23.0,,,16-18,,Defensive rebound by O. Asik
4:10.0,,,16-18,,L. Babbitt misses 2-pt shot from 6 ft
