time,Portland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. M. Plumlee (C. McCollum gains possession),,,,Jump ball: R. Lopez vs. M. Plumlee (C. McCollum gains possession)
11:42.0,A. Aminu misses 2-pt shot from 16 ft,,0-0,,
11:41.0,Offensive rebound by M. Plumlee,,0-0,,
11:41.0,M. Plumlee misses 2-pt shot from 2 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by K. Porzingis
11:19.0,,,0-0,,R. Lopez misses 2-pt shot from 18 ft
11:17.0,Defensive rebound by C. McCollum,,0-0,,
11:07.0,N. Vonleh misses 2-pt shot from 18 ft,,0-0,,
11:06.0,,,0-0,,Defensive rebound by A. Afflalo
10:54.0,,,0-2,2,K. Porzingis makes 2-pt shot from 9 ft
10:34.0,C. McCollum makes 2-pt shot from 16 ft (assist by D. Lillard),2,2-2,,
10:23.0,,,2-2,,Turnover by J. Calderon (bad pass)
10:11.0,A. Aminu misses 3-pt shot from 24 ft,,2-2,,
10:09.0,,,2-2,,Defensive rebound by J. Calderon
10:01.0,,,2-4,2,A. Afflalo makes 2-pt shot from 4 ft
9:44.0,A. Aminu misses 2-pt shot from 4 ft,,2-4,,
9:42.0,,,2-4,,Defensive rebound by K. Porzingis
9:30.0,,,2-4,,A. Afflalo misses 2-pt shot from 15 ft
9:29.0,Defensive rebound by A. Aminu,,2-4,,
9:20.0,A. Aminu misses 2-pt shot from 2 ft,,2-4,,
9:19.0,Offensive rebound by N. Vonleh,,2-4,,
9:19.0,N. Vonleh makes 2-pt shot at rim,2,4-4,,
9:03.0,,,4-4,,C. Anthony misses 2-pt shot from 3 ft (block by M. Plumlee)
9:01.0,Defensive rebound by D. Lillard,,4-4,,
8:54.0,Shooting foul by J. Calderon (drawn by D. Lillard),,4-4,,
8:54.0,D. Lillard makes free throw 1 of 2,1,5-4,,
8:54.0,D. Lillard makes free throw 2 of 2,1,6-4,,
8:31.0,,,6-6,2,J. Calderon makes 2-pt shot from 19 ft
8:20.0,D. Lillard misses 2-pt shot from 17 ft,,6-6,,
8:18.0,Offensive rebound by N. Vonleh,,6-6,,
8:18.0,N. Vonleh makes 2-pt shot at rim,2,8-6,,
8:12.0,,,8-6,,Turnover by C. Anthony (bad pass; steal by M. Plumlee)
8:07.0,C. McCollum misses 2-pt shot from 17 ft,,8-6,,
8:05.0,Offensive rebound by C. McCollum,,8-6,,
7:50.0,N. Vonleh misses 3-pt shot from 24 ft,,8-6,,
7:48.0,,,8-6,,Defensive rebound by A. Afflalo
7:30.0,,,8-8,2,R. Lopez makes 2-pt shot from 3 ft
7:09.0,Turnover by C. McCollum (bad pass; steal by K. Porzingis),,8-8,,
6:57.0,,,8-8,,A. Afflalo misses 2-pt shot from 4 ft
6:55.0,,,8-8,,Offensive rebound by A. Afflalo
6:52.0,,,8-8,,C. Anthony misses 3-pt shot from 24 ft
6:50.0,Defensive rebound by N. Vonleh,,8-8,,
6:44.0,D. Lillard makes 2-pt shot from 4 ft,2,10-8,,
6:33.0,,,10-8,,J. Calderon misses 2-pt shot from 17 ft
6:32.0,,,10-8,,Offensive rebound by R. Lopez
6:31.0,,,10-10,2,R. Lopez makes 2-pt shot from 2 ft
6:05.0,C. McCollum misses 2-pt shot from 5 ft,,10-10,,
6:04.0,Offensive rebound by Team,,10-10,,
6:04.0,Turnover by Team (shot clock),,10-10,,
5:50.0,,,10-12,2,A. Afflalo makes 2-pt shot from 5 ft
5:36.0,Offensive foul by C. McCollum,,10-12,,
5:36.0,Turnover by C. McCollum (offensive foul),,10-12,,
5:36.0,,,10-12,,New York full timeout
5:36.0,M. Leonard enters the game for N. Vonleh,,10-12,,
5:36.0,A. Crabbe enters the game for C. McCollum,,10-12,,
5:16.0,,,10-12,,Shooting foul by M. Plumlee (drawn by K. Porzingis)
5:16.0,,,10-14,2,K. Porzingis makes 2-pt shot from 13 ft
5:16.0,,,10-15,1,K. Porzingis makes free throw 1 of 1
5:03.0,D. Lillard misses 3-pt shot from 24 ft,,10-15,,
5:01.0,,,10-15,,Defensive rebound by A. Afflalo
4:54.0,,,10-17,2,C. Anthony makes 2-pt shot from 19 ft
4:38.0,A. Aminu makes 2-pt shot from 20 ft (assist by M. Plumlee),2,12-17,,
4:19.0,,,12-17,,K. Porzingis misses 2-pt shot from 12 ft (block by A. Aminu)
4:17.0,Defensive rebound by A. Crabbe,,12-17,,
4:09.0,M. Leonard makes 3-pt shot from 24 ft (assist by A. Aminu),3,15-17,,
3:56.0,,,15-17,,Shooting foul by A. Aminu (drawn by C. Anthony)
3:56.0,,,15-19,2,C. Anthony makes 2-pt shot from 1 ft
3:56.0,,,15-19,,D. Williams enters the game for K. Porzingis
3:56.0,,,15-19,,L. Galloway enters the game for A. Afflalo
3:56.0,G. Henderson enters the game for A. Aminu,,15-19,,
3:56.0,E. Davis enters the game for M. Plumlee,,15-19,,
3:56.0,,,15-20,1,C. Anthony makes free throw 1 of 1
3:42.0,E. Davis makes 2-pt shot from 2 ft (assist by D. Lillard),2,17-20,,
3:42.0,Shooting foul by R. Lopez (drawn by E. Davis),,17-20,,
3:42.0,E. Davis makes free throw 1 of 1,1,18-20,,
3:24.0,,,18-20,,C. Anthony misses 2-pt shot from 8 ft
3:23.0,Defensive rebound by D. Lillard,,18-20,,
3:11.0,D. Lillard misses 3-pt shot from 25 ft,,18-20,,
3:09.0,,,18-20,,Defensive rebound by J. Calderon
3:03.0,,,18-20,,C. Anthony misses 2-pt shot at rim (block by E. Davis)
3:02.0,,,18-20,,Offensive rebound by Team
2:58.0,,,18-20,,D. Williams misses 2-pt shot from 16 ft
2:56.0,Defensive rebound by M. Leonard,,18-20,,
2:49.0,D. Lillard makes 2-pt shot from 1 ft,2,20-20,,
2:31.0,,,20-22,2,D. Williams makes 2-pt shot from 1 ft
2:31.0,,,20-22,,Shooting foul by E. Davis (drawn by D. Williams)
2:31.0,Portland full timeout,,20-22,,
