time,LA Clippers,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: R. Hibbert vs. D. Jordan (B. Griffin gains possession)
11:49.0,,,0-0,,Personal foul by J. Randle
11:46.0,Shooting foul by R. Hibbert (drawn by B. Griffin),,0-0,,
11:46.0,B. Griffin misses free throw 1 of 2,,0-0,,
11:46.0,Offensive rebound by Team,,0-0,,
11:46.0,B. Griffin makes free throw 2 of 2,1,1-0,,
11:28.0,,,1-2,2,K. Bryant makes 2-pt shot from 12 ft
11:17.0,C. Paul makes 2-pt shot from 17 ft,2,3-2,,
11:01.0,,,3-2,,K. Bryant misses 2-pt shot from 16 ft
11:00.0,Defensive rebound by D. Jordan,,3-2,,
10:54.0,L. Mbah a Moute misses 2-pt shot from 1 ft,,3-2,,
10:49.0,,,3-2,,Defensive rebound by J. Randle
10:40.0,,,3-2,,K. Bryant misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by B. Griffin,,3-2,,
10:29.0,L. Mbah a Moute makes 2-pt shot from 18 ft (assist by C. Paul),2,5-2,,
10:12.0,,,5-2,,J. Randle misses 2-pt shot from 17 ft
10:11.0,Defensive rebound by B. Griffin,,5-2,,
9:58.0,J. Redick misses 3-pt shot from 24 ft,,5-2,,
9:57.0,,,5-2,,Defensive rebound by J. Randle
9:46.0,,,5-4,2,J. Clarkson makes 2-pt shot from 3 ft
9:28.0,J. Redick misses 2-pt shot from 17 ft,,5-4,,
9:27.0,,,5-4,,Defensive rebound by J. Randle
9:11.0,,,5-4,,J. Randle misses 2-pt shot from 16 ft
9:09.0,Defensive rebound by D. Jordan,,5-4,,
9:01.0,C. Paul makes 2-pt shot from 15 ft,2,7-4,,
8:41.0,,,7-6,2,K. Bryant makes 2-pt shot from 2 ft
8:35.0,,,7-6,,Personal foul by J. Clarkson
8:25.0,J. Redick misses 2-pt shot from 20 ft,,7-6,,
8:24.0,,,7-6,,Defensive rebound by J. Randle
8:15.0,Personal foul by C. Paul,,7-6,,
8:01.0,,,7-8,2,D. Russell makes 2-pt shot from 9 ft
7:54.0,C. Paul misses 3-pt shot from 27 ft,,7-8,,
7:53.0,,,7-8,,Defensive rebound by J. Randle
7:37.0,,,7-8,,K. Bryant misses 2-pt shot from 11 ft
7:34.0,Defensive rebound by B. Griffin,,7-8,,
7:32.0,Turnover by B. Griffin (lost ball; steal by J. Clarkson),,7-8,,
7:27.0,,,7-10,2,J. Clarkson makes 2-pt shot from 2 ft
7:21.0,B. Griffin makes 2-pt shot from 6 ft (assist by J. Redick),2,9-10,,
7:05.0,,,9-10,,Shooting foul by L. Mbah a Moute (drawn by R. Hibbert)
7:05.0,,,9-11,1,R. Hibbert makes free throw 1 of 2
7:05.0,,,9-12,1,R. Hibbert makes free throw 2 of 2
6:48.0,J. Redick misses 2-pt shot from 20 ft,,9-12,,
6:46.0,Offensive rebound by D. Jordan,,9-12,,
6:41.0,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul),2,11-12,,
6:27.0,,,11-14,2,K. Bryant makes 2-pt shot from 7 ft
6:27.0,,,11-14,,Shooting foul by L. Mbah a Moute (drawn by K. Bryant)
6:27.0,,,11-15,1,K. Bryant makes free throw 1 of 1
6:14.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,13-15,,
6:03.0,,,13-17,2,J. Randle makes 2-pt shot from 15 ft (assist by D. Russell)
5:54.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,15-17,,
5:42.0,,,15-17,,D. Russell misses 2-pt shot from 13 ft
5:38.0,,,15-17,,Offensive rebound by J. Randle
5:38.0,,,15-17,,J. Randle misses 2-pt shot at rim (block by D. Jordan)
5:35.0,Defensive rebound by D. Jordan,,15-17,,
5:32.0,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Redick),2,17-17,,
5:19.0,,,17-17,,R. Hibbert misses 2-pt shot from 18 ft
5:17.0,Defensive rebound by J. Redick,,17-17,,
5:05.0,D. Jordan misses 2-pt shot from 2 ft (block by R. Hibbert),,17-17,,
5:01.0,Offensive rebound by C. Paul,,17-17,,
5:00.0,J. Redick misses 3-pt shot from 26 ft,,17-17,,
4:58.0,,,17-17,,Defensive rebound by J. Randle
4:54.0,,,17-17,,J. Randle misses 2-pt shot from 1 ft
4:52.0,,,17-17,,Offensive rebound by J. Randle
4:46.0,,,17-20,3,K. Bryant makes 3-pt shot from 24 ft (assist by J. Clarkson)
4:36.0,LA Clippers full timeout,,17-20,,
4:36.0,J. Green enters the game for L. Mbah a Moute,,17-20,,
4:36.0,C. Wilcox enters the game for J. Redick,,17-20,,
4:36.0,,,17-20,,M. Huertas enters the game for J. Randle
4:36.0,,,17-20,,M. World Peace enters the game for J. Clarkson
4:25.0,B. Griffin makes 2-pt shot from 2 ft,2,19-20,,
4:00.0,,,19-20,,R. Hibbert misses 2-pt shot from 18 ft
3:58.0,Defensive rebound by B. Griffin,,19-20,,
3:54.0,C. Wilcox misses 2-pt shot from 16 ft,,19-20,,
3:50.0,Offensive rebound by D. Jordan,,19-20,,
3:49.0,D. Jordan makes 2-pt shot at rim,2,21-20,,
3:28.0,,,21-20,,K. Bryant misses 2-pt shot from 15 ft
3:26.0,Defensive rebound by B. Griffin,,21-20,,
3:21.0,Shooting foul by R. Hibbert (drawn by B. Griffin),,21-20,,
3:21.0,B. Griffin makes free throw 1 of 2,1,22-20,,
3:21.0,P. Prigioni enters the game for C. Paul,,22-20,,
3:21.0,,,22-20,,T. Black enters the game for R. Hibbert
3:21.0,B. Griffin makes free throw 2 of 2,1,23-20,,
3:03.0,,,23-22,2,T. Black makes 2-pt shot from 2 ft
2:51.0,C. Wilcox misses 2-pt shot from 15 ft,,23-22,,
2:50.0,,,23-22,,Defensive rebound by Team
2:50.0,,,23-22,,LA Lakers full timeout
2:50.0,P. Pierce enters the game for B. Griffin,,23-22,,
2:50.0,,,23-22,,L. Nance enters the game for K. Bryant
2:34.0,,,23-22,,M. World Peace misses 2-pt shot from 4 ft (block by D. Jordan)
2:34.0,,,23-22,,Offensive rebound by Team
2:31.0,,,23-22,,D. Russell misses 2-pt shot from 17 ft
2:27.0,Defensive rebound by J. Green,,23-22,,
2:18.0,J. Green misses 3-pt shot from 26 ft,,23-22,,
2:17.0,Offensive rebound by D. Jordan,,23-22,,
1:57.0,D. Jordan makes 2-pt shot at rim (assist by J. Green),2,25-22,,
1:31.0,,,25-24,2,D. Russell makes 2-pt shot from 5 ft
1:20.0,Turnover by P. Prigioni (lost ball; steal by L. Nance),,25-24,,
1:15.0,,,25-24,,Shooting foul by P. Pierce (drawn by T. Black)
1:15.0,,,25-24,,T. Black misses free throw 1 of 2
1:15.0,,,25-24,,Offensive rebound by Team
1:15.0,C. Aldrich enters the game for D. Jordan,,25-24,,
1:15.0,,,25-25,1,T. Black makes free throw 2 of 2
0:58.0,C. Aldrich makes 2-pt shot from 3 ft (assist by C. Wilcox),2,27-25,,
0:46.0,,,27-25,,Turnover by T. Black (lost ball; steal by C. Wilcox)
0:38.0,P. Pierce makes 2-pt shot from 15 ft,2,29-25,,
0:33.0,,,29-25,,D. Russell misses 3-pt shot from 26 ft
0:32.0,,,29-25,,Offensive rebound by T. Black
0:08.0,,,29-25,,M. World Peace misses 2-pt shot from 11 ft
0:06.0,Defensive rebound by C. Aldrich,,29-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,29-27,2,M. Huertas makes 2-pt shot from 3 ft
11:15.0,C. Wilcox misses 2-pt shot from 20 ft,,29-27,,
11:14.0,,,29-27,,Defensive rebound by M. Huertas
11:02.0,,,29-27,,Turnover by M. Huertas (lost ball; steal by J. Green)
10:51.0,J. Green makes 2-pt shot from 10 ft,2,31-27,,
10:29.0,,,31-27,,L. Nance misses 2-pt shot from 2 ft (block by C. Aldrich)
10:27.0,Defensive rebound by C. Aldrich,,31-27,,
10:19.0,C. Aldrich misses 2-pt shot from 8 ft,,31-27,,
10:17.0,Offensive rebound by P. Prigioni,,31-27,,
10:10.0,Shooting foul by M. World Peace (drawn by C. Aldrich),,31-27,,
10:10.0,C. Aldrich makes free throw 1 of 2,1,32-27,,
10:10.0,,,32-27,,R. Kelly enters the game for M. World Peace
10:10.0,C. Aldrich misses free throw 2 of 2,,32-27,,
10:09.0,,,32-27,,Defensive rebound by L. Nance
9:54.0,,,32-30,3,J. Clarkson makes 3-pt shot from 24 ft (assist by M. Huertas)
9:44.0,P. Prigioni misses 2-pt shot from 11 ft,,32-30,,
9:43.0,Offensive rebound by C. Aldrich,,32-30,,
9:38.0,P. Pierce makes 3-pt shot from 26 ft (assist by C. Aldrich),3,35-30,,
9:09.0,,,35-30,,L. Nance misses 2-pt shot from 20 ft
9:09.0,Defensive rebound by P. Pierce,,35-30,,
9:08.0,,,35-30,,Personal foul by L. Nance
8:53.0,P. Pierce misses 2-pt shot from 16 ft,,35-30,,
8:51.0,,,35-30,,Defensive rebound by L. Nance
8:42.0,,,35-30,,Turnover by M. Huertas (lost ball; steal by P. Prigioni)
8:37.0,Shooting foul by T. Black (drawn by J. Green),,35-30,,
8:37.0,Official timeout,,35-30,,
8:37.0,,,35-30,,R. Sacre enters the game for T. Black
8:37.0,J. Green misses free throw 1 of 2,,35-30,,
8:37.0,Offensive rebound by Team,,35-30,,
8:37.0,J. Green makes free throw 2 of 2,1,36-30,,
8:24.0,,,36-32,2,R. Kelly makes 2-pt shot from 2 ft
8:24.0,,,36-32,,Shooting foul by P. Pierce (drawn by R. Kelly)
8:24.0,,,36-32,,R. Kelly misses free throw 1 of 1
8:22.0,Defensive rebound by C. Aldrich,,36-32,,
8:09.0,C. Wilcox misses 3-pt shot from 26 ft,,36-32,,
8:07.0,,,36-32,,Defensive rebound by R. Sacre
7:56.0,,,36-32,,J. Clarkson misses 2-pt shot from 18 ft
7:56.0,,,36-32,,Offensive rebound by R. Sacre
7:54.0,Jump ball: C. Aldrich vs. R. Sacre (J. Green gains possession),,,,Jump ball: C. Aldrich vs. R. Sacre (J. Green gains possession)
7:54.0,,,36-32,,Turnover by R. Sacre (lost ball; steal by C. Aldrich)
