time,Orlando,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. N. Vucevic (C. Frye gains possession),,,,Jump ball: M. Gortat vs. N. Vucevic (C. Frye gains possession)
11:46.0,N. Vucevic makes 2-pt shot from 19 ft (assist by E. Payton),2,2-0,,
11:26.0,,,2-0,,M. Gortat misses 2-pt shot from 13 ft
11:25.0,Defensive rebound by C. Frye,,2-0,,
11:08.0,N. Vucevic misses 2-pt shot from 5 ft,,2-0,,
11:07.0,,,2-0,,Defensive rebound by M. Gortat
10:44.0,,,2-0,,Turnover by Team (shot clock)
10:27.0,N. Vucevic makes 2-pt shot from 15 ft (assist by E. Fournier),2,4-0,,
10:14.0,,,4-0,,G. Temple misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by N. Vucevic,,4-0,,
10:02.0,N. Vucevic makes 2-pt shot from 1 ft (assist by E. Payton),2,6-0,,
9:49.0,,,6-2,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
9:36.0,T. Harris misses 3-pt shot from 31 ft,,6-2,,
9:34.0,,,6-2,,Defensive rebound by M. Gortat
9:29.0,,,6-2,,G. Temple misses 3-pt shot from 23 ft
9:27.0,Defensive rebound by E. Fournier,,6-2,,
9:12.0,E. Payton makes 3-pt shot from 25 ft (assist by T. Harris),3,9-2,,
9:03.0,,,9-4,2,M. Gortat makes 2-pt shot from 11 ft (assist by O. Porter)
8:45.0,N. Vucevic misses 2-pt shot from 2 ft,,9-4,,
8:44.0,,,9-4,,Defensive rebound by M. Gortat
8:25.0,,,9-4,,G. Temple misses 3-pt shot from 23 ft
8:24.0,Defensive rebound by T. Harris,,9-4,,
8:07.0,N. Vucevic misses 2-pt shot from 14 ft,,9-4,,
8:06.0,,,9-4,,Defensive rebound by O. Porter
8:00.0,,,9-6,2,J. Wall makes 2-pt shot at rim
7:34.0,E. Fournier misses 3-pt shot from 28 ft,,9-6,,
7:33.0,,,9-6,,Defensive rebound by Team
7:13.0,,,9-6,,J. Dudley misses 2-pt shot from 16 ft
7:12.0,Defensive rebound by N. Vucevic,,9-6,,
6:56.0,Turnover by E. Fournier (bad pass; steal by J. Dudley),,9-6,,
6:49.0,,,9-6,,J. Wall misses 2-pt shot from 10 ft
6:47.0,Defensive rebound by N. Vucevic,,9-6,,
