time,San Antonio,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. T. Chandler,,,,Jump ball: L. Aldridge vs. T. Chandler
11:41.0,L. Aldridge misses 2-pt shot from 19 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by T. Chandler
11:16.0,,,0-0,,A. Goodwin misses 3-pt shot from 48 ft
11:16.0,,,0-0,,Offensive rebound by Team
11:15.0,,,0-0,,Turnover by Team (shot clock)
10:57.0,L. Aldridge misses 2-pt shot from 16 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by A. Goodwin
10:49.0,,,0-0,,Shooting foul by L. Aldridge (drawn by A. Goodwin)
10:49.0,,,0-0,,A. Goodwin misses free throw 1 of 2
10:49.0,,,0-0,,Offensive rebound by Team
10:49.0,,,0-0,,A. Goodwin misses free throw 2 of 2
10:48.0,Defensive rebound by K. Leonard,,0-0,,
10:32.0,D. West misses 2-pt shot from 12 ft,,0-0,,
10:32.0,,,0-0,,Defensive rebound by A. Len
10:23.0,,,0-0,,A. Goodwin misses 2-pt shot from 14 ft
10:23.0,Defensive rebound by D. West,,0-0,,
10:13.0,Shooting foul by A. Len (drawn by L. Aldridge),,0-0,,
10:13.0,L. Aldridge makes 2-pt shot from 12 ft,2,2-0,,
10:13.0,L. Aldridge makes free throw 1 of 1,1,3-0,,
9:57.0,,,3-0,,D. Booker misses 3-pt shot from 24 ft
9:56.0,Defensive rebound by D. West,,3-0,,
9:46.0,D. West makes 2-pt shot from 19 ft (assist by R. McCallum),2,5-0,,
9:32.0,,,5-2,2,D. Booker makes 2-pt shot from 16 ft
9:11.0,Shooting foul by T. Chandler (drawn by D. West),,5-2,,
9:11.0,D. West makes free throw 1 of 2,1,6-2,,
9:11.0,D. West makes free throw 2 of 2,1,7-2,,
8:54.0,,,7-4,2,D. Booker makes 2-pt shot from 19 ft (assist by A. Len)
8:42.0,L. Aldridge makes 2-pt shot at rim (assist by D. West),2,9-4,,
8:15.0,,,9-4,,T. Chandler misses 2-pt shot at rim
8:14.0,Defensive rebound by K. Leonard,,9-4,,
8:09.0,D. Green makes 2-pt shot at rim (assist by K. Leonard),2,11-4,,
7:59.0,,,11-4,,D. Booker misses 2-pt shot from 13 ft
7:59.0,Defensive rebound by L. Aldridge,,11-4,,
7:51.0,R. McCallum misses 2-pt shot from 17 ft,,11-4,,
7:50.0,,,11-4,,Defensive rebound by T. Chandler
7:25.0,,,11-4,,Turnover by Team (shot clock)
7:08.0,K. Leonard misses 2-pt shot from 7 ft,,11-4,,
7:07.0,,,11-4,,Defensive rebound by T. Chandler
7:02.0,,,11-6,2,D. Booker makes 2-pt shot from 4 ft
6:40.0,K. Leonard misses 2-pt shot from 1 ft,,11-6,,
6:39.0,Offensive rebound by K. Leonard,,11-6,,
6:39.0,K. Leonard misses 2-pt shot from 1 ft,,11-6,,
6:37.0,,,11-6,,Defensive rebound by P. Tucker
6:26.0,,,11-8,2,A. Len makes 2-pt shot from 3 ft
6:25.0,San Antonio full timeout,,11-8,,
6:25.0,,,11-8,,T. Warren enters the game for A. Len
6:09.0,L. Aldridge misses 2-pt shot from 8 ft,,11-8,,
6:09.0,Offensive rebound by Team,,11-8,,
6:09.0,,,11-8,,Loose ball foul by T. Chandler (drawn by L. Aldridge)
5:57.0,K. Leonard makes 2-pt shot from 1 ft (assist by D. West),2,13-8,,
5:57.0,Shooting foul by T. Warren (drawn by K. Leonard),,13-8,,
5:57.0,,,13-8,,A. Len enters the game for P. Tucker
5:57.0,K. Leonard makes free throw 1 of 1,1,14-8,,
5:46.0,,,14-8,,A. Len misses 2-pt shot from 16 ft
5:45.0,,,14-8,,Offensive rebound by T. Chandler
5:33.0,,,14-10,2,T. Warren makes 2-pt shot from 1 ft (assist by D. Booker)
5:18.0,R. McCallum misses 2-pt shot from 9 ft (block by A. Goodwin),,14-10,,
5:17.0,Offensive rebound by D. Green,,14-10,,
5:05.0,K. Leonard misses 2-pt shot from 20 ft,,14-10,,
5:05.0,,,14-10,,Defensive rebound by T. Chandler
4:48.0,,,14-10,,Turnover by T. Warren (bad pass; steal by D. West)
4:42.0,R. McCallum makes 2-pt shot from 2 ft,2,16-10,,
4:32.0,Personal foul by R. McCallum (drawn by A. Goodwin),,16-10,,
4:32.0,J. Simmons enters the game for K. Leonard,,16-10,,
4:32.0,M. Ginobili enters the game for D. West,,16-10,,
4:32.0,B. Diaw enters the game for D. Green,,16-10,,
4:32.0,P. Mills enters the game for R. McCallum,,16-10,,
4:26.0,,,16-10,,T. Warren misses 2-pt shot at rim
4:26.0,Defensive rebound by L. Aldridge,,16-10,,
4:06.0,B. Diaw makes 3-pt shot from 24 ft (assist by J. Simmons),3,19-10,,
3:39.0,,,19-10,,Turnover by A. Goodwin (bad pass; steal by J. Simmons)
3:34.0,J. Simmons misses 2-pt shot from 1 ft,,19-10,,
3:33.0,Offensive rebound by P. Mills,,19-10,,
3:30.0,P. Mills makes 2-pt shot from 1 ft,2,21-10,,
3:25.0,,,21-10,,Phoenix full timeout
3:25.0,B. Marjanovic enters the game for L. Aldridge,,21-10,,
3:25.0,,,21-10,,L. Brown enters the game for A. Goodwin
3:16.0,,,21-10,,T. Warren misses 2-pt shot from 10 ft
3:16.0,Defensive rebound by B. Marjanovic,,21-10,,
2:54.0,M. Ginobili misses 2-pt shot from 16 ft,,21-10,,
2:54.0,,,21-10,,Defensive rebound by A. Len
2:43.0,,,21-12,2,D. Booker makes 2-pt shot from 17 ft
2:21.0,B. Diaw misses 2-pt shot from 19 ft,,21-12,,
2:21.0,,,21-12,,Defensive rebound by L. Brown
2:09.0,,,21-14,2,A. Len makes 2-pt shot from 9 ft
1:55.0,Shooting foul by A. Len (drawn by B. Marjanovic),,21-14,,
1:55.0,B. Marjanovic makes free throw 1 of 2,1,22-14,,
1:55.0,B. Marjanovic makes free throw 2 of 2,1,23-14,,
1:44.0,,,23-14,,T. Chandler misses 2-pt shot from 2 ft
1:44.0,Defensive rebound by B. Marjanovic,,23-14,,
1:37.0,B. Diaw misses 2-pt shot at rim,,23-14,,
1:37.0,,,23-14,,Defensive rebound by A. Len
1:30.0,,,23-14,,D. Booker misses 2-pt shot from 3 ft
1:30.0,Defensive rebound by B. Diaw,,23-14,,
1:21.0,J. Simmons misses 3-pt shot from 23 ft,,23-14,,
1:20.0,,,23-14,,Defensive rebound by T. Chandler
1:02.0,,,23-14,,L. Brown misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by B. Marjanovic,,23-14,,
0:50.0,B. Diaw misses 2-pt shot from 2 ft (block by A. Len),,23-14,,
0:49.0,,,23-14,,Defensive rebound by L. Brown
0:46.0,,,23-16,2,T. Warren makes 2-pt shot at rim (assist by L. Brown)
0:32.0,M. Ginobili misses 2-pt shot from 2 ft,,23-16,,
0:31.0,,,23-16,,Defensive rebound by A. Len
0:19.0,,,23-18,2,A. Len makes 2-pt shot from 15 ft (assist by L. Brown)
0:04.0,J. Simmons makes 2-pt shot from 5 ft,2,25-18,,
0:00.0,,,25-18,,L. Brown misses 3-pt shot from 37 ft
0:00.0,,,25-18,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,25-20,2,A. Len makes 2-pt shot at rim
11:29.0,D. West enters the game for B. Marjanovic,,25-20,,
11:21.0,P. Mills misses 2-pt shot from 16 ft,,25-20,,
11:21.0,,,25-20,,Defensive rebound by A. Len
11:04.0,,,25-20,,L. Brown misses 2-pt shot from 17 ft
11:04.0,,,25-20,,Offensive rebound by C. Jefferson
11:01.0,,,25-22,2,C. Jefferson makes 2-pt shot at rim
10:53.0,Turnover by M. Ginobili (bad pass),,25-22,,
10:53.0,K. Leonard enters the game for M. Ginobili,,25-22,,
10:37.0,,,25-22,,T. Warren misses 2-pt shot from 14 ft
10:37.0,Defensive rebound by B. Diaw,,25-22,,
10:28.0,K. Leonard misses 2-pt shot from 17 ft,,25-22,,
10:27.0,,,25-22,,Defensive rebound by L. Brown
10:22.0,,,25-22,,Turnover by L. Brown (bad pass)
9:57.0,J. Simmons makes 3-pt shot from 23 ft (assist by K. Leonard),3,28-22,,
9:43.0,,,28-22,,S. Weems misses 2-pt shot from 21 ft
9:42.0,Defensive rebound by B. Diaw,,28-22,,
9:36.0,B. Diaw makes 2-pt shot from 1 ft,2,30-22,,
9:15.0,,,30-22,,L. Brown misses 2-pt shot from 5 ft
9:13.0,Defensive rebound by D. West,,30-22,,
9:09.0,J. Simmons makes 2-pt shot at rim (assist by D. West),2,32-22,,
9:09.0,,,32-22,,Phoenix full timeout
9:09.0,,,32-22,,A. Goodwin enters the game for L. Brown
9:09.0,K. Anderson enters the game for J. Simmons,,32-22,,
8:56.0,,,32-22,,Turnover by S. Weems (bad pass; steal by P. Mills)
8:51.0,K. Leonard makes 2-pt shot at rim (assist by P. Mills),2,34-22,,
8:33.0,,,34-22,,C. Jefferson misses 2-pt shot from 19 ft
