time,Houston,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. D. Howard (J. Smith gains possession),,,,Jump ball: R. Gobert vs. D. Howard (J. Smith gains possession)
11:40.0,Turnover by J. Smith (bad pass; steal by S. Mack),,0-0,,
11:36.0,Violation by D. Howard (def goaltending),,0-0,,
11:36.0,,,0-2,2,R. Hood makes 2-pt shot from 2 ft
11:15.0,J. Smith misses 3-pt shot from 23 ft,,0-2,,
11:15.0,Offensive rebound by D. Howard,,0-2,,
11:12.0,D. Howard makes 2-pt shot from 1 ft,2,2-2,,
10:44.0,,,2-2,,Turnover by S. Mack (bad pass; steal by P. Beverley)
10:40.0,Shooting foul by R. Hood (drawn by P. Beverley),,2-2,,
10:40.0,P. Beverley makes free throw 1 of 2,1,3-2,,
10:40.0,P. Beverley makes free throw 2 of 2,1,4-2,,
10:22.0,,,4-2,,S. Mack misses 2-pt shot from 19 ft
10:21.0,Defensive rebound by D. Howard,,4-2,,
10:13.0,P. Beverley misses 3-pt shot from 24 ft,,4-2,,
10:13.0,,,4-2,,Defensive rebound by Team
10:03.0,,,4-2,,Shooting foul by D. Howard (drawn by D. Favors)
10:03.0,,,4-3,1,D. Favors makes free throw 1 of 2
10:03.0,,,4-4,1,D. Favors makes free throw 2 of 2
9:48.0,Turnover by J. Harden (bad pass; steal by R. Hood),,4-4,,
9:47.0,Personal foul by P. Beverley (drawn by S. Mack),,4-4,,
9:32.0,,,4-6,2,D. Favors makes 2-pt shot from 16 ft (assist by R. Hood)
9:15.0,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden),3,7-6,,
8:57.0,,,7-6,,Turnover by G. Hayward (lost ball; steal by P. Beverley)
8:50.0,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley),3,10-6,,
8:28.0,,,10-6,,Shooting foul by J. Harden (drawn by D. Favors)
8:28.0,,,10-7,1,D. Favors makes free throw 1 of 2
8:28.0,,,10-8,1,D. Favors makes free throw 2 of 2
8:15.0,,,10-8,,Violation by D. Favors (kicked ball)
8:09.0,J. Harden misses 2-pt shot from 16 ft,,10-8,,
8:09.0,,,10-8,,Defensive rebound by R. Gobert
7:57.0,,,10-11,3,G. Hayward makes 3-pt shot from 24 ft (assist by S. Mack)
7:42.0,J. Smith misses 2-pt shot from 3 ft,,10-11,,
7:41.0,,,10-11,,Defensive rebound by R. Gobert
7:30.0,,,10-13,2,S. Mack makes 2-pt shot from 2 ft
7:21.0,Turnover by J. Harden (bad pass; steal by R. Hood),,10-13,,
7:12.0,,,10-13,,Turnover by S. Mack (lost ball; steal by T. Ariza)
7:06.0,J. Harden makes 2-pt shot at rim (assist by P. Beverley),2,12-13,,
6:54.0,,,12-15,2,S. Mack makes 2-pt shot from 2 ft (assist by D. Favors)
6:37.0,,,12-15,,Personal foul by R. Gobert (drawn by D. Howard)
