time,Philadelphia,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. A. Horford (J. Teague gains possession),,,,Jump ball: J. Grant vs. A. Horford (J. Teague gains possession)
11:45.0,,,0-2,2,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap)
11:18.0,J. Okafor misses 2-pt shot from 3 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by A. Horford
11:12.0,,,0-2,,Turnover by K. Korver (lost ball)
10:58.0,J. Okafor misses 2-pt shot from 11 ft,,0-2,,
10:57.0,,,0-2,,Defensive rebound by J. Teague
10:52.0,,,0-2,,Turnover by J. Teague (bad pass)
10:34.0,Turnover by K. Marshall (bad pass),,0-2,,
10:23.0,,,0-5,3,J. Teague makes 3-pt shot from 23 ft
10:11.0,K. Marshall misses 2-pt shot from 1 ft,,0-5,,
10:08.0,,,0-5,,Defensive rebound by J. Teague
10:05.0,,,0-5,,J. Teague misses 3-pt shot from 25 ft
10:04.0,Defensive rebound by I. Canaan,,0-5,,
9:58.0,Offensive foul by J. Grant,,0-5,,
9:58.0,Turnover by J. Grant (offensive foul),,0-5,,
9:48.0,,,0-5,,K. Korver misses 2-pt shot from 18 ft
9:46.0,Defensive rebound by R. Covington,,0-5,,
9:40.0,J. Grant misses 2-pt shot at rim,,0-5,,
9:37.0,Offensive rebound by J. Okafor,,0-5,,
9:37.0,J. Okafor makes 2-pt shot at rim,2,2-5,,
9:21.0,,,2-7,2,J. Teague makes 2-pt shot from 1 ft
9:04.0,Turnover by K. Marshall (bad pass; steal by A. Horford),,2-7,,
8:59.0,,,2-9,2,A. Horford makes 2-pt shot at rim (assist by K. Korver)
8:45.0,R. Covington misses 3-pt shot from 24 ft,,2-9,,
8:44.0,,,2-9,,Defensive rebound by K. Bazemore
8:30.0,,,2-11,2,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver)
8:30.0,Philadelphia full timeout,,2-11,,
8:15.0,J. Grant makes 2-pt shot at rim (assist by K. Marshall),2,4-11,,
7:53.0,,,4-11,,P. Millsap misses 2-pt shot from 2 ft
7:52.0,Defensive rebound by Team,,4-11,,
7:34.0,J. Okafor makes 2-pt shot from 5 ft (assist by R. Covington),2,6-11,,
7:22.0,,,6-13,2,A. Horford makes 2-pt shot from 16 ft
7:08.0,Turnover by J. Grant (lost ball),,6-13,,
7:08.0,R. Holmes enters the game for K. Marshall,,6-13,,
7:08.0,T. Wroten enters the game for J. Okafor,,6-13,,
7:01.0,,,6-13,,Turnover by A. Horford (bad pass; steal by R. Covington)
6:57.0,R. Covington makes 2-pt shot at rim,2,8-13,,
6:49.0,,,8-13,,J. Teague misses 2-pt shot at rim
6:47.0,Defensive rebound by R. Covington,,8-13,,
6:44.0,I. Canaan misses 3-pt shot from 24 ft,,8-13,,
6:43.0,Offensive rebound by R. Holmes,,8-13,,
6:34.0,J. Grant misses 3-pt shot from 23 ft,,8-13,,
