time,Philadelphia,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. N. Noel (I. Canaan gains possession),,,,Jump ball: R. Lopez vs. N. Noel (I. Canaan gains possession)
11:40.0,N. Noel misses 2-pt shot from 4 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by J. Calderon
11:31.0,,,0-2,2,A. Afflalo makes 2-pt shot at rim
11:18.0,N. Noel makes 2-pt shot from 13 ft,2,2-2,,
11:00.0,,,2-4,2,R. Lopez makes 2-pt shot from 5 ft
10:43.0,N. Noel misses 2-pt shot from 1 ft,,2-4,,
10:43.0,,,2-4,,Defensive rebound by K. Porzingis
10:34.0,,,2-4,,Offensive foul by C. Anthony
10:34.0,,,2-4,,Turnover by C. Anthony (offensive foul)
10:06.0,J. Sampson misses 2-pt shot from 23 ft,,2-4,,
10:05.0,,,2-4,,Defensive rebound by K. Porzingis
9:56.0,,,2-7,3,K. Porzingis makes 3-pt shot from 24 ft (assist by R. Lopez)
9:45.0,J. Grant misses 3-pt shot from 24 ft,,2-7,,
9:45.0,,,2-7,,Defensive rebound by A. Afflalo
9:36.0,,,2-7,,K. Porzingis misses 2-pt shot at rim (block by J. Grant)
9:35.0,,,2-7,,Offensive rebound by A. Afflalo
9:32.0,,,2-7,,A. Afflalo misses 3-pt shot from 23 ft
9:32.0,Defensive rebound by J. Sampson,,2-7,,
9:19.0,R. Covington makes 2-pt shot from 8 ft,2,4-7,,
9:17.0,,,4-7,,Turnover by C. Anthony (bad pass)
9:00.0,J. Sampson makes 2-pt shot at rim,2,6-7,,
8:44.0,,,6-10,3,A. Afflalo makes 3-pt shot from 23 ft (assist by J. Calderon)
8:31.0,J. Grant misses 2-pt shot from 2 ft (block by K. Porzingis),,6-10,,
8:30.0,,,6-10,,Defensive rebound by Team
8:23.0,,,6-10,,C. Anthony misses 2-pt shot from 9 ft
8:22.0,Defensive rebound by J. Sampson,,6-10,,
8:15.0,R. Covington misses 3-pt shot from 25 ft,,6-10,,
8:15.0,,,6-10,,Defensive rebound by C. Anthony
8:03.0,,,6-12,2,K. Porzingis makes 2-pt shot from 22 ft (assist by R. Lopez)
7:46.0,J. Sampson misses 3-pt shot from 22 ft,,6-12,,
7:46.0,,,6-12,,Defensive rebound by A. Afflalo
7:36.0,,,6-12,,R. Lopez misses 2-pt shot from 1 ft
7:34.0,Defensive rebound by J. Sampson,,6-12,,
7:27.0,Shooting foul by A. Afflalo (drawn by J. Grant),,6-12,,
7:27.0,J. Grant makes free throw 1 of 2,1,7-12,,
7:27.0,H. Thompson enters the game for J. Sampson,,7-12,,
7:27.0,J. Grant misses free throw 2 of 2,,7-12,,
7:26.0,,,7-12,,Defensive rebound by A. Afflalo
7:06.0,,,7-12,,C. Anthony misses 2-pt shot from 7 ft
7:05.0,Defensive rebound by H. Thompson,,7-12,,
7:00.0,I. Canaan misses 2-pt shot from 2 ft (block by K. Porzingis),,7-12,,
6:59.0,,,7-12,,Defensive rebound by Team
6:59.0,T. McConnell enters the game for J. Grant,,7-12,,
6:41.0,,,7-14,2,A. Afflalo makes 2-pt shot from 16 ft (assist by C. Anthony)
6:33.0,Turnover by N. Noel (bad pass; steal by J. Calderon),,7-14,,
6:28.0,,,7-16,2,J. Calderon makes 2-pt shot at rim
6:28.0,Philadelphia full timeout,,7-16,,
6:12.0,R. Covington makes 3-pt shot from 24 ft (assist by I. Canaan),3,10-16,,
5:59.0,,,10-16,,Offensive foul by A. Afflalo
5:59.0,,,10-16,,Turnover by A. Afflalo (offensive foul)
5:47.0,R. Covington makes 3-pt shot from 26 ft,3,13-16,,
5:21.0,,,13-16,,C. Anthony misses 2-pt shot from 7 ft
