time,Portland,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. M. Plumlee (J. Wall gains possession),,,,Jump ball: M. Gortat vs. M. Plumlee (J. Wall gains possession)
11:44.0,,,0-0,,J. Wall misses 2-pt shot from 15 ft (block by A. Aminu)
11:43.0,Defensive rebound by D. Lillard,,0-0,,
11:26.0,D. Lillard makes 2-pt shot at rim (assist by M. Plumlee),2,2-0,,
11:13.0,,,2-0,,G. Temple misses 2-pt shot from 16 ft
11:12.0,Defensive rebound by N. Vonleh,,2-0,,
11:01.0,D. Lillard makes 2-pt shot from 17 ft,2,4-0,,
10:53.0,,,4-0,,Turnover by J. Wall (bad pass; steal by M. Plumlee)
10:45.0,D. Lillard misses 2-pt shot from 17 ft,,4-0,,
10:44.0,,,4-0,,Defensive rebound by M. Gortat
10:27.0,,,4-0,,J. Wall misses 2-pt shot from 18 ft
10:26.0,Defensive rebound by N. Vonleh,,4-0,,
10:19.0,,,4-0,,Personal foul by K. Oubre (drawn by M. Plumlee)
10:14.0,C. McCollum makes 3-pt shot from 25 ft,3,7-0,,
10:01.0,,,7-2,2,G. Temple makes 2-pt shot from 20 ft (assist by J. Wall)
9:46.0,Turnover by D. Lillard (bad pass; steal by J. Dudley),,7-2,,
9:42.0,,,7-2,,Shooting foul by A. Aminu (drawn by J. Dudley)
9:42.0,,,7-2,,J. Dudley misses free throw 1 of 2
9:42.0,,,7-2,,Offensive rebound by Team
9:42.0,,,7-2,,J. Dudley misses free throw 2 of 2
9:42.0,Defensive rebound by N. Vonleh,,7-2,,
9:31.0,M. Plumlee makes 2-pt shot at rim,2,9-2,,
9:19.0,,,9-2,,J. Wall misses 2-pt shot from 18 ft
9:18.0,Defensive rebound by A. Aminu,,9-2,,
9:06.0,C. McCollum makes 2-pt shot from 16 ft,2,11-2,,
9:00.0,,,11-4,2,G. Temple makes 2-pt shot from 1 ft (assist by J. Wall)
8:41.0,A. Aminu makes 3-pt shot from 26 ft (assist by M. Plumlee),3,14-4,,
8:21.0,,,14-4,,K. Oubre misses 2-pt shot from 1 ft
8:19.0,Defensive rebound by M. Plumlee,,14-4,,
8:14.0,Offensive foul by M. Plumlee,,14-4,,
8:14.0,Turnover by M. Plumlee (offensive foul),,14-4,,
8:14.0,,,14-4,,B. Beal enters the game for K. Oubre
8:01.0,,,14-6,2,J. Dudley makes 2-pt shot from 16 ft (assist by G. Temple)
7:34.0,N. Vonleh misses 2-pt shot from 19 ft,,14-6,,
7:33.0,,,14-6,,Defensive rebound by M. Gortat
7:26.0,,,14-6,,J. Wall misses 2-pt shot from 1 ft
7:25.0,Defensive rebound by A. Aminu,,14-6,,
7:17.0,D. Lillard misses 2-pt shot at rim (block by M. Gortat),,14-6,,
7:15.0,Offensive rebound by Team,,14-6,,
7:09.0,C. McCollum makes 3-pt shot from 27 ft (assist by D. Lillard),3,17-6,,
6:51.0,,,17-6,,J. Dudley misses 2-pt shot from 15 ft
6:50.0,Defensive rebound by C. McCollum,,17-6,,
6:46.0,Turnover by C. McCollum (bad pass),,17-6,,
6:38.0,,,17-6,,Turnover by J. Wall (lost ball)
6:14.0,C. McCollum misses 3-pt shot from 27 ft,,17-6,,
6:12.0,,,17-6,,Defensive rebound by J. Dudley
5:53.0,,,17-6,,M. Gortat misses 2-pt shot from 1 ft (block by M. Plumlee)
5:51.0,Defensive rebound by A. Aminu,,17-6,,
5:40.0,D. Lillard misses 3-pt shot from 23 ft,,17-6,,
5:39.0,,,17-6,,Defensive rebound by G. Temple
5:38.0,Personal foul by N. Vonleh (drawn by G. Temple),,17-6,,
5:38.0,,,17-6,,Washington full timeout
5:38.0,,,17-6,,N. Hilario enters the game for J. Dudley
5:20.0,,,17-6,,M. Gortat misses 2-pt shot from 10 ft
5:19.0,Defensive rebound by N. Vonleh,,17-6,,
5:05.0,N. Vonleh makes 2-pt shot from 4 ft,2,19-6,,
4:56.0,,,19-8,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
4:31.0,M. Plumlee misses 2-pt shot from 1 ft,,19-8,,
4:30.0,,,19-8,,Defensive rebound by M. Gortat
4:26.0,Personal block foul by D. Lillard (drawn by J. Wall),,19-8,,
4:26.0,A. Crabbe enters the game for N. Vonleh,,19-8,,
4:26.0,M. Leonard enters the game for M. Plumlee,,19-8,,
4:26.0,E. Davis enters the game for C. McCollum,,19-8,,
4:20.0,,,19-10,2,N. Hilario makes 2-pt shot from 11 ft (assist by B. Beal)
3:54.0,A. Crabbe misses 2-pt shot from 16 ft,,19-10,,
3:53.0,Offensive rebound by E. Davis,,19-10,,
3:48.0,E. Davis misses 2-pt shot from 1 ft (block by N. Hilario),,19-10,,
3:47.0,,,19-10,,Defensive rebound by J. Wall
3:45.0,,,19-10,,B. Beal misses 3-pt shot from 24 ft
3:43.0,Defensive rebound by M. Leonard,,19-10,,
3:32.0,Turnover by A. Aminu (lost ball; steal by J. Wall),,19-10,,
3:16.0,,,19-12,2,M. Gortat makes 2-pt shot from 8 ft (assist by N. Hilario)
2:54.0,Shooting foul by N. Hilario (drawn by E. Davis),,19-12,,
2:54.0,Portland full timeout,,19-12,,
2:54.0,,,19-12,,R. Sessions enters the game for J. Wall
2:54.0,E. Davis misses free throw 1 of 2,,19-12,,
2:54.0,Offensive rebound by Team,,19-12,,
2:54.0,E. Davis misses free throw 2 of 2,,19-12,,
2:53.0,,,19-12,,Defensive rebound by M. Gortat
2:29.0,,,19-12,,G. Temple misses 3-pt shot from 25 ft
2:28.0,Defensive rebound by M. Leonard,,19-12,,
2:17.0,M. Leonard misses 3-pt shot from 25 ft,,19-12,,
2:16.0,,,19-12,,Defensive rebound by M. Gortat
2:06.0,,,19-12,,N. Hilario misses 2-pt shot from 19 ft
2:04.0,Defensive rebound by E. Davis,,19-12,,
1:49.0,M. Leonard makes 3-pt shot from 25 ft (assist by D. Lillard),3,22-12,,
1:42.0,,,22-12,,Shooting foul by A. Aminu (drawn by G. Temple)
1:42.0,,,22-12,,G. Temple misses free throw 1 of 2
1:42.0,,,22-12,,Offensive rebound by Team
1:42.0,G. Henderson enters the game for A. Aminu,,22-12,,
1:42.0,,,22-12,,J. Dudley enters the game for M. Gortat
1:42.0,,,22-13,1,G. Temple makes free throw 2 of 2
1:26.0,A. Crabbe makes 2-pt shot from 19 ft,2,24-13,,
1:14.0,,,24-15,2,R. Sessions makes 2-pt shot from 15 ft
0:57.0,D. Lillard makes 2-pt shot from 19 ft (assist by A. Crabbe),2,26-15,,
0:42.0,,,26-15,,N. Hilario misses 2-pt shot from 14 ft
0:41.0,Defensive rebound by G. Henderson,,26-15,,
0:29.0,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard),3,29-15,,
0:10.0,,,29-17,2,R. Sessions makes 2-pt shot from 2 ft
0:03.0,,,29-17,,Personal take foul by R. Sessions (drawn by D. Lillard)
0:03.0,C. McCollum enters the game for E. Davis,,29-17,,
0:03.0,,,29-17,,G. Neal enters the game for J. Dudley
0:01.0,M. Leonard makes 3-pt shot from 26 ft (assist by D. Lillard),3,32-17,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,E. Davis misses 2-pt shot from 2 ft,,32-17,,
11:40.0,Offensive rebound by G. Henderson,,32-17,,
11:40.0,G. Henderson makes 2-pt shot from 8 ft,2,34-17,,
11:40.0,Shooting foul by B. Beal (drawn by G. Henderson),,34-17,,
11:40.0,G. Henderson misses free throw 1 of 1,,34-17,,
11:36.0,,,34-17,,Defensive rebound by N. Hilario
11:24.0,,,34-20,3,B. Beal makes 3-pt shot from 26 ft (assist by J. Dudley)
10:58.0,G. Henderson makes 2-pt shot from 14 ft,2,36-20,,
10:40.0,,,36-23,3,J. Dudley makes 3-pt shot from 27 ft (assist by B. Beal)
10:12.0,M. Leonard makes 2-pt shot from 19 ft (assist by C. McCollum),2,38-23,,
10:00.0,,,38-25,2,N. Hilario makes 2-pt shot from 15 ft (assist by B. Beal)
9:46.0,Turnover by M. Leonard (bad pass; steal by N. Hilario),,38-25,,
