time,Miami,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. A. Stoudemire (T. Parker gains possession),,,,Jump ball: T. Duncan vs. A. Stoudemire (T. Parker gains possession)
11:37.0,,,0-0,,T. Parker misses 2-pt shot from 2 ft
11:35.0,Defensive rebound by J. Johnson,,0-0,,
11:18.0,D. Wade misses 2-pt shot from 16 ft,,0-0,,
11:17.0,,,0-0,,Defensive rebound by T. Duncan
11:04.0,,,0-0,,L. Aldridge misses 2-pt shot from 18 ft
11:03.0,Defensive rebound by G. Dragic,,0-0,,
10:58.0,G. Dragic misses 2-pt shot from 8 ft,,0-0,,
10:56.0,,,0-0,,Defensive rebound by T. Parker
10:42.0,,,0-2,2,T. Parker makes 2-pt shot from 17 ft
10:11.0,A. Stoudemire misses 2-pt shot from 10 ft,,0-2,,
10:10.0,,,0-2,,Defensive rebound by K. Leonard
9:59.0,,,0-2,,Turnover by K. Leonard (lost ball; steal by G. Dragic)
9:53.0,G. Dragic misses 2-pt shot at rim,,0-2,,
9:52.0,,,0-2,,Defensive rebound by T. Duncan
9:43.0,,,0-4,2,K. Leonard makes 2-pt shot from 18 ft
9:24.0,D. Wade makes 2-pt shot from 17 ft,2,2-4,,
9:08.0,,,2-7,3,K. Leonard makes 3-pt shot from 23 ft (assist by D. Green)
8:58.0,A. Stoudemire misses 2-pt shot from 19 ft,,2-7,,
8:57.0,,,2-7,,Defensive rebound by T. Parker
8:49.0,,,2-7,,Shooting foul by J. McRoberts (drawn by T. Duncan)
8:49.0,,,2-8,1,T. Duncan makes free throw 1 of 2
8:49.0,,,2-9,1,T. Duncan makes free throw 2 of 2
8:31.0,D. Wade makes 2-pt shot from 1 ft (assist by G. Dragic),2,4-9,,
8:12.0,,,4-9,,T. Duncan misses 2-pt shot from 18 ft
8:11.0,Defensive rebound by D. Wade,,4-9,,
8:08.0,Turnover by D. Wade (bad pass),,4-9,,
