time,LA Lakers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: W. Cauley-Stein vs. R. Hibbert (J. Randle gains possession),,,,Jump ball: W. Cauley-Stein vs. R. Hibbert (J. Randle gains possession)
11:45.0,Turnover by R. Hibbert (bad pass),,0-0,,
11:29.0,Personal foul by K. Bryant (drawn by B. McLemore),,0-0,,
11:24.0,,,0-2,2,R. Gay makes 2-pt shot from 16 ft
11:10.0,D. Russell makes 2-pt shot at rim (assist by K. Bryant),2,2-2,,
10:56.0,,,2-2,,R. Rondo misses 2-pt shot from 1 ft
10:56.0,Defensive rebound by R. Hibbert,,2-2,,
10:40.0,J. Randle makes 2-pt shot from 11 ft,2,4-2,,
10:30.0,,,4-2,,Shooting foul by R. Hibbert (drawn by D. Cousins)
10:30.0,,,4-3,1,D. Cousins makes free throw 1 of 2
10:30.0,,,4-4,1,D. Cousins makes free throw 2 of 2
10:19.0,Turnover by J. Randle (bad pass; steal by R. Rondo),,4-4,,
10:16.0,,,4-6,2,R. Rondo makes 2-pt shot from 1 ft
10:07.0,,,4-6,,Personal foul by B. McLemore (drawn by J. Clarkson)
9:54.0,J. Randle misses 2-pt shot from 16 ft,,4-6,,
9:54.0,,,4-6,,Defensive rebound by R. Rondo
9:42.0,,,4-8,2,R. Gay makes 2-pt shot from 16 ft
9:30.0,Turnover by J. Clarkson (bad pass),,4-8,,
9:22.0,,,4-8,,D. Cousins misses 3-pt shot from 24 ft
9:21.0,,,4-8,,Offensive rebound by B. McLemore
9:21.0,,,4-10,2,B. McLemore makes 2-pt shot from 1 ft
8:57.0,K. Bryant misses 3-pt shot from 26 ft,,4-10,,
8:56.0,,,4-10,,Defensive rebound by W. Cauley-Stein
8:50.0,Jump ball: K. Bryant vs. D. Cousins (R. Gay gains possession),,,,Jump ball: K. Bryant vs. D. Cousins (R. Gay gains possession)
8:41.0,,,4-10,,B. McLemore misses 3-pt shot from 23 ft
8:41.0,Defensive rebound by J. Clarkson,,4-10,,
8:36.0,K. Bryant misses 3-pt shot from 25 ft,,4-10,,
8:36.0,,,4-10,,Defensive rebound by B. McLemore
8:28.0,,,4-12,2,R. Rondo makes 2-pt shot from 4 ft
8:20.0,LA Lakers full timeout,,4-12,,
8:12.0,J. Clarkson misses 3-pt shot from 23 ft,,4-12,,
8:11.0,,,4-12,,Defensive rebound by W. Cauley-Stein
8:03.0,,,4-14,2,R. Rondo makes 2-pt shot from 1 ft
7:50.0,K. Bryant misses 3-pt shot from 25 ft,,4-14,,
7:50.0,,,4-14,,Defensive rebound by R. Rondo
7:45.0,,,4-16,2,R. Gay makes 2-pt shot from 3 ft (assist by R. Rondo)
7:30.0,J. Clarkson makes 2-pt shot from 3 ft,2,6-16,,
7:24.0,,,6-18,2,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by R. Rondo)
7:24.0,,,6-18,,Shooting foul by R. Hibbert (drawn by W. Cauley-Stein)
7:24.0,B. Bass enters the game for R. Hibbert,,6-18,,
7:24.0,,,6-18,,W. Cauley-Stein misses free throw 1 of 1
7:23.0,Defensive rebound by J. Randle,,6-18,,
7:12.0,Shooting foul by D. Cousins (drawn by K. Bryant),,6-18,,
7:12.0,K. Bryant makes free throw 1 of 2,1,7-18,,
7:12.0,K. Bryant misses free throw 2 of 2,,7-18,,
7:11.0,,,7-18,,Defensive rebound by W. Cauley-Stein
7:05.0,,,7-18,,D. Cousins misses 2-pt shot at rim
7:04.0,,,7-18,,Offensive rebound by D. Cousins
7:04.0,,,7-20,2,D. Cousins makes 2-pt shot at rim
6:51.0,J. Clarkson makes 3-pt shot from 25 ft (assist by D. Russell),3,10-20,,
6:26.0,,,10-22,2,R. Rondo makes 2-pt shot from 2 ft
6:04.0,K. Bryant misses 3-pt shot from 24 ft,,10-22,,
6:03.0,,,10-22,,Defensive rebound by D. Cousins
5:59.0,,,10-22,,Shooting foul by B. Bass (drawn by R. Rondo)
5:59.0,,,10-23,1,R. Rondo makes free throw 1 of 2
5:59.0,L. Williams enters the game for D. Russell,,10-23,,
5:59.0,,,10-24,1,R. Rondo makes free throw 2 of 2
5:39.0,J. Randle misses 2-pt shot from 19 ft,,10-24,,
5:39.0,,,10-24,,Defensive rebound by R. Gay
5:36.0,Personal foul by J. Randle (drawn by D. Cousins),,10-24,,
5:36.0,,,10-25,1,D. Cousins makes free throw 1 of 2
5:36.0,,,10-26,1,D. Cousins makes free throw 2 of 2
5:16.0,,,10-26,,Violation by D. Cousins (def goaltending)
5:16.0,J. Clarkson makes 2-pt shot from 5 ft,2,12-26,,
5:03.0,,,12-26,,Shooting foul by J. Randle (drawn by W. Cauley-Stein)
5:03.0,,,12-26,,W. Cauley-Stein misses free throw 1 of 2
5:03.0,,,12-26,,Offensive rebound by Team
5:03.0,N. Young enters the game for K. Bryant,,12-26,,
5:03.0,R. Kelly enters the game for J. Randle,,12-26,,
5:03.0,,,12-27,1,W. Cauley-Stein makes free throw 2 of 2
4:53.0,R. Kelly misses 3-pt shot from 25 ft,,12-27,,
4:53.0,,,12-27,,Defensive rebound by D. Cousins
4:45.0,,,12-29,2,W. Cauley-Stein makes 2-pt shot at rim (assist by R. Rondo)
4:35.0,Turnover by L. Williams (bad pass; steal by R. Gay),,12-29,,
4:22.0,,,12-31,2,R. Gay makes 2-pt shot from 7 ft (assist by R. Rondo)
4:08.0,J. Clarkson makes 2-pt shot from 18 ft,2,14-31,,
3:58.0,,,14-33,2,D. Cousins makes 2-pt shot from 1 ft (assist by R. Rondo)
3:50.0,LA Lakers full timeout,,14-33,,
3:50.0,,,14-33,,D. Collison enters the game for R. Gay
3:50.0,,,14-33,,O. Casspi enters the game for W. Cauley-Stein
3:50.0,,,14-33,,K. Koufos enters the game for R. Rondo
3:37.0,L. Williams misses 3-pt shot from 24 ft,,14-33,,
3:36.0,,,14-33,,Defensive rebound by D. Cousins
3:18.0,,,14-33,,B. McLemore misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by B. Bass,,14-33,,
3:11.0,J. Clarkson misses 2-pt shot from 5 ft (block by D. Cousins),,14-33,,
3:10.0,,,14-33,,Defensive rebound by K. Koufos
3:06.0,,,14-33,,Turnover by B. McLemore (traveling)
3:06.0,,,14-33,,M. Belinelli enters the game for B. McLemore
2:55.0,N. Young misses 3-pt shot from 24 ft,,14-33,,
2:54.0,,,14-33,,Defensive rebound by O. Casspi
2:52.0,,,14-33,,Offensive foul by K. Koufos
2:52.0,,,14-33,,Turnover by K. Koufos (offensive foul)
2:52.0,,,14-33,,Sacramento full timeout
2:52.0,,,14-33,,W. Cauley-Stein enters the game for D. Cousins
2:39.0,Turnover by R. Kelly (lost ball; steal by D. Collison),,14-33,,
2:34.0,,,14-35,2,O. Casspi makes 2-pt shot at rim (assist by D. Collison)
2:22.0,N. Young makes 2-pt shot from 17 ft (assist by L. Williams),2,16-35,,
2:22.0,Shooting foul by O. Casspi (drawn by N. Young),,16-35,,
2:22.0,N. Young makes free throw 1 of 1,1,17-35,,
2:08.0,,,17-35,,D. Collison misses 3-pt shot from 24 ft
2:07.0,,,17-35,,Offensive rebound by O. Casspi
1:56.0,,,17-35,,K. Koufos misses 2-pt shot from 9 ft
1:56.0,Defensive rebound by L. Williams,,17-35,,
1:48.0,N. Young misses 2-pt shot from 3 ft (block by W. Cauley-Stein),,17-35,,
1:48.0,Offensive rebound by Team,,17-35,,
1:43.0,J. Clarkson misses 2-pt shot from 19 ft,,17-35,,
1:43.0,,,17-35,,Defensive rebound by W. Cauley-Stein
1:24.0,,,17-35,,K. Koufos misses 2-pt shot from 2 ft (block by R. Kelly)
1:21.0,,,17-35,,Offensive rebound by K. Koufos
1:21.0,,,17-35,,K. Koufos misses 2-pt shot from 4 ft
1:20.0,,,17-35,,Offensive rebound by O. Casspi
