time,Detroit,pts.away,score,pts.home,Dallas
0:49.0,,,98-92,,Shooting foul by K. Caldwell-Pope (drawn by D. Nowitzki)
0:49.0,,,98-93,1,D. Nowitzki makes free throw 1 of 2
0:49.0,,,98-94,1,D. Nowitzki makes free throw 2 of 2
0:33.0,M. Morris misses 3-pt shot from 24 ft,,98-94,,
0:32.0,,,98-94,,Defensive rebound by C. Parsons
0:25.0,,,98-94,,D. Nowitzki misses 3-pt shot from 22 ft
0:24.0,,,98-94,,Offensive rebound by C. Parsons
0:22.0,,,98-94,,Turnover by D. Williams (lost ball; steal by M. Morris)
0:22.0,,,98-94,,Clear path foul by D. Williams
0:22.0,M. Morris misses clear path free throw 1 of 2,,98-94,,
0:22.0,Offensive rebound by Team,,98-94,,
0:22.0,M. Morris makes clear path free throw 2 of 2,1,99-94,,
0:22.0,,,99-94,,D. Harris enters the game for D. Nowitzki
0:20.0,,,99-94,,Personal foul by R. Felton
0:20.0,R. Jackson makes free throw 1 of 2,1,100-94,,
0:20.0,R. Jackson misses free throw 2 of 2,,100-94,,
0:20.0,,,100-94,,Defensive rebound by Z. Pachulia
0:20.0,,,100-94,,Dallas full timeout
0:20.0,,,100-94,,D. Nowitzki enters the game for Z. Pachulia
0:20.0,,,100-94,,W. Matthews enters the game for D. Harris
0:20.0,,,100-94,,C. Villanueva enters the game for R. Felton
0:20.0,R. Bullock enters the game for A. Baynes,,100-94,,
0:20.0,,,100-94,,Turnover by Team (5 sec inbounds)
0:19.0,,,100-94,,Personal take foul by C. Villanueva
0:19.0,K. Caldwell-Pope makes free throw 1 of 2,1,101-94,,
0:19.0,K. Caldwell-Pope makes free throw 2 of 2,1,102-94,,
0:09.0,,,102-96,2,D. Nowitzki makes 2-pt shot from 10 ft (assist by C. Parsons)
0:00.0,End of 4th quarter,,,,End of 4th quarter
