time,Detroit,pts.away,score,pts.home,Dallas
0:03.0,,,23-28,,Turnover by R. Felton (lost ball; steal by S. Blake)
0:00.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by M. Morris),2,25-28,,
0:00.0,Shooting foul by D. Harris (drawn by K. Caldwell-Pope),,25-28,,
0:00.0,K. Caldwell-Pope makes free throw 1 of 1,1,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,26-28,,D. Harris misses 2-pt shot from 20 ft
11:36.0,Defensive rebound by R. Bullock,,26-28,,
11:24.0,Turnover by S. Blake (lost ball; steal by R. Felton),,26-28,,
11:20.0,,,26-30,2,D. Harris makes 2-pt shot from 1 ft
11:00.0,R. Bullock makes 2-pt shot from 16 ft,2,28-30,,
10:38.0,,,28-30,,R. Felton misses 2-pt shot from 3 ft (block by A. Baynes)
10:37.0,,,28-30,,Offensive rebound by R. Felton
10:35.0,,,28-30,,D. Nowitzki misses 2-pt shot from 9 ft
10:34.0,Defensive rebound by T. Harris,,28-30,,
10:19.0,R. Bullock misses 2-pt shot from 5 ft (block by D. Lee),,28-30,,
10:19.0,Offensive rebound by Team,,28-30,,
10:11.0,Turnover by Team (shot clock),,28-30,,
9:58.0,,,28-30,,Turnover by D. Harris (lost ball; steal by T. Harris)
9:50.0,,,28-30,,Shooting block foul by D. Lee (drawn by T. Harris)
9:50.0,T. Harris makes free throw 1 of 2,1,29-30,,
9:50.0,,,29-30,,W. Matthews enters the game for D. Harris
9:50.0,T. Harris makes free throw 2 of 2,1,30-30,,
9:34.0,,,30-30,,D. Lee misses 2-pt shot from 5 ft
9:33.0,Defensive rebound by R. Bullock,,30-30,,
9:23.0,S. Blake misses 2-pt shot from 20 ft,,30-30,,
9:22.0,Offensive rebound by R. Bullock,,30-30,,
9:20.0,Turnover by R. Bullock (lost ball; steal by R. Felton),,30-30,,
9:13.0,,,30-33,3,J. Barea makes 3-pt shot from 23 ft (assist by D. Nowitzki)
8:49.0,T. Harris misses 2-pt shot from 7 ft,,30-33,,
8:48.0,,,30-33,,Defensive rebound by D. Nowitzki
8:39.0,,,30-35,2,J. Barea makes 2-pt shot from 3 ft
8:15.0,K. Caldwell-Pope makes 2-pt shot from 2 ft,2,32-35,,
8:01.0,,,32-37,2,D. Lee makes 2-pt shot at rim (assist by J. Barea)
7:51.0,Detroit full timeout,,32-37,,
7:51.0,,,32-37,,C. Parsons enters the game for D. Nowitzki
7:51.0,M. Morris enters the game for K. Caldwell-Pope,,32-37,,
7:40.0,Turnover by T. Harris (lost ball; steal by D. Lee),,32-37,,
7:22.0,,,32-40,3,C. Parsons makes 3-pt shot from 22 ft (assist by D. Lee)
7:02.0,R. Bullock makes 3-pt shot from 23 ft (assist by S. Blake),3,35-40,,
6:46.0,,,35-40,,W. Matthews misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by T. Harris,,35-40,,
6:36.0,R. Bullock misses 2-pt shot from 2 ft,,35-40,,
6:35.0,,,35-40,,Defensive rebound by D. Lee
6:24.0,,,35-43,3,C. Parsons makes 3-pt shot from 24 ft (assist by J. Barea)
6:03.0,T. Harris makes 3-pt shot from 24 ft (assist by M. Morris),3,38-43,,
5:43.0,,,38-43,,J. Barea misses 2-pt shot from 7 ft
5:42.0,Defensive rebound by M. Morris,,38-43,,
5:39.0,M. Morris makes 2-pt shot from 7 ft,2,40-43,,
5:39.0,Shooting foul by C. Parsons (drawn by M. Morris),,40-43,,
5:39.0,Official timeout,,40-43,,
5:39.0,A. Drummond enters the game for S. Blake,,40-43,,
5:39.0,R. Jackson enters the game for A. Baynes,,40-43,,
5:39.0,M. Morris makes free throw 1 of 1,1,41-43,,
5:18.0,,,41-43,,R. Felton misses 2-pt shot from 21 ft
5:17.0,,,41-43,,Offensive rebound by D. Lee
5:15.0,,,41-43,,D. Lee misses 2-pt shot from 3 ft (block by A. Drummond)
5:13.0,Defensive rebound by A. Drummond,,41-43,,
5:03.0,T. Harris makes 2-pt shot from 2 ft (assist by A. Drummond),2,43-43,,
5:03.0,Shooting foul by D. Lee (drawn by T. Harris),,43-43,,
5:03.0,,,43-43,,Z. Pachulia enters the game for D. Lee
5:03.0,,,43-43,,D. Williams enters the game for J. Barea
5:03.0,T. Harris makes free throw 1 of 1,1,44-43,,
4:46.0,,,44-43,,R. Felton misses 2-pt shot from 21 ft
4:45.0,,,44-43,,Offensive rebound by Z. Pachulia
4:25.0,,,44-43,,C. Parsons misses 3-pt shot from 26 ft
4:24.0,Defensive rebound by R. Bullock,,44-43,,
4:16.0,M. Morris misses 3-pt shot from 22 ft,,44-43,,
4:15.0,Offensive rebound by A. Drummond,,44-43,,
4:12.0,A. Drummond misses 2-pt shot at rim,,44-43,,
4:11.0,Offensive rebound by T. Harris,,44-43,,
4:09.0,A. Drummond makes 2-pt shot at rim (assist by T. Harris),2,46-43,,
4:09.0,,,46-43,,Dallas full timeout
4:09.0,,,46-43,,D. Nowitzki enters the game for R. Felton
3:44.0,,,46-43,,W. Matthews misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by R. Jackson,,46-43,,
3:31.0,,,46-43,,Shooting block foul by Z. Pachulia (drawn by A. Drummond)
3:31.0,A. Drummond misses free throw 1 of 2,,46-43,,
3:31.0,Offensive rebound by Team,,46-43,,
3:31.0,A. Drummond misses free throw 2 of 2,,46-43,,
3:30.0,,,46-43,,Defensive rebound by D. Nowitzki
3:22.0,Personal foul by R. Bullock,,46-43,,
3:15.0,,,46-43,,D. Williams misses 2-pt shot from 10 ft
3:14.0,Defensive rebound by A. Drummond,,46-43,,
3:06.0,A. Drummond makes 2-pt shot from 6 ft (assist by R. Jackson),2,48-43,,
2:58.0,Personal foul by R. Jackson,,48-43,,
2:47.0,,,48-45,2,C. Parsons makes 2-pt shot from 6 ft
2:43.0,,,48-45,,Personal take foul by W. Matthews
2:43.0,A. Drummond makes free throw 1 of 2,1,49-45,,
2:43.0,K. Caldwell-Pope enters the game for R. Jackson,,49-45,,
2:43.0,S. Blake enters the game for R. Bullock,,49-45,,
2:43.0,A. Drummond misses free throw 2 of 2,,49-45,,
2:43.0,,,49-45,,Defensive rebound by D. Nowitzki
2:27.0,,,49-45,,Turnover by D. Nowitzki (bad pass)
2:26.0,,,49-45,,Personal take foul by D. Nowitzki
2:26.0,A. Drummond misses free throw 1 of 2,,49-45,,
2:26.0,Offensive rebound by Team,,49-45,,
2:26.0,A. Drummond makes free throw 2 of 2,1,50-45,,
2:16.0,,,50-45,,D. Williams misses 2-pt shot from 6 ft
2:15.0,Defensive rebound by A. Drummond,,50-45,,
2:06.0,A. Drummond makes 2-pt shot from 3 ft (assist by T. Harris),2,52-45,,
2:06.0,Shooting foul by D. Nowitzki (drawn by A. Drummond),,52-45,,
2:06.0,A. Drummond misses free throw 1 of 1,,52-45,,
2:06.0,,,52-45,,Defensive rebound by Team
1:58.0,,,52-45,,C. Parsons misses 2-pt shot from 6 ft
1:57.0,Defensive rebound by M. Morris,,52-45,,
1:46.0,T. Harris misses 3-pt shot from 22 ft,,52-45,,
1:45.0,,,52-45,,Defensive rebound by W. Matthews
1:32.0,,,52-47,2,W. Matthews makes 2-pt shot from 15 ft
1:25.0,,,52-47,,Personal take foul by D. Williams
1:25.0,A. Drummond makes free throw 1 of 2,1,53-47,,
1:25.0,A. Drummond misses free throw 2 of 2,,53-47,,
1:25.0,,,53-47,,Defensive rebound by D. Nowitzki
1:06.0,,,53-49,2,D. Nowitzki makes 2-pt shot from 20 ft (assist by C. Parsons)
0:59.0,,,53-49,,Personal take foul by W. Matthews
0:59.0,A. Drummond misses free throw 1 of 2,,53-49,,
0:59.0,Offensive rebound by Team,,53-49,,
0:59.0,A. Drummond makes free throw 2 of 2,1,54-49,,
0:52.0,Personal foul by A. Drummond,,54-49,,
0:52.0,A. Baynes enters the game for A. Drummond,,54-49,,
0:45.0,,,54-49,,D. Williams misses 2-pt shot from 5 ft (block by A. Baynes)
0:43.0,,,54-49,,Offensive rebound by D. Williams
0:41.0,,,54-52,3,C. Parsons makes 3-pt shot from 23 ft (assist by D. Williams)
0:29.0,Turnover by M. Morris (lost ball),,54-52,,
0:06.0,,,54-52,,C. Parsons misses 3-pt shot from 25 ft
0:05.0,,,54-52,,Offensive rebound by Team
0:05.0,,,54-52,,Turnover by Team (shot clock)
0:05.0,,,54-52,,R. Felton enters the game for D. Nowitzki
0:00.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,54-52,,
0:00.0,Offensive rebound by Team,,54-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,54-52,,Z. Pachulia misses 2-pt shot from 14 ft
11:46.0,Defensive rebound by M. Morris,,54-52,,
11:33.0,A. Drummond makes 2-pt shot from 10 ft,2,56-52,,
11:20.0,,,56-54,2,Z. Pachulia makes 2-pt shot from 1 ft (assist by D. Williams)
10:55.0,Turnover by A. Drummond (lost ball),,56-54,,
10:38.0,Def 3 sec tech foul by T. Harris,,56-54,,
10:38.0,,,56-55,1,D. Nowitzki makes technical free throw
10:26.0,,,56-55,,D. Nowitzki misses 3-pt shot from 24 ft
10:25.0,,,56-55,,Offensive rebound by Z. Pachulia
10:19.0,,,56-57,2,D. Williams makes 2-pt shot from 17 ft
10:02.0,M. Morris makes 2-pt shot at rim,2,58-57,,
9:34.0,,,58-57,,D. Williams misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by T. Harris,,58-57,,
9:25.0,T. Harris misses 3-pt shot from 23 ft,,58-57,,
9:24.0,,,58-57,,Defensive rebound by D. Nowitzki
9:12.0,,,58-57,,Z. Pachulia misses 2-pt shot from 10 ft
9:11.0,Defensive rebound by A. Drummond,,58-57,,
9:00.0,R. Jackson makes 3-pt shot from 25 ft,3,61-57,,
8:45.0,,,61-57,,D. Williams misses 2-pt shot from 8 ft
8:44.0,Defensive rebound by A. Drummond,,61-57,,
8:33.0,A. Drummond misses 2-pt shot from 5 ft,,61-57,,
8:30.0,,,61-57,,Defensive rebound by Z. Pachulia
8:17.0,,,61-57,,Shooting foul by A. Drummond (drawn by Z. Pachulia)
8:17.0,,,61-57,,Z. Pachulia misses free throw 1 of 2
8:17.0,,,61-57,,Offensive rebound by Team
8:17.0,,,61-58,1,Z. Pachulia makes free throw 2 of 2
7:58.0,R. Jackson misses 2-pt shot from 5 ft (block by D. Williams),,61-58,,
7:54.0,Offensive rebound by R. Jackson,,61-58,,
