time,Golden State,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. F. Ezeli (J. Holiday gains possession),,,,Jump ball: A. Davis vs. F. Ezeli (J. Holiday gains possession)
11:39.0,,,0-0,,J. Holiday misses 2-pt shot from 16 ft
11:38.0,Defensive rebound by D. Green,,0-0,,
11:30.0,F. Ezeli misses 2-pt shot from 1 ft (block by A. Davis),,0-0,,
11:29.0,,,0-0,,Defensive rebound by Team
11:07.0,,,0-2,2,K. Perkins makes 2-pt shot from 1 ft (assist by J. Holiday)
10:52.0,K. Thompson makes 2-pt shot from 21 ft (assist by D. Green),2,2-2,,
10:40.0,,,2-2,,E. Gordon misses 2-pt shot from 19 ft
10:39.0,,,2-2,,Offensive rebound by E. Gordon
10:34.0,,,2-5,3,E. Gordon makes 3-pt shot from 25 ft
10:25.0,Shooting foul by K. Perkins (drawn by F. Ezeli),,2-5,,
10:25.0,F. Ezeli misses free throw 1 of 2,,2-5,,
10:25.0,Offensive rebound by Team,,2-5,,
10:25.0,F. Ezeli misses free throw 2 of 2,,2-5,,
10:24.0,,,2-5,,Defensive rebound by A. Davis
10:13.0,Def 3 sec tech foul by F. Ezeli,,2-5,,
10:13.0,,,2-6,1,A. Davis makes technical free throw
9:57.0,,,2-8,2,E. Gordon makes 2-pt shot from 5 ft (assist by K. Perkins)
9:48.0,D. Green makes 2-pt shot from 8 ft (assist by S. Curry),2,4-8,,
9:42.0,,,4-8,,J. Holiday misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by Team,,4-8,,
9:34.0,D. Green misses 2-pt shot from 18 ft,,4-8,,
9:34.0,,,4-8,,Defensive rebound by Team
9:34.0,Loose ball foul by F. Ezeli (drawn by A. Davis),,4-8,,
9:34.0,,,4-8,,O. Asik enters the game for K. Perkins
9:14.0,,,4-8,,J. Holiday misses 2-pt shot from 2 ft
9:13.0,Defensive rebound by S. Curry,,4-8,,
9:07.0,H. Barnes misses 2-pt shot from 3 ft (block by D. Cunningham),,4-8,,
9:06.0,,,4-8,,Defensive rebound by E. Gordon
9:02.0,,,4-10,2,E. Gordon makes 2-pt shot at rim (assist by A. Davis)
8:40.0,D. Green makes 3-pt shot from 25 ft (assist by H. Barnes),3,7-10,,
8:16.0,,,7-10,,A. Davis misses 3-pt shot from 23 ft
8:15.0,Defensive rebound by K. Thompson,,7-10,,
8:08.0,,,7-10,,Violation by O. Asik (kicked ball)
8:04.0,Shooting foul by E. Gordon (drawn by K. Thompson),,7-10,,
8:04.0,K. Thompson makes free throw 1 of 2,1,8-10,,
8:04.0,K. Thompson makes free throw 2 of 2,1,9-10,,
7:52.0,,,9-10,,A. Davis misses 2-pt shot from 15 ft
