time,Washington,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. Z. Pachulia (J. Dudley gains possession),,,,Jump ball: M. Gortat vs. Z. Pachulia (J. Dudley gains possession)
11:36.0,G. Temple misses 2-pt shot from 2 ft,,0-0,,
11:34.0,,,0-0,,Defensive rebound by D. Nowitzki
11:24.0,,,0-0,,Turnover by Z. Pachulia (bad pass; steal by G. Temple)
11:20.0,J. Dudley makes 2-pt shot at rim (assist by G. Temple),2,2-0,,
11:04.0,,,2-3,3,C. Parsons makes 3-pt shot from 24 ft
10:51.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,5-3,,
10:37.0,,,5-5,2,Z. Pachulia makes 2-pt shot from 16 ft (assist by R. Felton)
10:21.0,M. Gortat makes 2-pt shot from 7 ft (assist by G. Temple),2,7-5,,
9:52.0,,,7-5,,W. Matthews misses 3-pt shot from 24 ft
9:51.0,Defensive rebound by J. Dudley,,7-5,,
9:45.0,G. Temple makes 2-pt shot at rim (assist by J. Dudley),2,9-5,,
9:26.0,,,9-5,,C. Parsons misses 2-pt shot from 3 ft
9:24.0,Defensive rebound by J. Wall,,9-5,,
9:16.0,G. Temple makes 3-pt shot from 22 ft (assist by J. Wall),3,12-5,,
9:00.0,,,12-8,3,W. Matthews makes 3-pt shot from 24 ft (assist by R. Felton)
8:49.0,J. Wall misses 2-pt shot from 8 ft,,12-8,,
8:48.0,,,12-8,,Defensive rebound by D. Nowitzki
8:39.0,,,12-11,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by R. Felton)
8:19.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,14-11,,
8:06.0,,,14-11,,R. Felton misses 2-pt shot from 1 ft
8:04.0,,,14-11,,Offensive rebound by Z. Pachulia
8:01.0,,,14-11,,R. Felton misses 3-pt shot from 22 ft
7:59.0,Defensive rebound by J. Dudley,,14-11,,
7:54.0,J. Wall makes 2-pt shot at rim,2,16-11,,
7:41.0,Personal foul by G. Temple (drawn by C. Parsons),,16-11,,
7:34.0,,,16-13,2,Z. Pachulia makes 2-pt shot at rim (assist by R. Felton)
7:16.0,O. Porter misses 2-pt shot from 19 ft,,16-13,,
7:15.0,,,16-13,,Defensive rebound by Z. Pachulia
7:01.0,,,16-13,,C. Parsons misses 3-pt shot from 24 ft
7:00.0,Defensive rebound by M. Gortat,,16-13,,
6:52.0,G. Temple misses 3-pt shot from 24 ft,,16-13,,
6:51.0,,,16-13,,Defensive rebound by W. Matthews
6:36.0,,,16-16,3,W. Matthews makes 3-pt shot from 23 ft (assist by D. Nowitzki)
6:21.0,O. Porter misses 2-pt shot from 12 ft,,16-16,,
6:20.0,,,16-16,,Defensive rebound by Z. Pachulia
6:10.0,,,16-16,,W. Matthews misses 3-pt shot from 24 ft
6:09.0,,,16-16,,Offensive rebound by Z. Pachulia
6:07.0,,,16-18,2,C. Parsons makes 2-pt shot at rim (assist by Z. Pachulia)
5:59.0,Washington full timeout,,16-18,,
5:59.0,,,16-18,,D. Harris enters the game for C. Parsons
5:59.0,,,16-18,,D. Powell enters the game for D. Nowitzki
5:48.0,J. Wall makes 2-pt shot from 8 ft,2,18-18,,
5:22.0,,,18-18,,D. Powell misses 2-pt shot from 5 ft
5:21.0,,,18-18,,Offensive rebound by Z. Pachulia
5:21.0,Loose ball foul by J. Dudley (drawn by Z. Pachulia),,18-18,,
5:10.0,,,18-18,,D. Powell misses 2-pt shot from 16 ft
5:09.0,Defensive rebound by M. Gortat,,18-18,,
5:05.0,Offensive charge foul by G. Temple,,18-18,,
5:05.0,Turnover by G. Temple (offensive foul),,18-18,,
5:05.0,G. Neal enters the game for G. Temple,,18-18,,
4:43.0,,,18-20,2,Z. Pachulia makes 2-pt shot at rim
4:32.0,,,18-20,,Personal foul by R. Felton (drawn by J. Wall)
4:21.0,J. Wall misses 2-pt shot from 16 ft,,18-20,,
4:20.0,,,18-20,,Defensive rebound by Z. Pachulia
4:11.0,Shooting block foul by G. Neal (drawn by D. Harris),,18-20,,
4:11.0,,,18-21,1,D. Harris makes free throw 1 of 2
4:11.0,,,18-22,1,D. Harris makes free throw 2 of 2
4:02.0,Turnover by J. Wall (bad pass),,18-22,,
4:02.0,K. Oubre enters the game for O. Porter,,18-22,,
3:42.0,,,18-22,,R. Felton misses 2-pt shot from 8 ft
3:41.0,Defensive rebound by J. Wall,,18-22,,
3:36.0,Turnover by G. Neal (traveling),,18-22,,
3:36.0,O. Porter enters the game for J. Dudley,,18-22,,
3:22.0,,,18-22,,Shooting foul by M. Gortat (drawn by D. Powell)
3:22.0,,,18-23,1,D. Powell makes free throw 1 of 2
3:22.0,,,18-23,,J. Barea enters the game for R. Felton
3:22.0,,,18-24,1,D. Powell makes free throw 2 of 2
3:04.0,G. Neal makes 2-pt shot from 13 ft (assist by J. Wall),2,20-24,,
2:49.0,,,20-26,2,D. Powell makes 2-pt shot at rim (assist by J. Barea)
2:36.0,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall),2,22-26,,
2:34.0,,,22-26,,Dallas full timeout
2:34.0,,,22-26,,C. Parsons enters the game for Z. Pachulia
2:34.0,,,22-26,,D. Nowitzki enters the game for W. Matthews
2:34.0,D. Blair enters the game for M. Gortat,,22-26,,
