time,Minnesota,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. N. Vucevic (E. Payton gains possession),,,,Jump ball: K. Towns vs. N. Vucevic (E. Payton gains possession)
11:43.0,,,0-0,,N. Vucevic misses 2-pt shot from 7 ft
11:42.0,Defensive rebound by A. Wiggins,,0-0,,
11:27.0,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio),2,2-0,,
11:05.0,,,2-2,2,E. Payton makes 2-pt shot from 7 ft (assist by T. Harris)
10:46.0,A. Payne misses 2-pt shot from 21 ft,,2-2,,
10:46.0,,,2-2,,Defensive rebound by E. Payton
10:32.0,,,2-4,2,N. Vucevic makes 2-pt shot at rim
10:20.0,,,2-4,,Personal foul by V. Oladipo (drawn by A. Wiggins)
10:13.0,R. Rubio makes 2-pt shot from 18 ft (assist by A. Payne),2,4-4,,
9:55.0,,,4-4,,V. Oladipo misses 2-pt shot from 16 ft
9:54.0,Defensive rebound by A. Payne,,4-4,,
9:44.0,A. Payne misses 2-pt shot from 13 ft,,4-4,,
9:43.0,Offensive rebound by K. Towns,,4-4,,
9:38.0,K. Towns misses 2-pt shot from 10 ft,,4-4,,
9:38.0,Offensive rebound by K. Towns,,4-4,,
9:21.0,A. Wiggins makes 2-pt shot from 14 ft,2,6-4,,
9:05.0,,,6-4,,Shooting foul by K. Towns (drawn by V. Oladipo)
9:05.0,,,6-4,,V. Oladipo misses free throw 1 of 2
9:05.0,,,6-4,,Offensive rebound by Team
9:05.0,,,6-4,,V. Oladipo misses free throw 2 of 2
9:04.0,Defensive rebound by A. Payne,,6-4,,
8:49.0,Turnover by K. Towns (lost ball; steal by N. Vucevic),,6-4,,
8:41.0,,,6-4,,E. Payton misses 2-pt shot from 6 ft
8:39.0,,,6-4,,Offensive rebound by T. Harris
8:31.0,,,6-4,,V. Oladipo misses 3-pt shot from 25 ft
8:30.0,,,6-4,,Offensive rebound by E. Fournier
8:26.0,,,6-4,,V. Oladipo misses 2-pt shot at rim
8:24.0,Defensive rebound by A. Payne,,6-4,,
8:02.0,A. Payne misses 2-pt shot from 17 ft,,6-4,,
8:02.0,,,6-4,,Defensive rebound by E. Payton
7:55.0,,,6-6,2,E. Payton makes 2-pt shot from 2 ft (assist by N. Vucevic)
7:30.0,Turnover by Team (shot clock),,6-6,,
7:30.0,,,6-6,,M. Hezonja enters the game for V. Oladipo
7:19.0,,,6-6,,E. Fournier misses 2-pt shot from 6 ft (block by K. Towns)
7:18.0,Defensive rebound by R. Rubio,,6-6,,
7:12.0,R. Rubio makes 2-pt shot at rim,2,8-6,,
6:51.0,,,8-6,,T. Harris misses 2-pt shot from 20 ft
6:50.0,,,8-6,,Offensive rebound by N. Vucevic
6:47.0,,,8-6,,N. Vucevic misses 2-pt shot from 5 ft
6:47.0,Defensive rebound by K. Towns,,8-6,,
6:40.0,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio),2,10-6,,
6:21.0,,,10-6,,E. Payton misses 2-pt shot from 20 ft
6:21.0,Defensive rebound by K. Towns,,10-6,,
6:16.0,Minnesota full timeout,,10-6,,
6:16.0,,,10-6,,A. Gordon enters the game for E. Fournier
6:16.0,N. Bjelica enters the game for A. Payne,,10-6,,
6:07.0,,,10-6,,Personal foul by E. Payton (drawn by A. Wiggins)
5:51.0,K. Towns makes 2-pt shot at rim (assist by R. Rubio),2,12-6,,
5:38.0,,,12-8,2,E. Payton makes 2-pt shot at rim (assist by M. Hezonja)
5:38.0,,,12-8,,Shooting foul by T. Prince (drawn by E. Payton)
5:38.0,,,12-8,,E. Payton misses free throw 1 of 1
5:37.0,Defensive rebound by K. Towns,,12-8,,
5:22.0,R. Rubio misses 2-pt shot from 1 ft,,12-8,,
5:22.0,,,12-8,,Defensive rebound by M. Hezonja
5:15.0,,,12-10,2,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton)
4:56.0,K. Towns misses 2-pt shot from 5 ft,,12-10,,
4:55.0,,,12-10,,Defensive rebound by E. Payton
4:44.0,,,12-10,,N. Vucevic misses 2-pt shot from 7 ft
4:44.0,,,12-10,,Offensive rebound by E. Payton
4:34.0,,,12-10,,E. Payton misses 2-pt shot from 9 ft
4:33.0,Defensive rebound by K. Towns,,12-10,,
4:20.0,Shooting foul by A. Gordon (drawn by K. Towns),,12-10,,
4:20.0,K. Towns misses free throw 1 of 2,,12-10,,
4:20.0,Offensive rebound by Team,,12-10,,
4:20.0,,,12-10,,D. Dedmon enters the game for N. Vucevic
4:20.0,Z. LaVine enters the game for R. Rubio,,12-10,,
4:20.0,K. Towns makes free throw 2 of 2,1,13-10,,
4:07.0,,,13-12,2,M. Hezonja makes 2-pt shot from 16 ft
3:46.0,,,13-12,,Personal foul by T. Harris (drawn by N. Bjelica)
3:46.0,G. Dieng enters the game for K. Towns,,13-12,,
3:46.0,,,13-12,,S. Napier enters the game for E. Payton
3:35.0,G. Dieng makes 2-pt shot from 15 ft (assist by A. Wiggins),2,15-12,,
3:18.0,,,15-12,,A. Gordon misses 2-pt shot from 9 ft
3:17.0,Defensive rebound by T. Prince,,15-12,,
3:08.0,Z. LaVine misses 2-pt shot from 15 ft,,15-12,,
3:07.0,Offensive rebound by A. Wiggins,,15-12,,
3:03.0,A. Wiggins makes 2-pt shot from 8 ft,2,17-12,,
2:48.0,Personal foul by Z. LaVine (drawn by S. Napier),,17-12,,
2:48.0,,,17-12,,Orlando full timeout
2:48.0,K. Martin enters the game for T. Prince,,17-12,,
2:48.0,S. Muhammad enters the game for A. Wiggins,,17-12,,
2:44.0,Violation by G. Dieng (kicked ball),,17-12,,
2:33.0,,,17-12,,M. Hezonja misses 2-pt shot from 17 ft
2:33.0,Defensive rebound by S. Muhammad,,17-12,,
2:22.0,Shooting foul by D. Dedmon (drawn by G. Dieng),,17-12,,
2:22.0,G. Dieng misses free throw 1 of 2,,17-12,,
2:22.0,Offensive rebound by Team,,17-12,,
2:22.0,G. Dieng makes free throw 2 of 2,1,18-12,,
2:12.0,,,18-12,,Turnover by A. Gordon (bad pass; steal by G. Dieng)
1:54.0,S. Muhammad misses 3-pt shot from 25 ft,,18-12,,
1:54.0,,,18-12,,Defensive rebound by M. Hezonja
1:45.0,,,18-12,,S. Napier misses 3-pt shot from 24 ft
1:43.0,Defensive rebound by G. Dieng,,18-12,,
1:24.0,G. Dieng makes 2-pt shot from 20 ft (assist by Z. LaVine),2,20-12,,
1:04.0,,,20-12,,M. Hezonja misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by N. Bjelica,,20-12,,
0:58.0,S. Muhammad makes 2-pt shot from 1 ft (assist by Z. LaVine),2,22-12,,
