time,Minnesota,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,A. Wiggins misses 2-pt shot from 14 ft,,0-0,,
12:00.0,Jump ball: T. Thompson vs. K. Towns (T. Prince gains possession),,,,Jump ball: T. Thompson vs. K. Towns (T. Prince gains possession)
11:44.0,,,0-0,,Defensive rebound by K. Irving
11:29.0,,,0-2,2,K. Irving makes 2-pt shot from 16 ft (assist by L. James)
11:12.0,K. Towns misses 2-pt shot from 18 ft,,0-2,,
11:12.0,,,0-2,,Defensive rebound by K. Irving
11:04.0,,,0-4,2,K. Irving makes 2-pt shot from 14 ft
10:48.0,R. Rubio misses 3-pt shot from 23 ft,,0-4,,
10:46.0,,,0-4,,Defensive rebound by Team
10:27.0,,,0-4,,Turnover by L. James (bad pass; steal by R. Rubio)
10:17.0,N. Pekovic misses 2-pt shot from 3 ft,,0-4,,
10:16.0,Offensive rebound by K. Towns,,0-4,,
10:16.0,K. Towns misses 2-pt shot at rim,,0-4,,
10:14.0,,,0-4,,Defensive rebound by L. James
10:11.0,Personal foul by R. Rubio (drawn by T. Thompson),,0-4,,
10:04.0,,,0-7,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Irving)
9:57.0,Minnesota full timeout,,0-7,,
9:47.0,T. Prince misses 2-pt shot from 21 ft,,0-7,,
9:46.0,Offensive rebound by K. Towns,,0-7,,
9:42.0,K. Towns makes 2-pt shot from 1 ft,2,2-7,,
9:24.0,,,2-9,2,T. Thompson makes 2-pt shot at rim (assist by J. Smith)
9:17.0,Shooting foul by J. Smith (drawn by A. Wiggins),,2-9,,
9:17.0,A. Wiggins makes free throw 1 of 2,1,3-9,,
9:17.0,A. Wiggins makes free throw 2 of 2,1,4-9,,
9:04.0,,,4-9,,Turnover by L. James (lost ball; steal by K. Towns)
9:01.0,Turnover by K. Towns (bad pass),,4-9,,
8:39.0,,,4-12,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
8:13.0,N. Pekovic misses 2-pt shot from 15 ft,,4-12,,
8:12.0,,,4-12,,Defensive rebound by K. Love
8:02.0,Personal foul by K. Towns (drawn by K. Love),,4-12,,
7:51.0,,,4-14,2,L. James makes 2-pt shot from 17 ft
7:39.0,K. Towns makes 2-pt shot from 18 ft (assist by R. Rubio),2,6-14,,
7:21.0,,,6-14,,K. Love misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by R. Rubio,,6-14,,
7:07.0,K. Towns makes 2-pt shot from 5 ft,2,8-14,,
7:00.0,G. Dieng enters the game for N. Pekovic,,8-14,,
6:56.0,,,8-16,2,L. James makes 2-pt shot at rim (assist by K. Love)
6:34.0,A. Wiggins makes 2-pt shot from 15 ft,2,10-16,,
6:18.0,,,10-16,,K. Irving misses 2-pt shot from 7 ft
6:18.0,,,10-16,,Offensive rebound by T. Thompson
6:18.0,S. Muhammad enters the game for T. Prince,,10-16,,
6:18.0,,,10-16,,T. Mozgov enters the game for K. Love
6:18.0,Jump ball: T. Thompson vs. K. Towns (L. James gains possession),,,,Jump ball: T. Thompson vs. K. Towns (L. James gains possession)
6:06.0,,,10-16,,J. Smith misses 2-pt shot from 15 ft
6:04.0,Defensive rebound by G. Dieng,,10-16,,
5:39.0,K. Towns makes 2-pt shot from 7 ft,2,12-16,,
5:24.0,,,12-16,,Turnover by K. Irving (bad pass)
5:13.0,Shooting foul by K. Irving (drawn by G. Dieng),,12-16,,
5:13.0,G. Dieng makes free throw 1 of 2,1,13-16,,
5:13.0,,,13-16,,M. Dellavedova enters the game for K. Irving
5:13.0,G. Dieng makes free throw 2 of 2,1,14-16,,
4:59.0,,,14-18,2,L. James makes 2-pt shot from 1 ft
4:35.0,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns),3,17-18,,
4:28.0,,,17-18,,Cleveland full timeout
4:17.0,,,17-20,2,M. Dellavedova makes 2-pt shot from 4 ft (assist by L. James)
4:04.0,R. Rubio misses 2-pt shot from 8 ft,,17-20,,
4:01.0,Offensive rebound by G. Dieng,,17-20,,
3:58.0,S. Muhammad makes 2-pt shot from 11 ft,2,19-20,,
3:43.0,,,19-22,2,L. James makes 2-pt shot from 16 ft (assist by M. Dellavedova)
3:31.0,S. Muhammad makes 2-pt shot from 19 ft (assist by K. Towns),2,21-22,,
3:22.0,,,21-22,,Turnover by M. Dellavedova (bad pass; steal by A. Wiggins)
3:13.0,K. Towns makes 2-pt shot from 17 ft (assist by S. Muhammad),2,23-22,,
3:06.0,,,23-22,,Turnover by L. James (dbl dribble)
3:06.0,,,23-22,,I. Shumpert enters the game for L. James
3:06.0,,,23-22,,K. Love enters the game for T. Thompson
3:06.0,Z. LaVine enters the game for R. Rubio,,23-22,,
2:53.0,Z. LaVine misses 3-pt shot from 25 ft,,23-22,,
2:51.0,,,23-22,,Defensive rebound by K. Love
2:45.0,,,23-22,,J. Smith misses 2-pt shot from 3 ft (block by A. Wiggins)
2:44.0,Defensive rebound by K. Towns,,23-22,,
2:34.0,A. Wiggins misses 2-pt shot from 16 ft,,23-22,,
2:34.0,,,23-22,,Defensive rebound by M. Dellavedova
2:25.0,,,23-22,,Shooting foul by K. Towns (drawn by J. Smith)
2:25.0,,,23-23,1,J. Smith makes free throw 1 of 2
2:25.0,N. Bjelica enters the game for K. Towns,,23-23,,
2:25.0,,,23-24,1,J. Smith makes free throw 2 of 2
2:03.0,G. Dieng misses 2-pt shot from 9 ft,,23-24,,
2:02.0,,,23-24,,Defensive rebound by T. Mozgov
1:53.0,,,23-24,,I. Shumpert misses 2-pt shot from 11 ft
1:51.0,Defensive rebound by Z. LaVine,,23-24,,
1:46.0,Z. LaVine makes 2-pt shot at rim,2,25-24,,
1:27.0,,,25-24,,Turnover by M. Dellavedova (bad pass)
