time,Oklahoma City,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Jordan (J. Redick gains possession),,,,Jump ball: S. Adams vs. D. Jordan (J. Redick gains possession)
11:39.0,,,0-2,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
11:24.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,2-2,,
11:08.0,,,2-4,2,J. Redick makes 2-pt shot from 17 ft (assist by C. Paul)
10:47.0,S. Ibaka misses 2-pt shot from 13 ft,,2-4,,
10:45.0,Offensive rebound by S. Adams,,2-4,,
10:40.0,S. Ibaka misses 2-pt shot from 19 ft,,2-4,,
10:39.0,,,2-4,,Defensive rebound by J. Redick
10:30.0,,,2-4,,C. Paul misses 3-pt shot from 26 ft
10:27.0,Defensive rebound by S. Ibaka,,2-4,,
10:10.0,K. Durant makes 3-pt shot from 25 ft,3,5-4,,
9:59.0,,,5-4,,Shooting foul by A. Roberson (drawn by D. Jordan)
9:59.0,,,5-5,1,D. Jordan makes free throw 1 of 2
9:59.0,,,5-5,,D. Jordan misses free throw 2 of 2
9:59.0,Defensive rebound by S. Ibaka,,5-5,,
9:43.0,R. Westbrook misses 2-pt shot from 3 ft,,5-5,,
9:42.0,,,5-5,,Defensive rebound by P. Pierce
9:34.0,,,5-5,,J. Green misses 3-pt shot from 24 ft
9:33.0,Defensive rebound by S. Ibaka,,5-5,,
9:27.0,R. Westbrook makes 2-pt shot from 12 ft,2,7-5,,
9:05.0,,,7-8,3,P. Pierce makes 3-pt shot from 27 ft (assist by C. Paul)
8:46.0,S. Ibaka misses 2-pt shot from 17 ft,,7-8,,
8:43.0,,,7-8,,Defensive rebound by P. Pierce
8:36.0,,,7-8,,P. Pierce misses 3-pt shot from 25 ft
8:35.0,Defensive rebound by A. Roberson,,7-8,,
8:25.0,K. Durant misses 2-pt shot from 9 ft,,7-8,,
8:22.0,,,7-8,,Defensive rebound by J. Green
8:16.0,,,7-11,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
7:59.0,S. Ibaka makes 2-pt shot from 5 ft (assist by R. Westbrook),2,9-11,,
7:50.0,,,9-11,,J. Redick misses 2-pt shot from 18 ft
7:48.0,Defensive rebound by S. Adams,,9-11,,
7:38.0,K. Durant misses 3-pt shot from 26 ft,,9-11,,
7:36.0,Offensive rebound by S. Ibaka,,9-11,,
7:36.0,S. Ibaka misses 2-pt shot from 1 ft,,9-11,,
7:33.0,,,9-11,,Defensive rebound by P. Pierce
7:19.0,,,9-11,,J. Green misses 2-pt shot from 2 ft (block by K. Durant)
7:17.0,Defensive rebound by R. Westbrook,,9-11,,
7:13.0,K. Durant makes 2-pt shot at rim (assist by R. Westbrook),2,11-11,,
6:46.0,,,11-11,,J. Redick misses 3-pt shot from 23 ft
6:45.0,Defensive rebound by A. Roberson,,11-11,,
6:39.0,R. Westbrook makes 2-pt shot from 7 ft (assist by K. Durant),2,13-11,,
6:39.0,Shooting foul by J. Green (drawn by R. Westbrook),,13-11,,
