time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Kaminsky vs. H. Whiteside (G. Dragic gains possession),,,,Jump ball: F. Kaminsky vs. H. Whiteside (G. Dragic gains possession)
11:39.0,L. Deng makes 2-pt shot from 18 ft (assist by G. Dragic),2,2-0,,
11:25.0,,,2-2,2,K. Walker makes 2-pt shot from 1 ft
11:11.0,G. Dragic misses 2-pt shot from 1 ft,,2-2,,
11:10.0,,,2-2,,Defensive rebound by F. Kaminsky
10:50.0,,,2-2,,A. Jefferson misses 2-pt shot from 2 ft (block by H. Whiteside)
10:48.0,Defensive rebound by G. Dragic,,2-2,,
10:43.0,L. Deng misses 2-pt shot from 17 ft,,2-2,,
10:41.0,,,2-2,,Defensive rebound by A. Jefferson
10:24.0,,,2-2,,A. Jefferson misses 2-pt shot from 17 ft
10:23.0,Defensive rebound by J. Johnson,,2-2,,
10:14.0,D. Wade makes 2-pt shot from 18 ft,2,4-2,,
9:56.0,,,4-2,,K. Walker misses 2-pt shot from 17 ft
9:54.0,Defensive rebound by J. Johnson,,4-2,,
9:45.0,Offensive foul by H. Whiteside,,4-2,,
9:45.0,Turnover by H. Whiteside (offensive foul),,4-2,,
9:28.0,,,4-4,2,A. Jefferson makes 2-pt shot from 2 ft
9:11.0,Turnover by H. Whiteside (lost ball; steal by K. Walker),,4-4,,
9:03.0,,,4-6,2,F. Kaminsky makes 2-pt shot from 7 ft (assist by K. Walker)
8:37.0,D. Wade misses 2-pt shot from 7 ft,,4-6,,
8:36.0,,,4-6,,Defensive rebound by F. Kaminsky
8:28.0,,,4-6,,M. Williams misses 2-pt shot from 22 ft
8:27.0,Defensive rebound by G. Dragic,,4-6,,
8:22.0,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade),2,6-6,,
8:10.0,,,6-6,,F. Kaminsky misses 3-pt shot from 26 ft
8:09.0,Defensive rebound by H. Whiteside,,6-6,,
8:00.0,,,6-6,,Personal foul by C. Lee
7:45.0,L. Deng misses 2-pt shot from 19 ft,,6-6,,
7:43.0,Offensive rebound by H. Whiteside,,6-6,,
7:43.0,H. Whiteside makes 2-pt shot from 9 ft,2,8-6,,
7:25.0,,,8-6,,M. Williams misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by H. Whiteside,,8-6,,
7:17.0,Offensive foul by G. Dragic,,8-6,,
7:17.0,Turnover by G. Dragic (offensive foul),,8-6,,
7:00.0,,,8-9,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by K. Walker)
6:39.0,Shooting foul by F. Kaminsky (drawn by D. Wade),,8-9,,
6:39.0,D. Wade misses free throw 1 of 2,,8-9,,
6:39.0,Offensive rebound by Team,,8-9,,
6:39.0,D. Wade makes free throw 2 of 2,1,9-9,,
6:22.0,,,9-9,,Shooting foul by L. Deng (drawn by F. Kaminsky)
6:22.0,,,9-10,1,F. Kaminsky makes free throw 1 of 2
6:22.0,,,9-11,1,F. Kaminsky makes free throw 2 of 2
6:12.0,J. Johnson makes 2-pt shot from 8 ft,2,11-11,,
5:59.0,,,11-13,2,K. Walker makes 2-pt shot at rim
5:44.0,Turnover by J. Johnson (lost ball; steal by A. Jefferson),,11-13,,
5:39.0,,,11-16,3,K. Walker makes 3-pt shot from 26 ft (assist by F. Kaminsky)
5:21.0,H. Whiteside misses 2-pt shot from 18 ft,,11-16,,
5:19.0,,,11-16,,Defensive rebound by F. Kaminsky
5:07.0,,,11-18,2,K. Walker makes 2-pt shot from 2 ft
5:04.0,Miami full timeout,,11-18,,
5:04.0,,,11-18,,J. Lin enters the game for M. Williams
5:04.0,,,11-18,,N. Batum enters the game for C. Lee
