time,Toronto,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Grant vs. J. Valanciunas (T. McConnell gains possession),,,,Jump ball: J. Grant vs. J. Valanciunas (T. McConnell gains possession)
11:43.0,,,0-0,,J. Okafor misses 2-pt shot from 16 ft
11:41.0,Defensive rebound by J. Johnson,,0-0,,
11:25.0,K. Lowry makes 3-pt shot from 26 ft (assist by D. DeRozan),3,3-0,,
11:01.0,,,3-0,,N. Stauskas misses 3-pt shot from 26 ft
11:01.0,,,3-0,,Offensive rebound by J. Grant
11:01.0,,,3-0,,Shooting foul by L. Scola (drawn by J. Grant)
11:01.0,,,3-0,,J. Grant misses free throw 1 of 2
11:01.0,,,3-0,,Offensive rebound by Team
11:01.0,,,3-0,,J. Grant misses free throw 2 of 2
10:59.0,,,3-0,,Offensive rebound by Team
10:49.0,,,3-0,,J. Okafor misses 2-pt shot from 2 ft
10:47.0,,,3-0,,Offensive rebound by J. Grant
10:47.0,,,3-0,,J. Grant misses 2-pt shot from 2 ft
10:45.0,Defensive rebound by J. Valanciunas,,3-0,,
10:41.0,Shooting foul by T. McConnell (drawn by K. Lowry),,3-0,,
10:41.0,K. Lowry makes free throw 1 of 2,1,4-0,,
10:41.0,K. Lowry makes free throw 2 of 2,1,5-0,,
10:23.0,,,5-2,2,J. Okafor makes 2-pt shot from 1 ft (assist by N. Stauskas)
9:57.0,K. Lowry misses 2-pt shot from 8 ft,,5-2,,
9:55.0,Offensive rebound by Team,,5-2,,
9:44.0,J. Valanciunas misses 2-pt shot from 6 ft (block by J. Okafor),,5-2,,
9:42.0,,,5-2,,Defensive rebound by T. McConnell
9:38.0,,,5-4,2,T. McConnell makes 2-pt shot from 1 ft
9:21.0,D. DeRozan makes 2-pt shot from 17 ft (assist by K. Lowry),2,7-4,,
9:09.0,,,7-7,3,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell)
9:00.0,,,7-7,,Personal foul by N. Stauskas (drawn by D. DeRozan)
8:54.0,D. DeRozan misses 2-pt shot from 18 ft,,7-7,,
8:53.0,,,7-7,,Defensive rebound by J. Sampson
8:44.0,,,7-9,2,J. Okafor makes 2-pt shot at rim (assist by N. Stauskas)
8:19.0,,,7-9,,Violation by J. Okafor (def goaltending)
8:19.0,L. Scola makes 2-pt shot from 5 ft,2,9-9,,
8:10.0,,,9-9,,Shooting foul by J. Valanciunas (drawn by J. Grant)
8:10.0,,,9-10,1,J. Grant makes free throw 1 of 2
8:10.0,,,9-11,1,J. Grant makes free throw 2 of 2
8:01.0,D. DeRozan misses 2-pt shot from 2 ft (block by J. Okafor),,9-11,,
8:01.0,,,9-11,,Defensive rebound by Team
7:49.0,,,9-11,,J. Okafor misses 2-pt shot from 12 ft
7:47.0,,,9-11,,Offensive rebound by J. Sampson
7:46.0,,,9-13,2,J. Sampson makes 2-pt shot from 2 ft
7:28.0,L. Scola misses 2-pt shot from 11 ft,,9-13,,
7:27.0,Offensive rebound by L. Scola,,9-13,,
7:26.0,L. Scola misses 2-pt shot from 9 ft,,9-13,,
7:26.0,Offensive rebound by J. Valanciunas,,9-13,,
7:26.0,Shooting foul by J. Grant (drawn by J. Valanciunas),,9-13,,
7:26.0,J. Valanciunas makes free throw 1 of 2,1,10-13,,
7:26.0,J. Valanciunas makes free throw 2 of 2,1,11-13,,
7:10.0,,,11-13,,Turnover by J. Okafor (step out of bounds)
6:59.0,K. Lowry misses 3-pt shot from 28 ft,,11-13,,
6:57.0,,,11-13,,Defensive rebound by J. Grant
6:49.0,,,11-15,2,J. Sampson makes 2-pt shot at rim (assist by T. McConnell)
6:35.0,J. Valanciunas misses 2-pt shot from 3 ft,,11-15,,
6:32.0,,,11-15,,Defensive rebound by J. Sampson
6:24.0,,,11-15,,T. McConnell misses 2-pt shot from 11 ft
