time,Oklahoma City,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. Z. Pachulia (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. Z. Pachulia (S. Ibaka gains possession)
11:48.0,Turnover by R. Westbrook (lost ball; steal by R. Felton),,0-0,,
11:25.0,,,0-0,,D. Nowitzki misses 2-pt shot from 18 ft
11:24.0,Defensive rebound by A. Roberson,,0-0,,
11:04.0,A. Roberson makes 3-pt shot from 22 ft (assist by R. Westbrook),3,3-0,,
10:50.0,,,3-0,,J. Barea misses 2-pt shot from 9 ft (block by A. Roberson)
10:49.0,Defensive rebound by A. Roberson,,3-0,,
10:41.0,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook),2,5-0,,
10:14.0,,,5-2,2,R. Felton makes 2-pt shot from 19 ft (assist by Z. Pachulia)
9:55.0,K. Durant misses 2-pt shot from 5 ft,,5-2,,
9:54.0,,,5-2,,Defensive rebound by J. Barea
9:46.0,,,5-2,,Turnover by J. Barea (lost ball; steal by R. Westbrook)
9:34.0,K. Durant makes 2-pt shot from 18 ft,2,7-2,,
9:17.0,,,7-4,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by R. Felton)
9:02.0,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook),2,9-4,,
8:35.0,,,9-6,2,D. Nowitzki makes 2-pt shot from 2 ft
8:22.0,R. Westbrook misses 2-pt shot from 2 ft,,9-6,,
8:21.0,,,9-6,,Defensive rebound by W. Matthews
8:17.0,Personal foul by S. Adams,,9-6,,
8:09.0,Personal foul by K. Durant,,9-6,,
8:03.0,,,9-8,2,R. Felton makes 2-pt shot from 2 ft
7:40.0,R. Westbrook misses 2-pt shot from 4 ft (block by D. Nowitzki),,9-8,,
7:38.0,,,9-8,,Defensive rebound by Z. Pachulia
7:34.0,,,9-8,,W. Matthews misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by K. Durant,,9-8,,
7:25.0,K. Durant makes 3-pt shot from 27 ft,3,12-8,,
7:08.0,Personal foul by R. Westbrook,,12-8,,
7:02.0,,,12-8,,J. Barea misses 2-pt shot from 5 ft
6:58.0,,,12-8,,Offensive rebound by W. Matthews
6:55.0,,,12-8,,J. Barea misses 3-pt shot from 23 ft
6:53.0,Defensive rebound by K. Durant,,12-8,,
6:46.0,Turnover by K. Durant (lost ball; steal by R. Felton),,12-8,,
6:39.0,,,12-10,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by R. Felton)
6:38.0,Oklahoma City full timeout,,12-10,,
6:27.0,,,12-10,,Personal foul by Z. Pachulia
6:24.0,R. Westbrook makes 2-pt shot from 2 ft (assist by K. Durant),2,14-10,,
6:06.0,,,14-12,2,W. Matthews makes 2-pt shot from 19 ft (assist by R. Felton)
