time,San Antonio,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. T. Duncan (T. Parker gains possession),,,,Jump ball: A. Bogut vs. T. Duncan (T. Parker gains possession)
11:48.0,T. Parker misses 2-pt shot from 6 ft,,0-0,,
11:48.0,,,0-0,,Defensive rebound by A. Bogut
11:44.0,,,0-0,,Turnover by D. Green (lost ball; steal by D. Green)
11:25.0,T. Parker makes 2-pt shot from 20 ft (assist by K. Leonard),2,2-0,,
11:02.0,,,2-3,3,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry)
11:01.0,San Antonio full timeout,,2-3,,
10:48.0,D. Green misses 3-pt shot from 25 ft,,2-3,,
10:47.0,,,2-3,,Defensive rebound by A. Bogut
10:33.0,,,2-3,,S. Curry misses 2-pt shot from 19 ft
10:32.0,Defensive rebound by K. Leonard,,2-3,,
10:12.0,L. Aldridge makes 2-pt shot from 20 ft (assist by T. Parker),2,4-3,,
10:06.0,,,4-5,2,H. Barnes makes 2-pt shot from 17 ft (assist by S. Curry)
9:51.0,,,4-5,,Personal foul by D. Green
9:36.0,L. Aldridge misses 2-pt shot from 17 ft,,4-5,,
9:36.0,,,4-5,,Defensive rebound by H. Barnes
9:25.0,,,4-5,,D. Green misses 2-pt shot from 15 ft
9:24.0,Defensive rebound by K. Leonard,,4-5,,
9:04.0,Turnover by T. Duncan (back court),,4-5,,
8:40.0,,,4-5,,H. Barnes misses 3-pt shot from 27 ft
8:39.0,,,4-5,,Offensive rebound by A. Bogut
8:39.0,,,4-5,,Turnover by Team (shot clock)
8:23.0,K. Leonard makes 2-pt shot from 3 ft,2,6-5,,
8:07.0,,,6-5,,H. Barnes misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by Team,,6-5,,
8:07.0,,,6-5,,Loose ball foul by D. Green
8:07.0,,,6-5,,Technical foul by D. Green
8:07.0,K. Leonard misses technical free throw,,6-5,,
8:07.0,Offensive rebound by Team,,6-5,,
8:07.0,,,6-5,,A. Iguodala enters the game for D. Green
8:07.0,,,6-5,,Violation by Team (jump ball)
7:53.0,Turnover by T. Parker (lost ball; steal by S. Curry),,6-5,,
7:47.0,,,6-5,,Turnover by H. Barnes (bad pass)
7:32.0,,,6-5,,Personal foul by H. Barnes
7:26.0,San Antonio full timeout,,6-5,,
7:21.0,Turnover by K. Leonard (lost ball; steal by A. Iguodala),,6-5,,
7:14.0,,,6-7,2,H. Barnes makes 2-pt shot at rim (assist by S. Curry)
6:53.0,T. Parker misses 2-pt shot from 2 ft,,6-7,,
6:53.0,,,6-7,,Defensive rebound by H. Barnes
6:35.0,,,6-9,2,A. Iguodala makes 2-pt shot from 2 ft (assist by A. Bogut)
6:13.0,L. Aldridge misses 2-pt shot from 8 ft,,6-9,,
6:12.0,,,6-9,,Defensive rebound by A. Bogut
6:00.0,,,6-9,,Turnover by H. Barnes (lost ball; steal by L. Aldridge)
5:47.0,L. Aldridge makes 2-pt shot from 10 ft (assist by T. Duncan),2,8-9,,
5:30.0,,,8-11,2,H. Barnes makes 2-pt shot from 3 ft (assist by K. Thompson)
5:10.0,L. Aldridge misses 2-pt shot from 2 ft,,8-11,,
5:08.0,Offensive rebound by T. Duncan,,8-11,,
5:08.0,T. Duncan makes 2-pt shot at rim,2,10-11,,
4:51.0,,,10-11,,H. Barnes misses 2-pt shot from 7 ft
4:51.0,Defensive rebound by T. Duncan,,10-11,,
4:38.0,Turnover by L. Aldridge (lost ball; steal by A. Bogut),,10-11,,
4:31.0,,,10-11,,K. Thompson misses 2-pt shot at rim
4:30.0,,,10-11,,Offensive rebound by K. Thompson
4:29.0,,,10-13,2,K. Thompson makes 2-pt shot from 17 ft
4:07.0,T. Parker misses 2-pt shot from 17 ft,,10-13,,
4:07.0,,,10-13,,Defensive rebound by H. Barnes
3:57.0,,,10-13,,S. Curry misses 2-pt shot from 17 ft
3:57.0,Defensive rebound by L. Aldridge,,10-13,,
3:49.0,D. Green makes 3-pt shot from 25 ft (assist by K. Leonard),3,13-13,,
3:38.0,,,13-15,2,S. Curry makes 2-pt shot from 1 ft
3:18.0,L. Aldridge misses 2-pt shot from 1 ft (block by A. Bogut),,13-15,,
3:17.0,,,13-15,,Defensive rebound by H. Barnes
3:11.0,Personal foul by L. Aldridge,,13-15,,
3:11.0,,,13-15,,Golden State full timeout
3:11.0,P. Mills enters the game for K. Leonard,,13-15,,
3:11.0,M. Ginobili enters the game for L. Aldridge,,13-15,,
3:11.0,D. West enters the game for T. Parker,,13-15,,
3:11.0,,,13-15,,L. Barbosa enters the game for H. Barnes
3:11.0,,,13-15,,F. Ezeli enters the game for A. Bogut
3:11.0,,,13-15,,D. Green enters the game for K. Thompson
2:52.0,,,13-15,,F. Ezeli misses 2-pt shot from 5 ft
2:52.0,Defensive rebound by D. Green,,13-15,,
2:39.0,M. Ginobili misses 3-pt shot from 26 ft,,13-15,,
2:38.0,,,13-15,,Defensive rebound by S. Curry
2:35.0,,,13-15,,S. Curry misses 2-pt shot from 13 ft
2:35.0,Defensive rebound by D. Green,,13-15,,
2:23.0,Turnover by M. Ginobili (lost ball),,13-15,,
2:10.0,,,13-15,,F. Ezeli misses 2-pt shot from 1 ft
2:09.0,Defensive rebound by D. Green,,13-15,,
2:03.0,T. Duncan makes 2-pt shot at rim (assist by D. West),2,15-15,,
1:49.0,Violation by T. Duncan (kicked ball),,15-15,,
1:44.0,,,15-18,3,L. Barbosa makes 3-pt shot from 26 ft (assist by S. Curry)
1:21.0,Turnover by T. Duncan (lost ball; steal by A. Iguodala),,15-18,,
1:16.0,Personal foul by M. Ginobili,,15-18,,
1:13.0,,,15-18,,S. Curry misses 2-pt shot from 2 ft (block by D. Green)
1:13.0,,,15-18,,Offensive rebound by Team
1:06.0,,,15-18,,L. Barbosa misses 2-pt shot from 8 ft
1:05.0,,,15-18,,Offensive rebound by L. Barbosa
1:04.0,,,15-18,,L. Barbosa misses 2-pt shot from 3 ft
1:04.0,,,15-18,,Offensive rebound by F. Ezeli
1:03.0,,,15-18,,F. Ezeli misses 2-pt shot from 1 ft
1:01.0,Defensive rebound by T. Duncan,,15-18,,
0:51.0,T. Duncan misses 2-pt shot from 1 ft,,15-18,,
0:51.0,,,15-18,,Defensive rebound by A. Iguodala
0:45.0,,,15-18,,Turnover by A. Iguodala (lost ball; steal by P. Mills)
0:33.0,D. Green misses 3-pt shot from 27 ft,,15-18,,
0:33.0,,,15-18,,Defensive rebound by F. Ezeli
0:14.0,,,15-20,2,S. Curry makes 2-pt shot from 2 ft
0:03.0,P. Mills misses 3-pt shot from 27 ft,,15-20,,
0:01.0,,,15-20,,Defensive rebound by Team
0:00.0,,,15-20,,S. Curry misses 3-pt shot from 68 ft
0:00.0,,,15-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,15-20,,D. Green misses 2-pt shot from 1 ft
11:49.0,Defensive rebound by K. Anderson,,15-20,,
11:39.0,K. Leonard misses 2-pt shot from 2 ft,,15-20,,
11:38.0,,,15-20,,Defensive rebound by D. Green
11:35.0,,,15-23,3,B. Rush makes 3-pt shot from 26 ft (assist by D. Green)
11:13.0,D. West misses 2-pt shot from 7 ft,,15-23,,
11:12.0,,,15-23,,Defensive rebound by D. Green
11:01.0,,,15-25,2,S. Livingston makes 2-pt shot at rim (assist by D. Green)
10:48.0,P. Mills misses 2-pt shot from 20 ft,,15-25,,
10:47.0,,,15-25,,Defensive rebound by D. Green
10:39.0,,,15-25,,D. Green misses 2-pt shot from 2 ft
10:39.0,Defensive rebound by Team,,15-25,,
10:26.0,,,15-25,,Personal foul by L. Barbosa
10:26.0,,,15-25,,M. Speights enters the game for F. Ezeli
10:26.0,,,15-25,,K. Thompson enters the game for L. Barbosa
10:24.0,,,15-25,,Personal foul by S. Livingston
10:11.0,P. Mills misses 3-pt shot from 23 ft,,15-25,,
10:11.0,,,15-25,,Defensive rebound by K. Thompson
10:05.0,Personal foul by P. Mills,,15-25,,
10:02.0,,,15-27,2,K. Thompson makes 2-pt shot from 11 ft (assist by S. Livingston)
9:46.0,M. Ginobili misses 2-pt shot from 14 ft,,15-27,,
9:45.0,,,15-27,,Defensive rebound by M. Speights
9:38.0,,,15-29,2,D. Green makes 2-pt shot at rim (assist by K. Thompson)
9:18.0,Shooting foul by B. Rush (drawn by K. Anderson),,15-29,,
9:18.0,K. Anderson makes 2-pt shot from 2 ft (assist by D. West),2,17-29,,
9:18.0,K. Anderson makes free throw 1 of 1,1,18-29,,
9:02.0,,,18-29,,S. Livingston misses 2-pt shot from 12 ft
9:02.0,Defensive rebound by K. Anderson,,18-29,,
8:51.0,,,18-29,,Personal foul by K. Thompson
8:51.0,Official timeout,,18-29,,
8:51.0,L. Aldridge enters the game for M. Ginobili,,18-29,,
8:51.0,K. Leonard misses free throw 1 of 2,,18-29,,
8:51.0,Offensive rebound by Team,,18-29,,
8:51.0,K. Leonard makes free throw 2 of 2,1,19-29,,
8:41.0,,,19-29,,Shooting foul by K. Anderson (drawn by K. Thompson)
8:41.0,,,19-30,1,K. Thompson makes free throw 1 of 2
8:41.0,,,19-31,1,K. Thompson makes free throw 2 of 2
8:26.0,K. Leonard makes 2-pt shot from 2 ft (assist by D. West),2,21-31,,
8:17.0,,,21-34,3,D. Green makes 3-pt shot from 25 ft (assist by S. Livingston)
8:04.0,P. Mills misses 2-pt shot from 19 ft,,21-34,,
8:03.0,,,21-34,,Defensive rebound by B. Rush
7:57.0,,,21-36,2,D. Green makes 2-pt shot from 1 ft (assist by S. Livingston)
7:34.0,K. Leonard makes 3-pt shot from 24 ft (assist by L. Aldridge),3,24-36,,
7:18.0,,,24-38,2,M. Speights makes 2-pt shot from 19 ft (assist by K. Thompson)
6:57.0,K. Leonard makes 2-pt shot from 10 ft,2,26-38,,
6:57.0,Shooting foul by B. Rush (drawn by K. Leonard),,26-38,,
6:57.0,K. Leonard makes free throw 1 of 1,1,27-38,,
6:45.0,,,27-38,,D. Green misses 3-pt shot from 25 ft
6:44.0,Defensive rebound by Team,,27-38,,
6:43.0,,,27-38,,H. Barnes enters the game for B. Rush
6:21.0,L. Aldridge misses 2-pt shot from 19 ft,,27-38,,
6:21.0,,,27-38,,Defensive rebound by S. Livingston
6:04.0,,,27-38,,Turnover by M. Speights (3 sec)
6:04.0,T. Parker enters the game for P. Mills,,27-38,,
5:43.0,Turnover by K. Leonard (bad pass),,27-38,,
5:43.0,,,27-38,,Golden State full timeout
5:43.0,,,27-38,,S. Curry enters the game for D. Green
5:43.0,,,27-38,,A. Bogut enters the game for M. Speights
5:43.0,D. Green enters the game for D. West,,27-38,,
5:26.0,,,27-38,,K. Thompson misses 2-pt shot from 14 ft
5:24.0,Defensive rebound by K. Anderson,,27-38,,
5:06.0,T. Parker makes 2-pt shot from 18 ft (assist by K. Anderson),2,29-38,,
4:43.0,,,29-38,,K. Thompson misses 2-pt shot from 13 ft
4:42.0,Defensive rebound by K. Anderson,,29-38,,
4:29.0,L. Aldridge misses 2-pt shot from 14 ft,,29-38,,
4:28.0,,,29-38,,Defensive rebound by A. Bogut
4:21.0,,,29-41,3,S. Curry makes 3-pt shot from 25 ft (assist by S. Livingston)
4:02.0,K. Leonard misses 3-pt shot from 24 ft,,29-41,,
4:01.0,,,29-41,,Defensive rebound by A. Bogut
4:01.0,Personal foul by D. Green,,29-41,,
3:41.0,,,29-41,,K. Thompson misses 2-pt shot from 1 ft
3:38.0,,,29-41,,Offensive rebound by K. Thompson
3:33.0,,,29-44,3,K. Thompson makes 3-pt shot from 27 ft (assist by A. Bogut)
3:13.0,,,29-44,,Personal foul by A. Bogut
3:13.0,K. Leonard makes free throw 1 of 2,1,30-44,,
3:13.0,T. Duncan enters the game for L. Aldridge,,30-44,,
3:13.0,K. Leonard misses free throw 2 of 2,,30-44,,
3:13.0,,,30-44,,Defensive rebound by Team
2:58.0,,,30-44,,S. Livingston misses 2-pt shot from 8 ft
2:57.0,Defensive rebound by T. Parker,,30-44,,
2:50.0,T. Parker makes 2-pt shot from 12 ft,2,32-44,,
2:30.0,,,32-46,2,H. Barnes makes 2-pt shot from 20 ft
2:07.0,Turnover by T. Parker (lost ball; steal by K. Thompson),,32-46,,
2:02.0,,,32-46,,Turnover by K. Thompson (lost ball; steal by D. Green)
1:54.0,D. Green makes 3-pt shot from 27 ft (assist by T. Parker),3,35-46,,
1:54.0,,,35-46,,Golden State full timeout
1:54.0,San Antonio full timeout,,35-46,,
1:54.0,,,35-46,,A. Iguodala enters the game for A. Bogut
1:54.0,,,35-46,,D. Green enters the game for S. Livingston
1:54.0,K. Martin enters the game for K. Anderson,,35-46,,
1:54.0,L. Aldridge enters the game for T. Duncan,,35-46,,
1:44.0,,,35-46,,Turnover by S. Curry (lost ball; steal by L. Aldridge)
1:31.0,D. Green makes 3-pt shot from 26 ft (assist by K. Martin),3,38-46,,
1:31.0,,,38-46,,Golden State full timeout
1:15.0,,,38-46,,Turnover by D. Green (lost ball; steal by K. Leonard)
