time,Washington,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Jefferson (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. A. Jefferson (K. Humphries gains possession)
11:42.0,K. Humphries misses 3-pt shot from 22 ft,,0-0,,
11:39.0,Offensive rebound by M. Gortat,,0-0,,
11:35.0,M. Gortat makes 2-pt shot from 3 ft,2,2-0,,
11:18.0,,,2-0,,Turnover by M. Williams (lost ball; steal by J. Wall)
11:13.0,Turnover by J. Wall (bad pass; steal by N. Batum),,2-0,,
11:06.0,,,2-0,,K. Walker misses 2-pt shot from 2 ft (block by B. Beal)
11:04.0,Defensive rebound by M. Gortat,,2-0,,
10:52.0,J. Wall makes 3-pt shot from 26 ft (assist by O. Porter),3,5-0,,
10:38.0,,,5-0,,A. Jefferson misses 2-pt shot from 6 ft
10:37.0,Defensive rebound by K. Humphries,,5-0,,
10:29.0,J. Wall misses 2-pt shot from 19 ft,,5-0,,
10:27.0,,,5-0,,Defensive rebound by M. Williams
10:18.0,,,5-0,,N. Batum misses 2-pt shot from 3 ft
10:17.0,Defensive rebound by K. Humphries,,5-0,,
10:03.0,B. Beal misses 2-pt shot from 19 ft,,5-0,,
10:02.0,,,5-0,,Defensive rebound by N. Batum
9:56.0,,,5-0,,N. Batum misses 2-pt shot from 1 ft
9:55.0,,,5-0,,Offensive rebound by M. Williams
9:55.0,,,5-2,2,M. Williams makes 2-pt shot from 2 ft
9:33.0,M. Gortat misses 2-pt shot from 9 ft,,5-2,,
9:31.0,,,5-2,,Defensive rebound by M. Williams
9:23.0,,,5-2,,Turnover by K. Walker (lost ball; steal by J. Wall)
9:18.0,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter),2,7-2,,
9:00.0,,,7-5,3,M. Williams makes 3-pt shot from 24 ft (assist by P. Hairston)
8:43.0,J. Wall misses 3-pt shot from 27 ft,,7-5,,
8:42.0,,,7-5,,Defensive rebound by Team
8:34.0,,,7-5,,K. Walker misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by M. Gortat,,7-5,,
8:24.0,B. Beal makes 3-pt shot from 26 ft,3,10-5,,
8:11.0,,,10-7,2,A. Jefferson makes 2-pt shot from 2 ft (assist by P. Hairston)
7:55.0,Turnover by J. Wall (bad pass; steal by M. Williams),,10-7,,
7:43.0,,,10-7,,K. Walker misses 2-pt shot from 5 ft (block by K. Humphries)
7:41.0,Defensive rebound by J. Wall,,10-7,,
7:37.0,J. Wall misses 2-pt shot from 2 ft,,10-7,,
7:35.0,Offensive rebound by J. Wall,,10-7,,
7:35.0,J. Wall misses 2-pt shot from 1 ft,,10-7,,
7:33.0,Offensive rebound by K. Humphries,,10-7,,
7:27.0,B. Beal makes 3-pt shot from 24 ft (assist by K. Humphries),3,13-7,,
7:23.0,,,13-7,,Charlotte full timeout
7:13.0,,,13-10,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
7:02.0,B. Beal makes 3-pt shot from 26 ft,3,16-10,,
6:39.0,,,16-13,3,P. Hairston makes 3-pt shot from 25 ft (assist by N. Batum)
6:27.0,B. Beal misses 3-pt shot from 26 ft,,16-13,,
6:25.0,,,16-13,,Defensive rebound by A. Jefferson
6:09.0,,,16-13,,K. Walker misses 2-pt shot at rim (block by M. Gortat)
6:08.0,Defensive rebound by K. Humphries,,16-13,,
5:58.0,Turnover by K. Humphries (traveling),,16-13,,
5:35.0,,,16-13,,P. Hairston misses 3-pt shot from 24 ft
5:32.0,Defensive rebound by J. Wall,,16-13,,
5:24.0,J. Wall misses 2-pt shot from 4 ft (block by K. Walker),,16-13,,
5:22.0,Offensive rebound by O. Porter,,16-13,,
5:18.0,J. Wall misses 3-pt shot from 24 ft,,16-13,,
5:15.0,Offensive rebound by J. Wall,,16-13,,
5:08.0,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall),3,19-13,,
4:47.0,,,19-13,,Turnover by M. Williams (bad pass; steal by J. Wall)
4:47.0,Turnover by J. Wall (bad pass),,19-13,,
4:47.0,J. Dudley enters the game for K. Humphries,,19-13,,
4:47.0,,,19-13,,C. Zeller enters the game for M. Williams
4:41.0,,,19-16,3,N. Batum makes 3-pt shot from 26 ft (assist by A. Jefferson)
4:25.0,Shooting foul by P. Hairston (drawn by M. Gortat),,19-16,,
4:25.0,M. Gortat makes free throw 1 of 2,1,20-16,,
4:25.0,M. Gortat misses free throw 2 of 2,,20-16,,
4:23.0,,,20-16,,Defensive rebound by C. Zeller
4:08.0,,,20-18,2,A. Jefferson makes 2-pt shot from 3 ft (assist by N. Batum)
3:42.0,J. Wall makes 2-pt shot from 20 ft,2,22-18,,
3:23.0,,,22-20,2,A. Jefferson makes 2-pt shot from 19 ft (assist by N. Batum)
3:04.0,O. Porter misses 3-pt shot from 23 ft,,22-20,,
3:03.0,,,22-20,,Defensive rebound by P. Hairston
2:52.0,Washington full timeout,,22-20,,
2:52.0,,,22-20,,F. Kaminsky enters the game for P. Hairston
2:52.0,,,22-20,,J. Lamb enters the game for A. Jefferson
2:52.0,N. Hilario enters the game for M. Gortat,,22-20,,
2:52.0,R. Sessions enters the game for J. Wall,,22-20,,
2:49.0,Personal foul by O. Porter (drawn by C. Zeller),,22-20,,
2:41.0,,,22-20,,F. Kaminsky misses 3-pt shot from 23 ft
2:39.0,Defensive rebound by B. Beal,,22-20,,
2:31.0,N. Hilario makes 2-pt shot from 2 ft,2,24-20,,
2:04.0,,,24-20,,N. Batum misses 2-pt shot from 18 ft
2:03.0,Defensive rebound by N. Hilario,,24-20,,
