time,Utah,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Gobert vs. M. Gortat (N. Hilario gains possession),,,,Jump ball: R. Gobert vs. M. Gortat (N. Hilario gains possession)
11:40.0,,,0-0,,O. Porter misses 3-pt shot from 24 ft
11:39.0,Defensive rebound by D. Favors,,0-0,,
11:34.0,R. Hood makes 2-pt shot from 1 ft (assist by R. Neto),2,2-0,,
11:19.0,,,2-0,,J. Wall misses 2-pt shot from 19 ft
11:18.0,Defensive rebound by R. Hood,,2-0,,
10:56.0,Shooting foul by N. Hilario (drawn by D. Favors),,2-0,,
10:56.0,D. Favors makes free throw 1 of 2,1,3-0,,
10:56.0,D. Favors makes free throw 2 of 2,1,4-0,,
10:42.0,,,4-0,,Turnover by G. Temple (step out of bounds)
10:21.0,G. Hayward misses 2-pt shot from 20 ft,,4-0,,
10:20.0,,,4-0,,Defensive rebound by J. Wall
10:03.0,,,4-0,,G. Temple misses 2-pt shot from 16 ft (block by R. Gobert)
10:01.0,Defensive rebound by R. Gobert,,4-0,,
9:53.0,R. Gobert misses 2-pt shot from 9 ft,,4-0,,
9:52.0,,,4-0,,Defensive rebound by M. Gortat
9:36.0,,,4-0,,Shooting foul by R. Gobert (drawn by M. Gortat)
9:36.0,,,4-0,,M. Gortat misses free throw 1 of 2
9:36.0,,,4-0,,Offensive rebound by Team
9:36.0,,,4-1,1,M. Gortat makes free throw 2 of 2
9:15.0,R. Neto misses 2-pt shot from 13 ft (block by M. Gortat),,4-1,,
9:12.0,,,4-1,,Defensive rebound by J. Wall
9:08.0,,,4-4,3,G. Temple makes 3-pt shot from 24 ft (assist by J. Wall)
8:55.0,Shooting foul by M. Gortat (drawn by R. Gobert),,4-4,,
8:55.0,R. Gobert makes free throw 1 of 2,1,5-4,,
8:55.0,R. Gobert misses free throw 2 of 2,,5-4,,
8:54.0,,,5-4,,Defensive rebound by G. Temple
8:36.0,,,5-6,2,N. Hilario makes 2-pt shot at rim
8:23.0,R. Gobert misses 2-pt shot from 2 ft (block by M. Gortat),,5-6,,
8:22.0,,,5-6,,Defensive rebound by N. Hilario
8:13.0,,,5-6,,N. Hilario misses 2-pt shot from 19 ft
8:12.0,Defensive rebound by Team,,5-6,,
8:06.0,,,5-6,,Personal foul by O. Porter (drawn by G. Hayward)
7:55.0,R. Hood makes 3-pt shot from 25 ft (assist by R. Neto),3,8-6,,
