time,Atlanta,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: A. Horford vs. J. Valanciunas (K. Lowry gains possession)
11:43.0,,,0-0,,D. DeRozan misses 2-pt shot from 19 ft
11:43.0,,,0-0,,Offensive rebound by D. DeRozan
11:34.0,,,0-0,,Turnover by K. Lowry (bad pass)
11:12.0,J. Teague makes 2-pt shot from 16 ft,2,2-0,,
11:00.0,Personal foul by P. Millsap,,2-0,,
10:47.0,,,2-0,,K. Lowry misses 2-pt shot from 3 ft
10:46.0,Defensive rebound by J. Teague,,2-0,,
10:34.0,Turnover by P. Millsap (lost ball; steal by K. Lowry),,2-0,,
10:28.0,,,2-0,,N. Powell misses 2-pt shot from 14 ft
10:28.0,Defensive rebound by A. Horford,,2-0,,
10:19.0,P. Millsap misses 3-pt shot from 24 ft,,2-0,,
10:18.0,,,2-0,,Defensive rebound by K. Lowry
10:10.0,,,2-2,2,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry)
9:53.0,J. Teague misses 2-pt shot from 8 ft,,2-2,,
9:52.0,,,2-2,,Defensive rebound by K. Lowry
9:40.0,,,2-2,,J. Valanciunas misses 2-pt shot from 4 ft
9:38.0,,,2-2,,Offensive rebound by J. Thompson
9:36.0,,,2-4,2,J. Thompson makes 2-pt shot from 2 ft
9:24.0,,,2-4,,Personal foul by N. Powell
9:12.0,A. Horford misses 2-pt shot from 3 ft (block by J. Thompson),,2-4,,
9:10.0,,,2-4,,Defensive rebound by K. Lowry
9:04.0,,,2-6,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by K. Lowry)
8:51.0,K. Korver misses 2-pt shot from 17 ft,,2-6,,
8:50.0,,,2-6,,Defensive rebound by J. Valanciunas
8:39.0,,,2-8,2,J. Valanciunas makes 2-pt shot from 19 ft (assist by K. Lowry)
8:19.0,J. Teague makes 2-pt shot from 9 ft,2,4-8,,
7:53.0,,,4-10,2,D. DeRozan makes 2-pt shot from 5 ft (assist by K. Lowry)
7:38.0,A. Horford makes 2-pt shot from 13 ft (assist by J. Teague),2,6-10,,
7:19.0,,,6-10,,J. Thompson misses 2-pt shot from 13 ft
7:19.0,Defensive rebound by P. Millsap,,6-10,,
7:11.0,J. Teague makes 2-pt shot at rim,2,8-10,,
6:51.0,,,8-10,,Turnover by K. Lowry (lost ball)
6:37.0,P. Millsap makes 3-pt shot from 22 ft (assist by A. Horford),3,11-10,,
6:25.0,Personal foul by K. Bazemore,,11-10,,
6:16.0,,,11-10,,K. Lowry misses 2-pt shot from 7 ft
6:15.0,Defensive rebound by P. Millsap,,11-10,,
6:08.0,Turnover by J. Teague (lost ball; steal by N. Powell),,11-10,,
5:53.0,,,11-10,,J. Thompson misses 2-pt shot from 4 ft
5:53.0,Defensive rebound by A. Horford,,11-10,,
5:45.0,P. Millsap misses 3-pt shot from 26 ft,,11-10,,
5:45.0,Offensive rebound by J. Teague,,11-10,,
5:29.0,K. Bazemore misses 3-pt shot from 25 ft,,11-10,,
5:29.0,,,11-10,,Defensive rebound by J. Valanciunas
5:15.0,,,11-12,2,D. DeRozan makes 2-pt shot from 17 ft (assist by K. Lowry)
5:15.0,Atlanta full timeout,,11-12,,
5:15.0,T. Hardaway enters the game for K. Bazemore,,11-12,,
5:15.0,K. Humphries enters the game for A. Horford,,11-12,,
5:15.0,T. Sefolosha enters the game for K. Korver,,11-12,,
4:59.0,Turnover by P. Millsap (lost ball; steal by D. DeRozan),,11-12,,
4:46.0,,,11-14,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
4:42.0,Turnover by P. Millsap (lost ball; steal by K. Lowry),,11-14,,
4:30.0,,,11-14,,K. Lowry misses 2-pt shot from 2 ft (block by P. Millsap)
4:26.0,Defensive rebound by T. Hardaway,,11-14,,
4:22.0,T. Hardaway misses 2-pt shot from 2 ft,,11-14,,
4:21.0,,,11-14,,Defensive rebound by J. Thompson
4:08.0,,,11-16,2,J. Valanciunas makes 2-pt shot from 4 ft
3:56.0,,,11-16,,Personal foul by J. Thompson
3:56.0,D. Schroder enters the game for J. Teague,,11-16,,
3:56.0,,,11-16,,P. Patterson enters the game for J. Thompson
3:56.0,,,11-16,,C. Joseph enters the game for K. Lowry
3:50.0,K. Humphries makes 3-pt shot from 26 ft (assist by D. Schroder),3,14-16,,
3:31.0,,,14-16,,Turnover by N. Powell (traveling)
3:31.0,M. Scott enters the game for P. Millsap,,14-16,,
3:13.0,Turnover by K. Humphries (lost ball; steal by J. Valanciunas),,14-16,,
2:53.0,,,14-16,,N. Powell misses 3-pt shot from 23 ft
2:52.0,Defensive rebound by K. Humphries,,14-16,,
2:41.0,,,14-16,,Personal foul by N. Powell
2:41.0,,,14-16,,Toronto full timeout
2:41.0,,,14-16,,B. Biyombo enters the game for N. Powell
2:41.0,,,14-16,,T. Ross enters the game for J. Valanciunas
2:30.0,K. Humphries misses 3-pt shot from 24 ft,,14-16,,
2:29.0,,,14-16,,Defensive rebound by P. Patterson
2:10.0,Flagrant foul type 1 by K. Humphries,,14-16,,
2:10.0,,,14-16,,D. DeRozan misses flagrant free throw 1 of 2
2:10.0,,,14-16,,Offensive rebound by Team
2:10.0,,,14-17,1,D. DeRozan makes flagrant free throw 2 of 2
2:02.0,,,14-17,,D. DeRozan misses 2-pt shot from 18 ft
2:01.0,,,14-17,,Offensive rebound by B. Biyombo
1:50.0,,,14-20,3,P. Patterson makes 3-pt shot from 25 ft (assist by D. DeRozan)
1:37.0,M. Scott makes 3-pt shot from 25 ft (assist by T. Sefolosha),3,17-20,,
1:37.0,,,17-20,,Away from play foul by B. Biyombo
1:37.0,K. Humphries makes free throw 1 of 1,1,18-20,,
1:19.0,,,18-23,3,T. Ross makes 3-pt shot from 26 ft (assist by C. Joseph)
1:07.0,D. Schroder misses 2-pt shot from 10 ft,,18-23,,
1:06.0,,,18-23,,Defensive rebound by D. DeRozan
0:49.0,,,18-23,,P. Patterson misses 2-pt shot from 5 ft
0:49.0,,,18-23,,Offensive rebound by B. Biyombo
0:46.0,,,18-25,2,B. Biyombo makes 2-pt shot from 5 ft
0:34.0,Turnover by D. Schroder (lost ball; steal by P. Patterson),,18-25,,
0:28.0,,,18-25,,P. Patterson misses 3-pt shot from 24 ft
0:27.0,Defensive rebound by K. Humphries,,18-25,,
