time,Houston,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: L. Aldridge vs. D. Howard (P. Beverley gains possession),,,,Jump ball: L. Aldridge vs. D. Howard (P. Beverley gains possession)
11:41.0,D. Howard makes 2-pt shot from 1 ft (assist by J. Harden),2,2-0,,
11:20.0,,,2-3,3,K. Leonard makes 3-pt shot from 24 ft (assist by L. Aldridge)
11:06.0,D. Howard makes 2-pt shot from 1 ft (assist by T. Ariza),2,4-3,,
10:44.0,,,4-6,3,D. Green makes 3-pt shot from 24 ft (assist by K. Anderson)
10:28.0,Turnover by T. Ariza (traveling),,4-6,,
10:14.0,,,4-8,2,L. Aldridge makes 2-pt shot from 17 ft (assist by T. Parker)
10:00.0,Turnover by J. Harden (lost ball; steal by D. Green),,4-8,,
9:54.0,,,4-8,,D. Green misses 3-pt shot from 22 ft
9:52.0,,,4-8,,Offensive rebound by L. Aldridge
9:52.0,,,4-8,,Shooting foul by C. Brewer (drawn by L. Aldridge)
9:52.0,,,4-9,1,L. Aldridge makes free throw 1 of 2
9:52.0,,,4-10,1,L. Aldridge makes free throw 2 of 2
9:37.0,P. Beverley makes 2-pt shot from 8 ft,2,6-10,,
9:33.0,,,6-12,2,T. Parker makes 2-pt shot at rim
9:33.0,,,6-12,,Shooting foul by T. Ariza (drawn by T. Parker)
9:33.0,,,6-13,1,T. Parker makes free throw 1 of 1
9:14.0,Shooting foul by D. Green (drawn by J. Harden),,6-13,,
9:14.0,J. Harden makes free throw 1 of 2,1,7-13,,
9:14.0,J. Harden makes free throw 2 of 2,1,8-13,,
9:00.0,,,8-16,3,K. Leonard makes 3-pt shot from 23 ft (assist by T. Parker)
9:00.0,Houston full timeout,,8-16,,
8:45.0,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley),3,11-16,,
8:28.0,Personal foul by P. Beverley (drawn by D. Green),,11-16,,
8:21.0,,,11-16,,Turnover by Team (back court)
8:04.0,C. Brewer makes 2-pt shot from 4 ft,2,13-16,,
7:48.0,,,13-18,2,K. Anderson makes 2-pt shot at rim (assist by L. Aldridge)
7:37.0,J. Harden makes 2-pt shot from 1 ft,2,15-18,,
7:13.0,,,15-18,,K. Leonard misses 2-pt shot from 12 ft
7:12.0,Defensive rebound by D. Howard,,15-18,,
7:04.0,Shooting foul by T. Parker (drawn by J. Harden),,15-18,,
7:04.0,J. Harden makes free throw 1 of 2,1,16-18,,
7:04.0,,,16-18,,M. Ginobili enters the game for D. Green
7:04.0,J. Smith enters the game for C. Brewer,,16-18,,
7:04.0,,,16-18,,B. Diaw enters the game for K. Anderson
7:04.0,J. Harden makes free throw 2 of 2,1,17-18,,
6:46.0,,,17-20,2,T. Parker makes 2-pt shot from 1 ft
6:28.0,D. Howard makes 2-pt shot at rim (assist by J. Smith),2,19-20,,
6:11.0,,,19-20,,K. Leonard misses 3-pt shot from 22 ft
6:10.0,Defensive rebound by J. Harden,,19-20,,
6:04.0,J. Harden makes 2-pt shot from 1 ft,2,21-20,,
6:04.0,,,21-20,,San Antonio full timeout
5:51.0,,,21-20,,Shooting foul by J. Smith (drawn by L. Aldridge)
5:51.0,,,21-21,1,L. Aldridge makes free throw 1 of 2
5:51.0,,,21-22,1,L. Aldridge makes free throw 2 of 2
