time,Cleveland,pts.away,score,pts.home,Philadelphia
8:14.0,,,28-37,,Defensive rebound by T. McConnell
8:06.0,,,28-40,3,H. Thompson makes 3-pt shot from 25 ft (assist by J. Grant)
7:49.0,M. Dellavedova makes 2-pt shot from 1 ft,2,30-40,,
7:30.0,,,30-40,,J. Grant misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by K. Love,,30-40,,
7:22.0,M. Williams makes 2-pt shot at rim (assist by K. Love),2,32-40,,
6:58.0,,,32-40,,J. Grant misses 2-pt shot from 5 ft
6:56.0,Defensive rebound by T. Mozgov,,32-40,,
6:47.0,K. Love makes 2-pt shot from 5 ft (assist by L. James),2,34-40,,
6:46.0,,,34-40,,Philadelphia full timeout
6:46.0,,,34-40,,N. Noel enters the game for R. Covington
6:46.0,,,34-40,,I. Canaan enters the game for J. Grant
6:46.0,,,34-40,,Violation by Team (delay of game)
6:28.0,,,34-42,2,J. Okafor makes 2-pt shot from 7 ft
6:10.0,L. James misses 2-pt shot from 5 ft (block by N. Noel),,34-42,,
6:08.0,Offensive rebound by M. Dellavedova,,34-42,,
6:07.0,K. Love misses 3-pt shot from 27 ft,,34-42,,
6:05.0,,,34-42,,Defensive rebound by T. McConnell
5:46.0,,,34-42,,J. Okafor misses 2-pt shot from 3 ft (block by T. Mozgov)
5:43.0,,,34-42,,Offensive rebound by T. McConnell
5:42.0,,,34-44,2,N. Noel makes 2-pt shot at rim (assist by T. McConnell)
5:20.0,M. Dellavedova misses 3-pt shot from 25 ft,,34-44,,
5:18.0,,,34-44,,Defensive rebound by H. Thompson
5:05.0,,,34-46,2,J. Okafor makes 2-pt shot at rim
4:46.0,M. Williams makes 3-pt shot from 23 ft (assist by L. James),3,37-46,,
4:28.0,,,37-48,2,J. Okafor makes 2-pt shot from 17 ft
4:07.0,T. Mozgov misses 2-pt shot from 4 ft,,37-48,,
4:05.0,,,37-48,,Defensive rebound by T. McConnell
3:58.0,Shooting block foul by T. Mozgov (drawn by J. Okafor),,37-48,,
3:58.0,Official timeout,,37-48,,
3:58.0,J. Cunningham enters the game for M. Dellavedova,,37-48,,
3:58.0,T. Thompson enters the game for T. Mozgov,,37-48,,
3:58.0,,,37-49,1,J. Okafor makes free throw 1 of 2
3:58.0,,,37-49,,N. Stauskas enters the game for T. McConnell
3:58.0,,,37-49,,J. Sampson enters the game for H. Thompson
3:58.0,,,37-50,1,J. Okafor makes free throw 2 of 2
3:44.0,L. James makes 2-pt shot from 1 ft (assist by M. Williams),2,39-50,,
3:26.0,,,39-50,,J. Okafor misses 2-pt shot from 1 ft
3:25.0,,,39-50,,Offensive rebound by J. Sampson
3:22.0,,,39-50,,Turnover by J. Sampson (lost ball; steal by L. James)
3:15.0,L. James misses 3-pt shot from 25 ft,,39-50,,
3:15.0,Offensive rebound by Team,,39-50,,
3:15.0,,,39-50,,Loose ball foul by J. Okafor (drawn by T. Thompson)
3:15.0,,,39-50,,R. Holmes enters the game for J. Okafor
3:15.0,J. Jones enters the game for K. Love,,39-50,,
3:15.0,T. Thompson misses free throw 1 of 2,,39-50,,
3:15.0,Offensive rebound by Team,,39-50,,
3:15.0,T. Thompson misses free throw 2 of 2,,39-50,,
3:09.0,,,39-50,,Defensive rebound by R. Holmes
3:01.0,,,39-50,,Shooting foul by J. Cunningham (drawn by N. Stauskas)
3:01.0,,,39-51,1,N. Stauskas makes free throw 1 of 2
3:01.0,,,39-52,1,N. Stauskas makes free throw 2 of 2
2:49.0,L. James misses 2-pt shot from 3 ft,,39-52,,
2:47.0,,,39-52,,Defensive rebound by N. Noel
2:26.0,,,39-52,,N. Noel misses 2-pt shot from 16 ft
