time,Cleveland,pts.away,score,pts.home,Philadelphia
4:57.0,Shooting foul by R. Holmes (drawn by T. Mozgov),,97-79,,
4:57.0,T. Mozgov makes free throw 1 of 2,1,98-79,,
4:57.0,,,98-79,,H. Thompson enters the game for R. Covington
4:57.0,T. Mozgov makes free throw 2 of 2,1,99-79,,
4:45.0,,,99-79,,C. Wood misses 2-pt shot from 3 ft (block by T. Mozgov)
4:42.0,Defensive rebound by K. Love,,99-79,,
4:39.0,Shooting foul by N. Stauskas (drawn by J. Cunningham),,99-79,,
4:39.0,J. Cunningham misses free throw 1 of 2,,99-79,,
4:39.0,Offensive rebound by Team,,99-79,,
4:39.0,,,99-79,,T. McConnell enters the game for I. Canaan
4:39.0,,,99-79,,J. Grant enters the game for N. Stauskas
4:39.0,J. Jones enters the game for M. Williams,,99-79,,
4:39.0,J. Harris enters the game for K. Love,,99-79,,
4:39.0,J. Cunningham makes free throw 2 of 2,1,100-79,,
4:24.0,,,100-81,2,T. McConnell makes 2-pt shot from 4 ft
4:03.0,M. Dellavedova misses 3-pt shot from 26 ft,,100-81,,
4:01.0,,,100-81,,Defensive rebound by T. McConnell
3:55.0,,,100-84,3,R. Holmes makes 3-pt shot from 26 ft (assist by T. McConnell)
3:33.0,Turnover by T. Mozgov (3 sec),,100-84,,
3:16.0,,,100-86,2,C. Wood makes 2-pt shot from 3 ft (assist by T. McConnell)
2:59.0,J. Harris misses 3-pt shot from 26 ft,,100-86,,
2:57.0,,,100-86,,Defensive rebound by J. Grant
2:45.0,,,100-88,2,T. McConnell makes 2-pt shot from 2 ft
2:45.0,Cleveland full timeout,,100-88,,
2:45.0,T. Thompson enters the game for T. Mozgov,,100-88,,
2:28.0,T. Thompson misses 2-pt shot from 6 ft,,100-88,,
2:27.0,,,100-88,,Defensive rebound by H. Thompson
2:17.0,,,100-90,2,J. Grant makes 2-pt shot from 1 ft (assist by C. Wood)
1:48.0,J. Jones misses 2-pt shot from 4 ft (block by R. Holmes),,100-90,,
1:48.0,Offensive rebound by Team,,100-90,,
1:45.0,M. Dellavedova makes 2-pt shot from 13 ft (assist by J. Harris),2,102-90,,
1:45.0,,,102-90,,Philadelphia full timeout
1:31.0,Personal foul by T. Thompson (drawn by C. Wood),,102-90,,
1:23.0,,,102-90,,Shooting foul by M. Dellavedova (drawn by H. Thompson)
1:23.0,,,102-92,2,H. Thompson makes 2-pt shot from 3 ft (assist by T. McConnell)
1:23.0,,,102-93,1,H. Thompson makes free throw 1 of 1
1:05.0,M. Dellavedova makes 2-pt shot from 18 ft,2,104-93,,
0:58.0,,,104-96,3,C. Wood makes 3-pt shot from 25 ft (assist by H. Thompson)
0:41.0,Turnover by M. Dellavedova (bad pass; steal by J. Grant),,104-96,,
0:38.0,,,104-98,2,J. Grant makes 2-pt shot from 2 ft
0:29.0,Cleveland full timeout,,104-98,,
0:29.0,,,104-98,,Personal foul by T. McConnell (drawn by M. Dellavedova)
0:16.0,J. Jones makes 3-pt shot from 23 ft (assist by M. Dellavedova),3,107-98,,
0:16.0,,,107-98,,Philadelphia full timeout
0:06.0,,,107-100,2,H. Thompson makes 2-pt shot from 13 ft (assist by T. McConnell)
0:00.0,End of 4th quarter,,,,End of 4th quarter
