time,San Antonio,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Duncan vs. P. Gasol (T. Parker gains possession),,,,Jump ball: T. Duncan vs. P. Gasol (T. Parker gains possession)
11:47.0,K. Leonard misses 2-pt shot from 2 ft,,0-0,,
11:46.0,,,0-0,,Defensive rebound by T. Snell
11:31.0,,,0-2,2,P. Gasol makes 2-pt shot from 6 ft (assist by J. Butler)
11:06.0,L. Aldridge misses 2-pt shot from 11 ft,,0-2,,
11:03.0,Offensive rebound by K. Leonard,,0-2,,
11:03.0,K. Leonard makes 2-pt shot at rim,2,2-2,,
10:50.0,,,2-4,2,P. Gasol makes 2-pt shot from 14 ft (assist by N. Mirotic)
10:33.0,D. Green makes 2-pt shot from 8 ft (assist by T. Parker),2,4-4,,
10:25.0,,,4-4,,N. Mirotic misses 2-pt shot from 2 ft
10:21.0,Defensive rebound by L. Aldridge,,4-4,,
10:07.0,T. Duncan makes 2-pt shot at rim (assist by K. Leonard),2,6-4,,
9:50.0,,,6-4,,P. Gasol misses 2-pt shot from 17 ft
9:49.0,Defensive rebound by D. Green,,6-4,,
9:38.0,T. Duncan misses 2-pt shot from 1 ft (block by P. Gasol),,6-4,,
9:36.0,,,6-4,,Defensive rebound by P. Gasol
9:25.0,,,6-7,3,T. Snell makes 3-pt shot from 24 ft (assist by D. Rose)
9:06.0,L. Aldridge makes 2-pt shot from 19 ft (assist by T. Parker),2,8-7,,
8:51.0,,,8-7,,N. Mirotic misses 2-pt shot from 21 ft
8:50.0,Defensive rebound by T. Duncan,,8-7,,
8:41.0,T. Duncan misses 2-pt shot from 20 ft,,8-7,,
8:40.0,,,8-7,,Defensive rebound by D. Rose
8:28.0,,,8-7,,N. Mirotic misses 3-pt shot from 25 ft
8:27.0,Defensive rebound by T. Duncan,,8-7,,
8:12.0,T. Parker makes 2-pt shot from 2 ft,2,10-7,,
8:01.0,,,10-7,,P. Gasol misses 2-pt shot from 17 ft
8:00.0,Defensive rebound by L. Aldridge,,10-7,,
7:44.0,L. Aldridge makes 2-pt shot from 19 ft (assist by D. Green),2,12-7,,
7:32.0,Personal foul by K. Leonard (drawn by J. Butler),,12-7,,
7:25.0,,,12-9,2,P. Gasol makes 2-pt shot from 1 ft (assist by N. Mirotic)
7:11.0,T. Parker misses 2-pt shot from 15 ft,,12-9,,
7:09.0,,,12-9,,Defensive rebound by T. Snell
7:02.0,,,12-11,2,N. Mirotic makes 2-pt shot at rim (assist by P. Gasol)
6:43.0,K. Leonard misses 2-pt shot from 20 ft,,12-11,,
6:42.0,Offensive rebound by D. Green,,12-11,,
6:38.0,D. Green misses 3-pt shot from 24 ft,,12-11,,
6:37.0,,,12-11,,Defensive rebound by J. Butler
6:25.0,,,12-11,,Turnover by N. Mirotic (lost ball; steal by D. Green)
6:15.0,Turnover by D. Green (bad pass; steal by P. Gasol),,12-11,,
6:11.0,,,12-13,2,D. Rose makes 2-pt shot from 1 ft (assist by J. Butler)
6:10.0,San Antonio full timeout,,12-13,,
5:58.0,K. Leonard makes 2-pt shot from 1 ft (assist by T. Parker),2,14-13,,
5:58.0,Shooting foul by J. Butler (drawn by K. Leonard),,14-13,,
5:58.0,K. Leonard makes free throw 1 of 1,1,15-13,,
5:44.0,,,15-13,,Turnover by P. Gasol (bad pass; steal by D. Green)
5:32.0,Turnover by L. Aldridge (lost ball; steal by D. Rose),,15-13,,
5:27.0,,,15-13,,Turnover by D. Rose (lost ball; steal by K. Leonard)
5:11.0,L. Aldridge makes 2-pt shot from 15 ft,2,17-13,,
4:53.0,,,17-13,,N. Mirotic misses 3-pt shot from 25 ft
4:52.0,Defensive rebound by K. Leonard,,17-13,,
4:48.0,K. Leonard misses 2-pt shot from 1 ft (block by J. Butler),,17-13,,
4:48.0,Offensive rebound by Team,,17-13,,
4:48.0,M. Ginobili enters the game for D. Green,,17-13,,
4:48.0,,,17-13,,D. McDermott enters the game for T. Snell
4:48.0,,,17-13,,J. Noah enters the game for P. Gasol
4:48.0,,,17-13,,T. Gibson enters the game for N. Mirotic
4:48.0,B. Diaw enters the game for T. Duncan,,17-13,,
4:39.0,L. Aldridge makes 2-pt shot from 21 ft (assist by T. Parker),2,19-13,,
4:21.0,,,19-13,,J. Butler misses 3-pt shot from 24 ft
4:19.0,Defensive rebound by L. Aldridge,,19-13,,
3:57.0,K. Leonard misses 2-pt shot from 1 ft,,19-13,,
3:56.0,,,19-13,,Defensive rebound by J. Noah
3:42.0,,,19-15,2,D. McDermott makes 2-pt shot from 9 ft (assist by J. Noah)
3:28.0,T. Parker misses 2-pt shot from 11 ft,,19-15,,
3:27.0,,,19-15,,Defensive rebound by J. Noah
3:13.0,,,19-15,,D. Rose misses 3-pt shot from 25 ft
3:12.0,,,19-15,,Offensive rebound by J. Noah
3:12.0,,,19-15,,J. Noah misses 2-pt shot from 1 ft
3:11.0,Defensive rebound by L. Aldridge,,19-15,,
3:02.0,K. Leonard misses 3-pt shot from 25 ft,,19-15,,
3:01.0,,,19-15,,Defensive rebound by D. McDermott
2:53.0,,,19-15,,D. Rose misses 2-pt shot from 9 ft
2:51.0,Defensive rebound by L. Aldridge,,19-15,,
2:42.0,B. Diaw misses 2-pt shot from 2 ft (block by J. Butler),,19-15,,
2:40.0,,,19-15,,Defensive rebound by J. Noah
2:35.0,,,19-17,2,J. Butler makes 2-pt shot from 10 ft (assist by D. Rose)
2:14.0,L. Aldridge makes 2-pt shot from 18 ft (assist by M. Ginobili),2,21-17,,
2:03.0,,,21-17,,T. Gibson misses 2-pt shot from 2 ft (block by L. Aldridge)
2:03.0,,,21-17,,Offensive rebound by Team
2:03.0,,,21-17,,Chicago full timeout
2:03.0,,,21-17,,E. Moore enters the game for D. Rose
2:03.0,P. Mills enters the game for T. Parker,,21-17,,
1:55.0,,,21-17,,Turnover by E. Moore (lost ball; steal by M. Ginobili)
1:51.0,Turnover by M. Ginobili (lost ball),,21-17,,
1:33.0,,,21-17,,J. Butler misses 2-pt shot from 19 ft
1:32.0,Defensive rebound by B. Diaw,,21-17,,
1:24.0,K. Leonard makes 2-pt shot from 22 ft,2,23-17,,
1:04.0,,,23-17,,E. Moore misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by L. Aldridge,,23-17,,
0:58.0,,,23-17,,Personal foul by E. Moore (drawn by K. Leonard)
0:58.0,D. West enters the game for L. Aldridge,,23-17,,
0:46.0,M. Ginobili misses 2-pt shot from 19 ft,,23-17,,
0:46.0,,,23-17,,Defensive rebound by Team
0:46.0,Loose ball foul by D. West (drawn by J. Noah),,23-17,,
0:32.0,Violation by K. Leonard (kicked ball),,23-17,,
0:21.0,Personal foul by B. Diaw (drawn by E. Moore),,23-17,,
0:21.0,,,23-17,,E. Moore misses free throw 1 of 2
0:21.0,,,23-17,,Offensive rebound by Team
0:21.0,,,23-17,,T. Snell enters the game for D. McDermott
0:21.0,,,23-17,,E. Moore misses free throw 2 of 2
0:20.0,Defensive rebound by M. Ginobili,,23-17,,
0:01.0,M. Ginobili misses 3-pt shot from 27 ft,,23-17,,
0:00.0,,,23-17,,Defensive rebound by T. Snell
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:34.0,,,23-17,,T. Gibson misses 2-pt shot from 2 ft
11:33.0,,,23-17,,Offensive rebound by J. Noah
11:33.0,,,23-17,,J. Noah misses 2-pt shot from 2 ft
11:32.0,Defensive rebound by D. West,,23-17,,
11:13.0,B. Diaw makes 3-pt shot from 24 ft (assist by P. Mills),3,26-17,,
10:59.0,,,26-19,2,J. Noah makes 2-pt shot from 3 ft (assist by E. Moore)
10:35.0,B. Diaw misses 3-pt shot from 24 ft,,26-19,,
10:34.0,,,26-19,,Defensive rebound by T. Gibson
10:23.0,,,26-21,2,T. Gibson makes 2-pt shot from 2 ft (assist by J. Noah)
10:06.0,P. Mills misses 2-pt shot from 19 ft,,26-21,,
10:05.0,,,26-21,,Defensive rebound by T. Snell
9:55.0,,,26-24,3,T. Snell makes 3-pt shot from 24 ft
9:54.0,San Antonio full timeout,,26-24,,
9:54.0,,,26-24,,D. Rose enters the game for E. Moore
9:40.0,Shooting foul by J. Noah (drawn by M. Ginobili),,26-24,,
9:40.0,M. Ginobili makes free throw 1 of 2,1,27-24,,
