time,Memphis,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: F. Ezeli vs. M. Gasol (M. Conley gains possession),,,,Jump ball: F. Ezeli vs. M. Gasol (M. Conley gains possession)
11:39.0,C. Lee misses 3-pt shot from 24 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by F. Ezeli
11:27.0,,,0-0,,H. Barnes misses 2-pt shot from 11 ft
11:26.0,Defensive rebound by M. Gasol,,0-0,,
11:13.0,Z. Randolph misses 2-pt shot from 8 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by D. Green
11:02.0,,,0-0,,Turnover by S. Curry (bad pass)
10:43.0,T. Allen misses 3-pt shot from 23 ft,,0-0,,
10:42.0,,,0-0,,Defensive rebound by D. Green
10:36.0,,,0-3,3,S. Curry makes 3-pt shot from 28 ft (assist by D. Green)
10:12.0,C. Lee makes 2-pt shot from 12 ft (assist by T. Allen),2,2-3,,
10:05.0,,,2-6,3,D. Green makes 3-pt shot from 26 ft (assist by H. Barnes)
9:52.0,M. Conley misses 2-pt shot from 9 ft (block by K. Thompson),,2-6,,
9:50.0,Offensive rebound by Z. Randolph,,2-6,,
9:41.0,Z. Randolph makes 2-pt shot from 18 ft (assist by M. Conley),2,4-6,,
9:34.0,,,4-8,2,S. Curry makes 2-pt shot from 20 ft
9:34.0,,,4-8,,Shooting foul by Z. Randolph (drawn by S. Curry)
9:34.0,,,4-9,1,S. Curry makes free throw 1 of 1
9:13.0,M. Gasol misses 2-pt shot from 7 ft,,4-9,,
9:12.0,,,4-9,,Defensive rebound by D. Green
9:00.0,,,4-9,,Turnover by S. Curry (step out of bounds)
8:47.0,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol),2,6-9,,
8:35.0,,,6-9,,H. Barnes misses 2-pt shot from 3 ft
8:34.0,Defensive rebound by M. Gasol,,6-9,,
8:14.0,M. Conley makes 2-pt shot from 14 ft (assist by M. Gasol),2,8-9,,
8:05.0,,,8-9,,S. Curry misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by Z. Randolph,,8-9,,
7:45.0,M. Gasol misses 2-pt shot from 9 ft,,8-9,,
7:44.0,Offensive rebound by M. Gasol,,8-9,,
7:38.0,Shooting foul by S. Curry (drawn by C. Lee),,8-9,,
7:38.0,C. Lee makes free throw 1 of 2,1,9-9,,
7:38.0,C. Lee makes free throw 2 of 2,1,10-9,,
7:25.0,,,10-11,2,K. Thompson makes 2-pt shot from 21 ft (assist by H. Barnes)
7:01.0,M. Gasol makes 2-pt shot from 1 ft (assist by M. Conley),2,12-11,,
7:01.0,Shooting foul by F. Ezeli (drawn by M. Gasol),,12-11,,
7:01.0,M. Gasol makes free throw 1 of 1,1,13-11,,
6:47.0,,,13-13,2,K. Thompson makes 2-pt shot from 16 ft (assist by H. Barnes)
6:22.0,M. Conley misses 2-pt shot from 14 ft,,13-13,,
