time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Green vs. T. Thompson (K. Love gains possession),,,,Jump ball: D. Green vs. T. Thompson (K. Love gains possession)
11:37.0,,,0-0,,J. Smith misses 3-pt shot from 33 ft
11:37.0,Defensive rebound by Team,,0-0,,
11:25.0,,,0-0,,Personal foul by K. Love
11:16.0,K. Thompson misses 2-pt shot from 3 ft (block by K. Irving),,0-0,,
11:15.0,,,0-0,,Defensive rebound by K. Love
11:10.0,,,0-0,,Shooting foul by D. Green (drawn by L. James)
11:10.0,,,0-0,,L. James misses free throw 1 of 2
11:10.0,,,0-0,,Offensive rebound by Team
11:10.0,,,0-1,1,L. James makes free throw 2 of 2
10:50.0,H. Barnes misses 3-pt shot from 23 ft,,0-1,,
10:50.0,,,0-1,,Defensive rebound by K. Love
10:37.0,Personal foul by S. Curry,,0-1,,
10:30.0,,,0-1,,Shooting foul by H. Barnes (drawn by T. Thompson)
10:30.0,,,0-2,1,T. Thompson makes free throw 1 of 2
10:30.0,,,0-2,,T. Thompson misses free throw 2 of 2
10:30.0,Defensive rebound by Team,,0-2,,
10:30.0,,,0-2,,Loose ball foul by K. Love
10:30.0,,,0-2,,R. Jefferson enters the game for K. Love
10:16.0,H. Barnes misses 2-pt shot from 1 ft,,0-2,,
10:14.0,,,0-2,,Defensive rebound by T. Thompson
10:09.0,,,0-2,,J. Smith misses 3-pt shot from 24 ft (block by K. Thompson)
10:07.0,Defensive rebound by H. Barnes,,0-2,,
9:59.0,K. Thompson misses 3-pt shot from 25 ft,,0-2,,
9:58.0,,,0-2,,Defensive rebound by T. Thompson
9:40.0,,,0-4,2,K. Irving makes 2-pt shot from 13 ft
9:22.0,H. Barnes misses 3-pt shot from 25 ft,,0-4,,
9:21.0,,,0-4,,Defensive rebound by T. Thompson
9:09.0,,,0-4,,K. Irving misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by H. Barnes,,0-4,,
8:54.0,Turnover by K. Thompson (lost ball; steal by L. James),,0-4,,
8:51.0,,,0-6,2,L. James makes 2-pt shot at rim (assist by R. Jefferson)
8:51.0,Golden State full timeout,,0-6,,
8:39.0,Turnover by A. Iguodala (lost ball; steal by R. Jefferson),,0-6,,
8:14.0,,,0-6,,K. Irving misses 2-pt shot from 20 ft
8:14.0,,,0-6,,Offensive rebound by Team
8:13.0,,,0-6,,Turnover by Team (shot clock)
7:59.0,S. Curry misses 3-pt shot from 25 ft,,0-6,,
7:59.0,,,0-6,,Defensive rebound by T. Thompson
7:43.0,,,0-8,2,L. James makes 2-pt shot from 3 ft
7:37.0,,,0-8,,Personal foul by K. Irving
7:26.0,S. Curry misses 2-pt shot from 15 ft,,0-8,,
7:24.0,,,0-8,,Defensive rebound by L. James
7:04.0,,,0-8,,R. Jefferson misses 2-pt shot from 7 ft
7:03.0,Defensive rebound by D. Green,,0-8,,
6:54.0,D. Green makes 2-pt shot from 2 ft,2,2-8,,
6:41.0,,,2-11,3,K. Irving makes 3-pt shot from 28 ft
6:26.0,H. Barnes misses 2-pt shot from 5 ft (block by K. Irving),,2-11,,
