time,Phoenix,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. K. Towns (B. Knight gains possession),,,,Jump ball: T. Chandler vs. K. Towns (B. Knight gains possession)
11:48.0,A. Len misses 2-pt shot from 3 ft,,0-0,,
11:47.0,,,0-0,,Defensive rebound by K. Towns
11:37.0,,,0-0,,A. Wiggins misses 2-pt shot from 17 ft
11:36.0,,,0-0,,Offensive rebound by G. Dieng
11:36.0,,,0-2,2,G. Dieng makes 2-pt shot at rim
11:17.0,B. Knight makes 3-pt shot from 24 ft,3,3-2,,
11:01.0,,,3-2,,K. Towns misses 2-pt shot from 20 ft
11:00.0,,,3-2,,Offensive rebound by G. Dieng
10:54.0,,,3-2,,Z. LaVine misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by D. Booker,,3-2,,
10:39.0,A. Len misses 2-pt shot from 15 ft,,3-2,,
10:38.0,,,3-2,,Defensive rebound by G. Dieng
10:34.0,Personal foul by B. Knight,,3-2,,
10:29.0,,,3-5,3,K. Towns makes 3-pt shot from 24 ft (assist by R. Rubio)
10:13.0,B. Knight makes 2-pt shot from 22 ft,2,5-5,,
10:00.0,,,5-5,,R. Rubio misses 3-pt shot from 24 ft
9:59.0,Defensive rebound by A. Len,,5-5,,
9:47.0,B. Knight makes 3-pt shot from 26 ft,3,8-5,,
9:29.0,,,8-8,3,R. Rubio makes 3-pt shot from 25 ft (assist by Z. LaVine)
9:11.0,B. Knight makes 2-pt shot from 7 ft,2,10-8,,
8:59.0,,,10-10,2,K. Towns makes 2-pt shot from 1 ft (assist by R. Rubio)
8:35.0,D. Booker misses 2-pt shot from 21 ft,,10-10,,
8:35.0,,,10-10,,Defensive rebound by K. Towns
8:32.0,,,10-10,,Shooting foul by P. Tucker (drawn by A. Wiggins)
8:32.0,,,10-11,1,A. Wiggins makes free throw 1 of 2
8:32.0,,,10-12,1,A. Wiggins makes free throw 2 of 2
8:14.0,B. Knight makes 3-pt shot from 26 ft (assist by T. Chandler),3,13-12,,
8:03.0,,,13-12,,Shooting foul by T. Chandler (drawn by A. Wiggins)
8:03.0,,,13-13,1,A. Wiggins makes free throw 1 of 2
8:03.0,,,13-14,1,A. Wiggins makes free throw 2 of 2
7:42.0,A. Len misses 2-pt shot from 22 ft,,13-14,,
7:41.0,Offensive rebound by P. Tucker,,13-14,,
7:41.0,P. Tucker makes 2-pt shot from 1 ft,2,15-14,,
7:21.0,,,15-14,,Turnover by A. Wiggins (lost ball; steal by A. Len)
7:16.0,D. Booker makes 2-pt shot from 1 ft,2,17-14,,
7:05.0,,,17-14,,R. Rubio misses 2-pt shot from 2 ft (block by B. Knight)
7:04.0,Defensive rebound by P. Tucker,,17-14,,
7:01.0,D. Booker makes 2-pt shot from 1 ft (assist by P. Tucker),2,19-14,,
7:01.0,,,19-14,,Minnesota full timeout
6:48.0,Personal foul by T. Chandler,,19-14,,
6:43.0,,,19-17,3,A. Wiggins makes 3-pt shot from 25 ft (assist by R. Rubio)
6:18.0,A. Len makes 2-pt shot at rim (assist by T. Chandler),2,21-17,,
6:07.0,,,21-17,,R. Rubio misses 2-pt shot from 14 ft
6:06.0,Defensive rebound by A. Len,,21-17,,
5:57.0,Turnover by B. Knight (lost ball),,21-17,,
5:57.0,M. Teletovic enters the game for T. Chandler,,21-17,,
5:45.0,,,21-17,,G. Dieng misses 2-pt shot from 3 ft
5:44.0,,,21-17,,Offensive rebound by K. Towns
5:44.0,,,21-19,2,K. Towns makes 2-pt shot at rim
5:44.0,,,21-19,,Shooting foul by A. Len (drawn by K. Towns)
5:44.0,,,21-19,,Turnover by G. Dieng (lane violation.)
5:37.0,P. Tucker misses 3-pt shot from 22 ft,,21-19,,
5:36.0,,,21-19,,Defensive rebound by R. Rubio
5:31.0,,,21-21,2,R. Rubio makes 2-pt shot from 1 ft
5:18.0,Turnover by B. Knight (lost ball; steal by K. Towns),,21-21,,
5:03.0,Inbound foul by P. Tucker,,21-21,,
5:03.0,,,21-22,1,K. Towns makes free throw 1 of 2
5:03.0,,,21-23,1,K. Towns makes free throw 2 of 2
4:47.0,M. Teletovic makes 2-pt shot at rim (assist by A. Len),2,23-23,,
4:27.0,,,23-23,,R. Rubio misses 3-pt shot from 25 ft
4:26.0,Defensive rebound by A. Len,,23-23,,
4:24.0,Turnover by A. Len (lost ball; steal by G. Dieng),,23-23,,
4:22.0,,,23-23,,Turnover by G. Dieng (back court)
4:22.0,C. Budinger enters the game for P. Tucker,,23-23,,
4:13.0,A. Len makes 2-pt shot at rim (assist by D. Booker),2,25-23,,
4:01.0,,,25-25,2,R. Rubio makes 2-pt shot from 19 ft
3:47.0,B. Knight misses 3-pt shot from 23 ft,,25-25,,
3:46.0,,,25-25,,Defensive rebound by K. Towns
3:40.0,,,25-27,2,Z. LaVine makes 2-pt shot from 1 ft (assist by R. Rubio)
3:24.0,D. Booker makes 3-pt shot from 23 ft (assist by B. Knight),3,28-27,,
3:09.0,,,28-29,2,K. Towns makes 2-pt shot from 6 ft (assist by R. Rubio)
3:02.0,Offensive foul by A. Len,,28-29,,
3:02.0,Turnover by A. Len (offensive foul),,28-29,,
3:02.0,J. Leuer enters the game for A. Len,,28-29,,
2:57.0,Personal foul by M. Teletovic,,28-29,,
2:57.0,Phoenix full timeout,,28-29,,
2:57.0,,,28-29,,G. Smith enters the game for G. Dieng
2:57.0,,,28-30,1,K. Towns makes free throw 1 of 2
2:57.0,,,28-31,1,K. Towns makes free throw 2 of 2
2:46.0,M. Teletovic misses 3-pt shot from 24 ft,,28-31,,
2:45.0,,,28-31,,Defensive rebound by R. Rubio
2:31.0,,,28-33,2,Z. LaVine makes 2-pt shot from 2 ft
2:28.0,Shooting foul by Z. LaVine (drawn by D. Booker),,28-33,,
2:28.0,D. Booker makes free throw 1 of 2,1,29-33,,
2:28.0,,,29-33,,S. Muhammad enters the game for Z. LaVine
2:28.0,D. Booker makes free throw 2 of 2,1,30-33,,
2:12.0,,,30-33,,A. Wiggins misses 2-pt shot from 8 ft
2:10.0,Defensive rebound by D. Booker,,30-33,,
2:04.0,Shooting foul by K. Towns (drawn by M. Teletovic),,30-33,,
2:04.0,M. Teletovic makes free throw 1 of 2,1,31-33,,
2:04.0,,,31-33,,T. Jones enters the game for R. Rubio
2:04.0,R. Price enters the game for D. Booker,,31-33,,
2:04.0,M. Teletovic misses free throw 2 of 2,,31-33,,
2:03.0,,,31-33,,Defensive rebound by K. Towns
1:50.0,,,31-35,2,K. Towns makes 2-pt shot from 8 ft (assist by T. Jones)
1:32.0,B. Knight makes 3-pt shot from 29 ft (assist by R. Price),3,34-35,,
1:10.0,,,34-35,,K. Towns misses 3-pt shot from 23 ft
1:09.0,,,34-35,,Offensive rebound by S. Muhammad
1:08.0,,,34-37,2,S. Muhammad makes 2-pt shot from 1 ft
0:59.0,M. Teletovic misses 3-pt shot from 25 ft,,34-37,,
0:59.0,,,34-37,,Defensive rebound by K. Towns
0:42.0,,,34-37,,Shooting foul by M. Teletovic (drawn by K. Towns)
0:42.0,,,34-39,2,K. Towns makes 2-pt shot at rim
0:42.0,,,34-39,,T. Prince enters the game for A. Wiggins
0:42.0,,,34-40,1,K. Towns makes free throw 1 of 1
0:34.0,B. Knight misses 3-pt shot from 27 ft,,34-40,,
0:34.0,,,34-40,,Defensive rebound by S. Muhammad
0:18.0,,,34-40,,K. Towns misses 2-pt shot from 19 ft
0:17.0,Defensive rebound by M. Teletovic,,34-40,,
0:03.0,R. Price makes 3-pt shot from 24 ft (assist by B. Knight),3,37-40,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,37-40,,S. Muhammad misses 2-pt shot from 10 ft
11:41.0,Defensive rebound by M. Teletovic,,37-40,,
11:31.0,,,37-40,,Personal foul by T. Prince
11:22.0,Offensive foul by M. Teletovic,,37-40,,
11:22.0,Turnover by M. Teletovic (offensive foul),,37-40,,
11:22.0,A. Williams enters the game for M. Teletovic,,37-40,,
11:07.0,,,37-40,,Shooting foul by R. Price (drawn by T. Jones)
11:07.0,,,37-40,,T. Jones misses free throw 1 of 2
11:07.0,,,37-40,,Offensive rebound by Team
11:07.0,,,37-41,1,T. Jones makes free throw 2 of 2
10:53.0,D. Booker makes 2-pt shot from 8 ft,2,39-41,,
10:53.0,Shooting foul by N. Bjelica (drawn by D. Booker),,39-41,,
10:53.0,D. Booker makes free throw 1 of 1,1,40-41,,
10:36.0,,,40-41,,Turnover by G. Smith (lost ball; steal by J. Leuer)
10:30.0,Offensive foul by A. Williams,,40-41,,
10:30.0,Turnover by A. Williams (offensive foul),,40-41,,
10:09.0,,,40-41,,Turnover by T. Jones (lost ball; steal by R. Price)
10:05.0,Shooting foul by N. Bjelica (drawn by R. Price),,40-41,,
10:05.0,R. Price makes free throw 1 of 2,1,41-41,,
10:05.0,R. Price makes free throw 2 of 2,1,42-41,,
