time,Minnesota,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Towns vs. C. Zeller (G. Dieng gains possession),,,,Jump ball: K. Towns vs. C. Zeller (G. Dieng gains possession)
11:46.0,A. Wiggins makes 2-pt shot from 13 ft (assist by R. Rubio),2,2-0,,
11:32.0,,,2-0,,N. Batum misses 2-pt shot from 9 ft
11:31.0,Defensive rebound by K. Towns,,2-0,,
11:23.0,R. Rubio makes 2-pt shot at rim,2,4-0,,
11:13.0,,,4-0,,M. Williams misses 3-pt shot from 24 ft
11:12.0,Defensive rebound by G. Dieng,,4-0,,
10:50.0,G. Dieng misses 2-pt shot from 10 ft,,4-0,,
10:49.0,,,4-0,,Defensive rebound by C. Zeller
10:41.0,,,4-3,3,K. Walker makes 3-pt shot from 23 ft (assist by C. Lee)
10:22.0,K. Towns misses 2-pt shot from 17 ft,,4-3,,
10:21.0,,,4-3,,Defensive rebound by M. Williams
10:12.0,,,4-3,,K. Walker misses 3-pt shot from 24 ft
10:11.0,Defensive rebound by Z. LaVine,,4-3,,
9:52.0,Turnover by G. Dieng (lost ball; steal by M. Williams),,4-3,,
9:38.0,,,4-3,,C. Zeller misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by Z. LaVine,,4-3,,
9:33.0,Z. LaVine misses 2-pt shot from 20 ft,,4-3,,
9:30.0,,,4-3,,Defensive rebound by K. Walker
9:23.0,,,4-3,,C. Lee misses 3-pt shot from 22 ft
9:22.0,Defensive rebound by G. Dieng,,4-3,,
9:19.0,Minnesota full timeout,,4-3,,
9:09.0,Z. LaVine misses 2-pt shot from 2 ft (block by M. Williams),,4-3,,
9:09.0,,,4-3,,Defensive rebound by M. Williams
8:59.0,,,4-3,,Turnover by N. Batum (bad pass; steal by Z. LaVine)
8:54.0,Z. LaVine makes 2-pt shot at rim,2,6-3,,
8:39.0,,,6-5,2,K. Walker makes 2-pt shot from 1 ft
8:25.0,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine),2,8-5,,
8:08.0,,,8-5,,Shooting foul by G. Dieng (drawn by C. Zeller)
8:08.0,,,8-6,1,C. Zeller makes free throw 1 of 2
8:08.0,,,8-7,1,C. Zeller makes free throw 2 of 2
7:53.0,K. Towns makes 2-pt shot from 17 ft (assist by R. Rubio),2,10-7,,
