time,Golden State,pts.away,score,pts.home,Oklahoma City
1:10.0,,,18-30,2,K. Durant makes 2-pt shot from 10 ft
0:50.0,A. Iguodala makes 2-pt shot from 18 ft (assist by D. Green),2,20-30,,
0:31.0,,,20-30,,Turnover by D. Waiters (bad pass)
0:21.0,A. Varejao misses 2-pt shot from 1 ft,,20-30,,
0:21.0,,,20-30,,Defensive rebound by E. Kanter
0:03.0,,,20-30,,R. Foye misses 3-pt shot from 24 ft
0:01.0,Defensive rebound by S. Curry,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,A. Iguodala misses 3-pt shot from 24 ft,,20-30,,
11:44.0,,,20-30,,Defensive rebound by K. Durant
11:39.0,,,20-30,,K. Durant misses 3-pt shot from 25 ft
11:38.0,Defensive rebound by Team,,20-30,,
11:38.0,,,20-30,,Loose ball foul by E. Kanter (drawn by A. Varejao)
11:20.0,H. Barnes makes 2-pt shot from 11 ft,2,22-30,,
11:06.0,Personal foul by A. Varejao (drawn by E. Kanter),,22-30,,
11:06.0,,,22-30,,A. Roberson enters the game for K. Singler
11:02.0,,,22-30,,Shooting foul by A. Iguodala (drawn by K. Durant)
11:02.0,,,22-31,1,K. Durant makes free throw 1 of 2
11:02.0,,,22-32,1,K. Durant makes free throw 2 of 2
10:48.0,,,22-32,,Personal foul by D. Waiters (drawn by H. Barnes)
10:44.0,L. Barbosa makes 2-pt shot from 19 ft (assist by S. Livingston),2,24-32,,
10:21.0,,,24-34,2,K. Durant makes 2-pt shot at rim
10:06.0,L. Barbosa makes 2-pt shot from 1 ft,2,26-34,,
9:49.0,,,26-34,,D. Waiters misses 2-pt shot from 19 ft
9:49.0,Defensive rebound by A. Iguodala,,26-34,,
9:35.0,H. Barnes misses 3-pt shot from 24 ft,,26-34,,
9:35.0,,,26-34,,Defensive rebound by A. Roberson
9:25.0,,,26-36,2,E. Kanter makes 2-pt shot from 1 ft (assist by K. Durant)
8:59.0,A. Iguodala makes 2-pt shot at rim,2,28-36,,
8:42.0,,,28-36,,D. Waiters misses 3-pt shot from 24 ft
8:42.0,Defensive rebound by A. Iguodala,,28-36,,
8:25.0,L. Barbosa misses 2-pt shot from 2 ft,,28-36,,
8:25.0,,,28-36,,Defensive rebound by K. Durant
8:20.0,,,28-36,,Turnover by K. Durant (lost ball; steal by S. Livingston)
8:15.0,S. Livingston makes 2-pt shot at rim (assist by H. Barnes),2,30-36,,
8:08.0,,,30-36,,Oklahoma City full timeout
8:08.0,,,30-36,,S. Ibaka enters the game for D. Waiters
8:08.0,,,30-36,,R. Westbrook enters the game for R. Foye
8:08.0,M. Speights enters the game for A. Varejao,,30-36,,
7:59.0,,,30-36,,Turnover by K. Durant (bad pass; steal by A. Iguodala)
7:36.0,S. Livingston misses 2-pt shot from 14 ft,,30-36,,
7:35.0,,,30-36,,Defensive rebound by R. Westbrook
7:19.0,,,30-36,,Turnover by E. Kanter (bad pass)
7:19.0,,,30-36,,S. Adams enters the game for E. Kanter
7:19.0,K. Thompson enters the game for L. Barbosa,,30-36,,
7:00.0,M. Speights misses 2-pt shot from 15 ft,,30-36,,
6:59.0,,,30-36,,Defensive rebound by K. Durant
6:52.0,,,30-36,,Offensive charge foul by R. Westbrook
6:52.0,,,30-36,,Turnover by R. Westbrook (offensive foul)
6:52.0,,,30-36,,D. Waiters enters the game for K. Durant
6:39.0,K. Thompson misses 2-pt shot from 12 ft,,30-36,,
6:39.0,,,30-36,,Defensive rebound by S. Adams
6:30.0,,,30-38,2,R. Westbrook makes 2-pt shot from 11 ft
6:08.0,H. Barnes misses 2-pt shot from 20 ft,,30-38,,
6:08.0,,,30-38,,Defensive rebound by A. Roberson
6:00.0,,,30-38,,A. Roberson misses 2-pt shot from 1 ft
6:00.0,,,30-38,,Offensive rebound by R. Westbrook
5:56.0,,,30-40,2,R. Westbrook makes 2-pt shot from 1 ft
5:52.0,Golden State full timeout,,30-40,,
5:52.0,S. Curry enters the game for H. Barnes,,30-40,,
5:52.0,D. Green enters the game for A. Iguodala,,30-40,,
5:45.0,S. Curry makes 3-pt shot from 24 ft (assist by D. Green),3,33-40,,
5:25.0,,,33-40,,Turnover by S. Adams (bad pass; steal by D. Green)
5:17.0,M. Speights makes 2-pt shot from 2 ft (assist by S. Curry),2,35-40,,
4:58.0,,,35-40,,R. Westbrook misses 2-pt shot from 12 ft
4:58.0,,,35-40,,Offensive rebound by S. Ibaka
4:56.0,,,35-42,2,S. Ibaka makes 2-pt shot from 2 ft
4:44.0,S. Curry makes 3-pt shot from 23 ft (assist by M. Speights),3,38-42,,
4:36.0,,,38-42,,A. Roberson misses 2-pt shot from 1 ft
4:35.0,Defensive rebound by M. Speights,,38-42,,
4:25.0,S. Curry makes 3-pt shot from 27 ft,3,41-42,,
4:24.0,,,41-42,,Oklahoma City full timeout
4:24.0,,,41-42,,K. Durant enters the game for A. Roberson
4:06.0,,,41-45,3,K. Durant makes 3-pt shot from 25 ft (assist by S. Adams)
3:42.0,S. Curry misses 2-pt shot from 23 ft,,41-45,,
3:42.0,,,41-45,,Defensive rebound by S. Ibaka
3:36.0,,,41-45,,Turnover by R. Westbrook (lost ball)
3:21.0,Shooting foul by K. Durant (drawn by K. Thompson),,41-45,,
3:21.0,K. Thompson makes free throw 1 of 2,1,42-45,,
3:21.0,A. Bogut enters the game for M. Speights,,42-45,,
3:21.0,B. Rush enters the game for S. Livingston,,42-45,,
3:21.0,,,42-45,,A. Roberson enters the game for D. Waiters
3:21.0,K. Thompson misses free throw 2 of 2,,42-45,,
3:20.0,,,42-45,,Defensive rebound by K. Durant
3:10.0,,,42-47,2,R. Westbrook makes 2-pt shot from 14 ft
2:54.0,K. Thompson misses 3-pt shot from 24 ft,,42-47,,
2:54.0,,,42-47,,Defensive rebound by S. Ibaka
2:44.0,,,42-49,2,R. Westbrook makes 2-pt shot from 4 ft
2:32.0,Offensive foul by A. Bogut,,42-49,,
2:32.0,Turnover by A. Bogut (offensive foul),,42-49,,
2:32.0,Official timeout,,42-49,,
2:19.0,,,42-51,2,K. Durant makes 2-pt shot from 7 ft
2:02.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,44-51,,
1:41.0,,,44-53,2,K. Durant makes 2-pt shot from 16 ft (assist by R. Westbrook)
1:25.0,S. Curry misses 2-pt shot from 22 ft,,44-53,,
1:25.0,Offensive rebound by D. Green,,44-53,,
1:19.0,K. Thompson misses 2-pt shot from 7 ft,,44-53,,
1:18.0,,,44-53,,Defensive rebound by R. Westbrook
1:12.0,,,44-53,,A. Roberson misses 3-pt shot from 22 ft
1:10.0,Defensive rebound by D. Green,,44-53,,
1:01.0,Turnover by D. Green (bad pass; steal by A. Roberson),,44-53,,
0:57.0,,,44-55,2,R. Westbrook makes 2-pt shot at rim
0:50.0,S. Curry makes 2-pt shot from 1 ft,2,46-55,,
0:36.0,,,46-57,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
0:30.0,S. Curry misses 2-pt shot from 15 ft (block by K. Durant),,46-57,,
0:29.0,,,46-57,,Defensive rebound by S. Ibaka
0:13.0,Personal foul by D. Green (drawn by K. Durant),,46-57,,
0:02.0,,,46-57,,K. Durant misses 2-pt shot from 14 ft
0:00.0,,,46-57,,Offensive rebound by S. Ibaka
0:00.0,,,46-57,,S. Ibaka misses 2-pt shot from 2 ft
0:00.0,,,46-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,K. Thompson makes 2-pt shot from 17 ft,2,48-57,,
11:33.0,,,48-57,,Offensive charge foul by S. Adams
11:33.0,,,48-57,,Turnover by S. Adams (offensive foul)
11:25.0,K. Thompson makes 2-pt shot from 17 ft,2,50-57,,
11:08.0,,,50-57,,K. Durant misses 2-pt shot from 11 ft (block by D. Green)
11:07.0,Defensive rebound by D. Green,,50-57,,
10:58.0,Turnover by D. Green (bad pass),,50-57,,
10:44.0,,,50-57,,Turnover by K. Durant (bad pass; steal by S. Curry)
10:36.0,H. Barnes makes 2-pt shot at rim (assist by S. Curry),2,52-57,,
