time,Portland,pts.away,score,pts.home,Phoenix
8:09.0,A. Aminu makes 2-pt shot at rim (assist by C. McCollum),2,77-93,,
8:09.0,Shooting foul by J. Leuer (drawn by A. Aminu),,77-93,,
8:09.0,A. Aminu misses free throw 1 of 1,,77-93,,
8:08.0,,,77-93,,Defensive rebound by J. Leuer
7:47.0,,,77-93,,E. Bledsoe misses 2-pt shot at rim (block by A. Aminu)
7:45.0,,,77-93,,Offensive rebound by Team
7:45.0,,,77-93,,Turnover by Team (shot clock)
7:36.0,Turnover by A. Aminu (bad pass; steal by A. Len),,77-93,,
7:32.0,,,77-93,,J. Leuer misses 2-pt shot from 1 ft (block by A. Aminu)
7:32.0,,,77-93,,Offensive rebound by Team
7:32.0,,,77-93,,M. Morris enters the game for J. Leuer
7:23.0,,,77-93,,B. Knight misses 3-pt shot from 25 ft
7:22.0,Defensive rebound by M. Harkless,,77-93,,
7:10.0,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard),3,80-93,,
7:09.0,,,80-93,,Phoenix full timeout
7:09.0,,,80-93,,J. Leuer enters the game for A. Len
6:53.0,,,80-95,2,T. Warren makes 2-pt shot at rim (assist by J. Leuer)
6:32.0,D. Lillard misses 3-pt shot from 24 ft,,80-95,,
6:31.0,,,80-95,,Defensive rebound by J. Leuer
6:13.0,,,80-97,2,E. Bledsoe makes 2-pt shot from 3 ft (assist by B. Knight)
6:13.0,,,80-97,,Shooting foul by E. Davis (drawn by E. Bledsoe)
6:13.0,M. Plumlee enters the game for E. Davis,,80-97,,
6:13.0,,,80-98,1,E. Bledsoe makes free throw 1 of 1
6:02.0,C. McCollum misses 3-pt shot from 24 ft,,80-98,,
6:01.0,,,80-98,,Defensive rebound by J. Leuer
5:54.0,,,80-98,,Turnover by E. Bledsoe (bad pass; steal by C. McCollum)
5:49.0,Offensive foul by D. Lillard,,80-98,,
5:49.0,Turnover by D. Lillard (offensive foul),,80-98,,
5:39.0,,,80-98,,E. Bledsoe misses 3-pt shot from 25 ft
5:38.0,,,80-98,,Offensive rebound by T. Warren
5:35.0,,,80-98,,T. Warren misses 2-pt shot from 1 ft
5:34.0,,,80-98,,Offensive rebound by B. Knight
5:34.0,,,80-100,2,B. Knight makes 2-pt shot from 2 ft
5:34.0,Portland full timeout,,80-100,,
5:19.0,Turnover by A. Aminu (bad pass),,80-100,,
5:01.0,,,80-100,,E. Bledsoe misses 2-pt shot from 5 ft
4:59.0,Defensive rebound by M. Harkless,,80-100,,
4:55.0,D. Lillard misses 2-pt shot from 2 ft,,80-100,,
4:53.0,,,80-100,,Defensive rebound by B. Knight
4:46.0,,,80-102,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
4:29.0,A. Aminu misses 2-pt shot from 1 ft,,80-102,,
4:27.0,,,80-102,,Defensive rebound by M. Morris
4:26.0,,,80-102,,Turnover by M. Morris (bad pass; steal by C. McCollum)
4:21.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,82-102,,
4:10.0,,,82-102,,Turnover by T. Warren (bad pass; steal by M. Plumlee)
4:05.0,M. Plumlee misses 2-pt shot at rim (block by M. Morris),,82-102,,
4:05.0,Offensive rebound by M. Plumlee,,82-102,,
4:05.0,M. Plumlee makes 2-pt shot at rim,2,84-102,,
4:05.0,Shooting foul by M. Morris (drawn by M. Plumlee),,84-102,,
4:05.0,,,84-102,,P. Tucker enters the game for T. Warren
4:05.0,M. Plumlee makes free throw 1 of 1,1,85-102,,
3:48.0,,,85-102,,P. Tucker misses 3-pt shot from 24 ft
3:48.0,,,85-102,,Offensive rebound by Team
3:48.0,Loose ball foul by C. McCollum (drawn by J. Leuer),,85-102,,
3:48.0,,,85-102,,T. Chandler enters the game for J. Leuer
3:48.0,Violation by M. Harkless (kicked ball),,85-102,,
3:43.0,,,85-104,2,P. Tucker makes 2-pt shot at rim (assist by M. Morris)
3:31.0,M. Plumlee misses 2-pt shot from 16 ft,,85-104,,
3:30.0,,,85-104,,Defensive rebound by T. Chandler
3:19.0,,,85-104,,T. Chandler misses 2-pt shot at rim
3:16.0,Defensive rebound by C. McCollum,,85-104,,
3:13.0,C. McCollum makes 2-pt shot from 4 ft,2,87-104,,
2:50.0,,,87-104,,B. Knight misses 2-pt shot from 20 ft
2:49.0,Defensive rebound by M. Plumlee,,87-104,,
2:43.0,D. Lillard misses 3-pt shot from 31 ft,,87-104,,
2:42.0,,,87-104,,Defensive rebound by T. Chandler
2:24.0,,,87-106,2,E. Bledsoe makes 2-pt shot from 9 ft
2:24.0,Official timeout,,87-106,,
2:24.0,,,87-106,,D. Booker enters the game for P. Tucker
2:24.0,,,87-106,,R. Price enters the game for M. Morris
2:24.0,,,87-106,,A. Goodwin enters the game for T. Chandler
2:24.0,,,87-106,,M. Teletovic enters the game for B. Knight
2:24.0,,,87-106,,A. Len enters the game for E. Bledsoe
2:24.0,P. Connaughton enters the game for A. Aminu,,87-106,,
2:24.0,L. Montero enters the game for M. Plumlee,,87-106,,
2:24.0,N. Vonleh enters the game for C. McCollum,,87-106,,
2:24.0,M. Leonard enters the game for D. Lillard,,87-106,,
2:24.0,T. Frazier enters the game for M. Harkless,,87-106,,
2:10.0,Turnover by L. Montero (bad pass),,87-106,,
2:00.0,,,87-106,,Turnover by D. Booker (step out of bounds)
1:50.0,Turnover by M. Leonard (bad pass; steal by M. Teletovic),,87-106,,
1:31.0,,,87-106,,D. Booker misses 2-pt shot from 16 ft
1:29.0,Defensive rebound by L. Montero,,87-106,,
1:23.0,L. Montero misses 2-pt shot from 1 ft,,87-106,,
1:21.0,,,87-106,,Defensive rebound by A. Goodwin
1:19.0,,,87-106,,Turnover by A. Goodwin (bad pass; steal by T. Frazier)
1:14.0,P. Connaughton misses 2-pt shot at rim (block by A. Goodwin),,87-106,,
1:13.0,,,87-106,,Defensive rebound by R. Price
0:54.0,,,87-108,2,A. Len makes 2-pt shot at rim
0:54.0,,,87-108,,Shooting foul by M. Leonard (drawn by A. Len)
0:54.0,,,87-109,1,A. Len makes free throw 1 of 1
0:38.0,,,87-109,,Personal foul by D. Booker (drawn by P. Connaughton)
0:38.0,P. Connaughton makes free throw 1 of 2,1,88-109,,
0:38.0,P. Connaughton makes free throw 2 of 2,1,89-109,,
0:30.0,Personal foul by T. Frazier (drawn by A. Goodwin),,89-109,,
0:30.0,,,89-109,,A. Goodwin misses free throw 1 of 2
0:30.0,,,89-109,,Offensive rebound by Team
0:30.0,,,89-110,1,A. Goodwin makes free throw 2 of 2
0:21.0,P. Connaughton makes 3-pt shot from 26 ft (assist by T. Frazier),3,92-110,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
