time,Portland,pts.away,score,pts.home,Phoenix
2:02.0,,,20-25,,Defensive rebound by A. Len
1:53.0,,,20-25,,Turnover by E. Bledsoe (back court)
1:53.0,C. McCollum enters the game for D. Lillard,,20-25,,
1:53.0,,,20-25,,B. Knight enters the game for E. Bledsoe
1:53.0,,,20-25,,J. Leuer enters the game for M. Morris
1:41.0,C. McCollum misses 2-pt shot from 18 ft,,20-25,,
1:41.0,Offensive rebound by A. Aminu,,20-25,,
1:33.0,M. Harkless misses 3-pt shot from 24 ft,,20-25,,
1:32.0,,,20-25,,Defensive rebound by J. Leuer
1:18.0,,,20-27,2,A. Len makes 2-pt shot from 2 ft (assist by J. Leuer)
1:00.0,E. Davis makes 2-pt shot from 2 ft,2,22-27,,
1:00.0,Shooting foul by J. Leuer (drawn by E. Davis),,22-27,,
1:00.0,,,22-27,,T. Warren enters the game for P. Tucker
1:00.0,N. Vonleh enters the game for A. Aminu,,22-27,,
1:00.0,E. Davis makes free throw 1 of 1,1,23-27,,
0:51.0,,,23-27,,Turnover by B. Knight (traveling)
0:34.0,C. McCollum misses 2-pt shot from 19 ft,,23-27,,
0:34.0,Offensive rebound by E. Davis,,23-27,,
0:19.0,E. Davis misses 2-pt shot from 1 ft,,23-27,,
0:18.0,,,23-27,,Defensive rebound by T. Warren
0:01.0,,,23-27,,B. Knight misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by A. Crabbe,,23-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,C. McCollum misses 2-pt shot from 1 ft,,23-27,,
11:42.0,,,23-27,,Defensive rebound by A. Len
11:35.0,,,23-29,2,B. Knight makes 2-pt shot from 3 ft
11:18.0,A. Crabbe misses 3-pt shot from 23 ft,,23-29,,
11:18.0,,,23-29,,Defensive rebound by J. Leuer
11:08.0,,,23-32,3,T. Warren makes 3-pt shot from 23 ft (assist by B. Knight)
10:51.0,M. Harkless makes 3-pt shot from 24 ft (assist by N. Vonleh),3,26-32,,
10:40.0,,,26-32,,Shooting foul by M. Harkless (drawn by A. Len)
10:40.0,,,26-32,,A. Len misses free throw 1 of 2
10:40.0,,,26-32,,Offensive rebound by Team
10:40.0,,,26-33,1,A. Len makes free throw 2 of 2
10:24.0,M. Harkless misses 2-pt shot from 4 ft,,26-33,,
10:17.0,,,26-33,,Defensive rebound by J. Leuer
10:14.0,,,26-33,,T. Warren misses 2-pt shot from 2 ft
10:12.0,Defensive rebound by N. Vonleh,,26-33,,
10:07.0,C. McCollum makes 2-pt shot from 16 ft,2,28-33,,
9:53.0,,,28-33,,Turnover by S. Weems (bad pass; steal by A. Crabbe)
9:51.0,,,28-33,,Personal foul by B. Knight (drawn by C. McCollum)
9:43.0,C. McCollum misses 2-pt shot from 2 ft (block by A. Len),,28-33,,
9:42.0,,,28-33,,Defensive rebound by B. Knight
9:37.0,,,28-33,,Shooting foul by N. Vonleh (drawn by J. Leuer)
9:37.0,,,28-33,,J. Leuer misses free throw 1 of 2
9:37.0,,,28-33,,Offensive rebound by Team
9:37.0,,,28-34,1,J. Leuer makes free throw 2 of 2
9:23.0,C. McCollum misses 3-pt shot from 25 ft,,28-34,,
9:23.0,,,28-34,,Defensive rebound by S. Weems
9:10.0,,,28-36,2,S. Weems makes 2-pt shot from 1 ft
9:10.0,,,28-36,,Shooting foul by M. Harkless (drawn by S. Weems)
9:10.0,Portland full timeout,,28-36,,
9:10.0,,,28-37,1,S. Weems makes free throw 1 of 1
8:53.0,C. McCollum misses 3-pt shot from 23 ft,,28-37,,
