time,Brooklyn,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:40.0,T. Young misses 2-pt shot from 4 ft (block by P. Gasol),,0-0,,
12:00.0,Jump ball: P. Gasol vs. B. Lopez (J. Jack gains possession),,,,Jump ball: P. Gasol vs. B. Lopez (J. Jack gains possession)
11:39.0,Offensive rebound by T. Young,,0-0,,
11:35.0,J. Johnson misses 3-pt shot from 24 ft,,0-0,,
11:34.0,Offensive rebound by B. Lopez,,0-0,,
11:23.0,T. Young makes 2-pt shot from 6 ft (assist by B. Lopez),2,2-0,,
11:01.0,,,2-0,,N. Mirotic misses 2-pt shot from 20 ft
11:00.0,Defensive rebound by T. Young,,2-0,,
10:52.0,T. Young makes 2-pt shot from 3 ft,2,4-0,,
10:36.0,,,4-0,,Turnover by D. Rose (bad pass)
10:14.0,T. Young makes 2-pt shot from 10 ft,2,6-0,,
10:04.0,,,6-0,,P. Gasol misses 2-pt shot from 17 ft
10:03.0,,,6-0,,Offensive rebound by T. Gibson
10:01.0,,,6-2,2,T. Gibson makes 2-pt shot from 1 ft
9:43.0,B. Lopez makes 2-pt shot from 13 ft,2,8-2,,
9:33.0,,,8-2,,D. Rose misses 3-pt shot from 24 ft
9:32.0,Defensive rebound by B. Lopez,,8-2,,
9:25.0,J. Jack misses 2-pt shot from 1 ft,,8-2,,
9:24.0,,,8-2,,Defensive rebound by T. Gibson
9:17.0,,,8-2,,J. Butler misses 3-pt shot from 23 ft
9:16.0,Defensive rebound by B. Lopez,,8-2,,
9:03.0,B. Lopez misses 2-pt shot from 12 ft,,8-2,,
9:02.0,,,8-2,,Defensive rebound by T. Gibson
8:49.0,,,8-4,2,D. Rose makes 2-pt shot from 1 ft
8:49.0,,,8-4,,Shooting foul by B. Lopez (drawn by D. Rose)
8:49.0,,,8-5,1,D. Rose makes free throw 1 of 1
8:36.0,J. Jack misses 2-pt shot from 12 ft,,8-5,,
8:35.0,Offensive rebound by J. Jack,,8-5,,
8:21.0,B. Lopez makes 2-pt shot from 13 ft (assist by J. Johnson),2,10-5,,
8:10.0,,,10-5,,Turnover by N. Mirotic (bad pass)
7:55.0,T. Young misses 2-pt shot from 17 ft,,10-5,,
7:54.0,,,10-5,,Defensive rebound by N. Mirotic
7:40.0,,,10-5,,N. Mirotic misses 3-pt shot from 25 ft
7:39.0,Defensive rebound by B. Lopez,,10-5,,
7:33.0,Turnover by J. Jack (bad pass; steal by D. Rose),,10-5,,
7:30.0,,,10-7,2,J. Butler makes 2-pt shot at rim (assist by N. Mirotic)
7:00.0,T. Young misses 2-pt shot from 15 ft,,10-7,,
6:59.0,,,10-7,,Defensive rebound by P. Gasol
6:59.0,Personal foul by T. Young (drawn by P. Gasol),,10-7,,
6:48.0,,,10-7,,D. Rose misses 2-pt shot from 1 ft
6:47.0,Defensive rebound by B. Lopez,,10-7,,
6:43.0,Turnover by J. Jack (bad pass),,10-7,,
6:21.0,,,10-7,,T. Gibson misses 2-pt shot from 2 ft
6:19.0,,,10-7,,Offensive rebound by P. Gasol
6:19.0,,,10-9,2,P. Gasol makes 2-pt shot from 1 ft
6:07.0,T. Young makes 2-pt shot from 5 ft (assist by J. Johnson),2,12-9,,
5:49.0,,,12-9,,P. Gasol misses 2-pt shot from 13 ft
5:48.0,Defensive rebound by B. Bogdanovic,,12-9,,
5:34.0,B. Bogdanovic makes 3-pt shot from 25 ft (assist by J. Jack),3,15-9,,
5:32.0,,,15-9,,Chicago full timeout
5:26.0,,,15-9,,Turnover by T. Gibson (bad pass; steal by J. Jack)
5:21.0,J. Jack makes 2-pt shot from 1 ft,2,17-9,,
5:07.0,,,17-11,2,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol)
4:52.0,B. Bogdanovic misses 3-pt shot from 25 ft,,17-11,,
4:50.0,,,17-11,,Defensive rebound by D. Rose
4:47.0,,,17-13,2,N. Mirotic makes 2-pt shot from 1 ft (assist by D. Rose)
4:28.0,Turnover by B. Lopez (bad pass; steal by N. Mirotic),,17-13,,
4:26.0,Personal foul by B. Bogdanovic (drawn by J. Butler),,17-13,,
4:26.0,,,17-13,,J. Noah enters the game for T. Gibson
4:26.0,A. Bargnani enters the game for B. Bogdanovic,,17-13,,
4:21.0,,,17-15,2,J. Butler makes 2-pt shot from 19 ft (assist by J. Noah)
4:01.0,T. Young misses 2-pt shot from 6 ft,,17-15,,
4:00.0,,,17-15,,Defensive rebound by P. Gasol
3:52.0,,,17-17,2,P. Gasol makes 2-pt shot from 20 ft (assist by D. Rose)
3:31.0,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack),3,20-17,,
3:20.0,,,20-17,,N. Mirotic misses 2-pt shot from 20 ft
3:18.0,Defensive rebound by J. Johnson,,20-17,,
3:00.0,B. Lopez misses 2-pt shot from 1 ft (block by N. Mirotic),,20-17,,
2:59.0,,,20-17,,Defensive rebound by P. Gasol
2:52.0,,,20-19,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Noah)
2:36.0,T. Young makes 2-pt shot from 1 ft (assist by J. Jack),2,22-19,,
2:31.0,,,22-19,,D. Rose misses 2-pt shot at rim (block by J. Jack)
2:31.0,Defensive rebound by Team,,22-19,,
2:31.0,Brooklyn full timeout,,22-19,,
2:31.0,,,22-19,,K. Hinrich enters the game for D. Rose
2:31.0,,,22-19,,D. McDermott enters the game for N. Mirotic
2:13.0,J. Jack misses 3-pt shot from 24 ft,,22-19,,
2:12.0,,,22-19,,Defensive rebound by J. Butler
2:00.0,Def 3 sec tech foul by J. Jack,,22-19,,
2:00.0,,,22-19,,J. Butler misses technical free throw
2:00.0,,,22-19,,Offensive rebound by Team
2:00.0,B. Bogdanovic enters the game for T. Young,,22-19,,
2:00.0,D. Sloan enters the game for J. Jack,,22-19,,
1:46.0,,,22-21,2,J. Noah makes 2-pt shot from 5 ft (assist by P. Gasol)
1:26.0,J. Johnson misses 2-pt shot from 19 ft,,22-21,,
1:26.0,Offensive rebound by Team,,22-21,,
1:17.0,Offensive foul by B. Lopez,,22-21,,
1:17.0,Turnover by B. Lopez (offensive foul),,22-21,,
1:00.0,,,22-21,,D. McDermott misses 3-pt shot from 25 ft
0:58.0,Defensive rebound by D. Sloan,,22-21,,
0:48.0,A. Bargnani makes 2-pt shot from 15 ft (assist by J. Johnson),2,24-21,,
0:39.0,,,24-21,,Shooting foul by D. Sloan (drawn by P. Gasol)
0:39.0,,,24-21,,P. Gasol misses free throw 1 of 2
0:39.0,,,24-21,,Offensive rebound by Team
0:39.0,W. Reed enters the game for B. Lopez,,24-21,,
0:39.0,,,24-22,1,P. Gasol makes free throw 2 of 2
0:30.0,A. Bargnani makes 2-pt shot from 16 ft (assist by D. Sloan),2,26-22,,
0:30.0,Shooting foul by J. Noah (drawn by A. Bargnani),,26-22,,
0:30.0,,,26-22,,B. Portis enters the game for P. Gasol
0:30.0,A. Bargnani makes free throw 1 of 1,1,27-22,,
0:13.0,,,27-22,,Offensive charge foul by J. Butler
0:13.0,,,27-22,,Turnover by J. Butler (offensive foul)
0:05.0,D. Sloan makes 2-pt shot from 18 ft,2,29-22,,
0:00.0,,,29-22,,J. Butler misses 3-pt shot from 36 ft
0:00.0,,,29-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-25,3,D. McDermott makes 3-pt shot from 25 ft (assist by K. Hinrich)
11:31.0,A. Bargnani misses 2-pt shot from 20 ft,,29-25,,
11:30.0,Offensive rebound by D. Sloan,,29-25,,
11:16.0,B. Bogdanovic makes 2-pt shot from 3 ft,2,31-25,,
11:00.0,,,31-28,3,K. Hinrich makes 3-pt shot from 24 ft (assist by J. Noah)
10:43.0,A. Bargnani misses 2-pt shot from 7 ft (block by J. Noah),,31-28,,
10:41.0,,,31-28,,Defensive rebound by K. Hinrich
10:35.0,,,31-28,,K. Hinrich misses 3-pt shot from 23 ft
10:34.0,,,31-28,,Offensive rebound by J. Noah
10:29.0,,,31-31,3,D. McDermott makes 3-pt shot from 25 ft (assist by J. Noah)
