time,Memphis,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Andersen vs. D. Dedmon (A. Gordon gains possession),,,,Jump ball: C. Andersen vs. D. Dedmon (A. Gordon gains possession)
11:46.0,,,0-0,,A. Gordon misses 2-pt shot from 22 ft
11:44.0,Defensive rebound by M. Barnes,,0-0,,
11:29.0,Turnover by M. Barnes (lost ball; steal by V. Oladipo),,0-0,,
11:26.0,Violation by J. Farmar (kicked ball),,0-0,,
11:19.0,,,0-0,,Turnover by E. Fournier (lost ball; steal by J. Farmar)
11:14.0,M. Barnes misses 2-pt shot at rim,,0-0,,
11:11.0,Offensive rebound by T. Allen,,0-0,,
11:07.0,C. Andersen makes 2-pt shot from 1 ft (assist by T. Allen),2,2-0,,
11:00.0,,,2-2,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
10:49.0,Turnover by T. Allen (lost ball; steal by V. Oladipo),,2-2,,
10:45.0,,,2-4,2,V. Oladipo makes 2-pt shot at rim (assist by A. Gordon)
10:43.0,Memphis full timeout,,2-4,,
10:30.0,M. Barnes misses 2-pt shot from 5 ft,,2-4,,
10:29.0,Offensive rebound by C. Andersen,,2-4,,
10:29.0,C. Andersen misses 2-pt shot from 1 ft,,2-4,,
10:27.0,Offensive rebound by T. Allen,,2-4,,
10:27.0,T. Allen makes 2-pt shot from 2 ft,2,4-4,,
10:08.0,,,4-6,2,A. Gordon makes 2-pt shot from 1 ft (assist by E. Fournier)
9:50.0,Turnover by J. Farmar (bad pass),,4-6,,
9:40.0,,,4-6,,E. Fournier misses 2-pt shot from 2 ft
9:39.0,,,4-6,,Offensive rebound by Team
9:33.0,,,4-8,2,V. Oladipo makes 2-pt shot from 2 ft
9:12.0,Z. Randolph misses 2-pt shot from 11 ft,,4-8,,
9:09.0,Offensive rebound by T. Allen,,4-8,,
9:00.0,Z. Randolph misses 2-pt shot from 5 ft,,4-8,,
8:59.0,,,4-8,,Defensive rebound by D. Dedmon
8:52.0,,,4-8,,E. Payton misses 2-pt shot from 20 ft
8:48.0,Defensive rebound by M. Barnes,,4-8,,
8:41.0,J. Farmar misses 3-pt shot from 25 ft,,4-8,,
8:41.0,Offensive rebound by Team,,4-8,,
8:41.0,,,4-8,,Loose ball foul by A. Gordon
8:30.0,Z. Randolph misses 2-pt shot from 6 ft,,4-8,,
8:29.0,,,4-8,,Defensive rebound by V. Oladipo
8:23.0,,,4-10,2,A. Gordon makes 2-pt shot from 1 ft (assist by V. Oladipo)
8:06.0,T. Allen misses 3-pt shot from 22 ft,,4-10,,
8:03.0,Offensive rebound by C. Andersen,,4-10,,
8:01.0,J. Farmar makes 2-pt shot at rim (assist by Z. Randolph),2,6-10,,
7:39.0,,,6-12,2,V. Oladipo makes 2-pt shot at rim
7:24.0,J. Green enters the game for C. Andersen,,6-12,,
7:15.0,J. Green misses 2-pt shot from 7 ft,,6-12,,
7:13.0,,,6-12,,Defensive rebound by A. Gordon
7:09.0,,,6-14,2,E. Fournier makes 2-pt shot from 1 ft (assist by A. Gordon)
6:52.0,M. Barnes makes 3-pt shot from 25 ft (assist by Z. Randolph),3,9-14,,
6:39.0,,,9-14,,A. Gordon misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by T. Allen,,9-14,,
6:33.0,,,9-14,,Personal foul by D. Dedmon
6:33.0,L. Stephenson enters the game for T. Allen,,9-14,,
6:26.0,M. Barnes makes 3-pt shot from 24 ft (assist by L. Stephenson),3,12-14,,
6:16.0,,,12-16,2,D. Dedmon makes 2-pt shot at rim (assist by E. Payton)
5:58.0,M. Barnes makes 3-pt shot from 25 ft (assist by J. Green),3,15-16,,
5:46.0,,,15-16,,E. Fournier misses 3-pt shot from 22 ft
5:45.0,Defensive rebound by Z. Randolph,,15-16,,
5:39.0,L. Stephenson misses 2-pt shot at rim,,15-16,,
5:39.0,Offensive rebound by J. Green,,15-16,,
5:39.0,J. Green makes 2-pt shot at rim,2,17-16,,
5:39.0,,,17-16,,Orlando full timeout
5:39.0,,,17-16,,N. Vucevic enters the game for D. Dedmon
5:25.0,,,17-16,,N. Vucevic misses 2-pt shot from 18 ft
5:24.0,Defensive rebound by J. Green,,17-16,,
5:09.0,J. Green misses 2-pt shot from 3 ft (block by N. Vucevic),,17-16,,
5:06.0,,,17-16,,Defensive rebound by V. Oladipo
5:02.0,,,17-16,,V. Oladipo misses 2-pt shot from 16 ft (block by L. Stephenson)
4:59.0,,,17-16,,Offensive rebound by A. Gordon
4:56.0,,,17-16,,E. Fournier misses 3-pt shot from 26 ft
4:56.0,,,17-16,,Offensive rebound by Team
4:49.0,,,17-16,,Shooting foul by M. Barnes (drawn by E. Fournier)
4:49.0,,,17-17,1,E. Fournier makes free throw 1 of 2
4:49.0,,,17-18,1,E. Fournier makes free throw 2 of 2
4:33.0,L. Stephenson makes 2-pt shot from 18 ft,2,19-18,,
4:13.0,,,19-18,,E. Payton misses 2-pt shot at rim
4:12.0,Defensive rebound by Z. Randolph,,19-18,,
4:06.0,Z. Randolph misses 3-pt shot from 24 ft,,19-18,,
4:03.0,,,19-18,,Defensive rebound by A. Gordon
4:00.0,,,19-18,,A. Gordon misses 2-pt shot from 7 ft
3:56.0,,,19-18,,Offensive rebound by E. Payton
3:56.0,,,19-18,,E. Payton misses 2-pt shot from 1 ft
3:55.0,Defensive rebound by L. Stephenson,,19-18,,
3:52.0,J. Green makes 2-pt shot from 2 ft (assist by L. Stephenson),2,21-18,,
3:39.0,,,21-20,2,N. Vucevic makes 2-pt shot from 3 ft (assist by E. Payton)
3:39.0,,,21-20,,Shooting foul by Z. Randolph (drawn by N. Vucevic)
3:39.0,X. Munford enters the game for J. Farmar,,21-20,,
3:39.0,,,21-20,,M. Hezonja enters the game for E. Fournier
3:39.0,,,21-21,1,N. Vucevic makes free throw 1 of 1
3:25.0,J. Green makes 2-pt shot from 15 ft (assist by M. Barnes),2,23-21,,
3:09.0,,,23-23,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
2:52.0,Z. Randolph makes 2-pt shot from 18 ft,2,25-23,,
2:37.0,,,25-25,2,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton)
2:20.0,M. Barnes makes 3-pt shot from 24 ft (assist by Z. Randolph),3,28-25,,
2:09.0,,,28-25,,E. Payton misses 2-pt shot from 6 ft
2:06.0,,,28-25,,Offensive rebound by A. Gordon
2:06.0,,,28-25,,A. Gordon misses 2-pt shot at rim
2:04.0,,,28-25,,Offensive rebound by V. Oladipo
1:57.0,Personal foul by J. Green,,28-25,,
1:57.0,Memphis full timeout,,28-25,,
1:57.0,,,28-25,,A. Nicholson enters the game for A. Gordon
1:57.0,,,28-25,,B. Jennings enters the game for E. Payton
1:47.0,,,28-27,2,N. Vucevic makes 2-pt shot from 12 ft
1:29.0,M. Barnes misses 3-pt shot from 24 ft,,28-27,,
1:27.0,,,28-27,,Defensive rebound by N. Vucevic
1:11.0,,,28-27,,V. Oladipo misses 2-pt shot from 21 ft
1:09.0,Defensive rebound by M. Barnes,,28-27,,
0:54.0,Z. Randolph misses 2-pt shot from 18 ft,,28-27,,
0:53.0,,,28-27,,Defensive rebound by B. Jennings
0:46.0,,,28-27,,A. Nicholson misses 3-pt shot from 25 ft
0:45.0,Defensive rebound by J. Green,,28-27,,
0:37.0,X. Munford makes 2-pt shot from 17 ft,2,30-27,,
0:21.0,,,30-29,2,M. Hezonja makes 2-pt shot from 14 ft
0:00.0,L. Stephenson misses 2-pt shot from 16 ft,,30-29,,
0:00.0,Offensive rebound by Team,,30-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Turnover by M. Barnes (lost ball; steal by M. Hezonja),,30-29,,
11:34.0,,,30-29,,E. Fournier misses 2-pt shot from 20 ft
11:32.0,Defensive rebound by J. Green,,30-29,,
11:25.0,X. Munford misses 2-pt shot from 14 ft,,30-29,,
11:22.0,,,30-29,,Defensive rebound by A. Nicholson
11:12.0,,,30-31,2,N. Vucevic makes 2-pt shot from 18 ft (assist by M. Hezonja)
11:02.0,Offensive foul by M. Barnes,,30-31,,
11:02.0,Turnover by M. Barnes (offensive foul),,30-31,,
11:02.0,V. Carter enters the game for L. Stephenson,,30-31,,
10:49.0,,,30-33,2,N. Vucevic makes 2-pt shot from 7 ft
10:36.0,Turnover by M. Barnes (lost ball; steal by M. Hezonja),,30-33,,
10:26.0,,,30-35,2,N. Vucevic makes 2-pt shot from 16 ft (assist by B. Jennings)
10:21.0,Memphis full timeout,,30-35,,
10:07.0,X. Munford makes 2-pt shot from 4 ft,2,32-35,,
9:53.0,,,32-35,,N. Vucevic misses 2-pt shot from 8 ft
9:52.0,Defensive rebound by C. Andersen,,32-35,,
9:34.0,V. Carter misses 2-pt shot from 22 ft,,32-35,,
9:33.0,,,32-35,,Defensive rebound by A. Nicholson
9:13.0,,,32-38,3,B. Jennings makes 3-pt shot from 25 ft (assist by N. Vucevic)
8:56.0,V. Carter makes 2-pt shot from 12 ft,2,34-38,,
8:35.0,,,34-41,3,E. Fournier makes 3-pt shot from 25 ft
8:25.0,Turnover by X. Munford (bad pass),,34-41,,
8:25.0,L. Stephenson enters the game for M. Barnes,,34-41,,
8:10.0,,,34-41,,Turnover by N. Vucevic (lost ball; steal by X. Munford)
8:06.0,Shooting foul by E. Fournier (drawn by J. Green),,34-41,,
8:06.0,J. Green misses free throw 1 of 2,,34-41,,
8:06.0,Offensive rebound by Team,,34-41,,
8:06.0,J. Green misses free throw 2 of 2,,34-41,,
8:06.0,,,34-41,,Defensive rebound by N. Vucevic
7:54.0,Personal foul by J. Green,,34-41,,
7:37.0,,,34-44,3,A. Nicholson makes 3-pt shot from 25 ft
7:30.0,,,34-44,,Personal foul by M. Hezonja
7:30.0,,,34-44,,J. Smith enters the game for N. Vucevic
7:17.0,C. Andersen misses 3-pt shot from 26 ft,,34-44,,
7:16.0,,,34-44,,Defensive rebound by A. Nicholson
7:08.0,,,34-44,,B. Jennings misses 2-pt shot from 20 ft
7:06.0,Defensive rebound by V. Carter,,34-44,,
7:00.0,V. Carter makes 2-pt shot from 17 ft,2,36-44,,
6:42.0,,,36-47,3,M. Hezonja makes 3-pt shot from 25 ft (assist by E. Fournier)
6:30.0,,,36-47,,V. Oladipo enters the game for M. Hezonja
6:30.0,J. Martin enters the game for C. Andersen,,36-47,,
6:25.0,Shooting foul by J. Smith (drawn by L. Stephenson),,36-47,,
6:25.0,L. Stephenson makes free throw 1 of 2,1,37-47,,
6:25.0,L. Stephenson makes free throw 2 of 2,1,38-47,,
6:15.0,,,38-47,,B. Jennings misses 2-pt shot from 5 ft
6:13.0,Defensive rebound by J. Green,,38-47,,
6:05.0,L. Stephenson makes 2-pt shot from 1 ft (assist by J. Martin),2,40-47,,
5:49.0,,,40-47,,J. Smith misses 2-pt shot from 20 ft
5:47.0,Defensive rebound by L. Stephenson,,40-47,,
5:39.0,L. Stephenson misses 2-pt shot from 8 ft,,40-47,,
5:37.0,Offensive rebound by J. Martin,,40-47,,
5:37.0,J. Martin makes 2-pt shot at rim,2,42-47,,
5:28.0,,,42-47,,Orlando full timeout
5:28.0,,,42-47,,A. Gordon enters the game for B. Jennings
5:28.0,,,42-47,,E. Payton enters the game for A. Nicholson
5:17.0,,,42-47,,V. Oladipo misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by L. Stephenson,,42-47,,
5:07.0,Shooting foul by J. Smith (drawn by J. Martin),,42-47,,
5:07.0,J. Martin misses free throw 1 of 2,,42-47,,
5:07.0,Offensive rebound by Team,,42-47,,
5:07.0,J. Martin makes free throw 2 of 2,1,43-47,,
4:50.0,,,43-47,,A. Gordon misses 3-pt shot from 23 ft
4:49.0,,,43-47,,Offensive rebound by E. Fournier
4:46.0,,,43-49,2,E. Fournier makes 2-pt shot from 8 ft
4:26.0,L. Stephenson makes 2-pt shot at rim (assist by V. Carter),2,45-49,,
4:14.0,,,45-49,,Shooting foul by L. Stephenson (drawn by V. Oladipo)
4:14.0,Technical foul by L. Stephenson,,45-49,,
4:14.0,,,45-50,1,V. Oladipo makes technical free throw
4:14.0,,,45-51,1,V. Oladipo makes free throw 1 of 2
4:14.0,,,45-51,,V. Oladipo misses free throw 2 of 2
4:14.0,Defensive rebound by Team,,45-51,,
4:14.0,,,45-51,,Loose ball foul by J. Smith
4:14.0,J. Green misses free throw 1 of 2,,45-51,,
4:14.0,Offensive rebound by Team,,45-51,,
4:14.0,,,45-51,,D. Dedmon enters the game for J. Smith
4:14.0,J. Green makes free throw 2 of 2,1,46-51,,
3:50.0,,,46-53,2,D. Dedmon makes 2-pt shot from 2 ft (assist by E. Payton)
3:50.0,,,46-53,,Shooting foul by V. Carter (drawn by D. Dedmon)
