time,Oklahoma City,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Favors (A. Roberson gains possession),,,,Jump ball: S. Adams vs. D. Favors (A. Roberson gains possession)
11:47.0,K. Durant makes 2-pt shot from 2 ft (assist by R. Westbrook),2,2-0,,
11:29.0,,,2-0,,Turnover by R. Neto (bad pass; steal by K. Durant)
11:25.0,,,2-0,,Personal foul by G. Hayward (drawn by R. Westbrook)
11:16.0,A. Roberson makes 3-pt shot from 23 ft (assist by S. Ibaka),3,5-0,,
10:52.0,,,5-0,,R. Hood misses 3-pt shot from 24 ft
10:51.0,Defensive rebound by S. Ibaka,,5-0,,
10:44.0,K. Durant makes 2-pt shot at rim,2,7-0,,
10:44.0,,,7-0,,Utah full timeout
10:27.0,,,7-0,,D. Favors misses 2-pt shot from 3 ft
10:27.0,Defensive rebound by R. Westbrook,,7-0,,
10:11.0,R. Westbrook makes 2-pt shot from 7 ft,2,9-0,,
9:51.0,,,9-0,,R. Neto misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by Team,,9-0,,
9:32.0,S. Ibaka misses 2-pt shot from 13 ft,,9-0,,
9:31.0,,,9-0,,Defensive rebound by G. Hayward
9:23.0,Shooting block foul by S. Adams (drawn by G. Hayward),,9-0,,
9:23.0,,,9-1,1,G. Hayward makes free throw 1 of 2
9:23.0,,,9-2,1,G. Hayward makes free throw 2 of 2
9:11.0,S. Ibaka makes 2-pt shot from 18 ft (assist by K. Durant),2,11-2,,
8:48.0,,,11-2,,R. Hood misses 2-pt shot from 9 ft
8:48.0,Defensive rebound by K. Durant,,11-2,,
8:39.0,S. Ibaka misses 2-pt shot from 17 ft,,11-2,,
8:39.0,Offensive rebound by S. Adams,,11-2,,
8:37.0,S. Adams misses 2-pt shot at rim (block by T. Lyles),,11-2,,
8:34.0,,,11-2,,Defensive rebound by R. Hood
8:24.0,,,11-4,2,G. Hayward makes 2-pt shot from 10 ft
8:16.0,Shooting foul by D. Favors (drawn by R. Westbrook),,11-4,,
8:16.0,R. Westbrook makes free throw 1 of 2,1,12-4,,
8:16.0,R. Westbrook makes free throw 2 of 2,1,13-4,,
8:00.0,,,13-4,,Turnover by G. Hayward (bad pass; steal by R. Westbrook)
7:56.0,S. Ibaka misses 2-pt shot from 1 ft,,13-4,,
7:55.0,Offensive rebound by A. Roberson,,13-4,,
7:47.0,Turnover by K. Durant (bad pass; steal by D. Favors),,13-4,,
7:30.0,,,13-7,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
7:08.0,K. Durant misses 3-pt shot from 24 ft,,13-7,,
7:08.0,,,13-7,,Defensive rebound by R. Hood
6:56.0,,,13-9,2,R. Neto makes 2-pt shot from 2 ft
6:44.0,S. Ibaka misses 2-pt shot from 16 ft,,13-9,,
6:40.0,Offensive rebound by S. Adams,,13-9,,
6:30.0,S. Ibaka misses 2-pt shot from 2 ft (block by D. Favors),,13-9,,
6:28.0,,,13-9,,Defensive rebound by R. Neto
6:21.0,,,13-9,,R. Neto misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by A. Roberson,,13-9,,
5:59.0,R. Westbrook makes 2-pt shot from 10 ft,2,15-9,,
5:44.0,,,15-9,,R. Hood misses 3-pt shot from 24 ft
5:43.0,Defensive rebound by S. Ibaka,,15-9,,
5:27.0,S. Ibaka misses 2-pt shot from 10 ft,,15-9,,
5:26.0,,,15-9,,Defensive rebound by R. Neto
5:11.0,,,15-9,,T. Lyles misses 2-pt shot from 1 ft
5:10.0,,,15-9,,Offensive rebound by T. Lyles
5:10.0,,,15-9,,T. Lyles misses 2-pt shot from 1 ft
5:08.0,Defensive rebound by S. Ibaka,,15-9,,
4:53.0,R. Westbrook makes 2-pt shot from 20 ft,2,17-9,,
4:34.0,,,17-9,,G. Hayward misses 2-pt shot from 20 ft
4:31.0,,,17-9,,Offensive rebound by D. Favors
4:31.0,,,17-11,2,D. Favors makes 2-pt shot from 1 ft
4:26.0,Oklahoma City full timeout,,17-11,,
4:26.0,,,17-11,,A. Burks enters the game for R. Hood
4:26.0,,,17-11,,T. Booker enters the game for T. Lyles
4:26.0,,,17-11,,T. Burke enters the game for R. Neto
4:26.0,N. Collison enters the game for S. Ibaka,,17-11,,
4:26.0,E. Kanter enters the game for S. Adams,,17-11,,
4:26.0,D. Waiters enters the game for A. Roberson,,17-11,,
4:21.0,K. Durant misses 3-pt shot from 24 ft,,17-11,,
4:20.0,Offensive rebound by D. Waiters,,17-11,,
4:05.0,R. Westbrook misses 2-pt shot from 16 ft,,17-11,,
4:04.0,Offensive rebound by N. Collison,,17-11,,
3:58.0,R. Westbrook misses 3-pt shot from 25 ft,,17-11,,
3:58.0,,,17-11,,Defensive rebound by G. Hayward
3:44.0,,,17-11,,G. Hayward misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by D. Waiters,,17-11,,
3:36.0,D. Waiters misses 2-pt shot from 19 ft,,17-11,,
3:36.0,,,17-11,,Defensive rebound by Team
3:19.0,,,17-11,,D. Favors misses 2-pt shot from 18 ft
3:18.0,Defensive rebound by R. Westbrook,,17-11,,
3:11.0,R. Westbrook makes 2-pt shot from 1 ft,2,19-11,,
3:00.0,,,19-11,,T. Burke misses 2-pt shot from 20 ft
2:59.0,Defensive rebound by E. Kanter,,19-11,,
2:40.0,R. Westbrook makes 3-pt shot from 24 ft,3,22-11,,
2:22.0,,,22-11,,A. Burks misses 2-pt shot from 21 ft
2:21.0,,,22-11,,Offensive rebound by D. Favors
2:15.0,,,22-11,,E. Millsap enters the game for G. Hayward
2:15.0,,,22-11,,J. Withey enters the game for D. Favors
2:15.0,D. Augustin enters the game for R. Westbrook,,22-11,,
2:09.0,,,22-11,,A. Burks misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by K. Durant,,22-11,,
1:53.0,E. Kanter misses 2-pt shot from 18 ft,,22-11,,
1:49.0,,,22-11,,Defensive rebound by J. Withey
1:34.0,,,22-11,,Shooting foul by K. Durant (drawn by A. Burks)
1:34.0,,,22-11,,A. Burks misses free throw 1 of 2
1:34.0,,,22-11,,Offensive rebound by Team
1:34.0,,,22-12,1,A. Burks makes free throw 2 of 2
1:28.0,,,22-12,,Personal foul by E. Millsap (drawn by K. Durant)
1:15.0,D. Waiters makes 2-pt shot from 20 ft,2,24-12,,
0:54.0,,,24-12,,Shooting foul by D. Waiters (drawn by A. Burks)
0:54.0,,,24-13,1,A. Burks makes free throw 1 of 2
0:54.0,,,24-13,,A. Burks misses free throw 2 of 2
0:54.0,Defensive rebound by N. Collison,,24-13,,
0:34.0,D. Augustin makes 3-pt shot from 24 ft (assist by E. Kanter),3,27-13,,
0:15.0,,,27-15,2,A. Burks makes 2-pt shot from 17 ft
0:01.0,Turnover by E. Kanter (traveling),,27-15,,
