time,LA Clippers,pts.away,score,pts.home,New Orleans
1:54.0,,,15-21,,Offensive rebound by N. Cole
1:42.0,,,15-23,2,R. Anderson makes 2-pt shot from 3 ft
1:23.0,J. Crawford makes 2-pt shot from 6 ft,2,17-23,,
1:02.0,,,17-23,,A. Davis misses 3-pt shot from 24 ft
1:01.0,Defensive rebound by D. Jordan,,17-23,,
0:56.0,Turnover by P. Prigioni (bad pass),,17-23,,
0:43.0,,,17-25,2,R. Anderson makes 2-pt shot from 10 ft
0:33.0,A. Rivers misses 2-pt shot from 14 ft,,17-25,,
0:33.0,,,17-25,,Defensive rebound by A. Davis
0:21.0,,,17-25,,Turnover by E. Gordon (bad pass)
0:03.0,J. Crawford misses 3-pt shot from 24 ft,,17-25,,
0:01.0,Offensive rebound by Team,,17-25,,
0:00.0,W. Johnson makes 3-pt shot from 24 ft (assist by P. Prigioni),3,20-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,C. Aldrich misses 2-pt shot from 6 ft,,20-25,,
11:33.0,,,20-25,,Defensive rebound by A. Davis
11:24.0,,,20-25,,Turnover by J. Holiday (lost ball; steal by C. Aldrich)
11:06.0,W. Johnson misses 3-pt shot from 24 ft,,20-25,,
11:05.0,,,20-25,,Defensive rebound by A. Davis
10:52.0,,,20-25,,R. Anderson misses 2-pt shot from 3 ft
10:51.0,Defensive rebound by C. Aldrich,,20-25,,
10:39.0,C. Aldrich makes 2-pt shot from 4 ft,2,22-25,,
10:22.0,,,22-27,2,J. Holiday makes 2-pt shot from 7 ft
10:08.0,P. Prigioni misses 2-pt shot from 7 ft,,22-27,,
10:08.0,,,22-27,,Defensive rebound by A. Davis
9:59.0,,,22-29,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
9:39.0,P. Prigioni makes 3-pt shot from 24 ft (assist by C. Aldrich),3,25-29,,
9:19.0,,,25-31,2,N. Cole makes 2-pt shot from 2 ft (assist by A. Davis)
9:02.0,P. Prigioni misses 3-pt shot from 25 ft,,25-31,,
9:01.0,,,25-31,,Defensive rebound by Team
9:01.0,,,25-31,,A. Ajinca enters the game for A. Davis
8:50.0,,,25-31,,R. Anderson misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by C. Aldrich,,25-31,,
8:44.0,Shooting foul by A. Gee (drawn by J. Crawford),,25-31,,
8:44.0,Official timeout,,25-31,,
8:44.0,J. Crawford misses free throw 1 of 3,,25-31,,
8:44.0,Offensive rebound by Team,,25-31,,
8:44.0,J. Crawford makes free throw 2 of 3,1,26-31,,
8:44.0,J. Crawford makes free throw 3 of 3,1,27-31,,
8:28.0,,,27-31,,A. Ajinca misses 2-pt shot from 5 ft
8:28.0,Defensive rebound by J. Crawford,,27-31,,
8:15.0,W. Johnson misses 3-pt shot from 24 ft,,27-31,,
8:14.0,,,27-31,,Defensive rebound by N. Cole
8:05.0,,,27-33,2,A. Ajinca makes 2-pt shot from 6 ft (assist by N. Cole)
7:38.0,A. Rivers misses 3-pt shot from 23 ft,,27-33,,
7:37.0,Offensive rebound by C. Aldrich,,27-33,,
7:36.0,,,27-33,,Personal foul by A. Ajinca (drawn by C. Aldrich)
7:36.0,,,27-33,,T. Evans enters the game for A. Gee
7:31.0,Turnover by A. Rivers (lost ball; steal by N. Cole),,27-33,,
7:24.0,,,27-35,2,T. Evans makes 2-pt shot from 1 ft
