time,Phoenix,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. D. Howard (A. Len gains possession),,,,Jump ball: T. Chandler vs. D. Howard (A. Len gains possession)
11:39.0,R. Price misses 3-pt shot from 23 ft,,0-0,,
11:38.0,Offensive rebound by Team,,0-0,,
11:29.0,,,0-0,,Personal block foul by D. Motiejunas
11:19.0,D. Booker makes 2-pt shot from 17 ft,2,2-0,,
10:58.0,,,2-0,,T. Ariza misses 3-pt shot from 23 ft
10:57.0,Defensive rebound by T. Chandler,,2-0,,
10:42.0,Turnover by P. Tucker (bad pass),,2-0,,
10:28.0,,,2-2,2,D. Motiejunas makes 2-pt shot from 7 ft (assist by P. Beverley)
10:15.0,D. Booker misses 2-pt shot from 12 ft,,2-2,,
10:13.0,,,2-2,,Defensive rebound by P. Beverley
10:10.0,,,2-2,,Offensive charge foul by P. Beverley
10:10.0,,,2-2,,Turnover by P. Beverley (offensive foul)
9:52.0,P. Tucker misses 3-pt shot from 24 ft,,2-2,,
9:52.0,,,2-2,,Defensive rebound by D. Howard
9:44.0,,,2-5,3,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley)
9:33.0,D. Booker makes 2-pt shot at rim (assist by A. Len),2,4-5,,
9:25.0,,,4-7,2,D. Howard makes 2-pt shot at rim (assist by T. Ariza)
9:03.0,R. Price misses 3-pt shot from 25 ft,,4-7,,
9:02.0,,,4-7,,Defensive rebound by T. Ariza
8:44.0,,,4-7,,Turnover by P. Beverley (lost ball)
8:28.0,P. Tucker makes 2-pt shot from 10 ft (assist by R. Price),2,6-7,,
8:09.0,,,6-10,3,P. Beverley makes 3-pt shot from 23 ft (assist by J. Harden)
7:55.0,Turnover by D. Booker (lost ball; steal by T. Ariza),,6-10,,
7:49.0,,,6-12,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
7:29.0,A. Len makes 2-pt shot from 15 ft (assist by R. Price),2,8-12,,
7:03.0,,,8-12,,P. Beverley misses 3-pt shot from 23 ft (block by R. Price)
7:02.0,,,8-12,,Offensive rebound by P. Beverley
6:59.0,,,8-14,2,P. Beverley makes 2-pt shot from 18 ft
6:48.0,T. Chandler makes 2-pt shot at rim (assist by D. Booker),2,10-14,,
6:34.0,Personal foul by A. Len,,10-14,,
6:22.0,,,10-16,2,J. Harden makes 2-pt shot from 19 ft
6:03.0,R. Price makes 3-pt shot from 22 ft (assist by P. Tucker),3,13-16,,
5:47.0,,,13-16,,D. Motiejunas misses 3-pt shot from 24 ft
5:45.0,Defensive rebound by P. Tucker,,13-16,,
5:39.0,T. Chandler makes 2-pt shot at rim (assist by R. Price),2,15-16,,
5:39.0,,,15-16,,Houston full timeout
5:39.0,,,15-16,,J. Smith enters the game for D. Motiejunas
5:39.0,,,15-16,,C. Capela enters the game for D. Howard
5:18.0,,,15-19,3,J. Smith makes 3-pt shot from 24 ft (assist by J. Harden)
4:59.0,T. Chandler misses 2-pt shot from 5 ft,,15-19,,
4:57.0,,,15-19,,Defensive rebound by C. Capela
4:52.0,,,15-22,3,J. Smith makes 3-pt shot from 24 ft (assist by P. Beverley)
4:49.0,Phoenix full timeout,,15-22,,
4:49.0,A. Goodwin enters the game for A. Len,,15-22,,
4:49.0,M. Teletovic enters the game for R. Price,,15-22,,
4:27.0,A. Goodwin makes 2-pt shot from 3 ft (assist by T. Chandler),2,17-22,,
4:11.0,,,17-22,,Shooting foul by M. Teletovic (drawn by J. Smith)
4:11.0,,,17-22,,J. Smith misses free throw 1 of 2
4:11.0,,,17-22,,Offensive rebound by Team
4:11.0,,,17-22,,J. Smith misses free throw 2 of 2
4:08.0,Defensive rebound by T. Chandler,,17-22,,
3:44.0,D. Booker misses 3-pt shot from 24 ft,,17-22,,
3:43.0,,,17-22,,Defensive rebound by J. Smith
3:37.0,,,17-25,3,P. Beverley makes 3-pt shot from 22 ft (assist by J. Harden)
3:24.0,,,17-25,,C. Brewer enters the game for T. Ariza
3:19.0,Turnover by D. Booker (lost ball; steal by C. Capela),,17-25,,
3:17.0,,,17-25,,Shooting foul by D. Booker (drawn by C. Capela)
3:17.0,,,17-25,,C. Capela misses free throw 1 of 2
3:17.0,,,17-25,,Offensive rebound by Team
3:17.0,A. Williams enters the game for T. Chandler,,17-25,,
3:17.0,,,17-25,,C. Capela misses free throw 2 of 2
3:16.0,Defensive rebound by M. Teletovic,,17-25,,
2:53.0,Turnover by M. Teletovic (lost ball; steal by P. Beverley),,17-25,,
2:48.0,,,17-25,,J. Harden misses 2-pt shot from 5 ft (block by D. Booker)
2:47.0,,,17-25,,Offensive rebound by C. Capela
2:44.0,,,17-27,2,C. Capela makes 2-pt shot from 1 ft
2:39.0,,,17-27,,Personal foul by C. Brewer
2:39.0,,,17-27,,J. Terry enters the game for P. Beverley
2:34.0,D. Booker misses 2-pt shot from 16 ft,,17-27,,
2:33.0,,,17-27,,Defensive rebound by J. Harden
2:15.0,,,17-29,2,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden)
2:01.0,M. Teletovic makes 3-pt shot from 25 ft (assist by A. Goodwin),3,20-29,,
1:44.0,,,20-31,2,J. Terry makes 2-pt shot from 1 ft
1:37.0,P. Tucker makes 2-pt shot from 11 ft (assist by A. Goodwin),2,22-31,,
1:31.0,,,22-31,,Turnover by J. Smith (lost ball; steal by P. Tucker)
1:26.0,,,22-31,,Personal foul by J. Smith
1:20.0,P. Tucker misses 2-pt shot from 21 ft,,22-31,,
1:19.0,,,22-31,,Defensive rebound by C. Brewer
1:10.0,,,22-31,,J. Terry misses 3-pt shot from 24 ft
1:09.0,Defensive rebound by A. Williams,,22-31,,
1:01.0,A. Goodwin makes 2-pt shot from 2 ft,2,24-31,,
0:58.0,,,24-33,2,C. Brewer makes 2-pt shot from 1 ft (assist by J. Harden)
0:58.0,,,24-33,,Shooting foul by A. Williams (drawn by C. Brewer)
0:58.0,A. Len enters the game for P. Tucker,,24-33,,
0:58.0,,,24-34,1,C. Brewer makes free throw 1 of 1
0:44.0,M. Teletovic makes 3-pt shot from 26 ft (assist by A. Len),3,27-34,,
0:36.0,,,27-37,3,J. Harden makes 3-pt shot from 25 ft
0:22.0,A. Williams misses 2-pt shot from 2 ft,,27-37,,
0:21.0,Offensive rebound by A. Williams,,27-37,,
0:19.0,A. Williams misses 2-pt shot from 3 ft,,27-37,,
0:18.0,,,27-37,,Defensive rebound by J. Smith
0:03.0,,,27-39,2,J. Harden makes 2-pt shot from 2 ft
0:00.0,A. Goodwin misses 3-pt shot from 37 ft,,27-39,,
0:00.0,Offensive rebound by Team,,27-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,27-39,,Turnover by Team (shot clock)
11:20.0,M. Teletovic makes 2-pt shot from 7 ft,2,29-39,,
11:10.0,,,29-39,,C. Brewer misses 3-pt shot from 23 ft
11:10.0,,,29-39,,Offensive rebound by C. Brewer
10:56.0,,,29-41,2,C. Capela makes 2-pt shot from 7 ft
10:39.0,A. Goodwin misses 3-pt shot from 24 ft,,29-41,,
10:39.0,Offensive rebound by A. Len,,29-41,,
