time,Oklahoma City,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Howard (M. Thornton gains possession),,,,Jump ball: S. Adams vs. D. Howard (M. Thornton gains possession)
11:45.0,,,0-2,2,T. Ariza makes 2-pt shot from 1 ft (assist by T. Lawson)
11:29.0,Turnover by K. Durant (bad pass; steal by D. Howard),,0-2,,
11:21.0,,,0-5,3,M. Thornton makes 3-pt shot from 23 ft (assist by J. Harden)
10:58.0,A. Roberson misses 2-pt shot from 10 ft,,0-5,,
10:57.0,,,0-5,,Defensive rebound by D. Howard
10:50.0,,,0-7,2,T. Ariza makes 2-pt shot from 1 ft (assist by M. Thornton)
10:35.0,S. Ibaka misses 2-pt shot from 1 ft (block by J. Harden),,0-7,,
10:34.0,,,0-7,,Defensive rebound by J. Harden
10:30.0,,,0-7,,Turnover by M. Thornton (bad pass)
10:07.0,Turnover by R. Westbrook (bad pass; steal by J. Harden),,0-7,,
9:47.0,,,0-7,,D. Howard misses 2-pt shot from 6 ft (block by K. Durant)
9:46.0,Defensive rebound by S. Ibaka,,0-7,,
9:39.0,K. Durant makes 2-pt shot from 2 ft,2,2-7,,
9:30.0,,,2-7,,M. Thornton misses 3-pt shot from 22 ft
9:29.0,Defensive rebound by R. Westbrook,,2-7,,
9:15.0,A. Roberson makes 3-pt shot from 23 ft (assist by R. Westbrook),3,5-7,,
9:01.0,,,5-7,,T. Ariza misses 3-pt shot from 23 ft
8:59.0,Defensive rebound by S. Adams,,5-7,,
8:48.0,,,5-7,,Personal foul by T. Ariza (drawn by K. Durant)
8:44.0,S. Ibaka misses 2-pt shot from 18 ft,,5-7,,
8:43.0,,,5-7,,Defensive rebound by M. Thornton
8:36.0,,,5-7,,D. Howard misses 2-pt shot from 3 ft (block by A. Roberson)
8:36.0,,,5-7,,Offensive rebound by Team
8:18.0,,,5-7,,T. Lawson misses 2-pt shot from 22 ft
8:18.0,,,5-7,,Offensive rebound by T. Ariza
8:02.0,,,5-7,,Turnover by T. Lawson (bad pass)
7:47.0,K. Durant misses 2-pt shot from 18 ft,,5-7,,
7:46.0,,,5-7,,Defensive rebound by M. Thornton
7:36.0,,,5-7,,D. Howard misses 2-pt shot at rim
7:36.0,,,5-7,,Offensive rebound by D. Howard
7:35.0,,,5-9,2,D. Howard makes 2-pt shot at rim
7:20.0,Turnover by R. Westbrook (lost ball; steal by T. Lawson),,5-9,,
7:11.0,,,5-9,,M. Thornton misses 2-pt shot from 5 ft
7:10.0,Defensive rebound by S. Ibaka,,5-9,,
7:02.0,A. Roberson misses 2-pt shot at rim (block by D. Howard),,5-9,,
7:01.0,,,5-9,,Defensive rebound by J. Harden
6:54.0,,,5-9,,T. Ariza misses 2-pt shot at rim (block by S. Ibaka)
6:53.0,Defensive rebound by K. Durant,,5-9,,
6:44.0,K. Durant misses 3-pt shot from 25 ft,,5-9,,
6:42.0,,,5-9,,Defensive rebound by D. Howard
6:30.0,,,5-11,2,J. Harden makes 2-pt shot from 17 ft
6:24.0,Oklahoma City full timeout,,5-11,,
6:24.0,,,5-11,,P. Beverley enters the game for D. Howard
6:24.0,,,5-11,,C. Capela enters the game for T. Lawson
6:16.0,R. Westbrook makes 2-pt shot from 11 ft,2,7-11,,
6:05.0,,,7-13,2,J. Harden makes 2-pt shot from 14 ft
6:02.0,,,7-13,,Personal foul by P. Beverley (drawn by S. Adams)
6:02.0,D. Waiters enters the game for A. Roberson,,7-13,,
5:57.0,Turnover by S. Ibaka (traveling),,7-13,,
5:47.0,,,7-13,,J. Harden misses 3-pt shot from 24 ft
5:46.0,Defensive rebound by S. Ibaka,,7-13,,
5:39.0,Shooting foul by J. Harden (drawn by R. Westbrook),,7-13,,
5:39.0,R. Westbrook makes free throw 1 of 2,1,8-13,,
5:39.0,R. Westbrook makes free throw 2 of 2,1,9-13,,
