time,Cleveland,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. T. Thompson (L. Scola gains possession),,,,Jump ball: B. Biyombo vs. T. Thompson (L. Scola gains possession)
11:46.0,,,0-2,2,K. Lowry makes 2-pt shot from 20 ft (assist by D. DeRozan)
11:29.0,K. Love misses 3-pt shot from 25 ft,,0-2,,
11:28.0,Offensive rebound by T. Thompson,,0-2,,
11:21.0,J. Smith misses 3-pt shot from 24 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by B. Biyombo
11:01.0,,,0-2,,D. Carroll misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by T. Thompson,,0-2,,
10:50.0,K. Irving misses 2-pt shot from 17 ft,,0-2,,
10:50.0,,,0-2,,Defensive rebound by K. Lowry
10:43.0,,,0-2,,K. Lowry misses 2-pt shot from 2 ft
10:43.0,,,0-2,,Offensive rebound by D. Carroll
10:41.0,,,0-4,2,D. Carroll makes 2-pt shot from 1 ft
10:29.0,,,0-4,,Personal foul by L. Scola
10:20.0,K. Love makes 2-pt shot from 3 ft,2,2-4,,
10:03.0,,,2-4,,D. DeRozan misses 2-pt shot from 20 ft
10:03.0,Defensive rebound by T. Thompson,,2-4,,
9:44.0,K. Irving misses 2-pt shot from 2 ft,,2-4,,
9:44.0,,,2-4,,Defensive rebound by B. Biyombo
9:36.0,,,2-4,,D. Carroll misses 2-pt shot from 3 ft
9:36.0,Defensive rebound by T. Thompson,,2-4,,
9:29.0,J. Smith misses 3-pt shot from 24 ft,,2-4,,
9:29.0,,,2-4,,Defensive rebound by K. Lowry
9:20.0,,,2-7,3,D. Carroll makes 3-pt shot from 24 ft (assist by D. DeRozan)
8:53.0,J. Smith makes 3-pt shot from 24 ft,3,5-7,,
8:39.0,,,5-9,2,D. DeRozan makes 2-pt shot from 5 ft
8:16.0,K. Love misses 3-pt shot from 26 ft,,5-9,,
8:16.0,Offensive rebound by L. James,,5-9,,
