time,Atlanta,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Lopez (D. Schroder gains possession),,,,Jump ball: A. Horford vs. B. Lopez (D. Schroder gains possession)
11:46.0,A. Horford makes 2-pt shot from 18 ft (assist by D. Schroder),2,2-0,,
11:26.0,,,2-0,,T. Young misses 2-pt shot from 2 ft (block by K. Korver)
11:25.0,Defensive rebound by D. Schroder,,2-0,,
11:12.0,K. Korver misses 2-pt shot from 18 ft,,2-0,,
11:11.0,,,2-0,,Defensive rebound by J. Johnson
11:00.0,Personal foul by K. Korver (drawn by B. Lopez),,2-0,,
10:44.0,,,2-2,2,B. Lopez makes 2-pt shot from 8 ft
10:22.0,Turnover by K. Korver (bad pass; steal by R. Hollis-Jefferson),,2-2,,
10:19.0,,,2-2,,Turnover by R. Hollis-Jefferson (bad pass; steal by A. Horford)
10:05.0,K. Korver misses 2-pt shot from 20 ft,,2-2,,
10:03.0,,,2-2,,Defensive rebound by T. Young
9:53.0,,,2-2,,T. Young misses 2-pt shot from 18 ft
9:51.0,Defensive rebound by K. Korver,,2-2,,
9:43.0,Turnover by K. Korver (turnover),,2-2,,
9:40.0,,,2-2,,Turnover by J. Jack (lost ball)
9:33.0,Offensive foul by T. Splitter,,2-2,,
9:33.0,Turnover by T. Splitter (offensive foul),,2-2,,
9:24.0,,,2-2,,Turnover by T. Young (bad pass; steal by K. Korver)
9:16.0,Turnover by D. Schroder (turnover),,2-2,,
9:04.0,,,2-2,,J. Johnson misses 2-pt shot from 18 ft
9:02.0,Defensive rebound by T. Splitter,,2-2,,
8:51.0,P. Millsap makes 2-pt shot from 13 ft,2,4-2,,
8:36.0,,,4-4,2,R. Hollis-Jefferson makes 2-pt shot from 17 ft (assist by J. Jack)
8:16.0,D. Schroder misses 3-pt shot from 25 ft,,4-4,,
8:14.0,,,4-4,,Defensive rebound by R. Hollis-Jefferson
7:55.0,,,4-4,,B. Lopez misses 2-pt shot from 2 ft
7:54.0,Defensive rebound by T. Splitter,,4-4,,
7:47.0,K. Korver makes 3-pt shot from 24 ft (assist by D. Schroder),3,7-4,,
7:43.0,,,7-4,,Brooklyn full timeout
7:27.0,,,7-4,,B. Lopez misses 2-pt shot from 2 ft (block by T. Splitter)
7:25.0,Defensive rebound by T. Splitter,,7-4,,
7:05.0,K. Korver misses 3-pt shot from 23 ft,,7-4,,
7:04.0,,,7-4,,Defensive rebound by T. Young
6:57.0,,,7-4,,J. Johnson misses 2-pt shot from 16 ft
6:56.0,,,7-4,,Offensive rebound by Team
6:56.0,Loose ball foul by D. Schroder (drawn by B. Lopez),,7-4,,
6:49.0,,,7-4,,Shooting foul by A. Horford (drawn by B. Lopez)
6:49.0,,,7-4,,B. Lopez misses free throw 1 of 2
6:49.0,,,7-4,,Offensive rebound by Team
6:49.0,,,7-5,1,B. Lopez makes free throw 2 of 2
6:37.0,D. Schroder misses 3-pt shot from 24 ft,,7-5,,
6:36.0,,,7-5,,Defensive rebound by B. Lopez
6:24.0,,,7-7,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Jack)
6:11.0,,,7-7,,Personal foul by J. Jack (drawn by P. Millsap)
6:03.0,T. Splitter makes 2-pt shot from 2 ft (assist by K. Korver),2,9-7,,
5:50.0,,,9-7,,B. Lopez misses 2-pt shot from 11 ft
5:49.0,Defensive rebound by P. Millsap,,9-7,,
5:44.0,Offensive foul by T. Splitter,,9-7,,
5:44.0,Turnover by T. Splitter (offensive foul),,9-7,,
5:44.0,T. Sefolosha enters the game for T. Splitter,,9-7,,
5:26.0,,,9-10,3,J. Jack makes 3-pt shot from 26 ft (assist by J. Johnson)
5:12.0,P. Millsap makes 2-pt shot from 2 ft,2,11-10,,
4:56.0,S. Mack enters the game for D. Schroder,,11-10,,
4:56.0,J. Holiday enters the game for K. Korver,,11-10,,
4:48.0,,,11-12,2,B. Lopez makes 2-pt shot from 8 ft (assist by J. Jack)
4:29.0,A. Horford makes 2-pt shot from 6 ft,2,13-12,,
4:12.0,,,13-15,3,J. Jack makes 3-pt shot from 24 ft (assist by J. Johnson)
3:52.0,P. Millsap misses 2-pt shot from 14 ft,,13-15,,
3:51.0,,,13-15,,Defensive rebound by J. Johnson
3:39.0,,,13-15,,J. Johnson misses 3-pt shot from 26 ft
3:38.0,Defensive rebound by J. Holiday,,13-15,,
